title,price,link_item,index_,Discount,countReviews,Brand,Store
Samsung m20,1.000.000 ₫,https://www.lazada.vn/products/samsung-m20-i2522391364.html,1,,Bình Dương,,
OPPO F9 MÁY CÒN MỚI ĐẸP 99% 4G-6G/64G LƯỚT WEB SIÊU MƯỢT.,1.490.000 ₫,https://www.lazada.vn/products/oppo-f9-may-con-moi-dep-99-4g-6g64g-luot-web-sieu-muot-i2471857831.html,2,,"(1)
Bạc Liêu",,
"điện thoại giá rẻ cho học sinh trẻ em Oppo A55 - điện thoại Oppo A55 2sim ram 8G/128G máy Chính Hãng, lướt Wed Tiktok Facebook Youtube chất, Bảo hành 12 tháng",1.099.000 ₫,https://www.lazada.vn/products/dien-thoai-gia-re-cho-hoc-sinh-tre-em-oppo-a55-dien-thoai-oppo-a55-2sim-ram-8g128g-may-chinh-hang-luot-wed-tiktok-facebook-youtube-chat-bao-hanh-12-thang-i2320875372.html,3,39% Off,"41 Đã bán
(38)
Hồ Chí Minh",,
[CHÍNH HÃNG] điện thoại giá rẻ N105 4G chính hãng,99.000 ₫,https://www.lazada.vn/products/chinh-hang-dien-thoai-gia-re-n105-4g-chinh-hang-i710734056.html,4,23% Off,"28 Đã bán
(5)
Bình Dương",,
"Điện thoại Vivo Y97 2 sim RAM 4GB, bộ nhớ 128GB kiểu dáng nhỏ gọn, giá rẻ dùng xem phim, lướt tiktok tốt",1.150.000 ₫,https://www.lazada.vn/products/dien-thoai-vivo-y97-2-sim-ram-4gb-bo-nho-128gb-kieu-dang-nho-gon-gia-re-dung-xem-phim-luot-tiktok-tot-i2407735105.html,5,34% Off,Hồ Chí Minh,,
"điện thoại Vivo Y91C 2sim ram 6G/128G máy Chính Hãng, cảm ứng mượt, Camera siêu đẹp, máy nghe gọi tốt, Full Zalo Facebook Youtube, cày game mượt, Bảo hành 12 tháng - TTN 01",439.246 ₫,https://www.lazada.vn/products/dien-thoai-vivo-y91c-2sim-ram-6g128g-may-chinh-hang-cam-ung-muot-camera-sieu-dep-may-nghe-goi-tot-full-zalo-facebook-youtube-cay-game-muot-bao-hanh-12-thang-ttn-01-i2337421620.html,6,"60% Off
LazFlash Sale, tới 23:59","814 Đã bán
(271)
Hồ Chí Minh",,
"điện thoại Chính Hãng Oppo F1s máy 2sim ram 4G/64G, Smartphone Cao cấp, Camera đẹp, Cấu hình mạnh, Chiến mọi Game nặng siêu mượt - TTN 01",399.000 ₫,https://www.lazada.vn/products/dien-thoai-chinh-hang-oppo-f1s-may-2sim-ram-4g64g-smartphone-cao-cap-camera-dep-cau-hinh-manh-chien-moi-game-nang-sieu-muot-ttn-01-i2152015327.html,7,49% Off,"402 Đã bán
(125)
Hồ Chí Minh",,
SAMSUNG J6 LƯỚT WEL CẤU HÌNH MƯỢT SIÊU BỀN ĐẸP KEENG 3G/32G,790.000 ₫,https://www.lazada.vn/products/samsung-j6-luot-wel-cau-hinh-muot-sieu-ben-dep-keeng-3g32g-i2142238582.html,8,,"41 Đã bán
(16)
Bạc Liêu",,
"Điện thoại Google Pixel 4A 5G Chip snapdragon 765 5G, Pin trâu camera chụp đêm đẹp thiết kế cao cấp",3.398.000 ₫,https://www.lazada.vn/products/dien-thoai-google-pixel-4a-5g-chip-snapdragon-765-5g-pin-trau-camera-chup-dem-dep-thiet-ke-cao-cap-i2253323840.html,9,13% Off,"29 Đã bán
(14)
Hải Phòng",,
Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,7.935.000 ₫,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-fe-8gb256gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-i2427532391.html,10,,Hải Phòng,,
