title,price,link_item,index,discount,sales,category
Bàn ủi hơi nước du lịch mini BlueStone SIB-3819 (1200W) - Hàng Chính Hãng,579.000₫,https://tiki.vn/ban-ui-hoi-nuoc-du-lich-mini-bluestone-sib-3819-1200w-hang-chinh-hang-p48496923.html?spid=152447544,1,-17%,Đã bán 24,thietbigiadinh
Máy hút bụi cầm tay vừa thổi vừa hút,441.000₫,https://tiki.vn/may-hut-bui-cam-tay-vua-thoi-vua-hut-p214614823.html?spid=52245785,2,-4%,Đã bán 167,thietbigiadinh
ĐẦU LỌC NƯỚC 6 TẤNG SIÊU TIỆN LỢI - LỌC NƯỚC NGAY TẠI VÒI - ĐEM LẠI NGUỒN NƯỚC TINH KHIẾT (Giao Hàng Theo Mẫu Ngẫu Nhiên),19.800₫,https://tiki.vn/dau-loc-nuoc-6-tang-sieu-tien-loi-loc-nuoc-ngay-tai-voi-dem-lai-nguon-nuoc-tinh-khiet-giao-hang-theo-mau-ngau-nhien-p80614702.html?spid=96327977,3,,Đã bán 538,thietbigiadinh
Máy kẹp duỗi tóc Bản Lớn 369Pro Hàn Quốc chỉnh nhiệt cao cấp phủ gốm Tourmaline bảo vệ tóc kéo êm. kẹp mượt tóc,288.000,https://tiki.vn/may-kep-duoi-toc-vigor-pro-389l-han-quoc-chinh-nhiet-ban-lon-p135057194.html?spid=135057201,4,-44%,Đã bán 6,thietbigiadinh
,,https://tiki.vn/quat-lo-cong-nghiep-3ht-hang-chinh-hang-p110931703.html?spid=110931707,5,-40%,,thietbigiadinh
"Quạt Mini Đa Năng Để Bàn, Quạt Tích Điện SeaSy, Biên Độ Thổi Rộng 330 Độ, 3 Cấp Độ Gió Lớn, Tích Hợp Đèn Led, Thiết Kế Chống Ồn, Pin Dung Lượng Cao - Hàng Chính Hãng",219.000₫,https://tiki.vn/quat-mini-da-nang-de-ban-quat-tich-dien-seasy-bien-do-thoi-rong-330-do-3-cap-do-gio-lon-tich-hop-den-led-thiet-ke-chong-on-pin-dung-luong-cao-hang-chinh-hang-p262695560.html?spid=262695564,6,,Đã bán 9,thietbigiadinh
Mô tơ máy may gia đình 180W - thietbimaygiarenamduong,210.000₫,https://tiki.vn/mo-to-may-may-gia-dinh-180w-thietbimaygiarenamduong-p191282645.html?spid=191282647,7,,Đã bán 12,thietbigiadinh
Bộ lọc nước tại vòi SAMONO SW-WPW11 5 lớp lọc cao cấp - Hàng chính hãng,149.000₫,https://tiki.vn/bo-loc-nuoc-tai-voi-samono-sw-wpw11-5-lop-loc-cao-cap-hang-chinh-hang-p249277127.html?spid=249277128,8,,Đã bán 13,thietbigiadinh
"Máy Hút Bụi Cầm Tay Không Dây Đa Năng Cao Cấp 4in1 Seasy C8, Sạc Pin Không Dây, Công Suất Lớn, Giảm Thiểu Tiếng Ồn, Kèm Vòi Tiện Dụng, Dùng Trong Nhà, Ô Tô, Sô Fa, Đệm, Giường- Hàng Chính Hãng",309.000,https://tiki.vn/may-hut-bui-cam-tay-khong-day-da-nang-cao-cap-4in1-seasy-c8-sac-pin-khong-day-cong-suat-lon-giam-thieu-tieng-on-kem-voi-tien-dung-dung-trong-nha-o-to-so-fa-dem-giuong-hang-chinh-hang-p214595819.html?spid=214595820,9,,,thietbigiadinh
,,https://tiki.vn/may-loc-nuoc-de-ban-ro-philips-add6910-p188189672.html?spid=188189676,10,-18%,,thietbigiadinh
"MÁY CẠO RÂU MINI, MÁY CẠO RÂU 360 CHỐNG NƯỚC IPX7, SẠC USB",52.890₫,https://tiki.vn/may-cao-rau-mini-may-cao-rau-360-chong-nuoc-ipx7-sac-usb-p249092041.html?spid=251453131,11,-8%,Đã bán 28,thietbigiadinh
Máy làm mát không khí Magic Eco AC301 - Hàng chính hãng,2.070.000,https://tiki.vn/may-lam-mat-khong-khi-magic-eco-ac301-ha-ng-chi-nh-ha-ng-p184466417.html?spid=184466420,12,,,thietbigiadinh
,,https://tiki.vn/robot-hut-bui-lau-nha-ecovacs-deebot-t10-omni-quoc-te-tu-dong-giat-gie-va-hut-rac-tu-dong-say-kho-ket-noi-app-lam-mat-khong-khi-khu-mui-tro-ly-ao-yiko-cong-nghe-omo-3-0-luc-hut-5000-pa-phu-hop-dien-tich-200m2-cong-suat-50w-hang-chinh-hang-p262460494.html?spid=197652963,13,-56%,,thietbigiadinh
Bàn Ủi Hơi Nước Không Dây Panasonic NI-WL30VRA - Mặt Đế Silver Titan - Công Suất 1550W - Hàng Chính Hãng,1.410.000₫,https://tiki.vn/ban-ui-hoi-nuoc-khong-day-panasonic-ni-wl30vra-mat-de-silver-titan-cong-suat-1550w-hang-chinh-hang-p33597004.html?spid=33597005,14,,Đã bán 153,thietbigiadinh
"Cánh Quạt B4 : 3 Lá, 5 Lá, 7 Lá {HCM",40.000₫,https://tiki.vn/canh-quat-b4-3-la-5-la-7-la-hcm-p133162758.html?spid=185448381,15,,Đã bán 20,thietbigiadinh
Máy Hút Bụi Panasonic PAHB-MC-CG371AN46 (1600W) - Hàng Chính Hãng,2.079.000₫,https://tiki.vn/may-hut-bui-panasonic-pahb-mc-cg371an46-1600w-hang-chinh-hang-p631876.html?spid=44924589,16,-7%,Đã bán 7,thietbigiadinh
Máy Hút Bụi Perfect PF-SV07 - Hàng chính hãng,387.000,https://tiki.vn/may-hut-bui-perfect-pf-sv07-hang-chinh-hang-p176552554.html?spid=176552555,17,-18%,Đã bán 38,thietbigiadinh
,,https://tiki.vn/may-cao-rau-enchen-blackstone-dau-dao-cao-noi-3d-pin-sac-sieu-ben-p89654737.html?spid=177190789,18,,,thietbigiadinh
