title,price,link_item,index,discount,sales,category
Điện thoại Samsung Galaxy S23 8GB 256GB - Hàng chính hãng,18.125.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-s23-8gb-256gb-hang-chinh-hang-p242635843.html?spid=252718619,1,,,smartphone
Điện Thoại OPPO A57 (4GB/64GB) - Hàng Chính Hãng,4.284.000₫,https://tiki.vn/dien-thoai-oppo-a57-4gb-64gb-hang-chinh-hang-p190701486.html?spid=253385437,2,-9%,,smartphone
Điện thoại Samsung Galaxy Z Flip 4 5G 128GB Vàng - Hàng chính hãng,22.551.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-z-flip-4-5g-128gb-vang-hang-chinh-hang-p193208070.html?spid=212606881,3,,,smartphone
Điện thoại Xiaomi REDMI 9A (2+32) Xanh dương - Hàng chính hãng (chỉ giao HN và một số khu vực),2.088.000,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2-32-xanh-duong-p176438864.html?spid=243245332,4,,,smartphone
,,https://tiki.vn/dien-thoai-samsung-galaxy-s23-plus-8gb-256gb-kem-hang-chinh-hang-p225241398.html?spid=225961853,5,,,smartphone
"Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng chính hãng, Nguyên seal, Fullbox",2.556.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-10a-2gb-32gb-hang-chinh-hang-nguyen-seal-fullbox-p191916060.html?spid=250473721,6,,,smartphone
Điện thoại Samsung Galaxy Z Flip4 5G (8 GB/256 GB) - Hàng chính hãng,22.200.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-z-flip4-5g-8-gb-256-gb-hang-chinh-hang-p196200197.html?spid=208497444,7,,,smartphone
Điện thoại Samsung Galaxy S23 Plus 8GB/256GB Xanh lục - Hàng chính hãng,25.000.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-s23-plus-8gb-256gb-xanh-luc-hang-chinh-hang-p225251266.html?spid=225961854,8,,,smartphone
Điện thoại Samsung Galaxy S23 Plus 8GB/512GB Kem - Hàng chính hãng,28.000.000,https://tiki.vn/dien-thoai-samsung-galaxy-s23-plus-8gb-512gb-kem-hang-chinh-hang-p225242723.html?spid=225961849,9,,,smartphone
,,https://tiki.vn/dien-thoai-samsung-galaxy-z-flip4-5g-hang-chinh-hang-p225957987.html?spid=225958006,10,,,smartphone
Điện thoại Samsung Galaxy Z Flip 4 5G 256GB Tím - Hàng chính hãng,22.200.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-z-flip-4-5g-256gb-tim-hang-chinh-hang-p193208254.html?spid=212606923,11,,,smartphone
Điện thoại Oppo A57 (4GB/64GB) - Hàng chính hãng,4.284.000,https://tiki.vn/dien-thoai-oppo-a57-4gb-64gb-hang-chinh-hang-p192348147.html?spid=253399234,12,,,smartphone
,,https://tiki.vn/dien-thoai-samsung-galaxy-s23-5g-hang-chinh-hang-p225960096.html?spid=225960105,13,,,smartphone
Điện Thoại Xiaomi Redmi 10C 4GB/128GB - Hàng Chính Hãng,2.850.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-128gb-hang-chinh-hang-p170775712.html?spid=216725338,14,,Đã bán 1,smartphone
Điện thoại Samsung Galaxy A04s 4/64GB - Hàng chính hãng,2.990.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-a04s-4-64gb-hang-chinh-hang-p208193462.html?spid=252718623,15,,,smartphone
Điện Thoại Samsung A33 5G 6GB/128GB - Hàng Chính Hãng,6.800.000₫,https://tiki.vn/dien-thoai-samsung-a33-5g-6gb-128gb-hang-chinh-hang-p174422886.html?spid=205980824,16,,,smartphone
Điện thoại Samsung Galaxy S23 Ultra 8GB/256GB Xanh lục - Hàng chính hãng,30.071.000,https://tiki.vn/dien-thoai-samsung-galaxy-s23-ultra-8gb-256gb-xanh-luc-hang-chinh-hang-p225228869.html?spid=249347758,17,,,smartphone
,,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-128gb-xam-hang-chinh-hang-p188835531.html?spid=216725320,18,,,smartphone
Điện thoại Xiaomi Redmi A1 2GB + 32GB Camera kép - Pin 5000mAh - Màn hình độ phân giải HD+ - Hàng chính hãng,2.088.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-a1-2gb-32gb-camera-kep-pin-5000mah-man-hinh-do-phan-giai-hd-hang-chinh-hang-p198363821.html?spid=216725038,19,,,smartphone
Điện Thoại Samsung Galaxy Z Flip 4 (8GB/128GB) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,22.551.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-z-flip-4-8gb-128gb-da-kich-hoat-dien-tu-hang-chinh-hang-p196094112.html?spid=216983822,20,,,smartphone
Điện thoại Samsung Galaxy A04s (4G+64G) A047F Đen - Hàng Chính Hãng (chỉ giao HN và một số khu vực),2.990.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-a04s-4g-64g-a047f-den-p198732256.html?spid=204320132,21,,,smartphone
Điện Thoại Samsung Galaxy A04 (3GB/32GB) - Hàng Chính Hãng,2.400.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-a04-3gb-32gb-hang-chinh-hang-p213587929.html?spid=225919088,22,,,smartphone
Điện thoại Samsung Galaxy A33 (5G) A336 (6 GB/128 GB)- Hàng chính hãng,7.000.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-a33-5g-a336-6-gb-128-gb-hang-chinh-hang-p189937243.html?spid=196285880,23,,,smartphone
Điện thoại Xiaomi Redmi 10C 4/128GB - Hàng chính hãng,2.850.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4-128gb-p172555765.html?spid=216936728,24,,,smartphone
Điện thoại Xiaomi Redmi 10C 4GB/128GB Xanh Dương - Hàng Chính Hãng,3.468.000,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-128gb-xanh-duong-hang-chinh-hang-p188837747.html?spid=216725086,25,,,smartphone
,,https://tiki.vn/dien-thoai-samsung-galaxy-z-flip4-5g-8gb-256gb-hang-chinh-hang-p196200655.html?spid=208497436,26,,,smartphone
Điện thoại OPPO A76 (6 GB/128 GB) - Hàng chính hãng,5.436.000₫,https://tiki.vn/dien-thoai-oppo-a76-6-gb-128-gb-hang-chinh-hang-p195662979.html?spid=253399708,27,,,smartphone
Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng Chính Hãng,2.556.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-10a-2gb-32gb-hang-chinh-hang-p191629873.html?spid=216725310,28,,,smartphone
Điện thoại Xiaomi Redmi 10C (4 +128) Xanh Dương - Hàng Chính Hãng (chỉ giao HN và một số khu vực),3.468.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4-128-xanh-duong-hang-chinh-hang-chi-giao-hn-va-mot-so-khu-vuc-p207268125.html?spid=216940076,29,,,smartphone
Điện thoại OPPO A57 (4GB/28GB) - Hàng chính hãng,4.632.000,https://tiki.vn/dien-thoai-oppo-a57-4gb-28gb-hang-chinh-hang-p193769143.html?spid=253385469,30,,,smartphone
,,https://tiki.vn/dien-thoai-xiaomi-redmi-10a-2gb-32gb-hang-chinh-hang-p191764688.html?spid=250473423,31,,,smartphone
"ulefone Armor 24 (TIÊU CHUẨN MIL-STD-810H ,IP69K, chống nước ,chống sốc,pin 22000mah , màn hình6,78 inch, NFC, Ram24GB(12Gb+12Gb),rom 256GB)-hàng chính hãng",7.990.000₫,https://tiki.vn/ulefone-armor-24-tieu-chuan-mil-std-810h-ip69k-chong-nuoc-chong-soc-pin-22000mah-man-hinh6-78-inch-nfc-ram24gb-12gb-12gb-rom-256gb-p273366296.html?spid=273366297,32,,,smartphone
"Điện thoại Ulefone armor 22(chống nước,chống va đập, Màn hình giọt nước 6,58 inch, RAM:8GB,Rom 128GB/256GB,Thẻ nhớ microSD Lên đến 512GB, Camera kép 64MP + 64MP)- hàng chính hãng",5.990.000₫,https://tiki.vn/dien-thoai-ulefone-armor-22-chong-nuoc-chong-va-dap-man-hinh-giot-nuoc-6-58-inch-ram-8gb-rom-128gb-256gb-the-nho-microsd-len-den-512gb-camera-kep-64mp-64mp-hang-chinh-hang-p273360836.html?spid=273360837,33,,,smartphone
"Điện thoại Ulefone Power Armor 19T (Camera chụp ảnh nhiệt FLIR , RAM 17GB + ROM 256GB , Helio G99,sạc nhanh 66W,pin 9600mAh,chống nước,chống sốc)-hàng chính hãng",12.990.000₫,https://tiki.vn/dien-thoai-ulefone-power-armor-19t-camera-chup-anh-nhiet-flir-ram-17gb-rom-256gb-helio-g99-sac-nhanh-66w-pin-9600mah-chong-nuoc-chong-soc-hang-chinh-hang-p273398867.html?spid=273398868,34,,,smartphone
Điện Thoại Samsung Galaxy A05 (6GB/128GB) - Hàng Chính Hãng,3.237.000,https://tiki.vn/dien-thoai-samsung-galaxy-a05-6gb-128gb-hang-chinh-hang-p273640492.html?spid=273640515,35,,,smartphone
,,https://tiki.vn/dien-thoai-samsung-galaxy-a15-5g-8gb-256gb-hang-chinh-hang-p273820465.html?spid=273820471,36,,,smartphone
Điện Thoại Oppo A18 4GB/128GB - Hàng Chính Hãng,3.639.000₫,https://tiki.vn/dien-thoai-oppo-a18-4gb-128gb-hang-chinh-hang-p273664463.html?spid=273664467,37,,,smartphone
Điện thoại Samsung Galaxy A25 5G (6GB/128GB) - Hàng chính hãng,6.590.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-a25-5g-6gb-128gb-hang-chinh-hang-p273685412.html?spid=273685414,38,,,smartphone
