title,price,link_item,index,discount,sales,brand
"Giày thể thao cho bé, kiểu dáng hiện đại, có nút tăng giảm tiện dụng, đế chống mòn, chống trơn trượt – GTE9074",400.000₫,https://tiki.vn/giay-the-thao-cho-be-kieu-dang-hien-dai-co-nut-tang-giam-tien-dung-de-chong-mon-chong-tron-truot-gte9074-p273440589.html?spid=273440591,1,-50%,,Bee_Gee
"Giày cho bé trai, bé gái phong cách dễ thương – GTE1009",240.000₫,https://tiki.vn/giay-cho-be-trai-be-gai-phong-cach-de-thuong-gte1009-p207360937.html?spid=207360953,2,-50%,,Bee_Gee
Túi đeo chéo cho bé gái/ bé trai phong cách dễ thương – BEE GEE DCTE1001,90.000₫,https://tiki.vn/tui-deo-cheo-cho-be-gai-be-trai-phong-cach-de-thuong-bee-gee-dcte1001-p210959832.html?spid=210959844,3,-50%,,Bee_Gee
Giày cho bé gái phong cách dễ thương – GBG2006A,225.000,https://tiki.vn/giay-cho-be-gai-phong-cach-de-thuong-gbg2006a-p209413656.html?spid=209413658,4,,Đã bán 1,Bee_Gee
,,https://tiki.vn/ba-lo-cho-be-gai-be-trai-dung-cho-di-hoc-di-choi-bee-gee-hs1083-p211167083.html?spid=211167104,5,,,Bee_Gee
Giày có đế phát sáng cho bé trai/ bé gái phong cách dễ thương – GTE2017,400.000₫,https://tiki.vn/giay-co-de-phat-sang-cho-be-trai-be-gai-phong-cach-de-thuong-gte2017-p212956273.html?spid=212956295,6,-50%,Đã bán 1,Bee_Gee
Dép Thái Lan cao cấp bé trai quai ngang DTE1011A (LOẠI 1),180.000₫,https://tiki.vn/dep-thai-lan-cao-cap-be-trai-quai-ngang-dte1011a-loai-1-p197894348.html?spid=197894352,7,-50%,,Bee_Gee
Giày bé trai phong cách dễ thương BEE GEE G1007,290.000₫,https://tiki.vn/giay-be-trai-phong-cach-de-thuong-bee-gee-g1007-p189633194.html?spid=189633196,8,-50%,Đã bán 7,Bee_Gee
"Ba lô cho bé gái dùng cho đi học, đi chơi – EE GEE HS9042",180.000,https://tiki.vn/ba-lo-cho-be-gai-dung-cho-di-hoc-di-choi-ee-gee-hs9042-p213710211.html?spid=213710213,9,,Đã bán 1,Bee_Gee
,,https://tiki.vn/giay-the-thao-cho-be-giay-phong-cach-de-thuong-thoang-khi-de-em-nhe-chong-tron-truot-gte9062-p272599211.html?spid=272599251,10,,,Bee_Gee
Giày thể thao cho bé gái phong cách dễ thương – GTE2052,320.000₫,https://tiki.vn/giay-the-thao-cho-be-gai-phong-cach-de-thuong-gte2052-p271993908.html?spid=271993918,11,-50%,,Bee_Gee
Dép Thái Lan cao cấp bé trai quai ngang DTE1002 (LOẠI 1),205.000,https://tiki.vn/dep-thai-lan-cao-cap-be-trai-quai-ngang-dte1002-loai-1-p197888638.html?spid=197888648,12,,,Bee_Gee
,,https://tiki.vn/giay-sneaker-the-thao-cho-be-trai-be-gai-phong-cach-de-thuong-gte9080-p273460836.html?spid=273460854,13,,,Bee_Gee
"Giày thể thao cho bé, giày phong cách dễ thương, thoáng khi, đế êm nhẹ, chống trơn trượt - GTE9069",390.000₫,https://tiki.vn/giay-the-thao-cho-be-giay-phong-cach-de-thuong-thoang-khi-de-em-nhe-chong-tron-truot-gte9069-p272623401.html?spid=272623417,14,-50%,,Bee_Gee
Giày boot cho bé phong cách dễ thương - GTE9065,260.000₫,https://tiki.vn/giay-boot-cho-be-phong-cach-de-thuong-gte9065-p272618604.html?spid=272618624,15,-50%,Đã bán 1,Bee_Gee
"Giày lười cho bé, giày phong cách dễ thương, thoáng khi, đế êm nhẹ, chống trơn trượt - GLTE3014",250.000₫,https://tiki.vn/giay-luoi-cho-be-giay-phong-cach-de-thuong-thoang-khi-de-em-nhe-chong-tron-truot-glte3014-p272616794.html?spid=272616796,16,-50%,,Bee_Gee
"Giày lười cho bé, giày phong cách dễ thương, thoáng khi, đế êm nhẹ, chống trơn trượt - GLTE3007",230.000,https://tiki.vn/giay-luoi-cho-be-giay-phong-cach-de-thuong-thoang-khi-de-em-nhe-chong-tron-truot-glte3008-p272584477.html?spid=272584489,17,,,Bee_Gee
,,https://tiki.vn/giay-cho-be-trai-be-gai-phong-cach-de-thuong-gte2005-p209164601.html?spid=209164607,18,,,Bee_Gee
Ba lô cho bé dùng cho đi học đi chơi – BEE GEE HS1126,270.000₫,https://tiki.vn/ba-lo-cho-be-dung-cho-di-hoc-di-choi-bee-gee-hs1126-p251456370.html?spid=251456374,19,-50%,,Bee_Gee
Ba lô cho bé gái dùng cho đi học đi chơi – BEE GEE HS1156,480.000₫,https://tiki.vn/ba-lo-cho-be-gai-dung-cho-di-hoc-di-choi-bee-gee-hs1156-p270699472.html?spid=270699476,20,-50%,,Bee_Gee
Giày bé gái đế phát sáng phong các dễ thương BEE GEE G1004,330.000₫,https://tiki.vn/giay-be-gai-de-phat-sang-phong-cac-de-thuong-bee-gee-g1004-p188032464.html?spid=188032470,21,-50%,Đã bán 4,Bee_Gee
