title,price,link_item,index,discount,sales,brand
Sữa bột Nutricare Bone phòng chống loãng xương sụn khớp cho người lớn tuổi (900g),334.000₫,https://tiki.vn/lon-900g-sua-bot-nutricare-bone-cho-nguoi-lon-tuoi-dinh-duong-phong-chong-loang-xuong-cai-thien-sun-khop-p110308330.html?spid=110308335,1,-2%,Đã bán 95,nutricare
"Sữa bột Nutricare Kidney 1 - dinh dưỡng cho người suy thận, tiền chạy thận nhân tạo (900g)",540.000₫,https://tiki.vn/sua-bot-nutricare-kidney-1-dinh-duong-cho-nguoi-suy-than-tien-chay-than-nhan-tao-900g-p50241276.html?spid=50241277,2,-3%,Đã bán 162,nutricare
Combo 12 hộp sữa nước Nutricare GLUCARE Gold cho người tiểu đường (180ml),185.000₫,https://tiki.vn/loc-8-hop-x-180ml-sua-pha-san-nutricare-glucare-gold-giai-phap-dinh-duong-cho-nguoi-tieu-duong-phu-nu-tieu-duong-thai-ky-p112110305.html?spid=112110306,3,-1%,Đã bán 88,nutricare
Thùng sữa nước Nutricare Smarta Grow dinh dưỡng cho trẻ thấp còi (110ml),335.000,https://tiki.vn/thung-110mlx48-hop-sua-cong-thuc-pha-san-nutricare-smarta-grow-giup-tre-tang-truong-chieu-cao-phat-trien-nao-bo-dinh-duong-cho-tre-thap-coi-p112194231.html?spid=112194232,4,,,nutricare
,,https://tiki.vn/sua-bot-nutricare-care-100-plus-phuc-hoi-dinh-duong-cho-tre-bieng-an-900g-p146399059.html?spid=146399060,5,-1%,,nutricare
Sữa bột Nutricare ColosCare Adult tăng cường sức đề kháng cho người lớn tuổi (800g),467.000₫,https://tiki.vn/sua-bot-nutricare-coloscare-adult-tang-cuong-suc-de-khang-cho-nguoi-lon-tuoi-800g-p102760908.html?spid=102760909,6,-1%,Đã bán 114,nutricare
Sữa bột Nutricare Glucare Gold dinh dưỡng cho người tiểu đường (900g),410.000₫,https://tiki.vn/sua-bot-nutricare-glucare-gold-dinh-duong-cho-nguoi-tieu-duong-900g-p4819361.html?spid=46251730,7,-1%,Đã bán 572,nutricare
Sữa nước Nutricare Smarta Grow cho trẻ thấp còi (110ml),328.328₫,https://tiki.vn/sua-nuoc-nutricare-smarta-grow-cho-tre-thap-coi-110ml-p199177595.html?spid=199177596,8,-12%,Đã bán 1,nutricare
[Mua 11 lốc tặng 1] Sữa nước Nutricare MetaCare Yoyo vị chua hương CAM 1 tỷ lợi khuẩn (180ml),341.264,https://tiki.vn/mua-11-loc-tang-1-sua-nuoc-nutricare-metacare-yoyo-vi-chua-huong-cam-1-ty-loi-khuan-180ml-p253495095.html?spid=253495096,9,-2%,Đã bán 2,nutricare
,,https://tiki.vn/bot-an-dam-tot-cho-be-nutricare-metacare-04-goi-vi-ngot-200g-p112251691.html?spid=112251692,10,-12%,,nutricare
