title,price,link_item,index,discount,sales,brand
BỘ LẮP RÁP LEGO NINJAGO 71774 RỒNG VÀNG HUYỀN THOẠI CỦA LLOYD,4.343.000₫,https://tiki.vn/bo-lap-rap-lego-ninjago-71774-rong-vang-huyen-thoai-cua-lloyd-p273661566.html?spid=273661567,1,-10%,,lego
BỘ LẮP RÁP LEGO CITY 60350 TRỤ SỞ NGHIÊN CỨU NASA MẶT TRĂNG,3.199.000₫,https://tiki.vn/bo-lap-rap-lego-city-60350-tru-so-nghien-cuu-nasa-mat-trang-p273670667.html?spid=273670668,2,-30%,,lego
BỘ LẮP RÁP LEGO DISNEY 43207 LÂU ĐÀI CỦA CÔNG CHÚA ARIEL,2.230.000₫,https://tiki.vn/bo-lap-rap-lego-disney-43207-lau-dai-cua-cong-chua-ariel-p273661693.html?spid=273661694,3,-7%,,lego
LEGO Creator 31135 Xe Mô Tô Cổ Điển (128 chi tiết),679.000,https://tiki.vn/lego-creator-31135-xe-mo-to-co-dien-128-chi-tiet-p235630097.html?spid=247262148,4,,,lego
,,https://tiki.vn/do-choi-lap-rap-xe-tai-canh-sat-van-chuyen-toi-pham-lego-city-60418-674-chi-tiet-p273728026.html?spid=273728027,5,,,lego
Đồ Chơi Lắp Ráp Xe Thám Hiểm Không Gian Của Oz LEGO DREAMZZZ 71475 (350 chi tiết),899.000₫,https://tiki.vn/do-choi-lap-rap-xe-tham-hiem-khong-gian-cua-oz-lego-dreamzzz-71475-350-chi-tiet-p273728046.html?spid=273728047,6,-12%,,lego
Đồ Chơi Lắp Ráp Xe Cảnh Sát Truy Đuổi Tội Phạm LEGO CITY 60415 (213 chi tiết),599.000₫,https://tiki.vn/do-choi-lap-rap-xe-canh-sat-truy-duoi-toi-pham-lego-city-60415-213-chi-tiet-p273727962.html?spid=273727963,7,-12%,,lego
Đồ Chơi Lắp Ráp Xe Tải Vận Chuyển Xe Đua LEGO CITY 60406 (328 chi tiết),899.000₫,https://tiki.vn/do-choi-lap-rap-xe-tai-van-chuyen-xe-dua-lego-city-60406-328-chi-tiet-p273727928.html?spid=273727929,8,-12%,,lego
Đồ Chơi Lắp Ráp Cuộc Phục Kích Cổng Địa Ngục Nether LEGO MINECRAFT 21255 (352 chi tiết),1.139.000,https://tiki.vn/do-choi-lap-rap-cuoc-phuc-kich-cong-dia-nguc-nether-lego-minecraft-21255-lego-minecraft-21255-p273727941.html?spid=273727944,9,,,lego
,,https://tiki.vn/bo-lap-rap-lego-xe-dua-sa-mac-60218-p51519750.html?spid=58988867,10,-7%,,lego
Đồ Chơi Lắp Ráp LEGO Duplo 10954 - Number Train Learn To Count (23 Mảnh Ghép),743.100₫,https://tiki.vn/do-choi-lap-rap-lego-duplo-10954-number-train-learn-to-count-23-manh-ghep-p171674160.html?spid=171674161,11,-27%,,lego
Đồ Chơi Lắp Ráp Lego Classic 11018 - Creative Ocean Fun (333 Mảnh Ghép),539.100,https://tiki.vn/do-choi-lap-rap-lego-classic-11018-creative-ocean-fun-333-manh-ghep-p173911549.html?spid=173911550,12,-12%,Đã bán 1,lego
,,https://tiki.vn/do-choi-lap-rap-lego-disney-43214-twirling-rapunzel-89-manh-ghep-p270054305.html?spid=270054306,13,-12%,,lego
Đồ Chơi Lắp Ráp Lego Duplo 10983 - Organic Market (40 Mảnh Ghép),844.000₫,https://tiki.vn/do-choi-lap-rap-lego-duplo-10983-organic-market-40-manh-ghep-p254137992.html?spid=254137993,14,,,lego
Đồ Chơi Lắp Ráp Lego Speed Champions 76914 - Ferrari 812 Competizione (261 Mảnh Ghép),703.200₫,https://tiki.vn/do-choi-lap-rap-lego-speed-champions-76914-ferrari-812-competizione-261-manh-ghep-p254137994.html?spid=254137995,15,-5%,,lego
Đồ Chơi Lắp Ráp Lego Speed Champions 76918 - McLaren Solus GT & McLaren F1 LM (581 Mảnh Ghép),1.292.800₫,https://tiki.vn/do-choi-lap-rap-lego-speed-champions-76918-mclaren-solus-gt-mclaren-f1-lm-581-manh-ghep-p254138010.html?spid=254138011,16,,,lego
Đồ Chơi Lắp Ráp Lego City 60369 - Mobile Police Dog Training (197 Mảnh Ghép),544.800,https://tiki.vn/do-choi-lap-rap-lego-city-60369-mobile-police-dog-training-197-manh-ghep-p261157834.html?spid=261157835,17,,,lego
,,https://tiki.vn/do-choi-lap-rap-lego-technic-42150-monster-jam-monster-mutt-dalmatian-244-manh-ghep-p261157848.html?spid=273788073,18,-5%,,lego
Đồ Chơi Lắp Ráp Xe Trượt Tuyết Thám Hiểm Bắc Cực - Lego City 60376 (70 Mảnh Ghép),287.400₫,https://tiki.vn/do-choi-lap-rap-xe-truot-tuyet-tham-hiem-bac-cuc-lego-city-60376-70-manh-ghep-p262852800.html?spid=262852801,19,-13%,,lego
Đồ Chơi Lắp Ráp Lego Creator 31137 - Adorable Dogs (475 Mảnh Ghép),729.300₫,https://tiki.vn/do-choi-lap-rap-lego-creator-31137-adorable-dogs-475-manh-ghep-p254137964.html?spid=254137965,20,,Đã bán 1,lego
Đồ Chơi Lắp Ráp Lego Speed Champions 76916 - Porsche 963 (280 Mảnh Ghép),703.200₫,https://tiki.vn/do-choi-lap-rap-lego-speed-champions-76916-porsche-963-280-manh-ghep-p254138016.html?spid=254138017,21,,,lego
Đồ Chơi Lắp Ráp Lego Classic 11028 - Creative Pastel Fun (333 Mảnh Ghép),544.800₫,https://tiki.vn/do-choi-lap-rap-lego-classic-11028-creative-pastel-fun-333-manh-ghep-p254137982.html?spid=254137983,22,-5%,,lego
LEGO Technic 42155 Siêu Xe Mô Tô Của Người Dơi (641 chi tiết),2.599.000₫,https://tiki.vn/lego-technic-42155-sieu-xe-mo-to-cua-nguoi-doi-641-chi-tiet-p235720310.html?spid=247262722,23,-5%,,lego
Đồ Chơi Lắp Ráp Tàu Vũ Trụ Khám Phá Thiên Thạch LEGO CITY 60429 (126 chi tiết),599.000₫,https://tiki.vn/do-choi-lap-rap-tau-vu-tru-kham-pha-thien-thach-lego-city-60429-lego-city-60429-p273727986.html?spid=273727987,24,,,lego
Đồ Chơi Lắp Ráp Xe Thám Hiểm Vũ Trụ Có Cần Trục LEGO CITY 60432 (758 chi tiết),2.159.000,https://tiki.vn/do-choi-lap-rap-xe-tham-hiem-vu-tru-co-can-truc-lego-city-60432-lego-city-60432-p273803675.html?spid=273803676,25,,,lego
,,https://tiki.vn/do-choi-lap-rap-hoa-kho-trang-tri-dried-flower-centrepiece-lego-adults-10314-812-manh-ghep-p273414095.html?spid=273414096,26,,,lego
LEGO CREATOR 31152 Đồ chơi lắp ráp Mô hình phi hành gia (647 chi tiết),1.559.000₫,https://tiki.vn/lego-creator-31152-do-choi-lap-rap-mo-hinh-phi-hanh-gia-647-chi-tiet-p273804187.html?spid=273804188,27,,,lego
BỘ LẮP RÁP LEGO 40611 CON RỒNG GIÁP THÌN 2024,399.000₫,https://tiki.vn/bo-lap-rap-lego-40611-con-rong-giap-thin-2024-p273909584.html?spid=273909585,28,,,lego
LEGO - 40589 - Sân chơi tàu cướp biển,1.044.050₫,https://tiki.vn/lego-40589-san-choi-tau-cuop-bien-p273467831.html?spid=273467832,29,,,lego
Đồ Chơi LEGO Găng Tay Vô Cực 76191,3.134.050,https://tiki.vn/do-choi-lego-gang-tay-vo-cuc-76191-p103103301.html?spid=212602234,30,,,lego
,,https://tiki.vn/lego-10312-cau-lac-bo-nhac-jazz-10312-2899-chi-tiet-p215891883.html?spid=215891884,31,,,lego
Lego - 40450 - Amelia Earheart Tribute (200 chi tiết),1.215.050₫,https://tiki.vn/lego-40450-amelia-earheart-tribute-200-chi-tiet-p215126229.html?spid=215126230,32,,,lego
BỘ LẮP RÁP LEGO ICONS 10328 BÓ HOA HỒNG LEGO,1.650.000₫,https://tiki.vn/bo-lap-rap-lego-icons-10328-bo-hoa-hong-lego-p273820374.html?spid=273820375,33,,Đã bán 1,lego
LEGO CITY 60412 Đồ chơi lắp ráp Xe và tàu cứu hỏa chuyên dụng (301 chi tiết),899.000₫,https://tiki.vn/lego-city-60412-do-choi-lap-rap-xe-va-tau-cuu-hoa-chuyen-dung-301-chi-tiet-p273795906.html?spid=273795907,34,,,lego
LEGO - 40468 - Taxi Màu Vàng 9(124 Chi Tiết),721.050,https://tiki.vn/lego-40468-taxi-mau-vang-9-124-chi-tiet-p213959754.html?spid=213959755,35,,,lego
,,https://tiki.vn/do-choi-lego-nhiem-vu-tham-tu-cua-canh-sat-bien-60355-p182739412.html?spid=272849892,36,,,lego
LEGO SUPER HEROES 76188 Siêu Xe Người Dơi Đối Đầu Joker (345 chi tiết),1.509.550₫,https://tiki.vn/lego-super-heroes-76188-sieu-xe-nguoi-doi-doi-dau-joker-345-chi-tiet-p87982703.html?spid=146285274,37,,,lego
Lego - 40639 - Tổ Chim (232 chi tiết),759.050₫,https://tiki.vn/lego-40639-to-chim-232-chi-tiet-p248083683.html?spid=248083684,38,,,lego
Đồ Chơi LEGO Lâu Đài Công Chúa Lọ Lem Và Hoàng Tử 43206 (365 chi tiết),2.721.000₫,https://tiki.vn/do-choi-lego-lau-dai-cong-chua-lo-lem-va-hoang-tu-43206-p182739391.html?spid=188379633,39,,Đã bán 3,lego
LEGO NINJAGO 71808 Đồ chơi lắp ráp Chiến giáp lửa của Ka-i (322 chi tiết),899.000,https://tiki.vn/lego-ninjago-71808-do-choi-lap-rap-chien-giap-lua-cua-ka-i-322-chi-tiet-p273803309.html?spid=273803310,40,,,lego
