title,price,link_item,index,discount,sales,category
Bột Thông Cống Sumo Hộp (175g),35.000₫,https://tiki.vn/bot-thong-cong-sumo-hop-175g-p3265075.html?spid=75409552,1,-1%,Đã bán 581,chamsocnhacua
Bột Giặt Lix Extra Hương Hoa 6Kg EB006 - Tẩy Sạch Vết Bẩn Cực Mạnh,130.000₫,https://tiki.vn/bot-giat-lix-extra-huong-hoa-6kg-eb006-tay-sach-vet-ban-cuc-manh-p50256265.html?spid=78956325,2,-15%,Đã bán 34,chamsocnhacua
"SÁP THƠM CHÍNH HÃNG FITIS ,sáp đuổi côn trùng khử mùi kháng khuẩn",15.000₫,https://tiki.vn/sap-thom-chinh-hang-fitis-sap-duoi-con-trung-khu-mui-khang-khuan-p171047242.html?spid=171047243,3,-7%,Đã bán 30,chamsocnhacua
Hộp viên giặt xả MaxKleen 2 trong 1 hương Huyền diệu (20 viên/ hộp),105.000₫,https://tiki.vn/hop-vien-giat-xa-maxkleen-2-trong-1-huong-huyen-dieu-20-vien-hop-p270484224.html?spid=270484225,4,-8%,Đã bán 4,chamsocnhacua
Nước gel tẩy bồn cầu VIM xanh biển diệt khuẩn hương dịu nhẹ chai 880ml,38.000₫,https://tiki.vn/nuoc-gel-tay-bon-cau-vim-xanh-bien-diet-khuan-huong-diu-nhe-chai-880ml-p199947407.html?spid=199947410,5,-12%,Đã bán 20,chamsocnhacua
Bột rửa bát - Ly Somat 1.2kg - Đức,202.900₫,https://tiki.vn/bot-rua-bat-ly-somat-1-2kg-duc-p205293846.html?spid=56991293,6,-55%,Đã bán 156,chamsocnhacua
Miếng keo dán chuột Siêu Dính (có mồi) An toàn khi sử dụng,19.800₫,https://tiki.vn/mieng-keo-dan-chuot-sieu-dinh-co-moi-an-toan-khi-su-dung-p222557212.html?spid=222557214,7,-12%,Đã bán 12,chamsocnhacua
"Dầu gội Dược liệu Nguyên Xuân xanh (Dưỡng tóc, phục hồi hư tổn) 200ml",72.000₫,https://tiki.vn/dau-goi-duoc-lieu-nguyen-xuan-xanh-duong-toc-phuc-hoi-hu-ton-p157168453.html?spid=157168454,8,-10%,Đã bán 6,chamsocnhacua
Nước rửa chén Gift Natural Cám Gạo & Collagen _ Dịu nhẹ và nuôi dưỡng da tay,102.000₫,https://tiki.vn/nuoc-rua-chen-gift-natural-cam-gao-collagen-_-diu-nhe-va-nuoi-duong-da-tay-p134242966.html?spid=272117858,9,-23%,Đã bán 4,chamsocnhacua
Combo 2 Hộp viên giặt xả MaxKleen 2 trong 1 hương Huyền diệu (20 viên/ hộp),195.000₫,https://tiki.vn/combo-2-hop-vien-giat-xa-maxkleen-2-trong-1-huong-huyen-dieu-20-vien-hop-p270484139.html?spid=270484140,10,-12%,Đã bán 3,chamsocnhacua
Gel Khử Mùi Bồn Cầu Gel Thơm Khử Trùng Bồn Cầu Dạng Thạch Hình Bông Hoa Với 7 Mùi Thơm Cho Toilet,13.500₫,https://tiki.vn/gel-khu-mui-bon-cau-gel-thom-khu-trung-bon-cau-dang-thach-hinh-bong-hoa-voi-7-mui-thom-cho-toilet-p198254530.html?spid=198254549,11,-5%,Đã bán 13,chamsocnhacua
Nước rửa chén Sunlight Muối khoáng và Lô hội Can 3.6L,109.000₫,https://tiki.vn/nuoc-rua-chen-sunlight-muoi-khoang-va-lo-hoi-can-3-6l-p137480180.html?spid=137480185,12,-29%,Đã bán 21,chamsocnhacua
Túi Thơm Hương Quế Treo Tủ Quần Áo 100% Hương Tự Nhiên Hapaku,20.000₫,https://tiki.vn/tui-thom-huong-que-treo-tu-quan-ao-100-huong-tu-nhien-hapaku-p248523373.html?spid=248523374,13,-15%,Đã bán 43,chamsocnhacua
Nước Giặt Hữu Cơ Eco-Enzyme FUWA3E Chiết Xuất Từ Dứa An Toàn Cho Da Bảo Vệ Trẻ Em Tốt Cho Sức Khỏe Môi Trường,348.000₫,https://tiki.vn/nuoc-giat-huu-co-eco-enzyme-fuwa3e-chiet-xuat-tu-dua-an-toan-cho-da-bao-ve-tre-em-tot-cho-suc-khoe-moi-truong-p215811362.html?spid=215811366,14,-38%,,chamsocnhacua
SÁP THƠM ĐUỔI MUỖI CHỐNG MUỖI CỰC HIỆU QUẢ THÁI LAN ĐỦ MÀU,54.000₫,https://tiki.vn/sap-thom-duoi-muoi-chong-muoi-cuc-hieu-qua-thai-lan-du-mau-p104850029.html?spid=193002865,15,,Đã bán 34,chamsocnhacua
