title,price,link_item,index,discount,sales,category
"Quần giữ nhiệt nam, quần nỉ nam sinh nhiệt dáng ôm chất đẹp ấm áp",135.000₫,https://tiki.vn/quan-giu-nhiet-nam-quan-ni-nam-sinh-nhiet-dang-om-chat-dep-am-ap-p272557273.html?spid=272557279,1,-20%,,quannam
"Vải may quần tây nam nữ, may vest cao cấp Liên Phương, co giãn tốt, mặc mát, không nhăn- 0020",489.000₫,https://tiki.vn/vai-may-quan-tay-nam-nu-may-vest-cao-cap-lien-phuong-co-gian-tot-mac-mat-khong-nhan-0020-p190856082.html?spid=190856084,2,-20%,,quannam
Quần âu nam hàn quốc màu ghi sáng ADINO vải rayon polyester co giãn không bai không xù dáng công sở ống đứng hơi côn QA131,359.000₫,https://tiki.vn/quan-au-nam-han-quoc-mau-ghi-sang-adino-vai-rayon-polyester-co-gian-khong-bai-khong-xu-dang-cong-so-ong-dung-hoi-con-q05-p195947968.html?spid=195947970,3,,Đã bán 2,quannam
Quần Tây Nam TITISHOP AVN190 Xanh Dương,199.000,https://tiki.vn/quan-tay-nam-titishop-avn190-xanh-duong-p50741631.html?spid=50741637,4,-2%,,quannam
,,https://tiki.vn/quan-tay-0ly-classic-429-vinh-tien-cb1-c488-den-xanh-muoi-tieu-p82461843.html?spid=82461901,5,,,quannam
"Quần jean nam co dãn 4 chiều QJ050 Julido Store, phong cách thời trang hiện đại mẫu mới TOP1",159.000₫,https://tiki.vn/quan-jean-nam-co-dan-4-chieu-qj050-julido-store-phong-cach-thoi-trang-hien-dai-mau-moi-p71153488.html?spid=71153500,6,-10%,Đã bán 176,quannam
Quần dài ống rộng Họa tiết độc lạ Hoa Zumbie Unisex dành cho nam nữ mẫu mới phong cách Đường Phố Siêu Ngầu,76.000₫,https://tiki.vn/quan-dai-ong-rong-hoa-tiet-doc-la-hoa-zumbie-unisex-danh-cho-nam-nu-mau-moi-phong-cach-duong-pho-sieu-ngau-p249254898.html?spid=249254947,7,,Đã bán 1,quannam
Quần short Tây Âu nam (SP test không mua),5.000.000₫,https://tiki.vn/quan-short-tay-au-nam-sp-test-khong-mua-p215261273.html?spid=215261283,8,,,quannam
QUẦN DÀI NAM MỘT MÀU - GOLF TROUSERS FOR MAN - KUZ102,935.750,https://tiki.vn/quan-dai-nam-mot-mau-golf-trousers-for-man-kuz102-p194004459.html?spid=194004469,9,,,quannam
,,https://tiki.vn/quan-short-nam-winfa-p15360071.html?spid=15360084,10,,,quannam
"Quần Jean Nam Quần Bò Nam Rách Gối Màu Đen Trơn, Thời Trang Cao Cấp Mẫu Mới MS05",279.000₫,https://tiki.vn/quan-jean-nam-quan-bo-nam-rach-goi-mau-den-tron-thoi-trang-cao-cap-mau-moi-ms05-p252090744.html?spid=252090748,11,,,quannam
"quần thể thao nam, quần thun thể thao",81.900₫,https://tiki.vn/quan-the-thao-nam-quan-thun-the-thao-p76375290.html?spid=76375292,12,,,quannam
,,https://tiki.vn/quan-shorts-nam-tui-hop-vuong-thoi-trang-p52311749.html?spid=78635386,13,,,quannam
QUẦN ÂU NAM NAM ỐNG CÔN HÀN QUỐC 2018 (ĐEN),122.000₫,https://tiki.vn/quan-au-nam-nam-ong-con-han-quoc-2018-den-p24864576.html?spid=81317828,14,,Đã bán 16,quannam
"Quần âu nam KOREAN cao cấp , dáng slimfit, chuẩn thiết kế Hàn quốc, cực tôn dáng, lịch sự, trẻ trung",116.000₫,https://tiki.vn/quan-au-nam-cao-cap-dang-slimfit-chuan-thiet-ke-cuc-ton-dang-lich-su-tre-trung-p104209062.html?spid=153493887,15,,Đã bán 5,quannam
"BỘ NỈ GAP có mũ chất nỉ bông dày mịn , sét bộ thể thao nam nữ thu đông 2022",170.000₫,https://tiki.vn/bo-ni-gap-co-mu-chat-ni-bong-day-min-set-bo-the-thao-nam-nu-thu-dong-2022-p207343775.html?spid=207343777,16,,,quannam
