title,price,link_item,index,discount,sales,category
"Áo hoodie unisex form rộng chất nỉ ngoại in hình gấu cube, mẫu áo khoác nỉ thời trang thu đông",99.710₫,https://tiki.vn/ao-hoodie-unisex-form-rong-chat-ni-ngoai-in-hinh-gau-cube-mau-ao-khoac-ni-thoi-trang-thu-dong-p193366337.html?spid=193366362,1,-46%,,aokhoacnu
Áo khoác bomber unisex Áo bomber bóng chày ulzzang BLACK A Siêu chất,105.000₫,https://tiki.vn/ao-khoac-bomber-unisex-freeship-ao-bomber-bong-chay-ulzzang-black-a-sieu-chat-p193367443.html?spid=193367451,2,,,aokhoacnu
[ VIDEO ẢNH THẬT ] Áo Khoác Nữ Tai Thỏ GẤU Kiểu Hoodie Có Khóa Kéo Rộng Unisex -Vải Nỉ Chống Nắng Thu Đông,93.000₫,https://tiki.vn/video-anh-that-ao-khoac-nu-tai-tho-gau-kieu-hoodie-co-khoa-keo-rong-unisex-vai-ni-chong-nang-thu-dong-p177643016.html?spid=192168984,3,,Đã bán 2,aokhoacnu
ÁO KHOÁC DÙ BOMBER PHONG CÁCH BÓNG CHÀY MỚI LẠ TÔN DÁNG HOT 2021 KME,92.150₫,https://tiki.vn/ao-khoac-du-bomber-phong-cach-bong-chay-moi-la-ton-dang-hot-2021-kme-p165900890.html?spid=165900939,4,-12%,,aokhoacnu
,,https://tiki.vn/ao-khoac-bong-chay-bomber-nam-nu-form-rong-sieu-hot-b-by-p146512587.html?spid=164314265,5,-48%,,aokhoacnu
Áo Hoodie SKATER BOY Phối Túi Nam NỮ Cặp Đôi - Khoác Nỉ Có Nón Mũ Form Rộng Unisex Hàn Quốc,96.000₫,https://tiki.vn/ao-hoodie-skater-boy-phoi-tui-nam-nu-cap-doi-khoac-ni-co-non-mu-form-rong-unisex-han-quoc-p217462665.html?spid=217462673,6,,,aokhoacnu
Áo sweater logo thêu,115.000₫,https://tiki.vn/ao-sweater-logo-theu-p205233477.html?spid=205233478,7,,,aokhoacnu
"Áo Khoác nữ phom rộng, áo khoác nỉ unisex",96.900₫,https://tiki.vn/ao-khoac-nu-phom-rong-ao-khoac-ni-unisex-p71522638.html?spid=71924573,8,,Đã bán 5,aokhoacnu
ÁO KHOÁC JEAN 2 MÀU TAY DÀI ( dưới 65kg ) damsuong119,199.000,https://tiki.vn/ao-khoac-jean-2-mau-tay-dai-duoi-65kg-damsuong119-p51544288.html?spid=56717736,9,,,aokhoacnu
,,https://tiki.vn/anh-that-ao-len-giu-nhiet-co-3-phan-tay-beo-sieu-xinh-p118152324.html?spid=118152389,10,,,aokhoacnu
ÁO VEST ĐỘC LẠ NHIỀU SIZE _ TB 395,669.000₫,https://tiki.vn/ao-vest-doc-la-nhieu-size-_-tb-395-p64700720.html?spid=64700724,11,,,aokhoacnu
"Áo cardigan len nữ dáng ngắn phong cách Hàn Quốc khóa kéo, chất len mềm mại",179.000,https://tiki.vn/ao-cardigan-len-nu-dang-ngan-phong-cach-han-quoc-khoa-keo-chat-len-mem-mai-p131020016.html?spid=131020028,12,,,aokhoacnu
,,https://tiki.vn/ao-khoac-nhe-ca-tinh-tre-trung_tb-348-4-p108246361.html?spid=108246363,13,,,aokhoacnu
Set áo dạ Tweed cổ nơ kèm chân váy cao cấp sang trọng kiểu hàn quốc nhà Socomo B732022,450.000₫,https://tiki.vn/set-ao-da-tweed-co-no-kem-chan-vay-cao-cap-sang-trong-kieu-han-quoc-nha-socomo-b732022-p206817980.html?spid=206817988,14,,,aokhoacnu
