title,price,link_item,index,discount,sales,category
"This Girl Rules the World, mã G129. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",188.000₫,https://tka.tiki.vn/pixel/pixel?data=eFJFPapXDi4myg_Dpob8i2grIwNCItPJ2-t6Pu05YYg0qcjIIK5DG6Ozi-JyBiSsHKMJJCKe8UW0efvnjw3-8wFIlCIcUq_9qSiOMVftPDTKoDMInmobYCYzrtD-GceeJtr7AkPxi30d4VvDzSjkYm61ZVUhb6JEE3S4D2dWZMD5koylrUNEqPIpDV5wAkzDjUgAouENOGt5eYgWXOEoKWVjbZIaoLNSkuKjUfxHXHsYyOKk_mSEC68z_aCW512klezEX7Qal109PteqDC-pcuLmzp8mB81wemWnRcNK7Jyr0mdo-fPz_LDE5JuuLBPXRzpiToKWogCUU1h9JVgDHhvn168UpHLTITYUL3In8PL9SbLZPS24KU5zt2wYRTJ6oI5xHpsxH9mqg06c5FYSvETKTm3IK5YSI4jBXqwh2lmNmiRZ6GH_PPlpjMQ_YRIwiJmVph8OmhYnhA7uAQHsafOwyAHju9PNXFt0KtHGdge5whjElKj08_iXbeIYECGOOH6Y7MepejKHEwB6eFGRR8BA64YE-DH0IC9FCmGI4kFu-XTAa6roR3zfZZ9-tgnJUw7T-AzvxU23rsSYl9e0nLEe0wL-QUbFZHA4BC0rai6QGMsh5SnbapMXFZ3TtuOEW30wbz1_FFXPSGEm42VCsPTKLwhU37G3-K6iQMNE74DEwcDl2XtdrL0_rDiHjkCoLwOdVXVnhz7EsUrHmY4WikkhFG-BkeazSp6vWzSPD219IzPoXXsDBnVtN283YzWuQOzJmXTXV6wJQXOq16Znqwig6ahMdB7jUyK7Sd5bzhlw8IbMw-Qo_bRUEIDdEFaX9EXGp3bTtkmDmoBgviWethO0h7cCe1hlyxmHgv5AxVTkw_6NyLyvVfC4K9RFIpVHmBtcQttnR2mze9iSFXGuxCMPKMg6GgD9b0-SEe-oosk_3oDDBwPYvHU-7D8ZIFJfXYm1nsfQfRy9GY8sB40mp_bwVbR1bKqmgEoCCcaKc_6RX9VjMX-mJZyYAJmYXoAfKOgRQZ8hq04J7S0cDR-WdgPJAHtvZeiY41LejS5A2ytnCuLXIuSGA3QBYjnJkvpda9Ke22Zv1An4srU96nBBcSNpCqP_pmhwkBp0efpk6d-md5Vic238AvIkoTQnU2WIOmHMMfeSFfoBrF7rR5SptKaH1sUZO8EAhptB8W8EGUa-jbYKNv2dpTe6ibi2K0Ek5C0-kfMb6RsHZ51fyGzwOcT3NmxhjMILx8xUPhO4DzCzf6xpFKcPu_YlCpWBCq55RfZ1OGIE3dJKiD8KqgQ1NbpT0BhHulfQL_Fbjrgn_K6FLlgXc6Xo01n6xjHBO7D9YK1UhrVqlxSlBWuT9XfpgQd5zRpP&reqid=RVRpDkQ0m7rBodER&type=CLICK&pos=1,1,-6%,Đã bán 7,aonu
"Move fast and break things, mã G96. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",69.000₫,https://tka.tiki.vn/pixel/pixel?data=1_4T_2eX67NAslVqcgaNwUQks5qQ2AW1kvY--ZEnDWFopz198bKtoXRY_qRYtTqqsWg3OOaPn3AIllPxxatnlSQp3gE2bdmkLE-ywvvKGL5vV_vDKsFCsDcP0gYHPnHUfUEB9pR4WgByZ0NqGbrxWhhh_9riQ2c5JsjCePPtZhzJaMgxkw_5hnukMsPErYDsnkkk6AjJ8AQ9U9Te65FIh0niRxJgTaViwW6AR0Pe2ngb6tE6YV8qRWIDJ5AwOCCI2Yjk2RVDu4gg01RYGLoghcPKj7-lbFG2A3C-9qNr-WYrCUkERuL7hjWF9kmUv5O0bl0YsGDm5K2NBN4kFLnSXKcb0XtIj3P_Ra-rVJwu4zRAJAHT4C2fIwfIpq4U8-xBy26kTaNfSERAlOpZL2AmqQtckX-msJ0L0zLG5bgMLq0HmBpK_48Em919Cptw-jJyVMNc3Kpio4lgDWEAhDj-I8xlgmmLJBYDKHcsAgQpPtG-WGd8_iqRwBVow-AMfvRnVKa0qZg3nN59YWYTATBYVNNiY0-a-DCQaC7X85GwB-lBydRbyy8f8-xDSrkiywK0c-DLXiCE7SDOkvcg8i-mZSlXK8jgruHFCANy1DSpBd5IHoXoXGQO616-JWyOos_WF6hI9TNbwj6qHyy_xNcX05Lw1enthXiX65pVLp86501ww1FDR4Hz-mU6qUScFgNNZaE20o0XoElXRhSJLTgQcLe9UwBm1aWEr4ovpnyMOKB044NrEyyiwjpIW1turjgLoKoolElNs2W2JdbsNf09JTzc-L5V4iKbLKV9W7MAR6t8ERGU14Hdi0Jc8dHT0SmavcewSy1qses9EuLjTJIImLAG1Yy2CUF-FXmJTOFHcU3PNbq-x1xPOD6P2g0eEhnIso92efzFImGcejRbeV8ZpDzIze8st6ylDq1P_b6fiMHuvlujsAXUfKy0QhVi1LyR_zmTvZtX1v4SFW6PQAqME5CmJiqkES2Ku-bxm5JjTxiv5D520VZrlLHW8KwsKcPODEN-pc7C_l0lF3Bh-5qZqNbvu-_vPn9eX3kRr07ZR7y-l_JsVCAn4b73DUplJ0JpcBCjia-X_3zqGYWp54fYJg2erl9Trpo-BGJXCVnYWHu4UyOxx89FsC366NTNoUj3gnB6pol4cWjolpj08Bx8zvzcGMvwbV5OJDvVVVnzNkDbEJYucI9uwAeQMi_76iUYQ9nKB5xZtxre5_wPjuArzY0uEp4MKaJu-vq2-3wAWmlGr5rEte-6mZygXYaMiR3Fs8DoEdRYUfP8gKV8VwCzTWf_wdAsHsVekvgLSR_PhB3cJs4pVUTr23LnpMH1ZG_efgID93UHhyosmZgr3gmSOHyh05OD-kq1zpB7AUt8Oj0C_6ugjOky&reqid=RVRpDkQ0m7rBodER&type=CLICK&pos=2,2,-38%,,aonu
"Tokyo Japan, mã G34. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",69.000₫,https://tka.tiki.vn/pixel/pixel?data=0JSxMHJbubdB9fVFMUNwMyybTMaqBE5ImI5ldjQYFA1BiiJ6fXJxzgCHJlNzli6pKiiQjHQkljufdwM-9j_I_3OeFQfAoZpUfdQTBKC43sdQrLm-YGR-qBniYkaXlPCL7ToLqDMj2Q-ngrUYW6jaq3UJwxswDWHYUVDkYFeHE-Fm_A8eL6r6rhoarRSShJ7Lb1JMTnEDkbxXM7lvmFF0E7KQwpBr4-96D2MNwjL3ivPS-YGm6wbKgtiNSpeWNfGjcP9XLfXnpXnZBRL06Kzqm68D6NGpxFJRF4jesFL7Zcu_qb4_4ABO09_IyStEMyQDDfvUyMpmLee4u2yyhipFChod7Vet8dpry-wAn1XGk8LJytwB0wuXbgADj_u-bIqFOq5eg90OM7b6p0DqpMQre1oYIJu8LbtkPf-Vzu2CXgqVcAi3m7CnO45123I3WuEndpUyNyQiC0g3kbAcD0w1aiPtr0x1apls-RejzlRB8M1G_9VRUeLyfLrh22IcXX-UIKO8ukrwbL_cschdK0ehWqIztM2ma0zSSmqnQ4Sd0uHnn48o_18Gsuwk_mG6vYxnwAH2VgSfsCP8QwUp5oLZ-rvLneCpI8U0OfRVnSGIrBLOxLIu8Qea7PJVVWosgHvH3ttiMMgUxekk02MxLqKsE82dlq9B4TOTkaq0OxOjT23ZswzyXN8e3FR-MmOCRMttfY96-ny9YUPFWdRUCNRS0Ge6hA88Hp9ITJq4fhoaaOgUsxcyCTzwwPVexhH8Efv6v89YIxAQw8-T3KI2VIO6vvm7yKacb7PQYP_OtEeC4s36kG8LCYioYVYNNc0P_hYsfnCW-dfKhNxfAzWbyWZj-HB201No4XA5saqrS1j56nLM8VbaaG6aF8a6RiKulNO3V43Rd6EUs0NepWQSSo61Ope9t3tLc1a4FNjzsm3g10ql8Hz7OgxpwiJ_y5xMChs5IrSGY1Le_nSsNZ_LYhCiSrMt2HEy4K-6ve43zVwO_nHfUN5Ns60mC7apau9QzQFqG39R2itmRhirtapMpjNXYsUDBI5PnjQ-bnBwrr2kbvbuJtiYkMBKZiickRHTBfXbI_XZZBVg61A6FLlwua2zzCBpUfRzKIGIYDgxT93uE3xcmAJ-x7LpXfyhOnTqDr6t9EG9qU-HLrImG3dCJpDyVDSa-aGloN4awITyG8-oEZuDjbhLxqqdsvbdZkS95pUgObh-WjF845kND3v39Tox-4wxDAgwlIH0VNpvXfGPY4URWUIC3wbKllC2Dhuu1AzDBa30mcbVx3RvpLrwLQwDge6Po653H9QzkJtFY2MwA55w&reqid=RVRpDkQ0m7rBodER&type=CLICK&pos=3,3,-46%,,aonu
"BREAK THE RULES, mã G45. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",69.000₫,https://tka.tiki.vn/pixel/pixel?data=sxbj-YjChX2oRsXOikkpI2OuOL5tKqyJvv1QkN6ScweQA3-7i3Yf6wxLQWvp2PqXTwHJDTLRrMjaB78nd8ZSQXItX5YAWDMsBSftdT4Mba-l21tAzEnsrWrdvTN6c7oGxbBjdouflpCjALIGDM7y0v72p0CANOW_80h2r4DM_HENECl8tDMGNSjCrM4RX00YUXVtZWE_3Tsd5ByibprE4LuQYIMMNNr1appN0iplkpZO4AqcxqNOYROHUthIgavgk7Pm54yYiE2J5NiruJzqpAcTn6kTJNVQIy02EnPL3x2kzLXvAnYDsUj4cdFEkLRmIfAm97zmFoFgSlznluqT768iJSkzOF5qHOxSbs82sUtMnGb-mgSuXwqAuD79PqU3pX0_cwdI8uHfkeQhBikrLWdbbuAuBjjgaXX57_yBZYPI4RxVYKkwz6QF6VN8PoyKAWnXPMK3C3IBv1FoAp3Fu_ikd70NXo3pWUYhUhFn8f-IxVhZIIn1yMhBKc5pQs6GfM1CbV7FqFzrFzI40R66SPHbjMy4GMK4G_B0arApOAGLFmYFkK3prWmn1y4DkCZU47_sY4LHFKvqw6SxpSaf2HPhUK9cfT2oTa0ZVly2T7VZGikKfgI7hIV6gpt8gDQJuhzwe3IGpvrdTcGsRm8lv8nzknrtOx-a07fi0v6eGhBAhifLioIT_sGQzFEEjLq71O2a7vNVmkDFp-vJUcUS8gCcLXBi6YXbQV2WP6ceK8d2VaAdPAMpruxlYmmOK1-EMwrfpmWmKvdYxlKNUXzux2EYC4JirlnCx29mqFgDOrEjB8nmss5er-kWMxaWqHTZWQMdJljJOMgwNOVl9HqTVQ7qliOHPkZMCRJLV6JZc8BMFkzCg9d9mEfjmpWd7xQTjRusJ1HiJE2rXx5NZgBL3WZRwzU7TwVkU_nzJsK7tjywOMq1YYFIlbmrO1DEKHzedTm0b0aR3W7aqYtsSwIBQZ6lSTmOdWCGcMT9HTU47HJHm_L57yMab2RGP7XxnZmdbYLKnaD9X1Pu6sba6kdp62szxEfFW8zzyICRxS6fi9-RYIePXnry0H5dcFKffPXaXJm4FFoklydDuzTr3CjtERYdFVLXp2lXtEF6Si2J8UeQj_FOVxqmSIxIVbTQBz5tY3emZ5QT9tzteIQm88oTlg0Ql_QhGfRcpg4h0rXwrA0EjJMasLxbvJgj73wbVMlPqZzC9BLajvT6_54k3dXoEbkxh_iCFDVn0LD1YslZF64BT4YFaGKHlZeMQFS7wGEaZY9B3lbE1qFiCx7qPSh8gktYOjbyQdF-VkwoVnaGpfstw4QKy_TKKQw&reqid=RVRpDkQ0m7rBodER&type=CLICK&pos=4,4,-71%,Đã bán 11,aonu
"BELIEVE IN YOURSELF, mã G32. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",119.000₫,https://tka.tiki.vn/pixel/pixel?data=LRXe28O1GFwtFguVgpC6l-jj5-Zp8JqHq33YzSuhb_Byr3Q5mTpGZDjLWprLROL4t_EUICjJVBYWA5WzET4y3QwYfPppftnA4Oqffhr_1okwbspTGmoLFG0ByRGu3Lraa1_FCx-kyCXNEEXHNKW4p5vJY6T40B97D3LOongjJFEfIGtvvJAesXBEAC-lNXQVIvhiMRN9PjXewTo91jD981KZJgyUJaP0Qm-xIGWuDg6RuWGiKkVcq-Re1X2L1_1tFMYRGjIaMfLLgJ2L0c2q_DIPTpUjXbwznh6F_xrVwplnPwHAfvBmufm39tHZX_amXkfyJ12pYQT1fzzfGAUZKblS-YXaZFxiHK_37xvX-aHmlxe-t8BwKaYc_8t92cIecc7n0yZM5bgDj-8VWAHPDnhfUXn7k23w7euJKHru86T5GvFLY1EVCuiwCO_RrsJCWpi1R154YOxA3Fvg8aj_KW8IDk0O-iYUzOaPHe1JULl3wNTHbuiu1ypCupX7rc3toUNP-sS3vtOdDZus30BYDzx2DzXu5qh-fuFmh6gfo_B-uW3TSRJUn2jI-RpLhwvMiFfT6DKRfdFIdjM6GmLOwC28Ngth1TGrK_rjQ-jiD9_-v6eN0gMAzaSo7T-78L0DbMqr2hw7C0jn7UOHKi8YVgT18u--6fUX5aJYHf9XtLAYP3PVgDcKaJ3GezeWb23eqfY5oHq8CC6Ah-cX021CpfAB3c8-sbL_5UPFF0jH8omSmR6ZZzZmy2mgzaC1JwD5rDdTjJYOmdZqTvoVTOgIwKGf-9BDcGt0F9JQco-S-VoiOcAuzgLRMJBcUlvDYT3dR5Kq-bmuoTymZ_VFY8POcL9X4xJwYUE_O304p5N5jsBp4h11UHRDV44E5cAYf5pyBIUth1kl_KzGrP8bdoCyP-xWgGqRAjcbglLCWnBiVVU11ioysrPWPS3MSaM0gPnAjAPkSO9r9jvsO6JHtZ3SXqGWq79-1EaI5dL_ekBGj34ke_m2l12QSwELbGTq1l57R12iWfi0f_xjFwUgTVIhSmgylamMDxkffC_pnKnqjhH3eJbxxjDev_n4oaQ6FXmlAGuMtlsz7YxMBRKkJliv-CsTB_vcxHGli2KM5qMWGXzbuazEqCcS6ib3V5-p0ureKF-YmRnh-KvxZMQgm6CflNcnz31HBtsMx2erobqSbrja-3LDV6UKQ8ZQQbl11bI1yq48iy4Od9tepQ0atUwB6TbJztR3yH5sQrb7goJ_k_4psCXoqREGNCAD1q8IUVndjSXubI06_F7Qz_fCPWjsFOezzGhQgnnk6OSrqNYbYQPDfj7-qdzgQUK7SCIjq_z8sg&reqid=RVRpDkQ0m7rBodER&type=CLICK&pos=5,5,-31%,Đã bán 13,aonu
Áo len nữ cổ tròn ngắn tay hiện đại trẻ trung len dệt kim mềm mịn co giãn dán mã VAA0316,139.000₫,https://tiki.vn/ao-len-nu-co-tron-ngan-tay-hien-dai-tre-trung-len-det-kim-mem-min-co-gian-dan-ma-vaa0316-p196378693.html?spid=196378726,6,-37%,Đã bán 60,aonu
Áo len nữ cao cổ dài tay len dệt kim Quảng Châu mềm mịn co giãn mã VAA0348,159.000₫,https://tiki.vn/ao-len-nu-cao-co-dai-tay-len-det-kim-quang-chau-mem-min-co-gian-ma-vaa0348-p204985388.html?spid=204985408,7,-18%,Đã bán 24,aonu
Áo thun nữ MXM cổ tròn form ôm body thun 4 chiều cực tôn dáng thêu chữ ( ANU012 ),87.000₫,https://tiki.vn/ao-thun-nu-co-tron-form-om-body-thun-4-chieu-cuc-ton-dang-theu-chu-anu0012-p273249491.html?spid=55099670,8,-38%,Đã bán 176,aonu
Áo thun tay lỡ form rộng - phông nam nữ cotton oversize - T shirt ONE - 2N Unisex,125.000₫,https://tiki.vn/ao-thun-tay-lo-form-rong-phong-nam-nu-cotton-oversize-t-shirt-one-2n-unisex-p217176777.html?spid=217176792,9,-49%,Đã bán 154,aonu
Áo Thun Ba Lỗ Nữ Trơn Sát Nách Thun Cotton 4 Chiều SN102 SALLY BOUTIQUE,19.000₫,https://tiki.vn/ao-thun-ba-lo-nu-tron-sat-nach-thun-cotton-4-chieu-sally-sn102-p197743064.html?spid=271433901,10,-14%,Đã bán 99,aonu
