title,price,link_item,index,discount,sales,category
GIÁ XƯỞNG - Áo dài truyền thống gấm Thái Tuấn màu đỏ,69.000₫,https://tiki.vn/gia-xuong-ao-dai-truyen-thong-gam-thai-tuan-mau-do-p108290405.html?spid=108291365,1,,Đã bán 3,botrangphuc
Áo Dài Cách Tân Thiết Kế In Hạc Và Đính Hoa Nổi Cao Cấp- Áo Dài may sẵn Nhã Phương Bridal,1.498.000₫,https://tiki.vn/ao-dai-cach-tan-thiet-ke-in-hac-va-dinh-hoa-noi-cao-cap-ao-dai-may-san-nha-phuong-bridal-p131898233.html?spid=177945960,2,,,botrangphuc
ÁO DÀI TRUYỀN THỐNG IN HOA THỦY TIÊN CAO CẤP - KHÔNG KÈM QUẦN,375.000₫,https://tiki.vn/ao-dai-truyen-thong-in-hoa-thuy-tien-cao-cap-khong-kem-quan-p138362554.html?spid=138362614,3,,Đã bán 17,botrangphuc
Jumpsuit Dài Tay Cánh Tiên Ren Kiểu Đồ Bay Dạo Phố - Thời Trang Công Sở GOTI 3262,319.000,https://tiki.vn/jumpsuit-dai-tay-canh-tien-ren-kieu-do-bay-dao-pho-thoi-trang-cong-so-goti-3262-p60160090.html?spid=60160094,4,-1%,,botrangphuc
,,https://tiki.vn/ao-dai-co-tru-gan-hoa-theu-d05-p152997927.html?spid=152997933,5,-5%,,botrangphuc
Vải may áo dài in 3D họa tiết Sen Hạc,250.000₫,https://tiki.vn/vai-may-ao-dai-in-3d-hoa-tiet-sen-hac-p201701316.html?spid=201701318,6,,,botrangphuc
"đồ bộ mặc nhà cho người già cao tuổi, bộ mặc nhà tay cộc quần dài nữ trung niên",249.000₫,https://tiki.vn/do-bo-mac-nha-cho-nguoi-gia-cao-tuoi-bo-mac-nha-tay-coc-quan-dai-nu-trung-nien-p252725541.html?spid=252725552,7,,Đã bán 3,botrangphuc
SET ÁO SƠ MI LỤA BIG SIZE KÈM QUẦN PHI TAPA,295.000₫,https://tiki.vn/set-ao-so-mi-lua-big-size-kem-quan-phi-tapa-p181682585.html?spid=181682596,8,,,botrangphuc
Set bộ đồ nữ áo xanh quần trắng siêu xinh thời trang BANAMO FASHION 193 (có bán rời),80.000₫,https://tiki.vn/set-bo-do-nu-ao-xanh-quan-trang-sieu-xinh-thoi-trang-banamo-fashion-193-co-ban-roi-p152874780.html?spid=152874852,9,,,botrangphuc
,,https://tiki.vn/do-lam-di-chua-phap-phuc-phat-giao-lhn01-p107037956.html?spid=107038168,10,,,botrangphuc
Đồ Lam Đi Chùa # Lãnh Tụ Nam Thêu 3 Túi # Đồ Bộ Nam # Quần Áo Nam,195.000₫,https://tiki.vn/do-lam-di-chua-lanh-tu-nam-theu-3-tui-do-bo-nam-quan-ao-nam-p254100741.html?spid=254103826,11,,Đã bán 1,botrangphuc
ĐỒ LAM ĐI CHÙA # ĐỒ ĐI CHÙA # PHÁP PHỤC PHẬT GIÁO # BÀ BA GẤM,240.000,https://tiki.vn/do-lam-di-chua-phap-phuc-phat-giao-ba-ba-gam-p107038225.html?spid=107038434,12,,,botrangphuc
,,https://tiki.vn/vai-may-ao-dai-in-3d-hoa-tiet-lap-the-hoa-p201701361.html?spid=201701364,13,,,botrangphuc
SALE ÁO DÀI CÁCH TÂN GẤM THÁI TUẤN,99.000₫,https://tiki.vn/sale-ao-dai-cach-tan-gam-thai-tuan-p108288795.html?spid=108289138,14,,,botrangphuc
"Áo Blouse NỮ dài tay, dáng dài ngang gối loại Thô Cotton cao cấp dành cho Bác sĩ, Phòng thí nghiệm, NV Y tế",149.000₫,https://tiki.vn/ao-blouse-nu-dai-tay-dang-dai-ngang-goi-loai-tho-cotton-cao-cap-danh-cho-bac-si-phong-thi-nghiem-nv-y-te-p196184548.html?spid=196184585,15,,,botrangphuc
ÁO DÀI BÀ SUI MÀU HỒNG DÂU - ẢNH THẬT 100,630.000₫,https://tiki.vn/ao-dai-ba-sui-mau-hong-dau-anh-that-100-p195213291.html?spid=195213306,16,,,botrangphuc
HCM]Áo dài in 3D vol 4 tà cao cấp AD029- Big size - Lady Fashion - Khánh Linh Style,210.000,https://tiki.vn/hcm-ao-dai-in-3d-vol-4-ta-cao-cap-ad029-big-size-lady-fashion-khanh-linh-style-p244468642.html?spid=244470135,17,,,botrangphuc
,,https://tiki.vn/ao-dai-hoa-tiet-la-ombre-hong-tre-trung-thanh-lich-ton-dang-lua-habutai-cao-cap-k76-p185926961.html?spid=185926991,18,,,botrangphuc
Đồ Lam Đi Chùa # Bà Lai Thêu Lụa Pháp Cao Cấp # Đồ Bộ Nữ -# Quần Áo,250.000₫,https://tiki.vn/do-lam-di-chua-ba-lai-theu-lua-phap-cao-cap-do-bo-nu-quan-ao-p254100885.html?spid=254103509,19,,Đã bán 6,botrangphuc
Áo dài cách tân in hoa sen cao cấp - KHÔNG KÈM QUẦN,357.500₫,https://tiki.vn/ao-dai-cach-tan-in-hoa-sen-cao-cap-khong-kem-quan-p142258494.html?spid=142258542,20,,Đã bán 3,botrangphuc
GIÁ XƯỞNG - Áo dài cách tân vải nhung phối tay ren,380.000₫,https://tiki.vn/gia-xuong-ao-dai-cach-tan-vai-nhung-phoi-tay-ren-p108287127.html?spid=108287149,21,,Đã bán 1,botrangphuc
N03 Áo dài nhung cao cấp đính hạt xoàng cao cấp áo dài trung niên áo dài cho mẹ cao cấp,1.250.000₫,https://tiki.vn/n03-ao-dai-nhung-cao-cap-dinh-hat-xoang-cao-cap-ao-dai-trung-nien-ao-dai-cho-me-cao-cap-p208741322.html?spid=208741351,22,,,botrangphuc
Set yếm Linen bột Hàn premium nách khoét sau cúc bọc kèm quần sóc trẻ trung - Be muối tiêu,329.000₫,https://tiki.vn/set-yem-linen-bot-han-premium-nach-khoet-sau-cuc-boc-kem-quan-soc-tre-trung-be-muoi-tieu-p262784718.html?spid=262784724,23,,,botrangphuc
ÁO DÀI TRUYỀN THỐNG IN HOA NHÍ 05 CAO CẤP - KHÔNG KÈM QUẦN,400.000₫,https://tiki.vn/ao-dai-truyen-thong-in-hoa-nhi-05-cao-cap-khong-kem-quan-p138343075.html?spid=138343109,24,,Đã bán 19,botrangphuc
Đồ Lam Đi Chùa #Đồ Phật Tử #Pháp Phục Phật Giáo,207.000,https://tiki.vn/do-lam-di-chua-do-phat-tu-phap-phuc-phat-giao-p107036266.html?spid=107037329,25,,Đã bán 3,botrangphuc
,,https://tiki.vn/jumpsuit-nu-tinh-kieu-jumpsuit-dai-hoa-tiet-goti-3179-p49098032.html?spid=49098036,26,,,botrangphuc
Bộ len QC cao cấp,499.000₫,https://tiki.vn/bo-len-qc-cao-cap-p200560806.html?spid=200560808,27,,,botrangphuc
Bộ đồ nữ dài tay May 10 mã 060223028TĐL1 1,390.000₫,https://tiki.vn/bo-do-nu-dai-tay-may-10-ma-060223028tdl1-1-p273411085.html?spid=273411091,28,,,botrangphuc
Áo dài cách tân may sẵn (kèm váy),365.000₫,https://tiki.vn/ao-dai-cach-tan-may-san-kem-vay-p176052380.html?spid=176052420,29,,,botrangphuc
"Quần Áo Đi Chùa # Bà Ba Lụa Gấm - 1 Cái Quần Trắng,Size M- 54kí Trở Lại",55.000₫,https://tiki.vn/quan-ao-di-chua-ba-ba-lua-gam-p254099032.html?spid=254104995,30,,,botrangphuc
,,https://tiki.vn/set-do-bra-den-hang-thiet-ke-sexy-goi-cam-thoang-mat-p171329168.html?spid=171329370,31,,,botrangphuc
Áo dài xưa dáng suông - màu xanh rêu đậm,166.567₫,https://tiki.vn/ao-dai-xua-dang-suong-mau-xanh-reu-dam-p219458327.html?spid=219458646,32,,,botrangphuc
Vải may áo dài in 3D họa tiết Hình Tròn độc lạ,249.000₫,https://tiki.vn/vai-may-ao-dai-in-3d-hoa-tiet-hinh-tron-doc-la-p201701650.html?spid=201701683,33,,Đã bán 1,botrangphuc
Vải Áo Dài In Họa Tiết Kháng Khuẩn Khổ 1m50 Dài 2m1 | ASBR533039TETE,664.000₫,https://tiki.vn/vai-ao-dai-in-hoa-tiet-khang-khuan-kho-1m50-dai-2m1-asbr533039tete-p217481977.html?spid=217481978,34,,,botrangphuc
SALE - ÁO BÀ BA HOA TÍM (có bigsize),149.000,https://tiki.vn/sale-ao-ba-ba-hoa-tim-co-bigsize-p108288449.html?spid=108289604,35,,,botrangphuc
,,https://tiki.vn/ao-dai-may-san-4-ta-to-ep-cao-cap-anh-tu-chup-p176056251.html?spid=176056269,36,,,botrangphuc
"Set bộ công sở Linen Áo blazer tay cộc kèm quần sóc trẻ trung, chất vải Linen Bột Premium mềm mát, thích hợp hè thu (Be muối tiêu)",420.000₫,https://tiki.vn/set-bo-cong-so-linen-ao-blazer-tay-coc-kem-quan-soc-tre-trung-chat-vai-linen-bot-premium-mem-mat-thich-hop-he-thu-be-muoi-tieu-p262785413.html?spid=262785421,37,,Đã bán 2,botrangphuc
