title,price,link_item,index,discount,sales,category
Chân Váy Thời Trang Kiểu Đuôi Cá CVO01 MayHomes Chân Váy Midi Chất Liệu Ren,98.770₫,https://tiki.vn/chan-vay-thoi-trang-kieu-duoi-ca-cvo01-mayhomes-chan-vay-midi-chat-lieu-ren-p167434817.html?spid=167434818,1,-17%,Đã bán 4,chanvay
Váy nữ thời trang JUNO Mini Denim Skirt JNVLU011,446.000₫,https://tiki.vn/vay-nu-thoi-trang-juno-mini-denim-skirt-jnvlu011-p270725522.html?spid=270725528,2,-38%,,chanvay
Chân váy ngắn chữ A có lót quần lưng cao đắp vạt kiểu công sở,195.000₫,https://tiki.vn/chan-vay-ngan-chu-a-co-lot-quan-lung-cao-dap-vat-kieu-cong-so-p174926757.html?spid=174926759,3,-40%,,chanvay
OLV - Chân váy Carly Silk Skirt,420.000,https://tiki.vn/olv-chan-vay-carly-silk-skirt-p272997064.html?spid=272997066,4,-37%,,chanvay
,,https://tiki.vn/chan-vay-xoe-li-truoc-de-leah-den-p5530487.html?spid=5530495,5,,,chanvay
Croptop tay dài xanh chân váy đen basic ôm eo cột dây tôn dáng chất thun trendy thời trang nữ carrotxinhdep,208.000₫,https://tiki.vn/croptop-tay-dai-xanh-chan-vay-den-basic-om-eo-cot-day-ton-dang-chat-thun-trendy-thoi-trang-nu-carrotxinhdep-p193579726.html?spid=193579734,6,,,chanvay
Chân váy bút chì phối nút sang trọng,162.000₫,https://tiki.vn/chan-vay-but-chi-phoi-nut-sang-trong-p25812831.html?spid=25812841,7,,Đã bán 127,chanvay
DOTTIE - Chân váy thun vải sần - S0179,329.000₫,https://tiki.vn/dottie-chan-vay-thun-vai-san-s0179-p269890007.html?spid=269890013,8,,,chanvay
"Chân váy dập ly xếp ly công sở dáng dài, váy cao cấp",199.000,https://tiki.vn/chan-vay-dap-ly-xep-ly-cong-so-dang-dai-vay-cao-cap-p101858428.html?spid=101858671,9,,,chanvay
,,https://tiki.vn/chan-vay-cong-so-phoi-nut-cao-cap-vay-xep-ly-dang-but-chi-dai-hang-thiet-ke-chat-vai-co-gian-tot-vannhshop-cv0073-p178329620.html?spid=178329622,10,,,chanvay
Chân Váy CCHAT Bổ Kiểu Xòe Rủ Chất Tuytsi Cao Cấp 53CDS2015XT,259.000₫,https://tiki.vn/chan-vay-cchat-bo-kieu-xoe-ru-chat-tuytsi-cao-cap-53cds2015xt-p262046624.html?spid=262046628,11,,,chanvay
Chân váy xếp ly trắng dài midi (Loại 1),250.000,https://tiki.vn/chan-vay-xep-ly-trang-dai-midi-loai-1-p124243669.html?spid=124243688,12,,,chanvay
,,https://tiki.vn/chan-vay-tennis-caro-hang-nhap-cao-cap-7-mau-co-clip-anh-that-co-size-lon-p106813583.html?spid=106813639,13,,,chanvay
"Chân váy công sở , dáng đuôi cá",198.900₫,https://tiki.vn/chan-vay-cong-so-dang-duoi-ca-p172918163.html?spid=172918192,14,,Đã bán 4,chanvay
Chân Váy Đen 3 Nút Vàng EDINI - V360,450.000₫,https://tiki.vn/chan-vay-den-3-nut-vang-edini-v360-p118196359.html?spid=118196363,15,,,chanvay
Chân váy chữ A nữ Callia Shj (Xám),339.000₫,https://tiki.vn/chan-vay-chu-a-nu-callia-shj-xam-p122241073.html?spid=122241075,16,,,chanvay
Chân Váy Galice,135.000,https://tiki.vn/chan-vay-galice-p14837910.html?spid=14837916,17,,,chanvay
,,https://tiki.vn/vay-luoi-dang-xoe-hoa-tiet-chan-dep-vay52-p55174839.html?spid=55174841,18,,,chanvay
"Chân váy bút chì phối khuy, chất Linen bột Premium",199.000₫,https://tiki.vn/chan-vay-but-chi-phoi-khuy-lahstore-chat-linen-bot-premium-p204374516.html?spid=204374518,19,,,chanvay
CHÂN VÁY ĐUÔI CÁ TÀ CHÉO,135.000₫,https://tiki.vn/chan-vay-duoi-ca-ta-cheo-p137479117.html?spid=137479130,20,,Đã bán 2,chanvay
Chân váy học sinh xếp ly ngắn# chân váy học sinh,59.000₫,https://tiki.vn/chan-vay-hoc-sinh-xep-ly-ngan-chan-vay-hoc-sinh-p253392754.html?spid=253392764,21,,,chanvay
Chân váy tennis xếp li vải tuyết mưa ( ảnh thật),95.000₫,https://tiki.vn/chan-vay-tennis-xep-li-vai-tuyet-mua-anh-that-p149465606.html?spid=149466025,22,,,chanvay
Chân váy xếp ly 4 khuy thời trang 5334,83.000₫,https://tiki.vn/chan-vay-xep-ly-4-khuy-thoi-trang-5334-p192427696.html?spid=192428868,23,,Đã bán 1,chanvay
Chân váy vải mềm mại dễ thương free size VAY19,185.000₫,https://tiki.vn/chan-vay-vai-mem-mai-de-thuong-free-size-vay19-p76045124.html?spid=76045126,24,,Đã bán 14,chanvay
Chân váy hai màu nơ đỏ,299.000,https://tiki.vn/chan-vay-hai-mau-no-do-p271135314.html?spid=271135322,25,,,chanvay
