title,price,link_item,index,discount,sales,category
Đầm Jean Suông Phối Túi TD233,198.000₫,https://tiki.vn/dam-jean-suong-phoi-tui-td233-p14948568.html?spid=56688121,1,-12%,Đã bán 100,damnu
ĐẦM CỔ VUÔNG TAY PHỒNG SANG CHẢNH,172.000₫,https://tiki.vn/dam-co-vuong-tay-phong-sang-chanh-p40909188.html?spid=40909210,2,-29%,Đã bán 19,damnu
"Đầm suông form rộng 2 túi sườn, thích hợp mùa hè, thời trang trẻ, phong cách Hàn Quốc (Vàng)",189.000₫,https://tiki.vn/dam-suong-form-rong-2-tui-suon-lahstore-thich-hop-mua-he-thoi-trang-tre-phong-cach-han-quoc-vang-p46626241.html?spid=58379960,3,,Đã bán 40,damnu
"ĐẦM DỰ TIỆC VOAN Ý SANG TRỌNG , TÔN DÁNG , CHE KHUYẾT ĐIỂM , DÀNH CHO CÁC QUÝ CÔ / SP CÓ ĐỦ SIZE KME FASHION",125.000,https://tiki.vn/dam-du-tiec-voan-y-sang-trong-ton-dang-che-khuyet-diem-danh-cho-cac-quy-co-sp-co-du-size-kme-fashion-p165904127.html?spid=165904278,4,-39%,,damnu
,,https://tiki.vn/vay-yem-jean-theu-chu-playful-youth-d795-p197162312.html?spid=197162314,5,,,damnu
(HÀNG SẴN) Váy Đầm Trung Niên Hai Mảnh Cho Mẹ VH13 - Hàng Quảng Châu Cao Cấp,355.000₫,https://tiki.vn/hang-san-vay-dam-trung-nien-hai-manh-cho-me-vh13-hang-quang-chau-cao-cap-p248931707.html?spid=263294864,6,,Đã bán 1,damnu
"Đầm suông linen cổ sơ mi 2 túi sườn trẻ trung, thời trang hè thu AH61",263.000₫,https://tiki.vn/dam-suong-linen-co-so-mi-2-tui-suon-tre-trung-thoi-trang-he-thu-ah61-p181438490.html?spid=181438494,7,,Đã bán 3,damnu
OLV - Đầm Carmella Embro Dress,790.000₫,https://tiki.vn/olv-dam-carmella-embro-dress-p273311582.html?spid=273311584,8,,,damnu
Đầm vintage caro tím dáng dài,169.000,https://tiki.vn/dam-vintage-caro-tim-dang-dai-p129260000.html?spid=129260006,9,,,damnu
,,https://tiki.vn/dam-xoe-co-tim-tay-vol-bong-vai-p198978726.html?spid=198978728,10,,,damnu
Váy dly cổ yếm tết lụa hồng san hô,1.550.000₫,https://tiki.vn/vay-dly-co-yem-tet-lua-hong-san-ho-p197572111.html?spid=197572112,11,,,damnu
"váy suông nữ, đầm suông dài tay cổ tim xẻ tà chất len gân 2 màu",125.000,https://tiki.vn/vay-suong-nu-dam-suong-dai-tay-co-tim-xe-ta-chat-len-gan-2-mau-p141529954.html?spid=141529958,12,,,damnu
,,https://tiki.vn/149-dam-2-day-den-cham-bi-trang-p165758953.html?spid=165758955,13,,,damnu
Đầm hai dây nhún tầng duyên dáng,175.000₫,https://tiki.vn/dam-hai-day-nhun-tang-duyen-dang-p185594558.html?spid=185594564,14,,,damnu
(HCM) ĐẦM XÒE NỮ SANG CHẢNH QUÝ PHÁI - SÀNH ĐIỆU HÀN QUỐC CHO CÁC CHỊ EM,150.000₫,https://tiki.vn/hcm-dam-xoe-nu-sang-chanh-quy-phai-sanh-dieu-han-quoc-cho-cac-chi-em-p201882349.html?spid=201882387,15,,,damnu
"VÁY ĐI CHƠI, VÁY BABYDOLL, VÁY SUÔNG JEAN CỔ TRÒN SÁT NÁCH TÚI KIỂU CỰC HOT",165.000₫,https://tiki.vn/vay-di-choi-vay-babydoll-vay-suong-jean-co-tron-sat-nach-tui-kieu-cuc-hot-p271319726.html?spid=271319730,16,,,damnu
"VÁY ĐI CHƠI, VÁY BABYDOLL CỔ BÈO LOANG DẬP LY CỰC HOT",160.000,https://tiki.vn/vay-di-choi-vay-babydoll-co-beo-loang-dap-ly-cuc-hot-p270878403.html?spid=270878409,17,,,damnu
,,https://tiki.vn/vay-di-choi-vay-suong-vay-jean-sat-nach-phoi-do-cuc-tre-trung-p270878296.html?spid=270878297,18,,,damnu
Đầm tay xếp chống-NOLA DRESS SYO D4220005,889.000₫,https://tiki.vn/dam-tay-xep-chong-nola-dress-syo-d4220005-p161411990.html?spid=161412053,19,,Đã bán 5,damnu
Đầm tay bồng hoa hồng đen cá tính summer 2021,286.000₫,https://tiki.vn/dam-tay-bong-hoa-hong-den-ca-tinh-summer-2021-p86534070.html?spid=86534091,20,,,damnu
ĐẦM SUÔNG HOA TRUNG NIÊN ẢNH THẬT CAO CẤP bt10-1220,480.000₫,https://tiki.vn/dam-suong-hoa-trung-nien-anh-that-cao-cap-bt10-1220-p135536828.html?spid=135536838,21,,,damnu
Đầm thiết kế gấm mềm họa tiết sang trọng cao cấp thanh lịch MIUSTORE D00304T,1.998.000₫,https://tiki.vn/dam-thiet-ke-gam-mem-hoa-tiet-sang-trong-cao-cap-thanh-lich-miustore-d00304t-p222686123.html?spid=222686138,22,,,damnu
Váy cộc tay dáng xòe công sở và dạo phố VAY40,95.000₫,https://tiki.vn/vay-coc-tay-dang-xoe-cong-so-va-dao-pho-vay40-p47463952.html?spid=47463954,23,,Đã bán 1,damnu
Đầm Nữ Xòe Vintage Trễ Vai Thời Trang Chất Vải Mềm Mại,124.000₫,https://tiki.vn/dam-nu-xoe-vintage-tre-vai-thoi-trang-chat-vai-mem-mai-p83156893.html?spid=83156907,24,,Đã bán 1,damnu
