title,price,link_item,index,discount,sales,category
Quần lót nữ thun lạnh iBasic PANW130,49.000₫,https://tka.tiki.vn/pixel/pixel?data=apnOgLIlY1sMkVjGFweH5R8ygSjrJd4z5c399T_o1swQ8q10LlFvhfyYrIGG4yGYGpYo2eCO49tOGOnKqofgr2M5d6k6mj2iQyM8Bfvkx87yWF_4rlNpmsnyNUANJwyyD0yIQvNUELi-g1MAcRGp3n5wsQcz6yhONAz32GRfccqndIuamOWDjG-Qys6LFnrxK1fLOLCZNQevHxhLlcBaZtL2jlTQ94aSu7Ic2kna8b-dghDWm7JU-rqBHx_M43-9pg4tpoHYIXp-8tmQ9_sUuntwdVTHzZaiXovXIdi7MyIvg60NbipWZ-1UK0gIxqcJbom2Tj7ju7NvKc9ZguSh3k5JMGP_Ybt88HtLWRA8qDMRj_hX2fbNGB7Z3vN58RScfGOt5DZOqwHW0jVPmXA_YliWdCFEgESn_drV3WaNEkP4hTt7iSWjSE0kvXRxZxaEhnzYYH7kvSmilErvoLABlQxUU-O7yIhFNBv55CNig9zW_luZeHqld9FfqR76xDyPcy_rBNNfAJSRhmyHiyF0r_5KoYLh7k4GofY4fEr4_7WIivAm7nJqwXFRpwZA09j83b2F6EBrUvDVna0v3VLjyO9EwUcmz9lblmi9MwpHSofD3ymLsCg3xO2f3iM6TAAAXM4xSuur85XaR37mGsTyNQvC1UFm_Q9Elaq9KikyczuWBs6f_zC8yz5BOf0MNwvUmo4ph1as7RIxr-tzi8BQOFXI6u_aB-RbUibABriQ2xoOy9RxhwRz0S7H68I6TL6Nz5TFvFTwC6Gk6yeOxqSSiGw8nWxi35TJIqh7egjntqGcyJ3Kbawp0Q1XNUptT--A0_4eonNlF4v8HIbKQ1W4X57bxsh6GMCiRKVWzkoloe4s2usmR5tSs2BvsOx2pbzxdu9cJuXEH21o-dqWxwYOF9gd-aRVQClVv9Ze4Y2jMrapUQOKtYQbbM9Y1RGJJVHr_B26g3H51S6qUetc53_b1EJJ_r3UlD80oQGQCjIriIj2OTVfAuG-_yRSHHcF0lc3MEAKrLHlJqrLQaJ6GbGgV3lc2yPnCg0ZYHRTu8M&reqid=fCVZxSIoRWGL1Fvx&type=CLICK&pos=41,1,-25%,Đã bán 339,dolotnu
Quần lót nữ không đường may bonding checky iBasic PANW075,119.000₫,https://tka.tiki.vn/pixel/pixel?data=GfaDU_N_VGlx_itHgyMB3guXVc6H3IQhPH0yKIs4DcZ8SfcOZo0nz4R8_avZ6puFwDfVBsH0z_MMss7RWIVb79pqitdM-FxoSztKAn-TMmhdFP4koofoGzzH0B1bFRMAa9weRiKVyrIDMBWo2x7nLLkKghY0-6CwZsuS8RPDY_XL2p3knPUm1fxoa03g_a1C1qiULGbM4lOq_kHzA_ApOAFikcP76ExCe1ZInAZdATvUEQ-v52hl6EzkrVd5DuQHkbB8wYekEQBOiQCGoQEVpi7hvsiEMpqw4fgovBwELm_jE40icTs49JWEhfAk7O_tcwwo3ipWI5t8J5jmdyzIg_DbI88m6pxO9vgXpNZwvQCw_8iTWI_DBogqmc2xOYucC3ex7vR78xG5zkGKaAxBEBn-OVYYuEZH7z9fUAVd3CBVddO7wnrPWN2Y4vEyzJa7lssuVzSoACcEvk6S8SiiI9IKjH2Bx41gR-9d2DDFBSM7GA-q-FQB5hOCt2wOk9DqJGo6Ew-0yw7J5NWs7eta8vIEqS3kXidaDawcsJYKDRuykOwTcvkf4h15tkXOJZ43hTUrUSpUERkV_-QHTX2gHKqy2ZfoiQYkfKgatsvMK5Yf5J-oS3QaKkkh5bAubyxydSRxql4b52HYmKzm9J5NTHqHwkQppVqfr2oX_3OdU0UnG0VyDZD0BfZX9RN6FR27v-l-4SpTsvv6ErClH4FrJdIMxHXf92-D37ZEX58pm4Fh2HS3QbqIVLZiPnZoSqqQyiIEhE6jAzBUkAZ91qNwtEsu4Rf4Jy25HacxaRuECkMTYEa4H3psf-iOHy5_ZsI93LfxjdOaS7uSVylb4rC4MCG_742cx9cZUx1Dk69YQyZggKJ73IBqwlLS7jAQL3Gdr-88hQjg41s5rachpYhxO7hWyT2ivB9EiXzU4Ik22T_iAE1cT6shdkdwBJO89_A0ighgrwhdistEnt7NgPr58K3eeU60aXJTcv5uDHbRqiXrwuTb7umcIZzjUHGyF9-uYnxy6K4PLCPaukVz1b7He7vOYQx9aV25HR44Tg&reqid=fCVZxSIoRWGL1Fvx&type=CLICK&pos=42,2,-33%,Đã bán 60,dolotnu
Set 3 quần lót nữ thun lạnh lưng cao iBasic PANW148,199.000₫,https://tka.tiki.vn/pixel/pixel?data=zIJdSUJlhNtZp5FVz0iE0Pr4CSA5ZjI3Oi8V6-zu5vv6rkxrc4_FgbfuRhd3PHZcnqzFzxjNesFLwINTYeCVQaiB9DWS_XswS6Sopk0HbXZgRqQF7wFXtTqlzS9V7wXZjk1QY2WHtF0M1IKWIeTwEC9UY04y3di0QvlWD3VqTy78Q8HbXmOamjeqPLMLagIfKH418QO9jZhXKg48jQQ2tSpsrb7Usfw0RZcpCvs03Cf90vV4qhHg_j60ysU8SdT6TwS6h355CAeUHAu8uxCP-DgkhwoJh4Z0UQEk2HRYFPE_ZWYZc70ci2sMMj3ziduRRW1nc5YnsGs76ptMXMkwoeGz-cT9hUiR6qEt7bHnX7omdnW5PmmHabCkyoWHIZUmSLwijxqcNVR3BNsXZNHVZMVeii9o_1mYG8G5RfwQYULzZ0fGojTNWPeSId2ihcirXtvUviLgK6m91ribUaAjTCoyoCMHPoUBcIn_VTjr8K9EfY3pBPHfe42fWqhOIXlDnXwrqPufLg0RVMwvQEP1SKJOBZiyd3dSrghoehRa6y6xgs2r3drlejUUCpBi79a0nN6LDgaukUu07C0QHdq6LqWl5X7HxCBB0zTsWMvhKWwwYPVZN9dOarOusU8qJGUrsiB2GK2-4BHvbkqgPB8QZhxrikOIjgG1qqJ-1RWlxapYPYA8LpZRorR8RabYie3krqFq9D3BTQhiHZK5aFjr-rFeTQoKbgZrtFP0psVFfa7tQZCEqf_ePTJWc_9ZTdx4y6b7Vf2Dil5WqnWy15yPf8T2iuLw-ELCyFr94YJ_4t9ku_6SpdJVh8m1TmBCv8D2cKJfqOy9cG6A-d6dgSTgxCtmTUPTVMVXyy0ITDxrT_wxBUQfrJqdiaQFRsfhPa_O3w-Va2aDeJZI4cRfgtZ91IZ6sB1AZEr2LuQbLo0jipqTaXH8J8G7XRjHhuMdDITTA3msIRnMCyQu63_HE3ba4QFx42cQD5QS5ofLlxWvmuZPVZYyVsRan9ZUy0RinrJVk3vsT2xGYymQkVsa0ezJDIyHsEv1Gj01LcgjnUunY2BB_fhcIhiA1-Nt0OM&reqid=fCVZxSIoRWGL1Fvx&type=CLICK&pos=43,3,,Đã bán 12,dolotnu
Hộp 7 cái quần lót nữ thun lạnh iBasic V110,319.000,https://tka.tiki.vn/pixel/pixel?data=gc5Iwai-4YcUF_rZ10txmy5CS0090z2Y_ZmfkdybchmCa3xRjo5F9koGlsFFEXhqAxhQv3RiZXzy9g2poKVCb0IvWdTk0rHl0L944LnrapXAhVO2JYwdu075d4MR1UQ8ep6zWuVbZGzxm17RkVj04CQ17yKNy03PLu6TQ9kD4pkOdtBu4k0Yw9t2Z9ZMGFDs1dY64P4HejL8Vo_0xmhkpWH0usIJi2NPlHQyk6aMX86JR0wwH_cx4aZoKkf97jPeMXcjMY2BtbNKHUFAHDuAYVW_tvxGadezTJrlZ3iN1ycfpcEOJQ_-8uOmdlNcm8v0Nd5ShKkpwmEr8ApUSAs8GE6QgiNdaDQQHaypQdJQfsJY8zFCZBUU5Dzez4YAPBfpsEG6GBiNmeU36P2iJgnVVHjuWhh840UQquD1rahdCT_1N3mbIOSZfB_IBpUhWvZywzK5VfOGRNYmxTsAbfU3ad2T629bReLVn3yXtnWeXQQxsS482THraQDR4nIzs0EfzqT2dFBABZ50aN_0kwlhz0d09i3nr50hXds4xiI4SiGedQLyM7Rt8T_YMSsXcfZJnj3pvZoNioJKrEDYyBnHUzFv0MP9x9l-EMKjy8pnlu1G2Mze9xLAr7uODBt3I8PbV9ZJDteMFqAPmR2ukjj0hYPNLTZJolrP3RLl33PHdJJJ_7y7d-svOcyDE7saoKgUj97g3pOnlf9-mKMr_4TlCWS3kP8ZpKs68vaLqztH0KReJr6ms5uNhjYyEQO5FUhdBOHyt3T-3rAg8J0a7c_cU5Udq2nRXMuwlPRVgaDkcqu6OosnK15nTWayRDkPx1Tp1ugpmDqRBFjUjjpIf4NaGwkA8L29RY4kfk4nTS21V2JVzyikMXR9kvoSJpPY9Z2cdRprpEcKN00EpOQIMqBCgFkA5uDxoDkG9DP1xChi8vWkuHsGAImv6_3jNVuWQ2ovMcZ89d-0BzI73QeGihTje03xRTGDHbxL05_LhJZNm55x0A5FTc8_qvzyQLfVGmspUQiZkAx5kOBFD_XceFsopvEG1zruUW-Ottg&reqid=fCVZxSIoRWGL1Fvx&type=CLICK&pos=44,4,,,dolotnu
,,https://tka.tiki.vn/pixel/pixel?data=iEBgDV-Z2grcAy6v72rf4m_z0GpG0jCYxktN5SjBHDpWmJq0XyBo9DosrEwg_1XKxImTEPztCG_PjV1Laqk6BXoBLy_HjoIMKIOwRi92KtYZpRqDBguJH4fwA72AOqnKi2S4oNssSS8D-cZ9CEEkAB1MRpTl8zjAYFkrpC9iPiKXRbqEve2dNztKlrBLh7mC5cbgMCBqzLG_UIO4_HbxQXblwJOYTTDncfwcaRTLVSxdKw__6-SxCec8mDopH31KU9WHRzmXYdplzlJ0HiNrc7YEDAre5uvFQIM_w_GcA5pO9ljJRsZi7WyOXWE2bA0IYXg09mrTC7h-P5R_-qxPnAerSu8wnmNNUCam53nHOMbHZTNALdqJyusItcAMxafCf4fBFerYWzw3DUiP-tfXKeyE0RgZUKOoQEmJeYP_3a2DlLUfMVqoTnE789CXVhNaKF1pCm1HJkppMNOkHladyekmGDUeIfx4TQatGGhjXGIMGwOkBzQWSQ83vvRgiEJyzGh8_cKWrv2QgdN8L1CI3-OGllEN_3-GCYWzU2AesaMpUGJ2HDnKmUxvLRKIi-y49y_BO-_g-o92zF0BOoq4zaKZCkDup31dTT6Sl-AxlRvvfvbz293DBD84eSrZGvZVQRQQp1cXMijX-3mvB-FA8dxIVyhTBeODTtL5AwyaFKIG-fHvnvXGNCQAlJOLod8eJgXOb7AyBjXw1QB-u7KwgXgkZUPoURsWyEW16JpLdkEBIvf7BrqON2eyPd4IXaFE9iyKIfsY3nZE-oBO-40BVYUbY3tFpc1sEXamMjWvEOZPc_ozya0-EEb78rPZ1yOvMlQa_JTliLY0ZL9sf2dN8i7UY19xMk2_wat6M2L55tUNCiM1kx0M6LhS6Gl-b2ajFgcqhM0Y5_kpYtCxfZKaGQ7duB67JVO5cKmXqIeuTGcrwx3uDHLnfMuPIFrRpGhw2EkqNR-poBK_TLWJvbN_9tIhwzDEV0nbAJLbGAjC3T2FN0Y8c722WIdqMNGNR6v-qfk8NqoWq67pxBjNU8Gtl4vO1z07MXbYW3-h5S8AQ-E&reqid=fCVZxSIoRWGL1Fvx&type=CLICK&pos=45,5,-49%,,dolotnu
"Áo lót không gọng nâng ngực cao cấp, Áo lót nhún nơ thông hơi không gọng sexy thương hiệu BAW TN741",81.000₫,https://tiki.vn/ao-lot-khong-gong-nang-nguc-cao-cap-ao-lot-nhun-no-thong-hoi-khong-gong-sexy-thuong-hieu-baw-tn741-p97758054.html?spid=97758060,6,-11%,Đã bán 748,dolotnu
"Áo Ngực Nữ, Áo Bra Học Sinh Su Lạnh Trơn Có Đệm Mặc Thoáng Mát Thương Hiêu BAW mã AHS2",134.000₫,https://tiki.vn/ao-nguc-nu-ao-bra-hoc-sinh-su-lanh-tron-co-dem-mac-thoang-mat-thuong-hieu-baw-ma-ahs2-p165206693.html?spid=165206695,7,-13%,Đã bán 124,dolotnu
"Hộp 60 Miếng Dán Ngực Giấy Dùng 1 Lần Hình Hoa Siêu Bám Dính Thông Hơi Thoáng Mát (loại 1,video thật) PINKAHA 307",65.000₫,https://tiki.vn/hop-60-mieng-dan-ti-dau-nguc-nhu-hoa-giay-dung-1-lan-hinh-hoa-loai-1-video-that-pinkaha-307-p204644849.html?spid=204644851,8,,Đã bán 170,dolotnu
"Combo 5 Chiếc Quần Lót Nữ Không Đường May Thời Trang iBasic V188, Mềm Mịn, Thoáng Mát - Hàng Chính Hãng",325.000,https://tiki.vn/combo-5-chiec-quan-lot-nu-khong-duong-may-thoi-trang-ibasic-v188-mem-min-thoang-mat-hang-chinh-hang-p51033486.html?spid=51033488,9,-33%,,dolotnu
,,https://tiki.vn/vay-lot-vay-thun-hai-day-dam-lot-p170276357.html?spid=170276377,10,,,dolotnu
