title,price,link_item,index,discount,sales,category
"Quần Nhung Trơn Ống Suông Thời Trang Hàn Quốc Cá Tính, Quần Dài Nữ Ống Rộng Vải Nhung Gân, Quần ống rộng chất nhung tăm có túi sau dễ thương- Quần Cullotes Ulzzang vải Nhung lưng cao,Quần nhung dài ống rộng lưng cao",125.000₫,https://tiki.vn/quan-nhung-tron-ong-suong-thoi-trang-han-quoc-ca-tinh-quan-dai-nu-ong-rong-vai-nhung-gan-quan-ong-rong-chat-nhung-tam-co-tui-sau-de-thuong-quan-cullotes-ulzzang-vai-nhung-lung-cao-quan-nhung-dai-ong-rong-lung-cao-p95059135.html?spid=95059145,1,,Đã bán 3,quannu
Quần jogger nữ chất nhung tăm bo gấu 3 màu năng động mặc thoải mái,130.000₫,https://tiki.vn/quan-jogger-nu-chat-nhung-tam-bo-gau-3-mau-nang-dong-mac-thoai-mai-p138101938.html?spid=201689925,2,,Đã bán 2,quannu
Quần short thun UNISEX Quần short nam nữ QS08,65.000₫,https://tiki.vn/quan-short-thun-unisex-quan-short-nam-nu-qs08-p68960215.html?spid=90743236,3,,Đã bán 10,quannu
Quần dài nữ thời trang HNOSS kiểu ống loe xẻ sườn HNQDA027,299.000,https://tiki.vn/quan-dai-nu-thoi-trang-hnoss-kieu-ong-loe-xe-suon-hnqda027-p215185842.html?spid=215185862,4,-12%,,quannu
,,https://tiki.vn/quan-jean-baggy-nu-ong-xuong-phong-cach-va-ca-tinh-nhat-2021-p199732817.html?spid=199732830,5,-15%,,quannu
Quần jean 9 tất lưng cao có size 26-44 [Freeship khi mua hàng] .Vải dày và co giãn,146.900₫,https://tiki.vn/quan-jean-9-tat-lung-cao-co-size-26-44-freeship-khi-mua-hang-vai-day-va-co-gian-p271320102.html?spid=271320114,6,,Đã bán 1,quannu
Quần Jean Nữ Lưng Cao 2 Nút - Có 3 Màu,149.000₫,https://tiki.vn/quan-jean-nu-lung-cao-2-nut-co-3-mau-p248875334.html?spid=248875340,7,-23%,,quannu
Quần baggy nữ Linen bột Premium dáng lửng cạp khóa trước ArcticHunter,230.000₫,https://tiki.vn/quan-baggy-nu-linen-bot-premium-dang-lung-cap-khoa-truoc-arctichunter-p196596468.html?spid=196596482,8,,Đã bán 8,quannu
Quần giả váy,75.000₫,https://tiki.vn/quan-gia-vay-p111748881.html?spid=111748905,9,,Đã bán 2,quannu
,,https://tiki.vn/quan-tay-baggy-lung-cao-lech-gau-0155-cho-nu-sieu-vong-3-p41517176.html?spid=205348541,10,,,quannu
