title,price,link_item,index,discount,sales,category
"Máy Làm Sữa Hạt Cao Cấp SEKA E500 Chống Ồn, Chống Trào, Dung Tích 1.5L,10 Chức Năng (Model 2023) - Hàng Chính Hãng",890.000₫,https://tiki.vn/may-lam-sua-hat-cao-cap-seka-e500-chong-on-chong-trao-dung-tich-1-5l-10-chuc-nang-model-2023-hang-chinh-hang-p271613407.html?spid=271613408,1,-49%,Đã bán 31,dodungnhabep
"Máy Làm Sữa Hạt Mini Đa Năng 8 in 1 SEKA SK320 PRO 1,2 Lít Lưỡi Dao 10 Cánh - Hàng Chính Hãng",590.000₫,https://tiki.vn/may-lam-sua-hat-mini-da-nang-8-in-1-seka-sk320-pro-1-2-lit-luoi-dao-10-canh-hang-chinh-hang-p270452612.html?spid=270452613,2,-46%,Đã bán 54,dodungnhabep
Nồi Cơm Điện Nắp Gài FJ-NC1808 (1.8 lít) - Màu Ngẫu Nhiên - Hàng Chính Hãng,322.000₫,https://tiki.vn/noi-com-dien-nap-gai-fj-nc1808-1-8-lit-mau-ngau-nhien-hang-chinh-hang-p129842254.html?spid=129842255,3,,Đã bán 344,dodungnhabep
"Nồi lẩu điện 2 ngăn đa năng, nồi lẩu uyên ương dung tích 6L chống dính sôi nhanh siêu tiện dụng - NLD",610.995₫,https://tiki.vn/noi-lau-dien-2-ngan-da-nang-noi-lau-uyen-uong-dung-tich-6l-chong-dinh-soi-nhanh-sieu-tien-dung-nld-p145485280.html?spid=170736458,4,-52%,Đã bán 168,dodungnhabep
,,https://tiki.vn/may-xay-thit-2-luoi-dao-kep-coi-thuy-tinh-nagakawa-nag0812-400w-1-5-lit-hang-chinh-hang-p22095599.html?spid=22095600,5,-53%,,dodungnhabep
Bình Đun Siêu Tốc LocknLock EJK136SLV (1.7 Lít) - Hàng chính hãng,719.000₫,https://tiki.vn/binh-dun-sieu-toc-locknlock-ejk136slv-1-7-lit-hang-chinh-hang-p107872664.html?spid=107872665,6,-41%,Đã bán 492,dodungnhabep
"Máy hút chân không, hàn miệng túi thực phẩm gia đình, hút khô ướt mềm, tặng kèm 10 túi hút chân không - Hàng chính hãng Vinbuy",329.000₫,https://tiki.vn/may-hut-chan-khong-han-mieng-tui-thuc-pham-gia-dinh-hut-kho-uot-mem-tang-kem-10-tui-hut-chan-khong-hang-chinh-hang-vinbuy-p262338392.html?spid=262338396,7,,Đã bán 49,dodungnhabep
Máy đánh trứng tạo bọt cafe mini 2 trong 1 với 3 chế độ dùng pin sạc USB cao cấp,80.986₫,https://tiki.vn/may-danh-trung-tao-bot-cafe-mini-2-trong-1-voi-3-che-do-dung-pin-sac-usb-cao-cap-p88249851.html?spid=186860431,8,-27%,Đã bán 34,dodungnhabep
"Chảo Nồi Lẩu Điện Chống Dính Đa Năng Công Suất 1360W, Nhiều Chức Năng Như Chiên, Xào, Nấu Ứng Dụng Trong Mọi Gia Đình -Hàng Chính Hãng MINIIN",295.590₫,https://tiki.vn/chao-noi-lau-dien-chong-dinh-da-nang-cong-suat-1360w-nhieu-chuc-nang-nhu-chien-xao-nau-ung-dung-trong-moi-gia-dinh-hang-chinh-hang-miniin-p163549718.html?spid=163549719,9,-36%,Đã bán 352,dodungnhabep
,,https://tiki.vn/bep-dien-tu-cam-ung-mat-kinh-sieu-ben-p70637207.html?spid=204330131,10,-44%,,dodungnhabep
Nồi cơm cao tần Toshiba RC-18IX1PV (1.8 Lít) - Hàng Chính Hãng,2.490.000₫,https://tiki.vn/noi-com-cao-tan-toshiba-rc-18ix1pv-1-8-lit-hang-chinh-hang-p57899819.html?spid=58437311,11,-29%,Đã bán 1.7k,dodungnhabep
