title,price,link_item,index,discount,sales,category
Quạt hút âm trần 1 chiều 25W Lifan HT-20 - Hàng chính hãng,259.000₫,https://tiki.vn/quat-hut-am-tran-1-chieu-25w-lifan-ht-20-hang-chinh-hang-p249669058.html?spid=249669059,1,,,thietbigiadinh
Máy hút bụi dạng hộp Panasonic MC-CL609HN49 - Hàng chính hãng,4.650.000₫,https://tiki.vn/may-hut-bui-dang-hop-panasonic-mc-cl609hn49-hang-chinh-hang-p273453672.html?spid=273453673,2,,Đã bán 1,thietbigiadinh
Combo 5 lõi lọc số 2,83.000₫,https://tiki.vn/combo-5-loi-loc-so-2-p43813540.html?spid=50454059,3,,Đã bán 24,thietbigiadinh
Quạt thông gió gắn trần hút ngang cao cấp Tico Luxury HA15TC4 Hàng chính hãng,340.000₫,https://tiki.vn/quat-thong-gio-gan-tran-hut-ngang-cao-cap-tico-luxury-ha15tc4-hang-chinh-hang-p247720855.html?spid=247720856,4,-22%,Đã bán 7,thietbigiadinh
,,https://tiki.vn/khay-chua-nuoc-deebot-ozmo-920-950-t5-n8-pro-hang-chinh-hang-p144504461.html?spid=144504462,5,-54%,,thietbigiadinh
Adaptor sạc pin cho máy cạo râu Philips A00390 - HÀNG NHẬP KHẨU,292.000₫,https://tiki.vn/adaptor-sac-pin-cho-may-cao-rau-philips-a00390-hang-nhap-khau-p155762943.html?spid=155762950,6,-40%,Đã bán 5,thietbigiadinh
Quạt thông gió âm trần Tico TC-25AV5- Hàng chính hãng,260.000₫,https://tiki.vn/quat-thong-gio-am-tran-tico-tc-25av5-hang-chinh-hang-p270463288.html?spid=270463289,7,-19%,Đã bán 1,thietbigiadinh
Quạt trần đèn trang trí hiện đại,1.449.000₫,https://tiki.vn/quat-tran-den-trang-tri-hien-dai-p122347708.html?spid=122347727,8,-76%,Đã bán 8,thietbigiadinh
Máy lọc không khí Daikin tạo ẩm cao cấp MCK55TVM6 - Hàng chính hãng,8.500.000₫,https://tiki.vn/may-loc-khong-khi-daikin-tao-am-cao-cap-mck55tvm6-p188545528.html?spid=188545529,9,-61%,,thietbigiadinh
,,https://tiki.vn/quat-hut-tran-lifan-ht30b-hang-chinh-hang-p729874.html?spid=11427738,10,,,thietbigiadinh
Máy hút ẩm Stadler Form Theo - Hàng chính hãng,5.520.000₫,https://tiki.vn/may-hut-am-stadler-form-theo-hang-chinh-hang-p72514556.html?spid=113575961,11,-38%,,thietbigiadinh
Máy sấy tay 2 chế độ Nóng Lạnh cao cấp,2.920.000₫,https://tiki.vn/may-say-tay-2-che-do-nong-lanh-cao-cap-p263384241.html?spid=263384242,12,-28%,,thietbigiadinh
,,https://tiki.vn/may-uon-toc-cam-ung-vang-chuan-salon-toc-bao-hanh-1-doi-1-p260827133.html?spid=260827143,13,-33%,,thietbigiadinh
Máy hút bụi khô và ướt Karcher WD 3 V Car (New 2022) - Hàng chính hãng,3.790.000₫,https://tiki.vn/may-hut-bui-kho-va-uot-karcher-wd-3-v-car-new-2022-p169761380.html?spid=228944269,14,-23%,,thietbigiadinh
Mạch quạt treo tường vinawind,48.600₫,https://tiki.vn/mach-quat-treo-tuong-vinawind-p207719320.html?spid=207719331,15,,,thietbigiadinh
