title,price,link_item,index,discount,sales,category
"Sữa Bột Anlene Gold Movepro 3X Hương Vanilla (Hộp Giấy 1,2kg)",461.000₫,https://tka.tiki.vn/pixel/pixel?data=XqErSNFygqnMUq0HuBrD6k13ye2yNozsHqIIspuHiVisvEcvg0NkP0eek59LGcC1NGTs-oFIGVzHunNY4S_Xwq4f9woDoytZGOe4CTOmdXalVpQZ2SaZj-ae_8b3NEtdfds3dzAjCuG3tR9ifYQDZJZU8BM4wNs2pCaN-hhwSXoltaSX394JFc2GvJXx9LpxQOuwEK4TxtEQbw8n7e77R5mZF135gLfd9-MRv4lBefd4nyBNCbvFQInnkViAe7Su5lxp3cPJjMMqGqzwcft4COMuO2HtVf7b2VPrtmAGWPymoyiitwVHqY5PjYKogAWMLgZeqIVQUHmh_ULnhqdTRqx4F_YqBsu77RtRxdBiy5_jWy1--lLQGBfjgYCvZYx_rv0NlHECXX2p_iBS3zSXoCgsG007NwWZvmPP07KUSGw8tPWS6o3-vBFDf8OdLNwBdEetImJgG68C83AhXQX6RWegqR_qA3AzKXKJZuQsozvyX7ww63QxVaaPN2m6IjfGC2Uu8B3jC3yOjqqM6TJXksxOpYti_I_jug966BP7KEr8vJyEJPHkul7z1rnJedGrNtItXusNJtTDqfsf5-Zq0CO_Ml0VyISalSKuTROjuagMHE6Xg901uQMBHMBjSfoteAriO_OiNN2efzjMwRiseoRHR8Imlv9FzWNsfHlBjPkJQ5kFC3VETYZsLqJSi_gnfENuautoWhzKctWMZwtTa1FMXO-SpdYmCjsvLEh9khu7IezOvwDKekkHXA5AlLoemSJGsndsiR37dqXZy2kwz6Ivu2ggC2UP9Vd6Ggfk3fENQgyLZTM07kq4wzjJHGvdpAd1msXlKP15_ycugMmlXz83e7yxNCS4YRCaW8mDWQlDjktyQ8_kgHqeEQL2xdE_VX44OSXMRg0o39Ksh4fn335Rsuh6mzMcp4ZtRc6wRCr97wS6osjkOIPtLaJyWkwPOs41-k_XiGrMOV3I01JriItg3c2kqQAHDQelU-VDyRNMHtYDx2zPkxG0HYrZqzi08MMrvlmzlhFvr5NK-pnf7eYWaRrx1rJ_frqP98TMOqcvG9i286MrRoD_4Nuc8g_Itz4fLTe9lUeOng&reqid=lK4qn2RJza4lqGN3&type=CLICK&pos=1,1,-6%,Đã bán 2.2k,dinhduongnguoilon
Sữa Bột Abbott Glucerna Vani 850g,834.000₫,https://tka.tiki.vn/pixel/pixel?data=MuVMmUUBZEFrqihx2lRcBznqLUPGIQ_ydYaoMPG_tRy8hxXjfX-0qD89oDrWe4wUMK-hWuO41OydAFOKwvoSeEawzuGwrCdB7J09QJQpZ6b2lgVmvM94xQk66KsfRY7nwRJwrwtAKaN_-sFIQsnwqjmwEXtO_LQOBGzi6s6PBTWvmIuqpLpS-NUwXEY-cxcai2bB5Hq95AnVwVGKV6T8mcjHkS04J57nZHvKF77sTNq9i0ZJDZLNLUgEq3JfQT1rlVYlDoRGY0VvEMDzlnRFYUgaAGNpu7g_DnsLH3VmpJIsVcjUu8y8DSy9JE3lOqPQZPifH8K0AA5y08b5knOdMpumCUVUYW2PxDEfG7qw4Eb8kLYS9LhFer2Rl8X6UOUT8WqlxhSRI4yUybUZYusWCi4oJHDeAvM5Ys5__Slk-23fL1Z82Ht2JLZb1HqX5H_Jv3Ea-pFltsy6dwM20srbXaCU1fEPdZRFs-L24TS_6ZtwZw9f8jRDA-3cK1FMgMAjHE46Y9BMd-u1JPiBJneGJlRMUTEtZ--ofBH42PecuHT6dPz9B9nwns4829R4i5CNdx7tMDcPNvt48OqJgcQWzbdcaaOjE4kiwhM2Ce4V2cwucthta7rBHCy12RqGrBYMl5xKHqjPWdW0x9-S8ipEM2EvNTRY_Y8RoV-PJvYAIpuAlgfMh00oeKeH-6wZhoRekfdC7BpAU8fO0AUSdsGoEuvDMcZPYxQvNHBCpjqoeCAwLQPWYUVwtwHGcTBKvxqEFFvrqkwU5OPqzJpNAw9cCj6KBMhlVftCUdAyFPLl-BNHP78D1Kgq5F7dHKkJxuUB3F44QK1ftehWtPu5PciqzpscK5-blNV2w-u9AVNDCHdMr1XJzCU3Lt5e7oT_l8z3lx7_5OffEKXq042spQkpU5Nu95R96rEC6NfX__Nt9uDUa6hG99UmuckAqSfG1yoi2e49xDb82vejqkGVROefGyFDLDDpPbRT_EoKlm9KQBam7VE5LwOOKZtBZ2ME1IT0NbzRjO1WM4zhAaxJZheYpZbk5jMJ9g&reqid=lK4qn2RJza4lqGN3&type=CLICK&pos=2,2,-30%,Đã bán 5k+,dinhduongnguoilon
Sữa Bột Anlene Gold Movepro 3X Hương Vanilla (Hộp Thiếc 800g),377.000₫,https://tka.tiki.vn/pixel/pixel?data=z-7rD5FoiS2Gc94THTHSXozyMW-nCt6jx0BZCxkqSf0ae1U5waByLDfNESxnZCtzL2CcRbQQDHGyloEnpxoTr4uIlWxiwstMlDCRrGwjSf7DjRQxCNPZTguPAygPA8oHiytFE25kax7Pu6KBgQHQAOOn8725bwEln4WP6kCKRXZBBAVnyagv1ZcpRDoXjW0bOsOAA_Lja60KOwHWGnepnwLTkuYMNSGB1WIzzDx30-zbAW84TWQfOR2aI7t6_7bo1TIEMN05IFJ1seUiB4dbDV4gdBCHMJiqzSR9faZQFwrehOYFLivQcxVX7FLhrmF4BawDkvgELWGqOYhcdIV84JbQZhm_4J9U74lOin6qvncVpV0v9spIUuHT1SMtGz3UgWiT1T4YUkIV8qEO_OaV77OoGy2rfIL7MOXGrryDF-GFrvbvA_yuyWseEH-NxxHFioZTOh1GOtWoSOquVioJDOGHmN6e52zTYwc6HG94rIcYlo0X4u7GqXvVKf4d71Ypkm1wtL1uhNST-OOZ6mh2jmUROs_VHKk0K_8ca_feGxm1InO3jCmiOU3FHTXku-8WoSye8Ef726z9bXppdj1KygG6uJpIZTFhi2DuL_Jv_zskkl2r4rZdbExxqxnHGrb3nP73ATcUJ6k_AS_w7kO_C1a3zc5fWw9BbtMRHJBLEd3K6v4dbI3b5AHnCJOhcxhGujcGEsUkGjQqa1CPRxV6FJxhPjKYnWnRevI6EjkGsyOGphgdR1B_r94fG7nP4rWAkDKNyNSnPViLOPkXxlIsPficHzRumKqR2SPCzV_cksP68UyFlRLUuKW8IFjmzvHRSxlj-lh5tOstShFl44iBJFVQMJHT3q5NVlbdiDWqU6lhupSfr2xbXejcDLPmrF0fha_aFVj_KOxBptJcuz5w53PCb1mivxu_1bumysYlFVZLVP0a2tqEeYx4ATc7A2vGgIkCMhff88h1Y6_fovuHHMxCPN5ftFncaxXD5aZBR_qO5cFAYQNvOglts-FkWMff7twdLJ-ZPN3CfHlpkyz5YnWoZn0F5i9NRIQsFMq3soxLyMJL6g-kBaLhGGBt4HWOFfXRXB2t&reqid=lK4qn2RJza4lqGN3&type=CLICK&pos=3,3,-8%,Đã bán 5k+,dinhduongnguoilon
[MỚI] Sữa bột bổ sung dinh dưỡng Anlene Total 10 lon 400g,325.000₫,https://tka.tiki.vn/pixel/pixel?data=x_IArKzf7HaYJgdab47TZvDHZOkEdM8mXW5Xcfnm-0EbVVJJCPIc_K0MJ183p_vQJ_W3odaQrkR8f9oI2Uz1xqZAcdn3jV3AwWWiWrTNa74wfQmuEbZhfuM0aagJ449WP4a1oz38HGcXcMGNupcQs9Xvbx2CVcv6GT-SsPNCBNpGOIQ_1fmAOPJFXDDeSioVVLAaXBQcL37BBv8uI0WjAiLsx2YWrdesE_q2JZErC67lS1KZxPep6bXSz1dtQ2t6TbhUdLSLwctJBtgxSLsP_BPnHx4Vcl1GspOlhwVeMPidoB_6wgA8WBzHm2SmdXUEDHTyw1voQFA8QiA-MokxSiT17ivmn0v0sHe3bef7xs_2EH27sLeFqT11WslxHYfIUpq_zKUFCykSCpIjeF711cpH0cnrIdW8X529cWoaHCgqX_mXiZWTnDhqENz0mcfH0E3HiwFuIViapqXfSeYzXd030-X7BigLZ5ESiY1jg-Xhj4yhC4q411YyUwPL4x34eV2S2uklJHTTgV-3lZZJGQ06G8st6WuyU8mUpoK41wHx7ef47t8e8jITnWgotAt2yUSnJppSJKnY66WFhXNSMDFOsOjTnGyk1pcJqQ8fMzb9o3U1XF5WiiLw02dV29HVjK1d7Qxr1Zp9EhcN88_C08_6cBtFb4YtMIMScBAY0a_UzCFbuz1TtmigMdSHQYOeeoVn-5UOD97hrrpcDAdHM65ZVf1FL37UaVid3Aae2_cTPyC-Us4hwSPZ50a_XJzbQa5azLkzOManl4yyz_0rZDbUasRA5-mqJPJ8aLa3CyHtTS8eUPquKUPC2WpkEi0fL4On6_GRdBq97o_mCLW9YcExd6rKBmmZZQWI_IZRw4wy_yb24bzYq8hr_jkxWwhXIr5T9upSfH3ZNr8fc5yHatytXZAtn9-6CKVmpFgqHfZtO9W2nQ_-KKpmrXGF1UwVRVueqpYaHE4XHOjXS9tO5iINr4vtfRYdZKURcHsQz2b_L-QsbA3RZYcP262X4XuBo04st5umKWD6lwBLJGnbWFtDNItE8iAM9-tz5VTDi1rTol_VK9cvyQswc6z60M4lzSylcl1Q3A&reqid=lK4qn2RJza4lqGN3&type=CLICK&pos=4,4,-7%,Đã bán 104,dinhduongnguoilon
,,https://tka.tiki.vn/pixel/pixel?data=T-NXn9kzRTCfKcmd_YXWUt_dvlXbzU4AzcLKQHbsIqJjzSwHAzw5WMIvMxNi_1crOKJOJBaxlDwBm5PBBApChbC0h53EoOXF_HcEowYB8T6V7jV_XsS2RDBmXBZPP4L03aSMuwBfJF3dMEebFo9VTGInvD2bgZKjI9pZ0UhiQWxAM_QnV47ahzrnV3gx0TcsNOY5H5VUDGHBbpDsIw7aXSCppIcvwCFhXN6jQn-VxN26WT8DelufSP0CbJWsQ75hcWplV8nUDuIA9s4VUtgK6JO4q-U9BDE50mL3RRtrWUquEjetJstCslAGZYxPm1tUFEFZgFk7QeO-nnFhXzPb04agbOuk7X2qBU1E_DuWKaDHZer6NFofXuWoI1kffrmPLk9p0JPotGq-3WXgjZ8uGTgk3haXs1F-rSsGec2uJwPL4qaJ2hmNLo6jghyuuVDRXYi7LVRLpqTMN-K6qL-73YS0xlcQQoK1tUKfZVTyUg4C83SzuiiYlTzRM6Ym7IYs7EaAcgILtZKqzDvWBnzzvTzKoWCzJ5_BPsNOMgfraEQzGrJp7mJ7lYcFnBaOHnCCt4xA_bixc_kQo-dVfvdS-2xHOzDjVcZXmCgbhqkqSX7Zk65TwkF--Sf15U_a2mfTyO8SFN6J75xf60xecOk_Kt7jJfxar0gaxgN5JDn0iSYrU9iZcufGBd1F2ZXf87OZ8_DJozA-Shsrp4Ivoq8k2jOZsmwUysYdSiEV_3rk9hqu_Mn8g9dq9D9n6xjhk9n_KXhWQGz_wP-BriLdCbAzXwwWfz_zifvidwiczLPgji9eJ0X7nfKhwKE4VZVgpqQXTHA3HU927CpOZ4N30SHvR8nQHjo9-enlLJHzHZdkPr-aiG3Daxvf2SYTMDzKjRQJWeC_kagVWi4LbPeqOqrEml_1OCvlAlrp7xmiBiW5geBfM5I7-L63lRz1Ts1FPWXfI9DOuMckpdEtxC3Z8rmUtV4HLtIoT2ZBl29LbNqP8M7IPoJMnSwtxq_cxESt3Y_731aEqCU7CD_b4_yu9n4ukwlufaIkdKOcaRHJHh1WdsAtMXj_S18KPMmhzt_vHapz5WSKisBsHwS7ly2jcGYbq9nFCEoXSZs&reqid=lK4qn2RJza4lqGN3&type=CLICK&pos=5,5,,,dinhduongnguoilon
Sure Prevent Gold HT,565.000₫,https://tiki.vn/sure-prevent-gold-ht-p273180228.html?spid=71080137,6,-10%,Đã bán 5k+,dinhduongnguoilon
Sữa Bột Abbott Glucerna Vani 850g,834.000₫,https://tiki.vn/sua-bot-danh-cho-nguoi-bi-tieu-duong-abbott-glucerna-vani-850g-p435891.html?spid=141119,7,-30%,Đã bán 5k+,dinhduongnguoilon
Sữa Bột Anlene Gold Movepro Hương Chocolate (Hộp Giấy 440g),204.000₫,https://tiki.vn/sua-bot-anlene-gold-movepro-huong-chocolate-hop-giay-440g-p1000532.html?spid=1001706,8,-8%,Đã bán 3.1k,dinhduongnguoilon
[MỚI] Sữa bột bổ sung dinh dưỡng Anlene Total 10 lon 800g tặng dù Anlene,625.000₫,https://tiki.vn/moi-sua-bot-bo-sung-dinh-duong-anlene-total-10-lon-800g-tang-quanh-inox-p257771715.html?spid=257771716,9,,Đã bán 356,dinhduongnguoilon
,,https://tiki.vn/sua-bot-anlene-gold-5x-huong-vanilla-hop-thiec-800g-p173164598.html?spid=173164599,10,-7%,,dinhduongnguoilon
