title,price,link_item,index,discount,sales,category
"Áo Len Mix Kim Băng, Áo Len Unisex Form Rộng Xẻ Trước Có Zipper Khóa Cực Ngầu",490.000₫,https://tiki.vn/ao-len-mix-kim-bang-ao-len-unisex-form-rong-xe-truoc-co-zipper-khoa-cuc-ngau-p179549380.html?spid=179549384,1,,,aoni
Áo len cổ lọ Quảng Châu,275.000₫,https://tiki.vn/ao-len-co-lo-quang-chau-size-chuan-p130814768.html?spid=130814876,2,,,aoni
Aó thun len tay dài đỏ cổ cao AT401,99.000₫,https://tiki.vn/ao-thun-len-tay-dai-do-co-cao-at401-p14935575.html?spid=14935583,3,,,aoni
Sweater Hải Tặc Phản Quang 7 Màu - Áo Nỉ Dài Tay Unisex Form Rộng Thời Trang Nam Nữ Phong Cách Hàn Quốc,140.000,https://tiki.vn/sweater-hai-tac-phan-quang-7-mau-ao-ni-dai-tay-unisex-form-rong-thoi-trang-nam-nu-phong-cach-han-quoc-p143766906.html?spid=143767306,4,,,aoni
,,https://tiki.vn/ao-ni-swt-so-19-sale-p192384656.html?spid=192384662,5,,,aoni
"áo nỉ SWT michigan SALE - 3(be đậm),freesize dưới 65kg",150.000₫,https://tiki.vn/ao-ni-swt-michigan-sale-p192383388.html?spid=192383394,6,,,aoni
(CÓ SẴN ) Áo len đính chữ cá tính,189.000₫,https://tiki.vn/co-san-ao-len-dinh-chu-ca-tinh-p140880130.html?spid=140880131,7,,,aoni
"áo nỉ len kẻ - 3,freesize dưới 60kg",150.000₫,https://tiki.vn/ao-ni-len-ke-p192381291.html?spid=192381300,8,,,aoni
áo len polo cổ v gạo M006,135.000,https://tiki.vn/ao-len-polo-co-v-gao-m006-p192385492.html?spid=192385498,9,,,aoni
,,https://tiki.vn/bo-ni-nam-nu-4-soc-quan-ao-dai-thu-dong-nam-nu-thoi-trang-phong-cach-nang-dong-ca-tinh-g5-p249240244.html?spid=249240266,10,,,aoni
Áo Sweater Phản Quang 7 màu Hình Xích Khóa Áo Nỉ Nam Nữ Dài tay Unisex in hiệu ứng Hologram Áo Đôi Độc Đáo,328.000₫,https://tiki.vn/ao-sweater-phan-quang-7-mau-hinh-xich-khoa-ao-ni-nam-nu-dai-tay-unisex-in-hieu-ung-hologram-ao-doi-doc-dao-p144924806.html?spid=144924817,11,,,aoni
"Áo nỉ - thời trang cho phái mạnh, kiểu dáng dài tay (T41)",170.000,https://tiki.vn/ao-ni-thoi-trang-cho-phai-manh-kieu-dang-dai-tay-t41-p134381486.html?spid=134381729,12,,Đã bán 2,aoni
,,https://tiki.vn/sweater-hai-tac-phan-quang-7-mau-ao-ni-dai-tay-unisex-form-rong-thoi-trang-nam-nu-phong-cach-han-quoc-p144924858.html?spid=144924905,13,,,aoni
Áo khoác bomber nỉ ngoại form tờ y hình hottrend 2022 dành cho các bạn trẻ,108.000₫,https://tiki.vn/ao-khoac-bomber-ni-ngoai-form-to-y-hinh-hottrend-2022-danh-cho-cac-ban-tre-p201884313.html?spid=201884336,14,,,aoni
(HCM)ÁO KHOÁC BOMBER NAM NỮ FORM RỘNG CHẤT NỈ SIÊU TỐT HOT TREND CHO GIỚI TRẺ,188.000₫,https://tiki.vn/hcm-ao-khoac-bomber-nam-nu-form-rong-chat-ni-sieu-tot-hot-trend-cho-gioi-tre-p201883136.html?spid=201883175,15,,,aoni
"ÁO HOODIE NỈ NGOẠI BAO ĐẸP, BAO CHẤT HỌA TIẾT IN CHỮ TIMHR TRUCK CỰC ĐẸP",83.000₫,https://tiki.vn/ao-hoodie-ni-ngoai-bao-dep-bao-chat-ho-a-tie-t-in-chu-timhr-truck-cu-c-de-p-p199252829.html?spid=199647513,16,,,aoni
"Áo len nam Cổ tròn kẻ Ôm gọn, Len dệt kim, kiểu dáng Hàn Quốc ABABA kecanguoi-m9",165.000,https://tiki.vn/ao-len-nam-co-tron-ke-p130814164.html?spid=130814171,17,,Đã bán 1,aoni
,,https://tiki.vn/dam-len-xinh-xan-ifal-1822-ao-len-nu-p152524225.html?spid=152524226,18,,,aoni
"BỘ NỈ NAM BABOYKA ỐNG SUÔNG, CHẤT MƯỚT, FORM DÁNG ĐẸP, BAO XÙ, BÙNG GỐI, BAY MÀU",749.000₫,https://tiki.vn/bo-ni-nam-baboyka-ong-suong-chat-muot-form-dang-dep-bao-xu-bung-goi-bay-mau-p141688782.html?spid=141688796,19,,,aoni
"áo len nam dài tay CATRIO kẻ đẹp mã 881306 phù hợp với thanh niên từ 50kg đến 80 kg, áo len nam có độ dày vừa phải, cổ tim để mặc ngoài áo sơ mi rất đẹp màu đen kẻ navy",199.000₫,https://tiki.vn/a-o-len-nam-da-i-tay-catrio-ke-de-p-ma-881306-phu-ho-p-vo-i-thanh-nien-tu-50kg-de-n-80-kg-a-o-len-nam-co-do-da-y-vu-a-pha-i-co-tim-de-ma-c-ngoa-i-a-o-so-mi-ra-t-de-p-ma-u-den-ke-navy-p273383061.html?spid=273383067,20,,,aoni
