title,price,link_item,index,discount,sales,category
"Áo Sơ Mi Nam Trung Niên Trơn, Karo, Sọc Dài Tay Cao Cấp 100% Cotton",295.000₫,https://tiki.vn/ao-so-mi-nam-trung-nien-tron-karo-soc-dai-tay-cao-cap-100-cotton-p177784312.html?spid=177784406,1,,Đã bán 2,aosomi
Áo Sơ Mi Trắng Form Rộng Unisex Nam Nữ Tay Dài Hàn Quốc Kiểu Cổ Bẻ Vải Lụa Nhiều Màu - SMD01,99.000₫,https://tiki.vn/ao-so-mi-trang-form-rong-unisex-nam-nu-tay-dai-han-quoc-kieu-co-be-vai-lua-nhieu-mau-smd01-p134750203.html?spid=192458452,2,-35%,Đã bán 2,aosomi
Áo Sơ Mi Tay Ngắn Valentino Creations - V46-014715-GY4,2.790.000₫,https://tiki.vn/ao-so-mi-tay-ngan-valentino-creations-v46-014715-gy4-p271537426.html?spid=271537434,3,-32%,,aosomi
"Áo sơ mi nam hoa văn bigsize, dáng rộng, tay ngắn, vạt ngang, hoạ tiết chữ thọ, hiệu Amazing",155.000,https://tiki.vn/ao-so-mi-nam-hoa-van-bigsize-dang-rong-tay-ngan-vat-ngang-hoa-tiet-chu-tho-hieu-amazing-p185904912.html?spid=185904940,4,-15%,Đã bán 3,aosomi
,,https://tiki.vn/ao-so-mi-nam-dai-tay-ke-soc-xanh-navy-vai-cotton-p54642786.html?spid=54642794,5,-22%,,aosomi
Áo sơ mi nam ngắn tay Novelty Casual Caro lớn NSMMCLMTCB220608N,365.000₫,https://tiki.vn/ao-so-mi-nam-ngan-tay-novelty-casual-caro-lon-nsmmclmtcb220608n-p213951639.html?spid=213951649,6,-15%,Đã bán 3,aosomi
"áo sơ mi phối màu cực đỉnh, mẫu mới nhất thiết kế độc quyền, phong cách Hàn quốc, chất áo mền mịn thoáng mát - T14",260.000₫,https://tiki.vn/ao-so-mi-phoi-mau-cuc-dinh-mau-moi-nhat-thiet-ke-doc-quyen-phong-cach-han-quoc-chat-ao-men-min-thoang-mat-t14-p215068796.html?spid=215068855,7,-35%,,aosomi
Áo Sơ Mi Màu Trơn Ngắn Tay Regular 345 Vĩnh Tiến - Nhiều Màu - L,345.000₫,https://tiki.vn/ao-so-mi-mau-tron-ngan-tay-regular-345-vinh-tien-nhieu-mau-p257867771.html?spid=257867801,8,,,aosomi
"Áo sơ mi nam ngắn tay vải kaki cotton mềm mịn, thoải mái thời trang hàn quốc C21",225.000,https://tiki.vn/ao-so-mi-nam-ngan-tay-vai-kaki-cotton-mem-min-thoai-mai-thoi-trang-han-quoc-c21-p190470075.html?spid=190470091,9,-50%,Đã bán 4,aosomi
,,https://tiki.vn/ao-so-mi-nam-tay-ngan-ke-soc-thoi-trang-han-quoc-dx33-p181774585.html?spid=181774595,10,-31%,,aosomi
