title,price,link_item,index,discount,sales,category
"Áo khoác nam chống nắng gió thu đông Doka (DBLS102) chất liệu dù giữ ấm cao cấp màu đen , màu xanh đen , màu xanh rêu",139.000₫,https://tka.tiki.vn/pixel/pixel?data=SNMayJEjch6XAoHP2jTgceTgaPyIjKSn3dAODgAs_V-oRkkHq0HDIxlClorNltKGDW-iHQw44xyUEFHebbGw2zr5VvSUrCWaiOlGEJyNMr5hiBL34XNTCabAndLcZou55bIA_aZTFIszjVZrTjAfo-qshiRqxH_DDcXi29f1luBPJR1lA9SDtfZrcOBk8wOBHtFVATtYeJKYQWKgN2PWVxOh0JPzXNHn4H5tJ6-U1X9Eomv36MPnC90yME7NYYIIO7iajImBuI06_1b9ly4sdoYxC5H2pfYMV-SJhb8iDgoGCQo9HFq1how85KK_FL3nFnzb0hIGshtvgEoshFGJPtM2-zi7SmjcilxnH-xsYS1xM1POEuIz4CNMiUM6CPeYX2rjNWdSCE5qw0iL2sROWR69HpgTsl_qq0FwZKPi9_TJccm7tpKCUbmCsoa63atJ7PTnvrWSUY5cPlo2j8b2ZA3eh6Ebl6hJuLnuaFPrNzlVrF3kICHgdFlA7ChiPdpbiN1_JFw9Ow501c2oe3fFAvB2PKk3HZVqbVK6-SPCija_039kFKCSyOwe9LzmkNj0P6LlfeV7r95_NJB4d-bgSZ2gE_uaXZ-HnAfljgblWIZf5NBmNYOZbk7RsYaHvHaP_auth9qoSxOT6YM5_TWWfaI8Nxp4EEpfWK6GUKFwhcmruDXOD8krQs30dwfmgCSiJVgT8yIP8AH3PXpSe8bDPRsQpacD57dPHQY1wtV-b4u6HtkW1c2pKZ3jDnh-e8ZEL7u1VSk2DDTe_PKWo3Esyih8PTjxRCBEBtUFCqk5rcOeiSXNyxDRh_lpFHgd99Rio03kgI56HkANuyUmVp0Ubo7vvqzwGjb7BoxOkjphHsN5-NCPmwNvVzcyrdci78ND68iflbYHGVW8XbXbezfjth5Da6jGSRbso_R2dyVZ7PUVdBuqHs46gPVhgDXcVUclZqjS1tYyrNSK-S-jwR5-OWl6xuVxtH6PGROnfCwIt97PBL0C7qVjks5awEZDScPBqGKulqhGwDG4XGZZyBd4feBTtJkVg2j7qmwQyZP9jCnFYgyUMATZvkyqw3_9uc_B2eAVpLnhJMfw3UHCKuHoqu3x6A8xe6wPzWbha9od898yHcrck8zmqgLz2YUfWl3l0HqptHN9P3j5wOWVDqHh7XSS&reqid=seVtmqQFkCZ2C4TC&type=CLICK&pos=41,1,-39%,Đã bán 911,aovest
"Áo Phao Chần Bông Nam 5S FASHION PREMIUM, Chất Liệu Cao Cấp, Bông Chần Dày Dặn, Siêu Ấm, Thiết Kế Trơn Basic (AKC23016)",519.000₫,https://tka.tiki.vn/pixel/pixel?data=MMo2TwNu6kSjlSDQUgPO-TJi_5E4ojjdCn5eeslbzkqxscXvOAE-HQYkGcr-JY6XZVrSWJoHgnLlmoSz7WS_0fsTdtGMfeDfyPTEs8mXV5vfJq7XtqIRlgrCxagAIcJqaeVv885JNjTOURBPQxuMyMGTYL5LKI2HI6YTc_TuLdVHmCBMg_ucWqRAJdApS7QBM5Lix9s0PStGl0T5d3lgv629V2RBXJVaDf4dFIK2GjPYe-_8-Os6rGY4LA12WYfSFOZGB2BzJ4cA9S9mw1i6HFuBJDLj_wdNdKhzZkPYTCe2j8HgCBkUmWGdG1dypkEv4kYlMazAH7HrnoyQ_dPWZyMB_KF_X1w00yIIffIU2bmEpBbJsace6igI6Zyzl4CciFWr_zceLQEIAE8KBBolNJ8Pzxfdln66Fbj9XNfjc9IHKIfqiUc-Z2BZkn0KxjXiNf6z_jadDxAbEWzhWW59_pj0g0On75XZo5KP59yFitXNlArEsDnCWqicgNT0dh3Bbsd73xaUEYSPnuVvjZppcKjjGsRBre4jb0p21rSHAtpnJSBwHusk7UDGfPiV4e6S_ZgQOWwRPGCTTg5q3PLEsIhb-1NalZxYJgUkj4O5yAGsRUlSmUDbultUHOKBMZDyJ-3h4KIPoGGUpUy6qAuhcK8Rdt-4bN5ZwmDkH-SnN0GA095D0XDHitL4Pb6k1A3Qt5kl5L1C3Qhq7aGCZWsDEmIORgUE3axGj1tZKuRDAhMxTdY9cEM0O_bMiT9R-XZUN8CPVCmyetGts7h7HqyB2oj7Vr_AzJ32Hl6qPa1TSPFr0zzN4DItUj6wcK_7EnY7HXUgH8zSj0UmApIYev0-W2huylBp0hW5KEJe_QtF5ichAyCIFcbtm0vvRmvp83xUim8XYO3SCGKsNajvK4NFY3orSVV8Qsu3pitBxKKzBs12X_YXW7xypbzt-5cVMsRqoloUCeBFvFKGUjWi-fXeYweFo_vKyXpj9d46cIAOtVCUIgDXnkbxA4Vcb2zf_T1JroojdnvxRvcH5RAkUhjlq41qj35mQahJcvnU4MEQMq9Rk5zxN_TiLEhi1wETPRYRoB8ky4YM_v8bguMqyYfFgHq-22P9NVS-GgikOxvdM7NXteVZlZpr_IW928bdmQ1X6pcZxfLkr_pE9CEXOQ&reqid=seVtmqQFkCZ2C4TC&type=CLICK&pos=42,2,-48%,Đã bán 25,aovest
"Áo khoác gió cách nhiệt GOKING, có mũ dấu sau cổ. Form unisex cho nam nữ. Ngoài vải dù, trong lót vải cào cao cấp. Chống nắng gió bụi",255.000₫,https://tka.tiki.vn/pixel/pixel?data=b3OGbjy2fDI-OOMM33yAxF3p-G08uoabWyrhsElkefQwg6OcSNyOy94TwFhjv5t5xrvs3daYxgfKsh4SWSe4nXjMRcbslLJeyIY_mnoCMGjhspG_CXi3M28DM23b_1KH0Lc6cFQnAwvtHYI7sQwXuUE6evh0VDlYbI-jDSvlIT3OZniC7i8C9wH5zGgFuWMiCnSK82hz4o1gfbMo0GcLgpJfTZK4eGTegi7_VjlE45DADQY1EBM5uG7klcOyWHU5F3lTI2N0iWM7BnP9VSwM8rd-Vl-eCeegeyRwIG-ytls5H3KMFdyLTa-WwACP0KhW76K-c-rlaNkkUlmI0DXovkClDuukaQW-oi8h2b0pAgjcAtFkEQaNMPGUNlNvb0UyQMn0iYwBTJeDRciqjwbFQJjXEE3yinJ4VNWiRGn9yjZB5FQ4i_BmVNEaJU6WQQSAR-QhuIMSFiL3pghu9G5MtCgK2BV_JaMwYtEdHayOcGqJs76kVn7K6eUc8DpjlxQX3gjSSKumX3vMMTCgl7_-rron1ypsFmeSTnTdhDybuORxaKqenJkntdldS-pm4ioFpIhrlKt6xiXGbJHnEYduaEU31L77YD5T3VvYxbhTMVQ7BkUHM2NnpIlpX3HzvZUvQKeoZzUsAFzZ4Q8YsSe9cz4cmWoEK9nHxGfLwWOkY9hOSGxZuDH87cXCgRvTHUxkYuiliW1vKa5cJLgUDyxiJIth-os2geN3qI6FjURlFuueLCLnslLZKPAuNVd_DSzvOUZL7Y2Dx34PLRyX6iP_9llzIVZAaI-mV-yJeI6JzvfkIj6G8VvSQfNTRQwkSz6-oPbZlorxhhTznHXmU-2yiLKPvaeQEVAJDWOf5-AIPMJssC5QR1aq9eMJZbzLwiGxLE3b5I3WWf7NCFs-xmwnrbrtmAC_Fj4CQrtYzZy1Je0TEtYPjg5Wah6Mjm-N7Qj-voaIRR2a1mN2YR4ja9AqwvW8a2BJdIehXvoVsqbkDV4-UA6g7lMfyyQt8s46Yor6NONt0eYEsz5_VM2AUpuvUhQfVKnu-gquCr8qZKGgebClKlzMPItuvw4L02FcntU2DDQKjcTLdvlF2TBJRSy1Cp8_5Mo6xfu-Hwl_6oBkPyvMx93OhbMSSsg9TtoAsBQRdn_JKBH24rea3GHk6U-dTRuPE39i58WKEf_jwJjiYwzU_j-IxBwbGzwEyaqWUPeWu84h8R1M0jSJ8KsyAw&reqid=seVtmqQFkCZ2C4TC&type=CLICK&pos=43,3,-36%,Đã bán 37,aovest
Áo Khoác Dù Fashion Cao Cấp ( Xám XL ) -AKD02 - Xá,129.000₫,https://tka.tiki.vn/pixel/pixel?data=P-4vuURkxEtD9VB4ySicgrpTU1TaE50enN8eykmfanG6nyEMiQ9l0N1khYWzBE_40nJ-4KiOle0zbBNHH8mWIsReUlMK_EH8mCZ5lPb6CdXILJiK4-BRYfLBuplpUCh3Tmus_TtZXdSVYJ3heqOsdlJWAO_6s_bzAxSIVyiemm3Bcz3mb5Nycz2tUOEaWgXUM-0p8tpgtvQ49t_DK4TvtNg2xkLmP98LpWVdCl9OgdMk4ogKbQXhptiszFp3HiyITdVDroVYXnbxmNhEEg3ce25CmWEKAQRA8D3SNA7K5snc_UcmXs8CrLk3oCkoOcibq6qYD-YN2FxFlIqYABhqvwUkKgQHde19yFqSe2BU2JR05NZShL9HdRlEyG1h7bBDQV0wnZMXm8Dw_lddw4YsB7T9kgO6Rb9PQk_nt9LaChU8DJtBl6JYjdTs0HhgF1J0ZGUT1L5hSgq1GrwUf7J02ZAi340GmcdSsbvCYQC4PipUCDn0FE21-FD_k7_2uRc60ELq4FYitZJJ3u8zCqRtZcMissKdrTd0uGdvRe0CMxeQS5895NP9U9wmwkXhtkgWFLLuO5YxAyETOUXaz8h7g8AcCyN5pye0M56oBLn4t_dad3KwDmL-KoUQ7zkVKrpKs-V0m8IMer02CP_fiZ6CFC1eO9rG044duLW5t8-SQ2iOx_YiwIdWcuCawKFojIvndJOKIRI6sepWpa6s6W_z5mbODCxWoXhfebGcUHIsOkL95lclGEd8URThggA7TOQ71rkhXfxMUApqXLjEqPblPcM4am8HFAz-1D4dmmw8AV0lawKUfhMZx4feS6NNr3w5CwCJM8r5XMLZbyDfq516y3eJzG4LMsosij-zaWV8Wnf_9N4rQ-4HNnBY1o2hi3oZCHcZ-v2E4IWPP7lGaG1syYp5Jt8o9-B2GVpoIrS2H6hZiBR76c9uRPx65nCC5WAyw7z8ss6GmWwJ8TXUuMNc9C1TimqcbAFBOH3nC3j5czSOSTFtFBaI8N8SOowPQJuISqmMxYKHgPcmVBa6jdxx670l32k2rvclxk65AiEd8j4DGFb-cNA1cOLHsvbknhuluAiwdOLT33GtWPk1opMUKzcSslj0yS66Wyc3uUHghSv7FZE5UdGPmWzVNUi8g8iuS5GNV4QEtugbJuOfyeF-Acd9o6Wru177Igv_Z2wWJ3sLYSrCctMwqHk8kYpud4Y3mZQa&reqid=seVtmqQFkCZ2C4TC&type=CLICK&pos=44,4,-25%,Đã bán 130,aovest
Áo khoác dù nam chống nắng mưa gió lạnh dáng dứng - DCVS103,135.000₫,https://tka.tiki.vn/pixel/pixel?data=iEtbbixuPkT-CYNIZ3wJTQ7MesXVMHvgCsRq8XFrqw0y6jy9OjbAG0746adO-F2pSuO1dTzdttatbNalgQccrRr8MuqTlJC-zUv8IZsGSWByyWwx1lSBLb7BtOrEk3StdfNfpuwEOYEqUdd3Jl0hur1gtElsnkMPr0xZ4udE7XZsJCEmbJM8wAYV1JTf9Gl4ly7Y7KKEyarerOBQNS4PkMKWFvkgL5H5_noxTagJ1rMb3EuTWlusGMy9uJT4ABV379rTvmPF0VH33ljsvgzlJPYo2TbPAI5Qu9oXUB8VXAzn4koDrQfXd0m3MNwsIypkPDvaCYRZMvM5Ox36gRBPX_SS15uB2d0qcvU-W2pSsX5Zms9L8yBG8vMgBD4B0lLfG-wliu78fXdWjWVEXKMiaEadzN4ZaQCHLhntyItTDBtwPWC5rft5WVWZfx-s3FAZB0--JZwcX1-Tv2TrXkFqnU9kO67-rJYz_Gk5Tkaz7995KOg_z24Rnp9bIX_JmRoyPyJVujYTUr8xp-i_WrZcOiVWNGsiph_y0dsgRS5tPhUG71H1Fwj6HbTFdjav3J0VPhbQTr6Lo16CY4jjoLmypHwZXhdHY6cRvuUgzysImK7TfBDn9NAdlCRSpX0uqVa88ZxfbZot8vhvqOgTP5miXvxa-98N9PBEp6WVez4CuuR7oVxoJ-FpSaAJNxtEsM-liGxuLNf7n_hHZQkDbP9yed00tOQa30nTI7fYZS0HDhYOXg8H76dHisRrh4pgQ-KliW8pTHSm8AAPSaEmER14LA7iTweHDgYULU62cKb61n-eHlOwqQScIAAztnt5_ZQBasJO-0NiKtAeiH6baXqEUomKN_xfnufAF3dkZU7emnvNfkJ7WDtRXt8GqpGZ-qUwU_28el6WDaI1w6tHi9rWmYb9GeXBpz9q7fqRaht-P2Xvruts36Cch8dNjXuSiISZ6pdBfUrsq0O1tQzxU96yn0OekbvL6aQG6-NDHCEEgTzY_jxgy1ik9ekzfpP5pkUgHqJuFdgv8ePqZ1FAw7LhuDtDkrgulBysA3YONYK2zHm8asJBgea8a3Yi2SI9F0uxDjvm9AiDfOoyxD2pw7-I&reqid=seVtmqQFkCZ2C4TC&type=CLICK&pos=45,5,-34%,Đã bán 32,aovest
Áo Khoác Nam Big Size Áo Khoác Dù Nam Cổ Cao Chống Lạnh Chống Gió Chống Nắng Tia UV Cao Cấp Nam Tính Hàn Quốc QM19 - ShopN6 (Nhiều Màu),169.000₫,https://tiki.vn/ao-khoac-nam-big-size-ao-khoac-du-nam-co-cao-chong-lanh-chong-gio-chong-nang-tia-uv-cao-cap-nam-tinh-han-quoc-qm19-shopn6-nhieu-mau-p73335809.html?spid=73335821,6,-47%,Đã bán 261,aovest
"Áo khoác dạ nam phong cách Hàn Quốc cao cấp LADOS-2061 ấm áp, sang trọng, dễ phối đồ",369.000₫,https://tiki.vn/ao-khoac-da-nam-phong-cach-han-quoc-cao-cap-lados-2061-am-ap-sang-trong-de-phoi-do-p201384530.html?spid=201384613,7,-31%,Đã bán 8,aovest
"ÁO KHOÁC NAM, ÁO KHOÁC LÔNG VŨ SIÊU NHẸ - LOẠI CÓ MŨ THÁO RỜI",550.000₫,https://tiki.vn/ao-khoac-nam-ao-khoac-long-vu-sieu-nhe-loai-co-mu-thao-roi-p74451769.html?spid=76166530,8,-45%,Đã bán 67,aovest
Áo chống nắng nam sọc tay mới 5 màu thun lạnh thoáng mát chống tia UV cao cấp Micado,99.000₫,https://tiki.vn/ao-chong-nang-nam-soc-tay-moi-5-mau-thun-lanh-thoang-mat-chong-tia-uv-cao-cap-micado-p169331344.html?spid=169331346,9,-38%,Đã bán 82,aovest
"Áo khoác dù cách nhiệt GOKING cho nam nữ, áo khoác gió hàng hiệu Việt Nam cao cấp, chống gió lạnh, giữ ấm cơ thể",222.000₫,https://tiki.vn/ao-khoac-du-cach-nhiet-goking-cho-nam-nu-ao-khoac-gio-hang-hieu-viet-nam-cao-cap-chong-gio-lanh-giu-am-co-the-p176663149.html?spid=176663181,10,-40%,Đã bán 162,aovest
