title,price,link_item,index,discount,sales,category
"Quần baggy nam nữ kaki unisex, quần baggy kaki nam nữ",79.000₫,https://tiki.vn/quan-baggy-nam-nu-kaki-unisex-quan-baggy-kaki-nam-nu-p103546447.html?spid=125168659,1,-9%,Đã bán 192,quannam
Quần short thể thao nam Fasvin S22492.HN chất liệu cao cấp mềm mịn thoải mái,209.000₫,https://tiki.vn/quan-short-the-thao-nam-fasvin-s22492-hn-chat-lieu-cao-cap-mem-min-thoai-mai-p195192648.html?spid=195192669,2,-65%,,quannam
QUẦN TÂY NAM CO GIÃN CAO CẤP DN20010510 - đen - 30,86.000₫,https://tiki.vn/quan-tay-nam-co-gian-cao-cap-dn20010510-den-30-p46694201.html?spid=75671758,3,,Đã bán 54,quannam
"Quần Sọt Jean nam co dãn 4 chiều Thương Hiệu Chandi, phong cách hàn quốc mẫu mới nhất HD221",220.000,https://tiki.vn/quan-sot-jean-nam-co-dan-4-chieu-thuong-hieu-chandi-phong-cach-han-quoc-mau-moi-nhat-2021-hd221-p78510529.html?spid=78510537,4,,,quannam
,,https://tiki.vn/quan-ong-rong-nam-p249256312.html?spid=249256352,5,-33%,,quannam
Quần tây nam ống nhỏ dáng ôm body cao cấp vải đẹp tuyệt vời dành cho AE Quần tây nam dài,123.000₫,https://tiki.vn/quan-tay-nam-ong-nho-dang-om-body-cao-cap-vai-dep-tuyet-voi-danh-cho-ae-quan-tay-nam-dai-p207301923.html?spid=207301958,6,-30%,Đã bán 2,quannam
"Quần Tây Nam Oscar Regular Fit OCMPKR 009 - Quần Âu nam công sở dáng đứng giữ form, mềm mịn, thoáng mát, chống nhăn, thấm hút hiệu quả",449.000₫,https://tiki.vn/quan-tay-nam-oscar-regular-fit-ocmpkrf009-quan-au-nam-cong-so-dang-dung-giu-form-mem-min-thoang-mat-chong-nhan-tham-hut-hieu-qua-p130301550.html?spid=130301572,7,,Đã bán 19,quannam
Quần kaki dài lưng thun form big size nam tới 130kg vải co giãn,310.000₫,https://tiki.vn/quan-kaki-dai-lung-thun-form-big-size-nam-toi-130kg-vai-co-gian-p207754138.html?spid=207754148,8,-10%,Đã bán 4,quannam
"Quần Vest Nam Cao Cấp MYMILANDO Màu Xanh Xám Chì - Chất Liệu Cao Cấp Bền Màu, Kiểu Dáng Slim Fit Trẻ Trung, Thời Trang Công Sở, Dạo Phố, Sự Kiện Sang Trọng",899.000,https://tiki.vn/quan-vest-nam-cao-cap-mymilando-mau-xanh-xam-chi-chat-lieu-cao-cap-ben-mau-kieu-dang-slim-fit-tre-trung-thoi-trang-cong-so-dao-pho-su-kien-sang-trong-p272946362.html?spid=272946372,9,-50%,,quannam
,,https://tiki.vn/quan-short-nam-khatoco-q3m398r0-inin124-2410-0-p241254719.html?spid=241254764,10,-29%,,quannam
Quần Nam Dáng Dài Chất Vải Đũi Cạp Chun / Quần Tây Chất Đũi Siêu Thoải Mái Đi Chơi Đi Phượt,159.500₫,https://tiki.vn/quan-dui-nam-2021-quan-dui-nam-sieu-thoai-mai-di-choi-di-phuot-p118989787.html?spid=118989951,11,,Đã bán 6,quannam
Quần dài kaki nam màu be lưng thun ống suông,89.000₫,https://tiki.vn/quan-dai-kaki-nam-mau-be-lung-thun-ong-suong-p108333383.html?spid=137822301,12,-42%,,quannam
,,https://tiki.vn/quan-ngu-nam-thun-100-cotton-fezzio-p97765315.html?spid=97765319,13,,,quannam
"Quần lính, quần dài nam, quần kaki nam, Quần chiến thuật lính S.archon cao cấp ARM-1056",600.000₫,https://tiki.vn/quan-linh-quan-dai-nam-quan-kaki-nam-quan-chien-thuat-linh-s-archon-cao-cap-arm-1056-p198115338.html?spid=198115381,14,,Đã bán 1,quannam
"Quần đùi, short kaki nam Amazing, dáng thể thao, big size, lưng thun, dây rút, thoải mái vận động",159.000₫,https://tiki.vn/quan-dui-short-kaki-nam-amazing-dang-the-thao-big-size-lung-thun-day-rut-thoai-mai-van-dong-p183058587.html?spid=183058618,15,-20%,Đã bán 3,quannam
Quần Jean nam Leman xanh trơn JD05 - Slim Form,384.000₫,https://tiki.vn/quan-jean-nam-leman-xanh-tron-jd05-slim-form-p174006978.html?spid=174006986,16,,Đã bán 7,quannam
Quần Ống Rộng Baggy Kaki Nhung Tăm Ulzzang Unisex Nam Nữ 5 Màu Siêu Hot Trend,110.000,https://tiki.vn/quan-ong-rong-baggy-kaki-nhung-tam-ulzzang-unisex-nam-nu-5-mau-sieu-hot-trend-p169347707.html?spid=169347783,17,,Đã bán 4,quannam
,,https://tiki.vn/quan-dui-nam-luoi-100-thun-fezzio-p97785752.html?spid=159440093,18,,,quannam
Quần jean nam co giãn dáng đẹp màu xanh biển mẫu mới jean nam co gian,212.000₫,https://tiki.vn/quan-jean-nam-co-gian-dang-dep-mau-xanh-bien-mau-moi-jean-nam-co-gian-p167893265.html?spid=167893273,19,,Đã bán 36,quannam
Quần jogger thun sọc Caro dài Nam Nữ unisex ống suông màu xanh đen,98.000₫,https://tiki.vn/quan-jogger-thun-soc-caro-dai-nam-nu-unisex-ong-suong-mau-xanh-den-p93710743.html?spid=114537106,20,,Đã bán 52,quannam
