title,price,link_item,index,discount,sales,category
"The Next Generation, mã G42. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",188.000₫,https://tka.tiki.vn/pixel/pixel?data=Sis06jamrF42fWAYeah-vw6GB-1pFVODNRZLH7ZGM-zkvq0GExlRK0-vyuOVnjOBjfKI79kT-CIhAKjDhwk_YtybrEB0F9ghJbpQy24_EagNfgfzhYndbheyd3wYmufUEF3MMl0XwUMXicPwkj9x4c0Np_r6lTjgsyP3XRoBX3kzYMjWuvS1xXQg5ddgyjgUansuOnp85RVB9B_0z45Gj8Bvfd7W6yCLub1bkB1RB7BCgA_zpv7RDzSRkllgPAr8nT0DT2Zf5dC22zL6GftQ0ldmlJBH8iaOeV4rtWLkBl9UFKr0emg_SB7sps9sKsJCz314Xt6OAzKEjR1Q5VNtlA_pEKdkYGvbds_CgObDl-qhNhb9PYYxRbHisTGBJd6jmhTf5QklKTQivCnSK-3v9H3jloClCdZVrN-OM6YtQ8rgQmo5cI1deZZYfBcY7tV67nIuAKRRTdFVYWhYBGFbzAP-Y_o-rgSNQa9qvNyHrhw4DuKKIuFyyEqY5uWAuvZ4ARFk37I1S6dt3QwwZbYAMLk89yNd9jqjjSyugkSX2actIhrcM47uHc01JP62E8lQxcfSSrGr8cUhUyBNSh1G1O50TyBhI1SjBnAk8TWCh2RU6mhihQw_5gQvW3m9BXDUzxNEiN1DutPeMp07_ZooU70ewnJXeSi3ytWc7UyqZJTYU6oTc8WOTKVQHfTczb1xJAkODNXLeauDK0AaheaggLn5p6cz6vEij-GX_QVv2uqZrNPTdDyJyQ7MeakxVfxa1cbaW6WhbR_vt-_Hxi399j8CYAEX4JpS126AGXBl9JmL5GUwNuDuQ8taLkGuPrZIBeiypBJmay698I1sPmnKm_swkQLTAjnmD8s1M7rQqUSZkJsCwCBPln8wDlppdgMUm2OEtLFcOkD_0OHOlk3tZKAPed0Qzltg1sO3srFPzMLhvc-g6cq0nD-__eEREUdOIzLtNLGXZbN1Zhu2_bibCe6nMGQ-8KaWm87Ky50ojmUa7ZuQqVbu-CZpCNLEEo-ZhflTlPxYvPeuX9TGPF8C7nfj544uLvo2MtnLd6fQRmNhkkt_tILoUdFdw_DnN8WeJIZ87gFzxxipAGu4dyirYuMJY43EwNsdYAhk5nC8m7w8ztqr-2hFnKG0YZNMr73RSixFSbDzU3aHR3bpO8Eazj3n7-U591jICn-2Q8mIBKgiMipSp_Clnn2l_TwtMRP7V-o5z7bCGfGl9ILpZ5x9u2tvYgvKBsJWvYe15JZDnIHRdls&reqid=fNsCDZdjlS7N7TBN&type=CLICK&pos=1,1,-6%,,aonu
"Move fast and break things, mã G96. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",69.000₫,https://tka.tiki.vn/pixel/pixel?data=K6xtTjE68DIFdwwlYSw2igjQZeBD6XjMSAhrIeICC8AAhVHSbft-5GaPjy3TzimGk_pGNemX-ymON_okj_U3tk9POqloSURbe86JA-d8PrPdhq7mv94-mk8VOqenybDPpL3aZM8MnEAZLJp1DtmzpYDuJc264JUwtSeraQRQF4leT25OgZ3IfHG6anDUrfZm9iEytirjfWZkKoVsuRTIRuAI0z0Ey1Ej72Bj5cbc9_FbP7gotol6jjtijx9IkXqpWUYsDjnBoa_Z02i_cYtmClREd4GJn-aAxeJe1O1myr67zpil1blgpKRhTWwWYFKnP3LOm1JHqZXiyj_kb0sRQhMxGHZzurMc-lVRcbRvqrUSPZlmCGmbL9Z7YVslENBoAU03Fg7-hWu1QvAK8Ov1NvpE05ZO-e3ZguWfN54FBC-1SfSaQsKXsBw70fKfeQJGiT3IkBbzZiPk2mUrFj_StbOTFMWxgcq5WTyc5UXGpgtw6ToIvRPWta-1HxscPmLpXC2NQbhd3njgTxi_bDidrtFsPvi3YyU1gaQnx9IgyoZZw9trxg_DpU-H-f7sH1jZTfjurkknpjZZ_wgz9_4Pw0dcDV7x2Hzy2f-VxG8xFYeaYCrMNn9J6EG-vIKxUpMvA8YZh8iMMjfc5mFIa4_ztSQGxMwn1c8TsT86Pq7NwtA4UrUFqx9os1DvBT8ia0CZdr1_WC1FzQqNfaES3h1FOZDY1Gh9vbQpftDmObQWMKa3EaBC_zkKvuaN3aWJNVhqDnPPdpYZkrduoniyOeshArzi2UiXPJsyyOVTrlAG193O7S3-AbDiAwpbHLWHcU9BtT8guHXYp408uRJa7CHToC_3bs-gd8Sy1W5XzT27zMpn3LSOmierqhRos-VQ3c3dY4F02HBsLRXtTtYfJdfRfMu3LCgdwDEo7O3z-gtvpRiYlsoNdrd2KRNKxL3TaklkBn1-tjZYajWENHDN5xnxAtNZegT6f8mJlmJgS-9_nYVMkysMHGBHl7GK9nhl9tiURkB8kpwpTqwC84SkvnplY6Gzu7Yap-y3QfUTV3i1v51IbqPIjBWKm9c6GyzHo8GDdmWuu9b9XIPC8hUZznhPRZl-quCDFtYTckA6qYHsY3XHxafmn_I7vYk8lEBSXtJhhACVGOir0WjYBG6jMyr-1ZRBAU33tpJ66tBMiPOonUQs3wz6YQPGUZqGFqkQmHSwxdxffWSBWfF1JL2eXxyQrnkRGIS8QHxFuWNlcQlN72C3HxD0E6M7L8VGHtBsj_PySUuYeCDVarCS2AeZvGXYvPv_kdvuqVfUwQ&reqid=fNsCDZdjlS7N7TBN&type=CLICK&pos=2,2,-38%,,aonu
"Dù ai hối tới hối lui, ế thêm năm nữa vẫn vui như thường. Mã: LV9. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",168.000₫,https://tka.tiki.vn/pixel/pixel?data=uJvr8icAAbEswyU6wkvrKppbZ0whmDVWBfsnSHw29Stc0mWkiEvZRByrs5HtTr_33JpJO4ll32Rd512y0h_prj1GHtYm_mlkZ67IpqNK-7kG9kfUzChx_hfJQ2URcxZbcOKVQXXjWgV5ITxq9xhVbuSCIqoX-7mBt_Keg_tHhlRPnojnv1qci0_hHSqzFzI0NegHrVuZjzVxRwpA5oqOfm9Xk00V31W5kXein9cthTs8LAUWg4hHUMi9YHv-K8vppwbipqFL2qVlc9cJyiDTNwZ8o4Ie6tdPnBzL9bDcgYyb5QLmJozG8pt5x9Gn4NgiFW-T9W8a7PId9nkx1mJieIwOdOCEeilNw1-20D7eYQf9I3w2HphFXMya-_BiGURHTlMzAsxLb1k0kWv34BHEmNOEtHPKolYTVi8rrJRX3ZHnVPQeYhX87Jl_rX-N4Z7FjioEddpTsKlenBjrkTc_yN5_Tei8tIesvdItTwbvCRX4-GRis-d2onEe7VgfTrsQ_pFR-YINKEe1GgAyG5ANYeZ6XkieKxgZ757wMpwNTD5x_3__ZHvroNEiuEElh2lB2-hbH80kZjWGXygFKqAVz8aOJXsURVNS9vYk8tS7CN1gn6R_b6ca6jE6f1tWIOcV7KhpqUxa27FMJfsV59F0RkaQSoKnFlt2r2X2kEBV9F3lWtgQ4Rt07vOY144Hoa1xWtjefDc-MU2mesuYPaAHLo6_Qzv5IAVG2twIoCgCZ7rPEw1uiDfx6XlTt9--od_1sbGH7CdfgTjDRmM2V5ojiVZhrRgg_PVsO0Nf3Ig4TNh9Co06EsQxBw-p-zT4o1NgBqCzb4JZ3ff4SPV8PrVL7wrCC8nbjnM9op5ZmuUXwJJprSMoS3aHcyiRo0eGQjTVl-_HTA9iyyjniTcA6feQmVpzDVr9FEraDxqlhKDt4U4X71RAD5I8FwTJcpJxRrXL4vzW6THkZqYWeOuyWyxbM66dTCfgzrcXx0Z3SYkS51QN7O6NGkXs0ZnJEMNTXJLDoLkxIFtKf-VxcbuZ0ulAT4HZIBF0wfX5znnL4a9OfySSRzf22YAHbL9gCb5_hAK8vJAiSjBWuHsPBpCV1heKxJI8VesVoUtOU8bKIN0ZgStkb11tpN5NEpitN0AHci_DmviH_p_breADIcjGJJaFpL7C68WAmOniZtlnpDabATLNXSorJ8v-S2DzPgvTuc7on97SYtiA5y5Ispd7zlaotOUhP14&reqid=fNsCDZdjlS7N7TBN&type=CLICK&pos=3,3,-46%,Đã bán 3,aonu
"BELIEVE IN YOURSELF, mã G32. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",119.000₫,https://tka.tiki.vn/pixel/pixel?data=o3eylcYu-64HDxWDmk8ri1oWUkrT3Zl1p1ht_LRPhiHyBV-cALbzvGryCp2UJhqjFDufizGXZ-JWC-csJP5qB8Ck7P4mwDQKdLSqeSYIzzC_ynkI13yQEaNRg3k0t-H-YqJusVLKAZIIDOiWuncVkodH1LjCVwVwSgteFXsHgpLjKndgbIyUDimKy5yzDoQA4LeeC3mv9ATSJvwO3ih0IlBiKur14eqHg4cEK6PTzIG6xAkGo4NUzLneeM9XJ_M9nUb5370Bl7E5nRoLyrSzwpYkBG-IZIpMuqvLokwY1T_aI9V7fO9lFB4wA1OZ6rRu694Tllnp3tSPJRtj-IsXZ8FXjdlQg7mMO-272qP50sDNVXMxZV85xAcplpZbBM-WsWMSJ0zaUdXZdypomZoYDionK6or9sulFNcPPalyzZqLwaXmGxwvsOOg_FYoVqGEw37Zp1RayDhK4ba9W3Q1yICUdDAfpR2eDD8UpBuF4_Job7l_pkxlfm7AXc00RkePVmI78FrhhJ6rI3fYIQbttLIl3utk1gFbo0Z3kTBFxKkC-w1g8WsgTzeIe1090x04Kw5LSTZBA3c71VNewB3XVXUhPbK3DTWIQMA6yNOec2iMh67ZSDCjfPeTVfYu3OGPoVoBK7BnT4BdbYL_eomNOia-hpBH0QKYpvni9AelA1owSiMzyKEJQ9CLCGNN6XYfoDc9Rr4lEnnZLNYHP14Sa-3EDwnVaF7smFVTDgLLyrSIbaPI_XTuPFd11UbZ-BOqd_PCSM0S7DgUQ2I0UQma7pidqLNXCEJ8TUZaaF6VYXnec--qQHTmk6YYSQJg3ly2MkH_aZX13TNgmP6_VbUtk5dn1UubXP7nilDmDXfCUc2mBLMt0Eq69B11zTfFdmNEIF-fRBpj0oX5paOpglkP-Zkx-r8Nv7KXI8GgPgJOmXj5e0vw6-IDpCLWYFKZ-bIUj7ZZU7JveUiFQ5sNUeX_QA14BCwyS7Cv-s8auS-63lMdxVVz8PRY6QoWCJJVAS4YfcyqQBBTkxH7ywLj0ehY1z9t0nHQJ4rN8q_yzg0XWJrMhVrc7OmNjpXxS2YlgQRkUOmAw4NSeVZEyt1-e_LlLgV7tvjWNxlGSTcFVhN3Af5GC_Dl2lhskKWfPAzkLOxmP34fuUbcI8-Mbo3BJCLLxZgk6IUoFXpajWKWB0DqRswgxgc1hwC-ys9oAL5KRiWqoruNjnIX9WBSAlSeymWmd1GCZz3xGtNtgpfDu01z5gEANCQ&reqid=fNsCDZdjlS7N7TBN&type=CLICK&pos=4,4,-71%,Đã bán 13,aonu
"Chim cú nghệ thuật, mã G24. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",69.000₫,https://tka.tiki.vn/pixel/pixel?data=IXeUm-gElyh0h0PuajldGlNFRYmeeWyHqPvFGozB1IQl8O2wbTwLmvVCuCtr8pVa_ftNDvT70V-QX6_daaUeoDiyI_H_VPmL5wIdTRQYSzFOM__Zv2kMf2XqZxa5gVWzREJn3fGdGAtXd_ej1cSswxqiEMJVnzminIHAFCYgKqQRtXjydoU2yJYML5aTLnGHvc4yYEsdqKhfQ6cGE7SVLswMi-T8YrSRa46oMhmz5Idze9Vmi1qrHC7Rki1Yj2XFWntDVM_Ogreq3JciIn1iW_yHeIsD-Bskp3h-xSUKXTGZyKqA_6tplDBQSfqbkEwNCylqoVnHuHYq879BYXnfKa6DNcQ2uPgvZFB5tzlMZvjv5Vjt2gEKE-KsyrlmfrW7Qqnio3bapheaBhDLciGbhUlUoVVJTv-467aIkGKo9LdZitci6Mgiu6FNxnqb3naSbxQQSWvGAze4_6GcnAAdkLISBh9vImVBOl3r9PXL6HGxsB5fkd4mEK3R2HOvzuvfDpD3WDaE0vIwCbteGOFAPHdhkV8JgHcfxcNGnYIaRCs_1xApYB62gCB6-twxsuyBMlLXTybzg3HCrV1E2sX7rv7VA6kHuAda9w65yITE3HC4pjlb1eFcA7QNTJyrjGcvKzHEgXCK1eXu0u2m-yGoY1KW95FmPkTJLZZ0JSHGDhXWeRlYgvYGinR0r972_f6Z0jAri3AzzM8Piiz0N1crzbu721-1AYEfgk5AfcT7x9K7Rflr02Ss3k-Hoh52QWIhk4Dna2Xk2kZSwbJBCsPP5mmj0iL82qEirnB5vZH8GQKyVRSMCssJ3qKVWDR7cEV5T-jmvfo9uuTOllxLLjngwU5zy8rRucvVvzaxOsU8SI4kiRbNT-znwBjrTAoX4kbvSWgv2o0t22vJ91PtBxEThMIdru44DE3e1Dq6qm2GPjJs8OOi8GZcHiOojrpshmfbBnBHletJW_uYPJmRtVsju9SsXFssJm9ZhqyBxyGhpzNQajT4YtANLnQxbQjXR2Z-BVUphj_nDzmtfiRSFgZGPJ-w_EcTkHL6vtd4V5sYLuIEvAULsl2do1ACgO90WKJ-ySRIQSSagamcswIpbk9aUKgmb389ypU_SCQfYwk_oZhucwh9cOjDSQ9SfIseeK0AhzjWuhm84PZa0CmI0WF3uSEQjfQjHpLMhTWV-LXbjz4g5iSV4B01YfxLk3bW3ATGA29Xxmt73wcK6nvHtPxSkMqqFjmf0188XinkZkrSRVKI&reqid=fNsCDZdjlS7N7TBN&type=CLICK&pos=5,5,-31%,Đã bán 5,aonu
Áo len nữ cổ tròn ngắn tay hiện đại trẻ trung len dệt kim mềm mịn co giãn dán mã VAA0316,139.000₫,https://tiki.vn/ao-len-nu-co-tron-ngan-tay-hien-dai-tre-trung-len-det-kim-mem-min-co-gian-dan-ma-vaa0316-p196378693.html?spid=196378726,6,-37%,Đã bán 60,aonu
Áo len nữ cao cổ dài tay len dệt kim Quảng Châu mềm mịn co giãn mã VAA0348,159.000₫,https://tiki.vn/ao-len-nu-cao-co-dai-tay-len-det-kim-quang-chau-mem-min-co-gian-ma-vaa0348-p204985388.html?spid=204985408,7,-18%,Đã bán 24,aonu
Áo thun nữ MXM cổ tròn form ôm body thun 4 chiều cực tôn dáng thêu chữ ( ANU012 ),87.000₫,https://tiki.vn/ao-thun-nu-co-tron-form-om-body-thun-4-chieu-cuc-ton-dang-theu-chu-anu0012-p273249491.html?spid=55099670,8,-38%,Đã bán 176,aonu
Áo thun tay lỡ form rộng - phông nam nữ cotton oversize - T shirt ONE - 2N Unisex,125.000₫,https://tiki.vn/ao-thun-tay-lo-form-rong-phong-nam-nu-cotton-oversize-t-shirt-one-2n-unisex-p217176777.html?spid=217176792,9,-49%,Đã bán 154,aonu
Áo Thun Ba Lỗ Nữ Trơn Sát Nách Thun Cotton 4 Chiều SN102 SALLY BOUTIQUE,19.000₫,https://tiki.vn/ao-thun-ba-lo-nu-tron-sat-nach-thun-cotton-4-chieu-sally-sn102-p197743064.html?spid=271433901,10,-14%,Đã bán 99,aonu
