title,price,link_item,index,discount,sales,category
"Áo thun nữ gân tăm tay ngắn cổ tim MADELA có Bigsize , chất liệu thun tăm mềm mịn thoáng mát , kiểu dáng basic dễ phối đồi ,áo có nhiều màu và size để lựa chọn- AT02",100.000₫,https://tiki.vn/ao-thun-nu-gan-tam-tay-ngan-co-tim-madela-co-bigsize-ao-thun-nu-gan-tam-co-v-dang-ngan-coptop-at02-p174621554.html?spid=174621919,1,,Đã bán 16,aonu
Áo Giữ Nhiệt Nữ Cổ Thấp LAROMA | Giữ Ấm - Siêu Co Dãn - Vải Thơm - Kháng Khuẩn,259.000₫,https://tiki.vn/ao-giu-nhiet-nu-laroma-co-tron-2-giu-am-khu-mui-co-dan-p139060303.html?spid=273060781,2,-50%,Đã bán 1,aonu
Áo Nữ Kiểu Voan Cổ Tròn Tay Loe,139.000₫,https://tiki.vn/ao-nu-kieu-voan-co-tron-tay-loe-p37944835.html?spid=37944837,3,,Đã bán 45,aonu
Áo kiểu nữ dáng suông phối nút bọc thời trang Eden - ASM155,279.000,https://tiki.vn/ao-kieu-nu-dang-suong-phoi-nut-boc-thoi-trang-eden-asm155-p95200387.html?spid=99037928,4,,,aonu
,,https://tiki.vn/ao-so-mi-nu-amazing-mau-trang-tay-dai-vai-kt-silk-size-tu-40-80kg-p102093936.html?spid=102093954,5,,,aonu
Áo giữ nhiệt nữ thu đông cổ lọ vải cotton co giãn nhiều màu cá tính,28.000₫,https://tiki.vn/ao-giu-nhiet-nu-thu-dong-co-lo-vai-cotton-co-gian-nhieu-mau-ca-tinh-p141087603.html?spid=141087609,6,-6%,Đã bán 78,aonu
Áo polo nữ ADINO màu xanh đen phối viền xẻ lai vải cotton co giãn dáng slimfit trẻ trung APN02,139.000₫,https://tiki.vn/ao-polo-nu-adino-mau-xanh-den-phoi-vien-xe-lai-vai-cotton-co-gian-dang-slimfit-tre-trung-apn02-p146230660.html?spid=146230668,7,-50%,Đã bán 97,aonu
Áo Kiểu Nữ Phối Ren,300.000₫,https://tiki.vn/ao-kieu-nu-phoi-ren-p15778466.html?spid=15778530,8,-67%,Đã bán 7,aonu
Áo phông nam nữ form rộng 2N Unisex thun cotton in hình gấu Panda thêu lông màu trắng/xanh,119.000,https://tiki.vn/ao-phong-nam-nu-form-rong-2n-unisex-thun-cotton-in-hinh-gau-panda-theu-long-mau-trang-xanh-p271419705.html?spid=271419707,9,-28%,Đã bán 1,aonu
,,https://tiki.vn/never-give-up-ma-g120-ao-thun-nu-nam-in-sieu-dep-ao-phong-thoat-nhiet-goking-hang-hieu-cao-cap-p173088537.html?spid=249533246,10,,,aonu
Áo kiểu nữ cổ yếm sợi móc mix vải thô boi viền hoa phong cách Hàn Quốc,90.000₫,https://tiki.vn/ao-kieu-nu-co-yem-soi-moc-mix-vai-tho-boi-vien-hoa-phong-cach-han-quoc-p201477500.html?spid=201477514,11,,,aonu
"Áo croptop tay ngắn nữ ôm body Madela cổ tròn, chất liệu cotton mềm mịn thoải mái , kiểu dáng basic trẻ trung, năng động - ACTN03",59.000₫,https://tiki.vn/ao-croptop-tay-ngan-nu-om-body-madela-croptop-nu-tron-ngan-tay-co-tron-dang-om-co-tron-actn03-p174622128.html?spid=174622318,12,,,aonu
,,https://tiki.vn/ao-thun-det-kim-nu-tay-ngan-kieu-ke-soc-ngu-sac-sinh-dong-thiet-ke-quang-chau-cao-cap-p191506467.html?spid=191506471,13,,,aonu
ÁO CỔ TRÒN TAY NHÚN PHỒNG SIÊU XINH,122.000₫,https://tiki.vn/ao-co-tron-tay-nhun-phong-sieu-xinh-p67991919.html?spid=67991931,14,,Đã bán 2,aonu
Áo Sơ Mi Nữ Trắng,127.400₫,https://tiki.vn/ao-so-mi-nu-trang-p15778396.html?spid=59377217,15,,Đã bán 35,aonu
Áo Sơ Mi Nữ Công Sở Căn Bản - trắng - NG001,115.000₫,https://tiki.vn/ao-so-mi-nu-cong-so-can-ban-trang-ng001-p41622540.html?spid=41622542,16,,Đã bán 6,aonu
ÁO VOAN TRỄ VAI NƠ TO ÁO TRỄ VAI,57.000₫,https://tiki.vn/ao-voan-tre-vai-no-to-ao-tre-vai-p148701217.html?spid=148701218,17,,,aonu
,,https://tiki.vn/ao-nu-phoi-ren-hoa-vai-va-canh-tay-haint-boutique-sm107-p14517336.html?spid=14517344,18,,,aonu
"Áo cổ nữ cổ V sang chảnh - nhiều size và màu, form dáng chuẩn thích hợp mặc đi làm, dự tiệc",148.000₫,https://tiki.vn/ao-co-nu-co-v-sang-chanh-nhieu-size-va-mau-form-dang-chuan-thich-hop-mac-di-lam-du-tiec-p94902348.html?spid=91512272,19,,Đã bán 14,aonu
"Áo Thun Nữ Cổ Tim Tay ngắn , Trẻ Trung, Mẫu Mới nhất",74.260₫,https://tiki.vn/ao-thun-nu-co-tim-tay-ngan-tre-trung-mau-moi-nhat-p138753770.html?spid=138757597,20,,Đã bán 22,aonu
"Áo trễ vai, áo hở vai nữ đẹp bèo tay phồng rộng dễ thương, mặc đi chơi, siêu hot trend, aloha - Đen",57.000₫,https://tiki.vn/ao-tre-vai-ao-ho-vai-nu-dep-beo-tay-phong-rong-de-thuong-mac-di-choi-sieu-hot-trend-aloha-p192182771.html?spid=192182775,21,,Đã bán 1,aonu
"Tokyo Japan, mã G34. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, áo phông cặp đôi, gia đình, đội nhóm",69.000₫,https://tiki.vn/tokyo-japan-ma-g34-ao-thun-nu-sieu-dep-ao-phong-nu-thoat-nhiet-goking-hang-hieu-p164546126.html?spid=249306490,22,,,aonu
(HÀNG SẴN) Áo Sơ Mi Voan Che Bụng Giảm Tuổi Trẻ Trung SM69 - Hàng Quảng Châu Cao Cấp,245.000₫,https://tiki.vn/hang-san-ao-so-mi-voan-che-bung-giam-tuoi-tre-trung-sm69-hang-quang-chau-cao-cap-p253102850.html?spid=253102852,23,,Đã bán 1,aonu
"Áo len Dài Tay Nữ Cổ 3 Phân, Áo Thun Cổ Lọ 3 phân dáng ôm body trơn giữ nhiệt 38-60kg",65.000₫,https://tiki.vn/ao-len-dai-tay-nu-co-3-phan-ao-thun-co-lo-3-phan-dang-om-body-tron-giu-nhiet-38-60kg-p164249439.html?spid=200719357,24,,,aonu
Áo Thun Nữ Sát Nách Cách Điệu 1 Bên Dây Bản To Dễ Thương Vải Cotton 65/35 Co Giãn Tốt Sally Boutique-3L03,90.200₫,https://tiki.vn/ao-thun-nu-sat-nach-cach-dieu-1-ben-day-ban-to-de-thuong-vai-cotton-65-35-co-gian-tot-sally-boutique-3l03-p252603395.html?spid=252603397,25,,Đã bán 3,aonu
,,https://tiki.vn/ao-phong-ngan-tay-ao-thun-tron-co-tron-dang-om-body-nhieu-mau-freesize-de-mix-do-p145684805.html?spid=145684809,26,,,aonu
Áo polo nữ ADINO màu đen phối viền xẻ lai vải cotton co giãn dáng slimfit trẻ trung APN02,139.000₫,https://tiki.vn/ao-polo-nu-adino-mau-den-phoi-vien-xe-lai-vai-cotton-co-gian-dang-slimfit-tre-trung-apn02-p146225246.html?spid=146225256,27,,Đã bán 46,aonu
"Áo dệt kim nữ thời trang vạt chéo ,tay bồng giả sơ mi kiểu Hàn Quốc chất đẹp, form to cho bạn gái từ 45-70kg",160.000₫,https://tiki.vn/ao-det-kim-nu-thoi-trang-vat-cheo-tay-bong-gia-so-mi-kieu-han-quoc-chat-dep-form-to-cho-ban-gai-tu-45-70kg-p208658034.html?spid=208658040,28,,Đã bán 4,aonu
Áo Khoác Nữ Croptop Lửng - Bomber Da lộn Kiểu Trơn Basic - 2 Lớp Lót Dù Có Khóa kéo Zip - Phong Cách Hàn Quốc Đẹp,145.000₫,https://tiki.vn/ao-khoac-nu-croptop-lung-bomber-da-lon-kieu-tron-basic-2-lop-lot-du-co-khoa-keo-zip-phong-cach-han-quoc-dep-p193638938.html?spid=196204819,29,,,aonu
áo sơ mi caro tay ngắn nữ,59.000₫,https://tiki.vn/ao-so-mi-caro-tay-ngan-nu-p170876622.html?spid=170876623,30,,,aonu
,,https://tiki.vn/ao-len-ba-lo-nu-co-v-goi-cam-tre-trung-chat-len-mem-min-co-gian-ma-vaa0305-p196378521.html?spid=196378604,31,,,aonu
PUMA - Áo hoodie nữ sát nách Dare To Hooded Cropped Vest 535624,599.000₫,https://tiki.vn/puma-ao-hoodie-nu-sat-nach-dare-to-hooded-cropped-vest-535624-04-p203396621.html?spid=203396624,32,,,aonu
Áo sơ mi caro phối năng động – MS0059A,175.000₫,https://tiki.vn/ao-so-mi-caro-phoi-nang-dong-ms0059a-p14436071.html?spid=14436073,33,,Đã bán 21,aonu
Áo Thun Ngắn Tay Cổ Tròn Nữ Giordano 05322246,229.000₫,https://tiki.vn/ao-thun-ngan-tay-co-tron-nu-giordano-05322246-p217473799.html?spid=217473809,34,,Đã bán 5,aonu
Áo Kiểu Nữ Cổ V Bèo Thân Tà Peplum Chất Tuytsi Hàn Mềm Mịn 53ANS8002PT,309.000,https://tiki.vn/ao-kieu-nu-co-v-beo-than-ta-peplum-chat-tuytsi-han-mem-min-53ans8002pt-p229715982.html?spid=229715992,35,,,aonu
,,https://tiki.vn/ao-kieu-gian-di-cho-me-sm20-hang-quang-chau-cao-cap-p195504985.html?spid=195505001,36,,,aonu
Áo Croptop Nữ UNI Tay Ngắn Form Rộng Ulzzang (ẢNH THẬT),69.000₫,https://tiki.vn/ao-croptop-nu-uni-tay-ngan-form-rong-ulzzang-anh-that-p85011303.html?spid=109533191,37,,Đã bán 163,aonu
