title,price,link_item,index,discount,sales,category
Chân Váy Xòe New Design Dáng Midi Dài Qua Gối Duyên dáng,329.000₫,https://tka.tiki.vn/pixel/pixel?data=ZF_wY_MSn40byaGaAQChl1QXSsPxoipCioNcadWlBWUWBMB4v--5urxcjMbwDSLovRyH0POiffvvePhG8NW3entNGi76C7SO1OlnqxZSjosg98mTNhWhmZWHioVliSStnyAx3GgP4B0_CRtuiGqPPdY4FuZtOXXUV1UpA61y7CYPeP5xcNPO4yYtk6BYcBONnXfWyOohj-lgBbztZm5E7_ZUCyfLHs1L4oqkKXtoJBNefw5Wslv4byoTHY8_095VUJMaf_l_CeizWYvbqmC6x6Po1eYWVxL4dSDKotr_5FeRxUJ1hTlO-s4fTn2a_eKEnzgU8rJ_C0OYmq55sldFgatUHn0tRDOB8j3rW4guXf25gLRjubaAgwYwjqZwWTKJ8V7O7h4reAR0sN8I3YQn-CIAmRVPnSKMrH5QexLL71MffXRx58OdMIU8IBuUmupzDwnKaR3uWtxUzpXkKpIvM8doPJCpmiaTQuy9irdpymn-JcGWAZpGMVBIipxXuqe4RNr1zjlgfEHcZbZtHL_0L8z9jBIjZnYvLaf_CF10ppPTgBQ4AWW3Lu9Z6nnhyjj3WXGiD7o2ZkLFIGnQ_ojgmucMdr15-9rm_vfbVpg43rH_aXUdCP0yHXBU0iW0nBu4twQcCGI46uU5IYi3Yg19B4GlrIENjNmdk1FLzDzvBvwplRMzSTQDfFj2rvV0oWik3lqqCtvgI70_3IeMLm04mdwXJ6lsJNK5CkFC-1hjZINgDtevOW3kPcHodNgtV_CSCQClq-vwz8W6fymkyVySbCFCnLPleF7X6coWLa8kAOLMgMJUwNY7f94CU88UIFEyZDkBaQN23WaBCxNlFhVRJoX5vMrqhZTn3nRJB0o1UnCtKzC2raAJIHdIbs74X-sUsIkEdLVo3ricGudCKrcFgjVdS2NehMweXsNLQdmiIP16TElG1V3qsN36d_JnSUidnMdN6qmwlKjfk24gMtpuIdAG0d8WGU2Ahs92ZVa4-TWDGHvXFBkhEI_h0gWBlbHoIQIFCKVM0b8GhJVgMd_CdUQB3Itc9cKwGZATLa4cUoqMMO7-URfxyB-duBcq3__m5uUbmvu4ab1l8gJoSVdg3mi1y24ypJKjpdLVdnjdtJvDsFzua5kvF-oHeG5IbnJi5COv&reqid=6XK77sS24SbJ9q0G&type=CLICK&pos=41,1,,Đã bán 21,chanvay
Chân váy bút chì - Váy công sở cao cấp có túi form chuẩn dáng đẹp,299.000₫,https://tka.tiki.vn/pixel/pixel?data=sQGCspTrf3DyAbRsY_1ENzowRpU3b4X0udq9Q1QQbdo8aERBwESBSujp8on9Ix3CE2X6bJBG5G-T-YoXvBE4jO2xpZIvuvep6CWSHXJlCfmWG47G0N5Do20Uuj3hP96Wg9zLgHzJqZQiwVb2t9CW4C_6Nz3X6zsDFz3Ka-zX1fIh2CnrP75ZPfz_zk1TUFgyDkAbEdFuvl8xKzGxctD9RLLVCpsg8MDeQrML0_hTBfm8_QCbu-y0o-gDMf1kQrWxRMk8Mg35s7TJm6Esu8NNZRRsGo27UGc1s1-Zxm9mzl-jMWZWF4kuJtExnEFxh20X1A58stx-AexLT2QsdZzFptBxSY5gjCM7MCvJ2lrRpurd3Rt0XplAJ3hAU_Q-yPajo__Bvgm4fgtub1Py3DLwv1NThub4x1wwqnb5ycfdxLtkdbhbkSOLRgaWhziul8vAQZtPIdGl70qzVk7DmxXa_9WjPXpCGp3GdnNAXUxQo4YiYR5FY8LTKne_AfxCMQFwODBko-Zf3gg4OD3rzBhqguHgm-szrp2e5eZR4k2hCqHk-OmFEUtL7KtdvN-P7eDx01YBy3PUBedKI86KUrMOT0KvxeyyV1vRmzC444OVEx1B9AUJmb7Plo3CJzpstO3goNyNU3euWA1qElujw9V0_k_xBKrsdhoQUkypNwibjj3bDA4KTlDPYh62gzZmOfaMAdHTCq9G_C5rdYXrk_bt3MgbAMNYY2R-hSmgZVi_3PklH8yF7cSP-jcB757o0YOe-1O3azFs6e7jYhEbsGxwxFhk35Rjiln7RwSMc_SJYo7S7tOhF3WpGQAeWSdf9lujUb6YhssWX6MM85Bmroz9hhHRnwG9NAeP0t6Ldp0qGXw4VU9kevRbdVaBojqgTNLKXRY067B7_ThsCKG6jR4loFn99-nrqtmsrKLdqKP7hk_aGPKT5u_2rFAZRkP1iNmPASx3xaaiAJW0-H7qqVODeUFLEo0pf60FDEvXhehsmmDE06E44_ClFMgtXwRXFBBthzOvTdU1Z29l2n3yniWWj_gDrHvWBlhckj2J7XUsRy3J2ridN_s3sqOmUi7Nq3ilzZgW3jM&reqid=6XK77sS24SbJ9q0G&type=CLICK&pos=42,2,-43%,Đã bán 38,chanvay
"Chân Váy Công Sở New Design Thiết Kế Dáng Váy chữ A, Dài Qua Gối ,Phối Nút, Phom Chuẩn Tôn Dáng Sang Trọng Vải Tốt co Giãn, Màu Đen CV0066",333.000₫,https://tka.tiki.vn/pixel/pixel?data=xwlEi9WHmgrp68mnYZmzegodmjHc54HPUoa-_igetiUJZjFXKKmTGPZ8W2QK41FOMT35qgb2C4u5hfFKsAcxB8ne8fgVLjnXixtTttgczPHkxk2PMDih1YkvafeNsw_G4ZhHocbWmRX8LI1vD-gUy3Kb0IFTQRI29UC91QmIgVgrj-pOPgx8YE37JrdVtqaWyY6fsTlo8VmUhigzB8gXpwXxt2zGY2OF0QkaJXvCUsahvMhTJHfEpp57BnAcbbr2ZgID5_ve3Rn0-npWvPog1bephAMSmXhhTh74suS_cuFpg00V9p4jCb7tSQC8fBOLaLBqGYCCKiY78hml6kYr4c0JJ3j98j0ihZ-XgyFwRUkwauVI5qN45jJgNGPPYBv78e5wDLnmaFIecHiXE_zj5-KeyXPOutfxB1-U3tzPE5djXHLiYp9tWQmOvqdveqTOds0pbmKKKWYAQEwaTJdSpM6wNV-XuTV8uaJrPmbodap_tgHYQ4905OUA8_q64gVtzvBoiHCzmZBxL8_6g2gpT6tDkXZV4eZG02Hbj_LNLYA4i5nj5KIW9LPxvam3xde7gbLuZ2kJt-dV0Nb_i50-MVL09KiqoRg-wh-TtlaRfWcQgLPzZX7aVAGxCNzzM7T9nTN_L9NfEkHJ3vc9t3iJG3vPoz-y8zCNKxVp-CghiQb40pEx51SfbOAktu7VBKYT5Wjz1E9k0BqNNkmOHHeBbRBvgnrW16NU4Y74HyVJNCTKx90c2NyuxvV0Maye1RpAIF1fYO-Qv8W_8c6wJka7rzKjTUGgqTSLayKqckkG6HmTeahzbjf2_D-HElgKPue_eLDCByM5gizj4joaA9qBeVboYbL99Vw2rY15DhqRK6OOZupyVN-CCLtuqlBxS0ouQnR-V9UhYtt1i-uMK0lQKAKcmyU6wRVBoW6GmtRFyfpqRd69hXPuWhQHk0svJ7f46VH1xWi1rsM3oaaorDTJToDVXq7hznFrtLor6yxfFs1BrREfEoqVgCx6VEho6gKhV00o2EJRvXfwNLzgAnP_FJ2bS4mQyHBL0mu2Z1Aqa_orpDdfjd3jRcbHxw8eLyyF3xZBYtl5npl2lYmABmdVh7OWtwP80FKJPVL7HR5Yu80L4JbXngTkCK1Av4JTsemxZqyPn12xG8yc78kv&reqid=6XK77sS24SbJ9q0G&type=CLICK&pos=43,3,,Đã bán 80,chanvay
"Chân váy công sở dáng đuôi cá, Lưng cao, Ôm body tôn dáng độ dài 60cm vải co giãn 4 chiều New Design CV015B",349.000,https://tka.tiki.vn/pixel/pixel?data=L0xeFJHbyu6tQrNTXxRLIs7jddYgoqfBayKpnC6yWHX388t9dyZXDlqDMJExSMgVih28rU7PVCSB7Xf4tSf6blHeB7sf8_qYjzmsMKbeQK-QILSV-E4BIy0SXhJWr1kLCLSRkRNMvVJp5SgMxK4ioPWSL2Jzw4HBfOf8z88ZDk2K9lMuSSPTcYw36d_pI06ZyjeRIdTXQhKJsbJb0gslHXdXUkVZxsi2RTuqOjtIQTuR7YNkWrdZ87DbeZk81Y4kbBbX1R5MYT6kXQGf6wju_2wW5nOeuvjwk0mewy8HWfjGsHJ-JXPzCf7hrXKGqI4zWReoWrdGNJ70ANjQBCtbYld5Ea_btEmnyJSHx8nb6JsnGRbQn6KI2x3VO5SpqZDzzpd1zUQOdOOiPHwKu8MzQvnOww7JTEOjlmrf0PQHk9_A4oZea51HfG55KRpL3OroXztpUQoEENYm5PFL7LP5APg_YADSgsohC7RMt2SDOgvd-zbI1pkz16XVsSWKi1BR-s0ezrRhmcXjGrBFO3bRR66lQy6QTzVP68eaW01SPyR9BVV8RrQNkffuPI-MnAYwNIIeYbNjWSm_PAMk2PTk7TEpjauHEbSevhM1RUM3-wTIPo-lFfvie4R25UpLsyUaYQ3cMIHN123DVbwMIhiXn_rA64v0rI7bFGpzqfgjizpWjErWHBEAKME1_rBBR9KVaU4-SsL3JNA8dPhqEckPXQ1B2Ga_fjP5gijtdq_xAb8ww3Z44MQi6NH4WsUP5XWVDQxBwiiQn7bFo5CZwUBN-k1n_2WxFoMLpuaG1wPJN3grEIGpglYHhtciCwg0gY55jm6yJyIynHeq5rlOpo6jSZgbFGWSUR0kg_ukug4o0jZhayiXE_DmH2czD_ElzPPGAfWFW--SklCn1fsFc5SgOSVuYk0EWU1H71oMHbRkWSELEGBs2rAv1IujbsznKWC3qH1GXPYtV5vvRzLri4ZjujOBTQw_Gp8D4uH_3gj9e5lGhIocR1FAo2dsRSUJK4ztMqw2bS6lWhu7YZWpv1q-Yw8nh0bQ3lmBfoE5wrXP_gaTsCOug1YTeSV__dnTeGMTtjCLGF0zoe6AZGZ_njLzhtMPuZjqEuLrcnxOdwZ02KTXKklDrbA3TfF1UTLkwVc&reqid=6XK77sS24SbJ9q0G&type=CLICK&pos=44,4,,,chanvay
,,https://tka.tiki.vn/pixel/pixel?data=fM9YAk6UYLOkRVpAC6uhLA4jaPsFfqTJtv6b2QHayyC9eOmF1y25US5_dqThPfhdGR4D4OgUsZRJahoLWSiIQIBtvTXYlx6eQgxp666ZP8yDx5vodDAGXfeNfTmMnRMivhaZgXKmM2Ui-TfxKYKrGJitjZVI5XDxJeurDtFTIT3dGOELuKDHxPO2b-Gv0AGrd2-j4RmWmfteApa8fTtLjk1T8UpWz9iSLSeAEhfM3zfe0OkOUEwJSafKNf4f9f5oKJ8BY8hqk1g1yNX5er9RjSEZc0jXUw3nrg4A2F5M8QfOWpRjWcMezxX5-fcK3TJCtDYRBSW8_MBZ4-l492Kib_NHAWZUlJxAORFKtzYxGmRpKM7xEqW3rdmMl2jsmVif88FLHLNKEdS77j6AaG6WxfLa4UTIdLHi8kqoru6UJGJg_2sl66kMshR7f2HAulQkGGgUnT6-TTiiMjhjQJcIUvzNm5jyfNEx8v9YDSDXpC4cejyFPDe-qNB_h4Wccw3KPu8_VRW5yGHtYBdE4Ch-vAlZS7WfOmiV2xvG5ECP7t5FL4WPwUQQuVA_zNFcP3YQhDrmHeLN9TuoCzb_RwWgdLaiGleYE-MzdTJBsMKA6f4WlWKtqGq0S3CmvDDk9ilEDaI5gZQ36cPmI_uINpn9CJyKGuRfIptCrzbJe_DxFUWqLDm67PUXM50AG2UxL02RtOIAjGep3Z4oxCB0EUvh33QQ1KzuopZnCu9KeexanNaXSAzMZANOrcRVD_9NOtiW9eXQlCa6ZernpDHPqnYcdYTLxhR-ZLImywMj21-544KIaieMHT-hOJF2i0WH3S0xvlo8ZeSNvfLlh-Pvtdf7QZaBHy1OS6p3UXWUPMOmhXiImUlFyxvXRKRVUvlHrkmPLYdIzeXUGQwWm3FLbkAsu1LLaDRY_tO4uZFD-0Ci-0Ux076LQtj8x3XfCWo1Yrdt4RB3tNJhdZRpIzRJ7uAnlDedI_pMSnxsMBgHvRiwIRHMMn2NvR5pg-WoJ-xQPTi6aUigGVa62nbsstIXuGPjdqt7vRqDmMFvNdiIC22uuwVPirBbNQ&reqid=6XK77sS24SbJ9q0G&type=CLICK&pos=45,5,-47%,,chanvay
"Chân váy Nana xinh xắn, dài qua gối dễ mặc đi làm, dạo phố",180.000₫,https://tiki.vn/chan-vay-nana-xinh-xan-dai-qua-goi-de-mac-di-lam-dao-pho-p59058392.html?spid=59058408,6,-40%,Đã bán 27,chanvay
chân váy đuôi cá chất tuyết mưa lịch sự,89.000₫,https://tiki.vn/chan-vay-duoi-ca-chat-tuyet-mua-lich-su-p105675753.html?spid=105675771,7,-47%,Đã bán 33,chanvay
Chân Váy Cạp Kiểu Tà Lệch Nắp Túi Dáng Suông Chất Tuytsi Cao Cấp 22CNS2001AT,249.000₫,https://tiki.vn/chan-vay-cap-kieu-ta-lech-nap-tui-dang-suong-chat-tuytsi-cao-cap-22cns2001at-p252294406.html?spid=252294410,8,-40%,Đã bán 3,chanvay
Chân Váy Xếp Ly Dáng Ngắn Chữ A Xòe Chất Tuytsi Cao Cấp 93CNS2002AT,349.000,https://tiki.vn/chan-vay-xep-ly-dang-ngan-chu-a-xoe-chat-tuytsi-cao-cap-93cns2002at-p263646039.html?spid=263646043,9,-40%,Đã bán 2,chanvay
,,https://tiki.vn/chan-vay-ren-luoi-3-lop-dang-dai-hoa-tiet-de-thuong-free-size-vay132-p77565572.html?spid=77565574,10,-49%,,chanvay
