title,price,link_item,index,discount,sales,category
Đầm Cho Người Trung Niên NG36X,360.000₫,https://tiki.vn/dam-cho-nguoi-trung-nien-ng36x-p7543425.html?spid=13696363,1,-13%,Đã bán 2,damnu
"Đầm suông chất đũi chữ A ArcticHunter, thời trang thương hiệu chính hãng",189.000₫,https://tiki.vn/dam-suong-chat-dui-chu-a-arctichunter-thoi-trang-thuong-hieu-chinh-hang-p67445256.html?spid=67445270,2,-42%,Đã bán 30,damnu
Đầm Hoa Cổ V Tay Ngắn Dễ Thương DN069 MayHomes,199.230₫,https://tiki.vn/dam-hoa-co-v-tay-ngan-de-thuong-dn069-mayhomes-p47262003.html?spid=47262023,3,-12%,Đã bán 39,damnu
ĐẦM BODY LỤA LỆCH VAI XẺ TÀ CAO CẤP,320.000,https://tiki.vn/dam-body-lua-lech-vai-xe-ta-cao-cap-p263366274.html?spid=263366290,4,,,damnu
,,https://tiki.vn/vay-dam-ngu-mac-nha-ao-ngu-ngan-tay-phoi-ren-vai-cotton-tu-nhien-mem-mai-thoang-mat-mac-mua-he-ma-vav0468-p271529941.html?spid=271529967,5,,,damnu
Đầm váy maxi rút dây 3 màu (kèm hình thật),212.000₫,https://tiki.vn/dam-vay-maxi-rut-day-3-mau-kem-hinh-that-p152897395.html?spid=152897405,6,-46%,Đã bán 1,damnu
Đầm dự tiệc 2 dây xếp li eo,335.000₫,https://tiki.vn/dam-du-tiec-2-day-xep-li-eo-p191135296.html?spid=191135309,7,-40%,,damnu
váy ren đuôi cá,110.500₫,https://tiki.vn/vay-ren-duoi-ca-p91607641.html?spid=91607647,8,,,damnu
Đầm váy nữ trung niên sơ mi dự tiệc dạo phố thắt lưng đơn giản đỏ xanh nhẹ nhàng,198.000,https://tiki.vn/dam-vay-nu-trung-nien-so-mi-du-tiec-dao-pho-that-lung-don-gian-do-xanh-nhe-nhang-p217149063.html?spid=217149066,9,,,damnu
,,https://tiki.vn/dam-body-sat-nach-dang-om-co-xe-v-chat-thun-gan-phong-cach-sexy-khoe-khan-ca-tinh-freesize-53kg-p174230329.html?spid=174230331,10,,,damnu
Đầm trung niên phối voan bigsize cao cấp (thời trang trung niên anitagreen) BS1-621,400.000₫,https://tiki.vn/dam-trung-nien-phoi-voan-bigsize-cao-cap-thoi-trang-trung-nien-anitagreen-bs1-621-p135519122.html?spid=135519140,11,,Đã bán 3,damnu
Đầm trung niên sang chảnh mẫu mới,209.000,https://tiki.vn/dam-trung-nien-sang-chanh-mau-moi-p272438839.html?spid=272438853,12,,,damnu
,,https://tiki.vn/dam-cong-so-thoi-trang-eden-d370-p22280841.html?spid=178279523,13,,,damnu
-Váy hoa nhí be cúp ngực đan dây hở eo hót hit,155.000₫,https://tiki.vn/vay-hoa-nhi-be-cup-nguc-dan-day-ho-eo-hot-hit-p198129004.html?spid=198129015,14,,,damnu
ĐẦM VINTAGE TAY PHỒNG MYMY,159.000₫,https://tiki.vn/dam-vintage-tay-phong-mymy-p136019920.html?spid=136019928,15,,Đã bán 5,damnu
"Đầm suông linen cổ tim chồng tay lỡ LAHstore, thời trang hè thu 2021 - Tím nhạt",250.000₫,https://tiki.vn/dam-suong-linen-co-tim-chong-tay-lo-lahstore-thoi-trang-he-thu-2021-tim-nhat-p110850992.html?spid=110851001,16,,Đã bán 22,damnu
ĐẦM DẠ HỘI TAY LỠ ĐÍNH HẠT XẺ TÀ QUYẾN RŨ,530.000,https://tiki.vn/dam-da-hoi-tay-lo-dinh-hat-xe-ta-quyen-ru-p270800343.html?spid=270800363,17,,,damnu
,,https://tiki.vn/dam-emy-em6907-xoe-do-phoi-ren-p225906963.html?spid=225906977,18,,,damnu
Váy nữ kiểu Pháp váy dài tay nữ tính ngọt ngào mã 9556,699.000₫,https://tiki.vn/vay-nu-kieu-phap-vay-dai-tay-nu-tinh-ngot-ngao-ma-9556-p184983955.html?spid=184983957,19,,Đã bán 1,damnu
Đầm nữ hoa nhí ARCTIC HUNTER đầm vải đũi ngắn tay kèm dây cột eo AH94,219.000₫,https://tiki.vn/dam-nu-hoa-nhi-arctic-hunter-dam-vai-dui-ngan-tay-kem-day-cot-eo-ah94-p73798770.html?spid=73798782,20,,Đã bán 25,damnu
OLV - Đầm Indigo Button Embro Dress,720.000₫,https://tiki.vn/olv-dam-indigo-button-embro-dress-p217734459.html?spid=217734461,21,,Đã bán 1,damnu
