title,price,link_item,index,discount,sales,category
Đồ bơi Bikini Khoét Eo tôn dáng  và sang chảnh,385.000₫,https://tiki.vn/do-boi-bikini-khoet-eo-ton-dang-va-sang-chanh-p184419068.html?spid=184419069,1,,,doboinu
Quần bơi Nữ BIKINI PASSPORT kiểu lưng cao- màu Xanh navy - BS129_NV,190.000₫,https://tiki.vn/quan-boi-nu-bikini-passport-kieu-lung-cao-mau-xanh-navy-bs129_nv-p202559561.html?spid=202559579,2,,Đã bán 1,doboinu
Đồ bơi nữ cao cấp dạng một mảnh yếm phối áo tay dài cover - Đen - VS187_BL,860.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-mot-manh-yem-phoi-ao-tay-dai-cover-den-vs187_bl-p202559704.html?spid=202559709,3,,,doboinu
Quần bơi Nữ BIKINI PASSPORT kiểu lưng cao đan dây phối cách điệu 2 bên- màu Đen - BS237_BL,190.000₫,https://tiki.vn/quan-boi-nu-bikini-passport-kieu-lung-cao-dan-day-phoi-cach-dieu-2-ben-mau-den-bs237_bl-p201146718.html?spid=201146722,4,,,doboinu
Đồ bơi nữ cao cấp dạng hai mảnh lưng thấp áo gọng - Xanh NEON - VS163_NEO,550.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-hai-manh-lung-thap-ao-gong-xanh-neon-vs163_neo-p201151848.html?spid=201151850,5,,,doboinu
Áo khoác ngoài đồ bơi dạng đuôi cá - Trắng - BC001_WH,440.000₫,https://tiki.vn/ao-khoac-ngoai-do-boi-dang-duoi-ca-trang-bc001_wh-p201151397.html?spid=201151398,6,,,doboinu
Đồ bơi nữ cao cấp dạng hai mảnh lưng thấp áo gọng - Hồng - VS163_PK,550.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-hai-manh-lung-thap-ao-gong-hong-vs163_pk-p201153046.html?spid=201153050,7,,,doboinu
Monokini bikini đồ bơi nữ tay dài đen viền ruy băng hở eo tôn dáng,350.000₫,https://tiki.vn/monokini-bikini-do-boi-nu-tay-dai-den-vien-ruy-bang-ho-eo-ton-dang-p248941863.html?spid=248941904,8,,,doboinu
Đồ bơi hai mảnh Navya (Phiên bản Đỏ),590.000₫,https://tiki.vn/do-boi-hai-manh-navya-phien-ban-do-p273164127.html?spid=273164131,9,,,doboinu
Đồ bơi một mảnh Lata (Phiên bản Xanh phối Đỏ),690.000₫,https://tiki.vn/do-boi-mot-manh-lata-phien-ban-xanh-phoi-do-p273164089.html?spid=273164095,10,,,doboinu
Bikini 2 mảnh váy đuổi cá màu thổ cẩm xinh xắn,280.000₫,https://tiki.vn/bikini-2-manh-vay-duoi-ca-mau-tho-cam-xinh-xan-p87437720.html?spid=87437721,11,,,doboinu
Áo lưới đi biển ( ảnh thật shop chụp),230.000₫,https://tiki.vn/ao-luoi-di-bien-anh-that-shop-chup-p87437366.html?spid=87437378,12,,,doboinu
Bikini 2 mảnh nâng ngực màu vàng trắng,280.000₫,https://tiki.vn/bikini-2-manh-nang-nguc-mau-vang-trang-p87438128.html?spid=87438143,13,,,doboinu
Bikini 2 mảnh basic họa tiết lá xanh đi biển đẹp,230.000₫,https://tiki.vn/bikini-2-manh-basic-hoa-tiet-la-xanh-di-bien-dep-p87437860.html?spid=87437927,14,,,doboinu
Bikini dứa cạp cao đi chơi biển đẹp,280.000₫,https://tiki.vn/bikini-dua-cap-cao-di-choi-bien-dep-p87437834.html?spid=87437906,15,,,doboinu
Dụng cụ lặn nước cao cấp Set 3 bộ - Best Seller Tony,734.400₫,https://tiki.vn/dung-cu-lan-nuoc-cao-cap-set-3-bo-best-seller-tony-p148695594.html?spid=148695600,16,,,doboinu
"Đồ bơi nữ cao cấp dạng một mảnh cổ V, có đai cách điệu - màu Vàng - VS169_YL",780.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-mot-manh-co-v-co-dai-cach-dieu-mau-vang-vs169_yl-p235880285.html?spid=235880291,17,,,doboinu
"Đồ bơi nữ cao cấp dạng hai mảnh áo tay ngắn, cổ V cách điệu - màu Flora - VS172_FLO",620.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-hai-manh-ao-tay-ngan-co-v-cach-dieu-mau-flora-vs172_flo-p235880465.html?spid=235880472,18,,,doboinu
Áo thun gia đình đẹp in mắt kính lá cờ dễ thương cao cấp,139.150₫,https://tiki.vn/ao-thun-gia-dinh-dep-in-mat-kinh-la-co-de-thuong-cao-cap-p190412845.html?spid=190412924,19,,,doboinu
"Bộ bơi 2 mảnh áo bèo ren, quần váy kín đáo, chất bơi lyrca dày dặn, mịn mát | KT013",350.000₫,https://tiki.vn/bo-boi-2-manh-ao-beo-ren-quan-vay-kin-dao-chat-boi-lyrca-day-dan-min-mat-kt013-p48175784.html?spid=48175794,20,,Đã bán 8,doboinu
"Áo tắm liền thân nữ cao cấp, đồ bơi phối ren lưới sexy quyến rũ, chất bơi Lycra lạnh dầy dặn đẹp, mẫu tôn dáng tránh lộ bụng | KT092",490.000₫,https://tiki.vn/ao-tam-lien-than-nu-cao-cap-do-boi-phoi-ren-luoi-sexy-quyen-ru-chat-boi-lycra-lanh-day-dan-dep-mau-ton-dang-tranh-lo-bung-kt092-p174010371.html?spid=174010373,21,,Đã bán 3,doboinu
Set bikini vải thổ dân quần nhúng cạp cao che bụng,189.000₫,https://tiki.vn/set-bikini-vai-tho-dan-quan-nhung-cap-cao-che-bung-p271233363.html?spid=271233364,22,,,doboinu
Bikini đồ bơi Cao Cấp 2 mảnh vải xốp gân siêu chảnh,165.000₫,https://tiki.vn/bikini-do-boi-cao-cap-2-manh-vai-xop-gan-sieu-chanh-p270971975.html?spid=270971976,23,,,doboinu
Set bikini bộ bơi đi biển liền thân hở lưng sang trọng,185.000₫,https://tiki.vn/set-bikini-bo-boi-di-bien-lien-than-ho-lung-sang-trong-p271233354.html?spid=271233355,24,,,doboinu
"Set bikini 2 mảnh sexy kèm khăn choàng quyến rũ, áo đệm mỏng cùng quần tam giác, mẫu Âu Mỹ trẻ trung khoe dáng trẻ trung nóng bỏng | KT520",260.000₫,https://tiki.vn/set-bikini-2-manh-sexy-kem-khan-choang-quyen-ru-ao-dem-mong-cung-quan-tam-giac-mau-au-my-tre-trung-khoe-dang-tre-trung-nong-bong-kt520-p224033205.html?spid=224033209,25,,,doboinu
"Bikini nữ cao cấp, mẫu 2 mảnh phối ren sang trọng quyến rũ, đồ bơi form chuẩn dáng đẹp, chất thun bơi lạnh dày dặn, mịn mát | KT220",530.000₫,https://tiki.vn/bikini-nu-cao-cap-mau-2-manh-phoi-ren-sang-trong-quyen-ru-do-boi-form-chuan-dang-dep-chat-thun-boi-lanh-day-dan-min-mat-kt220-p220983538.html?spid=220983550,26,,,doboinu
