title,price,link_item,index,discount,sales,category
Bàn Ủi Hơi Nước Đứng Cao Cấp Philips GC628/80 (2400W) - Hàng Chính Hãng,7.699.000₫,https://tiki.vn/ban-ui-hoi-nuoc-dung-cao-cap-philips-gc628-80-2400w-hang-chinh-hang-p263079166.html?spid=271613291,1,-45%,Đã bán 1,thietbigiadinh
Bàn ủi cầm tay Philips STH1000/10 - Hàng chính hãng,880.000₫,https://tiki.vn/ban-ui-cam-tay-philips-sth1000-10-hang-chinh-hang-p202611198.html?spid=202611199,2,-12%,Đã bán 13,thietbigiadinh
"Cây nước nóng lạnh Toshiba RWF-W1830BV(K) - Chức năng Eco, tiết kiệm điện, Nút cảm ứng, Tự ngắt điện khi quá tải - Hàng chính hãng - Bảo hành 12 tháng, Chất lượng Nhật bản",4.689.000₫,https://tiki.vn/cay-nuoc-nong-lanh-toshiba-rwf-w1830bv-k-chuc-nang-eco-tiet-kiem-dien-nut-cam-ung-tu-ngat-dien-khi-qua-tai-hang-chinh-hang-bao-hanh-12-thang-chat-luong-nhat-ban-p272968677.html?spid=272968678,3,-25%,,thietbigiadinh
Máy Hút Bụi Cầm Tay Karcher VC 4s - Hàng Chính Hãng,6.352.000,https://tiki.vn/ma-y-hu-t-bu-i-ca-m-tay-karcher-vc-4-hang-chinh-hang-p73089414.html?spid=73089415,4,,,thietbigiadinh
,,https://tiki.vn/cay-nuoc-nong-lanh-nhap-khau-binh-am-fujihome-may-nuoc-nong-lanh-binh-hut-3-voi-lanh-block-khoa-voi-nong-an-toan-tu-dong-ngat-tiet-kiem-dien-hang-chinh-hang-p248594259.html?spid=248594262,5,,,thietbigiadinh
Máy hút bụi lau nhà cầm tay không dây thông minh Ultty V08 - Lực hút 24000 pascal - Hàng chính hãng,5.419.000₫,https://tiki.vn/may-hut-bui-lau-nha-cam-tay-khong-day-thong-minh-ultty-v08-luc-hut-24000-pascal-hang-chinh-hang-p189641775.html?spid=270811275,6,-32%,Đã bán 1,thietbigiadinh
Máy Hút Bụi Mini Cầm Tay DEERMA CM1300 - Đa Năng 3 Trong 1 ( hàng nhập khẩu),780.000₫,https://tiki.vn/may-hut-bui-gia-dinh-cam-tay-3-trong-1-deerma-cm1300-hang-nhap-khau-p54373494.html?spid=51859897,7,,Đã bán 25,thietbigiadinh
"Máy sấy tóc Panasonic EH-ND37-K645 - Sấy nhanh với hiệu quả tương đương 2000W - Chế độ chăm sóc da đầu, bảo vệ nhiệt - Hàng Chính hãng",669.000₫,https://tiki.vn/may-say-toc-panasonic-eh-nd37-k645-say-nhanh-voi-hieu-qua-tuong-duong-2000w-che-do-cham-soc-da-dau-bao-ve-nhiet-hang-chinh-hang-bao-hanh-12-thang-p200962888.html?spid=200962889,8,-32%,Đã bán 9,thietbigiadinh
Robot hút bụi lau nhà Xiaomi Lydsto G4 - Hàng nhập khẩu,3.390.000,https://tiki.vn/robot-hut-bui-lau-nha-xiaomi-lydsto-g4-hang-nhap-khau-p252726769.html?spid=252726771,9,-50%,,thietbigiadinh
,,https://tiki.vn/may-hut-bui-cam-tay-khong-day-falcon-q5-gia-dinh-mini-pin-sac-hut-giuong-dem-sofa-xe-hoi-luc-hut-manh-hang-chinh-hang-p262884146.html?spid=199597721,10,-33%,,thietbigiadinh
Máy May Mini Cầm Tay - GDHN Loại Tốt,89.999₫,https://tiki.vn/may-may-mini-cam-tay-gdhn-loai-tot-p126515191.html?spid=196343284,11,-31%,Đã bán 25,thietbigiadinh
Máy hút bụi Deerma DX700S ( hàng nhập khẩu ),658.000,https://tiki.vn/may-hut-bui-deerma-dx700s-hang-nhap-khau-p109219377.html?spid=109219378,12,-13%,,thietbigiadinh
,,https://tiki.vn/quat-dung-dieu-khien-tu-xa-senko-dr1608-hang-chinh-hang-p82895229.html?spid=152522086,13,-49%,,thietbigiadinh
Máy hút bụi không dây 3 trong 1 Samsung VS03R6523J1 - Hàng chính hãng,3.985.000₫,https://tiki.vn/may-hut-bui-khong-day-3-trong-1-samsung-vs03r6523j1-hang-chinh-hang-p55169649.html?spid=178935311,14,,Đã bán 10,thietbigiadinh
