title,price,link_item,index,discount,sales,brand
Giày đế bằng thời trang bé trai Anta Kids W312329931,499.500₫,https://tiki.vn/giay-de-bang-thoi-be-trai-anta-kids-w312329931-p252166085.html?spid=252166087,1,-50%,Đã bán 1,anta
Tất Thể Thao Bé Gái Anta Kids 392237355,89.100₫,https://tiki.vn/tat-the-thao-be-gai-anta-kids-392237355-p272456965.html?spid=272456969,2,-10%,,anta
Quần dài thể thao bé gái Anta Kids 362325740,539.500₫,https://tiki.vn/quan-dai-the-thao-be-gai-anta-kids-362325740-p252160633.html?spid=252160641,3,-50%,,anta
Quần dài thể thao bé gái Street Dance Anta Kids W362349746,539.100,https://tiki.vn/quan-dai-the-thao-be-gai-street-dance-anta-kids-w362349746-p273513174.html?spid=273513176,4,,,anta
,,https://tiki.vn/giay-the-thao-cho-be-gai-anta-kids-mat-luoi-thoang-khi-de-chong-mai-mon-thiet-ke-quai-dan-tien-loi-w322329904-3-p271982322.html?spid=271982326,5,,,anta
Tất Thể Thao Bé Trai Anta Kids W392329302,80.100₫,https://tiki.vn/tat-the-thao-be-trai-anta-kids-w392329302-p272458413.html?spid=272458415,6,-10%,Đã bán 2,anta
"Giày thể thao bé trai Anta Kids, dòng chạy, thiết kế khóa habu thông minh, vải lưới thoáng khí 312239905",1.119.300₫,https://tiki.vn/giay-the-thao-be-trai-anta-kids-dong-chay-thiet-ke-khoa-habu-thong-minh-vai-luoi-thoang-khi-312239905-p270127617.html?spid=270127631,7,-30%,,anta
Giày thời trang bé trai Anta Kids thương hiệu 312249919-1,825.300₫,https://tiki.vn/giay-thoi-trang-be-trai-anta-kids-thuong-hieu-312249919-1-p263070602.html?spid=263070627,8,-30%,,anta
Giày thể thao bé gái thời trang Anta Kids 322249915,979.300,https://tiki.vn/giay-the-thao-be-gai-thoi-trang-anta-kids-322249915-p217454263.html?spid=217454292,9,,,anta
,,https://tiki.vn/giay-thoi-trang-be-trai-anta-kids-thiet-ke-khoa-thong-minh-mat-luoi-thoang-khi-312239928-5-p263070894.html?spid=263070903,10,,,anta
Quần dài thể thao bé gái Anta Kids 362329727,399.500₫,https://tiki.vn/quan-dai-the-thao-be-gai-anta-kids-362329727-p252162068.html?spid=252162076,11,-50%,,anta
"Giày bóng rổ bé trai Anta Kids chất liệu êm ái, đế cao su chống mài mòn, bảo vệ chân W312321124",1.999.000,https://tiki.vn/giay-bong-ro-be-trai-anta-kids-chat-lieu-em-ai-de-cao-su-chong-mai-mon-bao-ve-chan-w312321124-p271233949.html?spid=271233957,12,,,anta
,,https://tiki.vn/chan-vay-the-thao-be-gai-anta-kids-w362328384-p270978290.html?spid=270978308,13,-50%,,anta
Quần lửng thời trang bé trai Anta Kids W352321781,339.500₫,https://tiki.vn/quan-lung-thoi-trang-be-trai-anta-kids-w352321781-p252867256.html?spid=252867270,14,-30%,,anta
Giày đế bằng thời trang bé gái Anta Kids 322238002-4,1.119.300₫,https://tiki.vn/giay-de-bang-thoi-trang-be-gai-anta-kids-322238002-4-p263044279.html?spid=263044283,15,-30%,,anta
Giày thời trang bé trai Anta Kids thương hiệu 312249917,1.119.300₫,https://tiki.vn/giay-thoi-trang-be-trai-anta-kids-thuong-hieu-312249917-p263043222.html?spid=263043257,16,,,anta
"Áo nỉ bé gái Anta Kids kiểu dáng hoodie, chất liệu cao cấp 362248723",679.500,https://tiki.vn/ao-ni-be-gai-anta-kids-kieu-dang-hoodie-chat-lieu-cao-cap-362248723-p263356570.html?spid=263356596,17,,,anta
,,https://tiki.vn/giay-thoi-trang-be-gai-thuong-hieu-anta-kids-giay-sieu-nhe-322239928-p263043448.html?spid=263043517,18,-50%,,anta
