title,price,link_item,index,discount,sales,brand
"[HCM Hỏa Tốc] Hộp 4,0kg muối rửa chén Finish Salt (2 GÓI 2KG/HỘP) - (Hỗ trợ làm mềm nước khoan nước của máy rửa chén)",359.100₫,https://tiki.vn/hcm-hoa-toc-hop-4-0kg-muoi-rua-chen-finish-salt-2-goi-2kg-hop-ho-tro-lam-mem-nuoc-khoan-nuoc-cua-may-rua-chen-p270502686.html?spid=270926076,1,,,finish
Dung Dịch Tẩy Rửa Máy Rửa Chén Bát Finish Dishwasher Deep Cleaner - chai 250ML,125.000₫,https://tiki.vn/dung-dich-tay-rua-may-rua-chen-bat-finish-dishwasher-deep-cleaner-chai-250ml-p253350129.html?spid=270927065,2,,,finish
[HCM Hỏa Tốc] Chai 400ml nước làm bóng chén Finish (Hương Chanh) – (Hỗ trợ sấy khô và không bị đọng nước trên thủy tinh),171.000₫,https://tiki.vn/hcm-hoa-toc-chai-400ml-nuoc-lam-bong-chen-finish-huong-chanh-ho-tro-say-kho-va-khong-bi-dong-nuoc-tren-thuy-tinh-p270502705.html?spid=270925824,3,,,finish
"Combo : Viên rửa bát Finish All in one 90 + Muối Finish 1,5kg",650.000,https://tiki.vn/combo-vien-rua-bat-finish-all-in-one-90-muoi-finish-1-5kg-p134760133.html?spid=137827760,4,,,finish
,,https://tiki.vn/combo-bot-rua-bat-finish-2-5kg-muoi-finish-1-2kg-p162209777.html?spid=173359651,5,,,finish
Viên rửa bát Finish Nhật 150 viên,259.000₫,https://tiki.vn/vien-rua-bat-finish-nhat-150-vien-p247763717.html?spid=247763718,6,,,finish
Combo Finish: Viên Classic 110 + muối 4kg + bóng 1150ml,768.999₫,https://tiki.vn/combo-finish-vien-classic-110-muoi-4kg-bong-1150ml-p169737205.html?spid=188029503,7,,,finish
"Bán lẻ viên rửa bát Finish Classic - hãng Bosch, Siemens khuyến cáo sử dụng",14.990₫,https://tiki.vn/ban-le-vien-rua-bat-finish-classic-hang-bosch-siemens-khuyen-cao-su-dung-p162150509.html?spid=206146991,8,,,finish
Bột rửa bát Finish Hương Chanh - HÀNG NHẬP KHẨU CHÍNH HÃNG,559.000,https://tiki.vn/bot-rua-bat-finish-huong-chanh-hang-nhap-khau-chinh-hang-p169737173.html?spid=206146161,9,,,finish
,,https://tiki.vn/combo-vien-rua-che-n-finish-48-vien-muoi-somat-1-2kg-nuoc-lam-bong-alio-1-li-t-dung-cho-may-rua-bat-p134759395.html?spid=134759404,10,,,finish
Combo viên rửa bát 77 viên + Muôi finish 1.5kg + bóng finish 1150ml,139.000₫,https://tiki.vn/combo-vien-rua-bat-77-vien-muoi-finish-1-5kg-bong-finish-1150ml-p134758922.html?spid=141654917,11,,,finish
Bột rửa chén finish 2.5kg+Muối rửa chén Finish 1.5kg+Nước bóng finish 750ml,799.000,https://tiki.vn/bot-rua-chen-finish-2-5kg-muoi-rua-chen-finish-1-5kg-nuoc-bong-finish-750ml-hanoimart-p134759407.html?spid=174896710,12,,,finish
,,https://tiki.vn/combo-2-hop-90-vien-rua-bat-finish-classic-dishwasher-tablets-lemon-huong-chanh-2x90vien-p186689881.html?spid=207311611,13,,,finish
"Combo 2 chai nước làm bóng và khô bát, đĩa Finish Dishwasher Rinse & Shine Aid Regular 400ml (2x400ml)",245.000₫,https://tiki.vn/combo-2-chai-nuoc-lam-bong-va-kho-bat-dia-finish-dishwasher-rinse-shine-aid-regular-400ml-2x400ml-p186689865.html?spid=207311502,14,,,finish
Combo 2 hộp 90 viên rửa bát Finish Classic Dishwasher Tablets (2x90viên),590.000₫,https://tiki.vn/combo-2-hop-90-vien-rua-bat-finish-classic-dishwasher-tablets-2x90vien-p186689877.html?spid=207311650,15,,,finish
"Combo Finish Eco : Gel rửa bát Eco 900ml + Bóng Eco 400ml + Muối 1,5kg",625.000₫,https://tiki.vn/combo-finish-eco-gel-rua-bat-eco-900ml-bong-eco-400ml-muoi-1-5kg-p162150524.html?spid=189320054,16,,Đã bán 1,finish
combo muối rửa bát finish 1.2kg + Nước làm bóng finish 400ml+ viên rửa bát finish 22 viên,399.000,https://tiki.vn/combo-muoi-rua-bat-finish-1-2kg-nuoc-lam-bong-finish-400ml-vien-rua-bat-finish-22-vien-p134759819.html?spid=141655686,17,,,finish
,,https://tiki.vn/15-vien-ru-a-ba-t-finish-all-in-1-le-p134760023.html?spid=141655868,18,,,finish
Viên rửa bát Finish All in 1 max- NHẬP KHẨU CHÍNH HÃNG,335.000₫,https://tiki.vn/vien-rua-bat-finish-all-in-1-max-nhap-khau-chinh-hang-p169737220.html?spid=171751836,19,,Đã bán 5,finish
Combo 2 hộp 90 viên rửa bát Finish nhập khẩu Châu Âu Classic Dishwasher Tablets (2x90viên),590.000₫,https://tiki.vn/combo-2-hop-90-vien-rua-bat-finish-nhap-khau-chau-au-classic-dishwasher-tablets-2x90vien-p186635182.html?spid=207311664,20,,Đã bán 1,finish
"Combo bột rửa bát Finish 2,2kg + Muối rửa bát Finish 1,2kg + Nước làm bóng Finish 400ml+ Tặng 3 viên finish",699.000₫,https://tiki.vn/combo-bot-rua-bat-finish-2-2kg-muoi-rua-bat-finish-1-2kg-nuoc-lam-bong-finish-400ml-tang-3-vien-finish-p168369971.html?spid=173671852,21,,,finish
Viên Finish All in 1 hộp 100 viên - Combo 90V classic+muối 1.2kg+bóng 800ml,569.000₫,https://tiki.vn/vien-finish-all-in-1-hop-100-vien-p205434499.html?spid=273857442,22,,,finish
Muối Finish 1.2kg dùng cho máy rủa bát,99.000₫,https://tiki.vn/muoi-finish-1-2kg-dung-cho-may-rua-bat-p168378514.html?spid=174272385,23,,,finish
"Viên rửa chén bát Finish Quantum cap cấp 60 Viênchỉ 1 viên cho 1 lần rửa, không cần muối hay nước bóng",389.000₫,https://tiki.vn/vien-rua-chen-bat-finish-quantum-cap-cap-60-vienchi-1-vien-cho-1-lan-rua-khong-can-muoi-hay-nuoc-bong-p168377689.html?spid=174315492,24,,,finish
Viên rửa bát Finish 110 viên Mỗi lần rửa dùng 1 viên cho 1 chu trình rửa của máy,359.000,https://tiki.vn/vien-rua-bat-finish-110-vien-moi-lan-rua-dung-1-vien-cho-1-chu-trinh-rua-cua-may-p205473575.html?spid=173257948,25,,,finish
,,https://tiki.vn/vien-rua-chen-finish-quantum-max-60-vien-huong-chanh-tang-vien-rua-bat-finish-dung-thu-p168379094.html?spid=172024633,26,,,finish
Khử mùi Máy rửa bát Finish - hương chanh,114.100₫,https://tiki.vn/khu-mui-may-rua-bat-finish-huong-chanh-p162150606.html?spid=174878259,27,,,finish
Bột rửa bát Finish 2.5kg thương hiệu rửa chén đĩa tự động số 1 thế giới,559.000₫,https://tiki.vn/bot-rua-bat-finish-2-5kg-thuong-hieu-rua-chen-dia-tu-dong-so-1-the-gioi-p168377690.html?spid=174280556,28,,,finish
Gel rửa Finish All In 1 Max Eco 0% 900ml,318.900₫,https://tiki.vn/gel-rua-finish-all-in-1-max-eco-0-900ml-p172160142.html?spid=174847388,29,,Đã bán 2,finish
Combo Viên rửa bát Finish Quantum 60 viên hương thường + Muối Finish 4kg + Nước làm bóng Finish 400ml hương chanh,719.000,https://tiki.vn/combo-vien-rua-bat-finish-quantum-60-vien-huong-thuong-muoi-finish-4kg-nuoc-lam-bong-finish-400ml-huong-chanh-p144380354.html?spid=153804312,30,,,finish
,,https://tiki.vn/vien-rua-bat-finish-classic-110-vien-mau-2023-moi-lan-rua-dung-1-vien-hoac-co-the-1-2-vien-p205473124.html?spid=172072562,31,,,finish
Gel rùa bát finish chuyên dụng cho máy,285.000₫,https://tiki.vn/gel-rua-bat-finish-chuyen-dung-cho-may-p205503378.html?spid=249220050,32,,,finish
"COMBO FINISH: VRB Classic 90 viên + Muối 1,2kg + Bóng 750ml",511.099₫,https://tiki.vn/combo-finish-vrb-classic-90-vien-muoi-1-2kg-bong-750ml-p162209844.html?spid=171953781,33,,,finish
bột rửa bát Finish hộp 2.5 kg,559.000₫,https://tiki.vn/bot-rua-bat-finish-hop-2-5-kg-p205492114.html?spid=141655419,34,,,finish
Combo bóng finish 1150ml + viên finish 77 tabs + 1.2kg muối rửa bát Finish,49.000₫,https://tiki.vn/combo-bong-finish-1150ml-vien-finish-77-tabs-1-2kg-muoi-rua-bat-finish-p134760685.html?spid=205284431,35,,,finish
,,https://tiki.vn/vien-rua-bat-finish-classic-90-vien-hop-nhap-khau-eu-p205547642.html?spid=174865461,36,,,finish
[HCM] Viên rửa bát Finish Classic 110 viên/ hộp,359.000₫,https://tiki.vn/-hcm-vien-rua-bat-finish-classic-110-vien-hop-p205489918.html?spid=126070975,37,,,finish
