title,price,link_item,index,discount,sales,category
(HCM) ÁO HODDIES CỔ CHUI FORM RỘNG - THỜI TRANG THU ĐÔNG ẤM ÁP - SIÊU HOT CHO CÁC ANH EM THOITRANGNAM1986,198.000₫,https://tiki.vn/hcm-ao-hoddies-co-chui-form-rong-thoi-trang-thu-dong-am-ap-sieu-hot-cho-cac-anh-em-thoitrangnam1986-p203999602.html?spid=203999604,1,-12%,,aohoodie
Áo Hoodie Nam Nữ VISION Form Rộng Unisex Vải Xịn,125.100₫,https://tiki.vn/ao-hoodie-nam-nu-vision-form-rong-unisex-vai-xin-p261900101.html?spid=261900107,2,-12%,,aohoodie
"Áo hoodie dây kéo, Vải Nỉ Ngoại, Nam Nữ, Phản Quang Goku, Anam Store",157.250₫,https://tiki.vn/ao-hoodie-day-keo-vai-ni-ngoai-nam-nu-phan-quang-goku-anam-store-p261901502.html?spid=261901539,3,,,aohoodie
"Áo Hoodie Nam Nữ LUFFY 2 Vải Nỉ Ngoại Dầy Nón 2 Lớp Tay Bo Gân, Anam Store",125.100₫,https://tiki.vn/ao-hoodie-nam-nu-luffy-2-vai-ni-ngoai-day-non-2-lop-tay-bo-gan-anam-store-p261901436.html?spid=261901458,4,,,aohoodie
ÁO HOODIE FORM RỘNG NAM NỮ XXX,162.350₫,https://tiki.vn/ao-hoodie-form-rong-nam-nu-xxx-p261901312.html?spid=261901318,5,,,aohoodie
(HCM) ÁO NỈ HODDIES CỔ TRÙM ĐẦU - THỜI TRANG NAM NỮ SIÊU XỊN . HOTTREND TT THU ĐÔNG XỊN THỜI TRANG NAM 1986,99.000₫,https://tiki.vn/hcm-ao-ni-hoddies-co-trum-dau-thoi-trang-nam-nu-sieu-xin-hottrend-tt-thu-dong-xin-thoi-trang-nam-1986-p205519628.html?spid=205519654,6,,,aohoodie
Áo khoác Hoodie phối cực Chất GA1,195.000₫,https://tiki.vn/ao-khoac-hoodie-phoi-cuc-chat-ga1-p6348617.html?spid=44295041,7,,Đã bán 4,aohoodie
Áo Khoác Hoodie Trơn(Nỉ Bông),158.000₫,https://tiki.vn/ao-khoac-hoodie-tron-ni-bong-p160400051.html?spid=160400136,8,,,aohoodie
Áo hoodie trơn cá tính DTR0919,156.000₫,https://tiki.vn/ao-hoodie-tron-ca-tinh-dtr0919-p160400160.html?spid=160400246,9,,,aohoodie
"Áo khoác Jujutsu Kaisen, Áo Hoodie Anime in hình Gojo Satoru",78.000₫,https://tiki.vn/ao-khoac-jujutsu-kaisen-ao-hoodie-anime-in-hinh-gojo-satoru-p263320736.html?spid=263321519,10,,,aohoodie
