title,price,link_item,index,discount,sales,category
"Áo Nỉ Nam Dài Tay 5S FASHION Cổ Tròn, Vải Cotton USA, Mềm Mại, Dày Dặn, Giữ Ấm Tốt, Thiết Kế Trơn Basic, Năng Động (ANO23027)",214.000₫,https://tka.tiki.vn/pixel/pixel?data=KZz6blii6iqFcbSCXFMu7GAlSeTNA6vw2EkI21WfnMectWeu_Rzk6MEGjDplTbqt-17r_MhX5jKTFwPYZ6DVgUhqta-FQagJKL5raK4w_VuZ2agxOkHBfmJu6XsM_69xED6rcwFM6ogADxO38kUuNlJmUVj6Y2zob_pdf-sibpvXdo82rRzjoFdNXdWMmi18l5CKFWqCi6k0_mDDoV7FfwBMXbTOJfSPaG4f28QTY4nH4CX8q5aa5EOJmmJQGvJI9Vwni_l3NLwHQWLC6fQzm7txvTZh1YL3hMZIRHIdBLJaI5xLpiSBEwLdeauWA2hbFlhc07y5Q2nnrzR07Y8gvpo7zBMGa2LXxuXkaF3Dprdx6q7JV7-uSaWtQjJMMupHw7S-IzE63CMIbzjAlYKEdPySGoTkqDXdtAPl_0M2Oox6whIoOrwjX2oLT05g0HXqYMr7l-EcDDc4WFqmOCrRooOAvNcqK7KxfZWaQVXgh5Cgdh04p9GqgGKX6PvUlqDAfco6IJQfa4iedECeFilep_W0hrR0JX-OTOap90jkAWpGA8oBWFmfKIIW4-SixnNU7AhDxAk-Vmm8LKjDGezY9LoF1Kgkadak2Rd2LvADFLhsQuxbdfqz01XqCsC1XsZdU5a-chd_n-yiPdjedmiwPFsvOuuHz8gKhnyjcHVoLtrQ4vAjonSE5Ll8ifrzuFVB1llLgsFOJ6vMGvgg3vwGMzUt5D-Z9sqO1CP2NOvtBWJdltgCp06DmH_fA1GfzvIUxe6WIE2p4WY2G7bfTf8aK_VFi4LjznfeOWsQYhJt-pDlWXWUGXG7Ra_pt0i6jeg79JirDZ906IaiQXphVfy_szPYhL2iao7e_b9K3r03V7ZC4h1AVTTD0qxiZBFtTCmXCzi9nSItiSeRJe_m0mTkt826wWK0Lmrc7WuXmssd3OZLqQqSlfF71nGfKWBNPz-F4WxjKF_hj1-udjFgFbspzToFd4U0FRusya0V8fflG8GDBHYqsUM7lKzXUUNIIpZd_9P5dCdAn03bo2nwZkCxlGYczyzM45wfQRVX_QsO4W2WtvKHkMv9_LUpG2jmjTRdZ2qn7eiOs67O22bazze3wFwEWdLJK1cF57LqFEKGf2gsXHPq5EKn7VAq2pr3_5WbugnDlqUSCFmVlrKMUn4IRyaCJboLadLHfnRbX1gRI_55HTgv81kwPcQO3HyfeyDsE-RH5bgPgWNAW4se5PVxKcELFxktoQ&reqid=60ENNjpFd21zxt6e&type=CLICK&pos=1,1,-35%,Đã bán 7,aoni
"Áo Sweater Nỉ Nam 5S FASHION Cổ Tròn, Vải Cotton, Mềm Mại, Giữ Ấm Tốt, Thiết Kế Can Phối Tay, Năng Động (ANO23004)",189.000₫,https://tka.tiki.vn/pixel/pixel?data=im148HOYRIkqnEsSH7yAyYD4-LQTsNLw-UHGYyNKt3waH2hJopbMkJpnv0-0DNGXJjw96ya9edNyK-2--HSXelTcNzFuIemQE74qivpTTxan3cD13pRUgPjYuO2zoA46lQ-ZmovlW30doGGhP5pl6Hhngj9Cci095-QUYzi0IEwHIBLUHv7r_1roeO7hPwUqNfB0mxiaQwauoCRELMg8LKX2OAaL5RW0E8xuJ9S96Smt_OHgWeAaGH2NkBjSbsNTNLwKGWaEIP5KohIms0ipF0_PE8_L93zsks44CTsbntRN7au3CtJuXlndyP6IcuzxKrwOYeQru9Qff10uGFaNd_DN1ONe-TyajZOxSEwiTRlUNYjfIO5nETeKHuJW7-S_YNDZhRnsT0bVZIqyD704ExW8opZ8IAHz2KCb7E_XXxRdmzgewy1VO1pIuaduwZBZCkBcQPBXk44qtzdnV_TVN2hjFTg8ttphI0K-KqFMrqdtIlqDDTsirTjebYhUSqZay7nVTl6jMSSquJN97kkWOchJomb_cOpcs7PNhzuCNeMdFJ8ZSmcipoBb679U0NmDpAU6Sa8yoE9eGSRu4X29Iqryk-_AB9gjcLYz-7_5gapIkEizrsx--k9Qcet13mAtroyM1QzlbPRAm9CmGDq-d23CIFwVLK9nbV2PfG7jx7P2jl3DgZXzPXwJpPBkE4v73svYxrg-SfW99yDTM5vw56iXIbt-d-diWLSudb8pihlsXXr9IOwbGJtWbghRenENgGqZdecdL3Od0QdUQLKZkJ2EOuQn0-YvCIasmLfBKA-0fey__c8zisIqOQsMhHf-NbYF31xh5omMPcA4XBcybZdWBdyID7z-_FsVGTK3vH9a7e6R2Xx9_7oRuMzq6En_pV03WS8iIWxfIEQHey-b7sBIFZMwZmPzmNhVGReRkcAn9JVvSox4TSiQp3aCTV56Wjb7i1wnTrWCfs3_QT3MV8XuKwQY81DgGzswpdsfQ95xDIQX2Mhj6beVxf1E0fO7hQBj4cHzLeJCcwuIAmf5MMoTfXCQkHmYrftNlS1lrpuCz9OtRy1x9D4pMgPX1Wc-W-wZAh-f9hXMQx4UQBkOKTpQieln_WE9aP-dO6q4k6vPbf8EIE_T4vqBzcdZ1edmTkDhr1wjvHuPC50JS4Ngo0TG1P_J3aB8MpiHKIMIH1uzWQw_QPQPptDhgSgkVwM17emWOC0_a1yUlvI0&reqid=60ENNjpFd21zxt6e&type=CLICK&pos=2,2,-43%,Đã bán 5,aoni
"Áo Nỉ Nam Cổ Tròn 5S FASHION Nhiều Màu, Vải Cotton USA, Mềm Mại, Thiết Kế Trơn Basic Dễ Mặc (ANO23627)",259.000₫,https://tka.tiki.vn/pixel/pixel?data=BmukkvEevlkKLBV8JZDgXblVeMh-6QbDSpyFlbFPQDrI1nFdI5fdmX2oMwKiKFCYZJlpH34jxlXYD8fCHMHcoF9daXII-a4corgnXLBm1ucylJfsONw60kWBhKvprRBhiF-YdVlcJbbT_y2W5muuQURZokgVlsbLFby9g07GGAe9gjtWJfk-QKWWu6_RoL5-2A9qulf5eX_-LzTHL2arh7WF5FssIxxylt-uvx0zickVYow8d240x15ZSAlkxEIaq3r_TlYV9FqdcgN4_c7gz4vmv6kC1a89dKyFyPRsJY6c853BHwy4ElsIKtONYG3zUpt5GwsBQFBJubc-NYsMZ4T65wDunKlgqfcoQN1IqzLkgl9RZ6Mqi-_wWUkXIO0OBc_cnGMRBcun-vZ-YQT6O-whKm_H4FJDJ3iVlbDWIQpE46woxELSuvPlfbgZsgOvKg6lnntI1aKxglgaU0qEvuq1jj567hVDsk7_VRW3pgotXsC55ZtvtNH5DOs6e1fFGVZu2zKzLP2a8sSQAmM1cFsY-q4rP0XssSy2Q1xjzxZiQYOXKlXtLrInE2czRsWxnr3e9WiBjY4ykXnh38oxBXWWPKI0BOgIrBwEjAf8154jpWROb6XcFAbnx2cck8cwIfiMsKf4z2bURTPHXCufG3RfZ5dO6Qt_X2xx6V7DxuNaTzTuhnO_v2NSl9z-sOGShSF8SwV0PaPq--pfTkYs7pstnpJWFKW64c2RlPerQh11NIJqgnroEjnDl9z6J7QK8oQjvHze77P_Gw5M_A4bSBs9oD9JKa93AMKO3-jQIYad5KemBdNe6TwhXTaYKvsMJHJ1Qyj_QstQjaHxs1-FHDq3Ayv1lgKrMf0GgRgJE9fmS-dPG3m8jk47UhBe7vLACyaASEVE3AlII5xoBo2YDPXOoNpdpEr2BDNtdHmkfCqlAYm9qCXv-OQJW_YvDXgdufxg575eCicWGM066_O2wrtXcb5qBNzU06iv8Z75sDqRqChpTrWlYLU32u7C__rWHe0jbSy44n5xJGUOTMRMRHCHQYzM4juXPZqHk4RQ_hUltawQwocwSCiANBxiTKXs99P2azTs2QL0uoWKsHlUpTkzsCAcq4wQWaOdTVges-_NssQVp3IpXTvOMfCZDR1Vq0Dib0187DxvoPX7m0-QLGfDoALx8k25y6MeWw91gT2xCUA_55UaPF-k_17Wa0hnTeU&reqid=60ENNjpFd21zxt6e&type=CLICK&pos=3,3,-35%,Đã bán 2,aoni
"Áo Sweater Nỉ Nam 5S FASHION, Chất Cotton Mềm Mịn, Dày Dặn, Thiết Kế Thêu Tinh Tế, Trẻ Trung (ANO23019)",199.000₫,https://tka.tiki.vn/pixel/pixel?data=EFevUK2Io2tlOmW2yZ-3J5THYRdquaAmEJPUaUTA6QbyEMlRjhqt6G5CZRT00vpGCRaG-J4mdbOIhd3-DxIHE6UQFiFpV565MMVhJyU1m_VjTAdbuUY5b6NUbW5coWqpZXuzX9bxwauF9m6zVRPmpKvXa11uQ5qE1QzpiObIX-EI9NQT2_2CcdmLurxD3RdcZ-azXui4iAHBg9kqVk4c9EY2Si5jqDNsyJzfOv0rS26WI2njUffLS5L38wa8HVOQwuYXD3os2q_wEnJJph-3wFGk1THslnaT-sA8IAmnPt0Y2ZLr1SIVF_z3wqvy_cZB0klkLrbGzz2GCb69FeZ-kzKQoYn0XNYy67irMf_30bGBUoMOjxYHa_VJLabrrEMLH5pWMGbjVYvoplMLv2YwO3Y1t1qupoNW9Hnrix2fg0MN024veTlmKXsma1LQ3lt-8NCF95vlSPghA2bHDRZVTF6riqqyzjOJcVLPVC7i9nCAqqHY_4JMHT7WKA9lRiRZAwW2HDLGoO0RVIu2J1bw7WkjCq_lJInwa-077BwlV4GESp4X-sc6O5CHq0BjqVX2eCs7kPpJSyFlPvyEc-Rao6myBZWOU49-znmwCcRty19ftHZNK8-BC86BYFgwaEWIoLJudJBVC4BszhRkj1n1ccBbxtcQkg5LH_Ny5N5fhgArdQS-aKxQEaEGl9lfQ0zoLbZx0umoHkGBEN4cdHmWLmknriP3ZfG3siN9_h-_iciJiDI1fnBIQTE-OMLfdzg8zIc4RAlCuR_d9Um6zMdnQlQmpzLP9kHjK36M_IPUBqo6FBmhh3LrCn6JvGuhrRQ5MCvcr76MguNNfaDZ7UaOWMMndYj2HpMzwFEWtmwomOCd0zEC1vvL7oMeWspCcKcjCQ6goezFScKUxieEwvOk6y4DkzMzciC6Fgf9mKv3AtNEbxTDw5rWsxCrRdKWS5paYl-vmlFzwBZKYRRd-7aSP95EKqU4Npa5ylyZU-joAYIMWsfSBuQFOUig_d1-6bfNq4JOG5PomRMqLva_f0tlxNqTvcMEwIIkMo6pvBzzpB8btvuw4Mfloywm7t8tJXO7q3kuRtD4bKg40DOq02PqA7YSkYUqOpLhgN_qoeZ12GWfx-eMTf7vApef4OOFD_NxxcmIpkMNshQcApenR_MmI6Oz22PDFqkV-XZNzwxFs6JSjCTSym1vaWo7QuziG4nkzQU&reqid=60ENNjpFd21zxt6e&type=CLICK&pos=4,4,-40%,Đã bán 3,aoni
"Áo Sweater Nam 5S FASHION Chất Nỉ Dày Dặn, Phom Ôm Vừa Vặn, Họa Tiết Thêu Nổi Bật, Màu Sắc Dễ Mặc (ANO23012)",266.000₫,https://tka.tiki.vn/pixel/pixel?data=vU6SV_zU3uUl2MVs67kDohE9dHMGmyJSu_6usUQK8eSCP5KQXFA2nxzqjAzYJrmxSTqjqGpJYVpwPqteArlqi3HAh66SMnysxKY3SCHMNvZr8bCRDAoDXYfKRZEjCHkEcjN8d0PoRFxM6g5jHx7q1j97uHilEdJ6VXRzgFNoRU3u5qrjkOtZQu5AtlJXxf4L-N-xL7A0l-1TVYJJ6w85O31c5X4o_3tbrgWccymATf0XEb4EXaYNjilQb4caXZQa4So3XNvMvO7WLSOgOWBpZdlU1vgI1il3naw_WrAwa536kF0ovd0S-d5SUVPakdoPWOA9h_LxUnXY4kvG8OkQV8v5c9UqC_3uPy2OLXTFXXemuzM5xPshpFQdQonU2QSHa5mlWPWWU3d-UM43d3wPJy98j4MOq4vC7eW_RgoSoZwU-jMedvexuVtctlRF9VRJhhZpm1ZciWEpU1lKkGTsL-2aIxtbAlyosBguPfKTekZHEThnnDuZ_D2lJw-PKPn4on3aQaEMF66EeVeqQl4qEnuySOGHUeeEkhvmlCUdSx-JjX3XTnxTa0qwNbRKNoSsoGXrEWG9iCbAfBTPJpT7_PIkk8_gXbmudqk2qxM2oajuBUd5SygGY3YqGTd-JGVvfDBxVDUE6NCe8SKmKUZ7t-OVR5Oqoy406BygXdw2aO3Z1hyY8QXlClIVUFwBHa2uiiz77kArEMFAGXv2OS5OMtvtqZwqDnElbLt1iEkYndsV0O12vTCk8EOCPQBuM0F71aJ-esUtU_eyFqDNwpvcnU1gxC8ybq7WjeXAYcHz4pnREbLa_RyqkYox-btLyC_LSgf_QcHbzslDLD39o4oTbbfV4Z3BQdEJkRZBPvCdiWM5T70JkqamUofgfMgXver1wfg5zbKqDqJ7Olonog6XiB9yVhSSpwBx69HIOMC-9oIFx3eCRdHnd862IhJDINm1SNUtV2OSsgaD75EcRrEMzbsB5jk_2eo-7fBJGkqz9u5utW3D7GC5FiFnJar577jx1mTieiptrtwBqEfw1EP8cSTpcT0s5dKsgGg8m8cptQgcYlfWQCERQ_EQ0OQ_-lj1UTmankbYoFtcBmfMPNVeX_6lpUQZOlbE5iPmcgAbrhmjKbta9uZVlxxyZPMg2Bq2dxTO27asZxF7zHCDPGBfXfp9r9TR7gYfK2AT_C2DxlLGE0oP2nwWD-8jWU2lHqM2n2ymC-v3FuM&reqid=60ENNjpFd21zxt6e&type=CLICK&pos=5,5,-35%,Đã bán 1,aoni
Áo Len Cổ Lọ Nam SZone SAL222 Phong Cách Hàn Quốc,129.000₫,https://tiki.vn/ao-len-co-lo-nam-szone-sal222-phong-cach-han-quoc-p56919853.html?spid=56919870,6,-24%,Đã bán 601,aoni
Áo len nam cổ lọ mẫu mới LNA13,270.000₫,https://tiki.vn/ao-len-nam-co-lo-mau-moi-lna13-p141665125.html?spid=141665149,7,-35%,Đã bán 5,aoni
Áo len nam dài tay phối cổ tròn cao cấp mẫu mới hot trend 2023 Micado,189.000₫,https://tiki.vn/ao-len-nam-dai-tay-phoi-co-tron-cao-cap-mau-moi-hot-trend-2021-micado-p142781683.html?spid=192934362,8,-35%,Đã bán 129,aoni
"Áo Sweater Nỉ Nam 5S FASHION Cổ Tròn Cotton, Thiết Kế In Trẻ Trung, Vải Dệt Hiệu Ứng Ô Vuông Nổi Phong Cách (ANO23017)",292.000₫,https://tiki.vn/ao-sweater-ni-nam-5s-fashion-co-tron-cotton-thiet-ke-in-tre-trung-vai-det-hieu-ung-o-vuong-noi-phong-cach-ano23017-p273282306.html?spid=273282328,9,-40%,Đã bán 2,aoni
Áo len nam dài tay cổ tim phong cách Hàn Quốc,189.000₫,https://tiki.vn/ao-len-nam-dai-tay-co-tim-phong-cach-han-quoc-p33754891.html?spid=33754915,10,-35%,Đã bán 117,aoni
