title,price,link_item,index,discount,sales,category
quần bò nam,400.000₫,https://tiki.vn/quan-bo-nam-p81763948.html?spid=81763978,1,-10%,Đã bán 4,quannam
OWEN - Quần âu nam Owen kẻ sọc đen dáng ôm trẻ trung cạp tăng đơ co dãn 20674,562.500₫,https://tiki.vn/owen-quan-au-nam-owen-ke-soc-den-dang-om-tre-trung-cap-tang-do-co-dan-20674-p106886378.html?spid=106886396,2,-48%,Đã bán 3,quannam
Quần Shorts Kaki Nam Túi Hộp Lưng Thun Giordano 01121201,410.000₫,https://tiki.vn/quan-shorts-kaki-nam-tui-hop-lung-thun-giordano-01121201-p249306166.html?spid=249306168,3,-47%,Đã bán 1,quannam
Quần Shorts Kaki Nam Giordano 01101205,490.000,https://tiki.vn/quan-shorts-kaki-nam-giordano-01101205-p176211344.html?spid=199523592,4,-28%,,quannam
,,https://tiki.vn/quan-jogger-nam-novelty-regular-fit-xam-long-chuot-nqgmmdmt3r230545q-p273232903.html?spid=273232911,5,-20%,,quannam
Quần Short KaKi Nam Thương Hiệu VICERO Trẻ Trung Năng Động,159.000₫,https://tiki.vn/quan-short-kaki-nam-thuong-hieu-vicero-6-mau-tre-trung-nang-dong-p56064912.html?spid=56064940,6,,Đã bán 199,quannam
"Quần Tây Nam Có Ly VIỆT PHÁP / Chất liệu Cao Cấp Chống Nhăn, Độ Bền Cao 2347",379.000₫,https://tiki.vn/quan-tay-au-nam-co-ly-viet-phap-chat-lieu-polyester-visco-chong-nhan-do-ben-cao-thoang-mat-2347-p270758716.html?spid=270758734,7,-12%,Đã bán 3,quannam
quần jeans nam ống ôm quần jeans 2 màu đậm nhạt,239.000₫,https://tiki.vn/quan-jeans-nam-ong-om-quan-jeans-2-mau-dam-nhat-p269650811.html?spid=269650818,8,-5%,,quannam
"Quần jogger kaki nam nữ chất đẹp, co giãn",90.000₫,https://tiki.vn/quan-jogger-kaki-nam-nu-chat-dep-co-gian-p128276418.html?spid=213870878,9,-20%,Đã bán 4,quannam
,,https://tiki.vn/quan-jean-nam-trung-nien-ong-suong-th011-p41951498.html?spid=73249311,10,-25%,,quannam
Quần tây nam không ply ống xuông vân xám đen Khatoco Q1M528R0-INMA054-2407-0,421.400₫,https://tiki.vn/quan-tay-nam-khong-ply-ong-xuong-van-xam-den-khatoco-q1m528r0-inma054-2407-0-p268604592.html?spid=268604598,11,,,quannam
"Kaki short Amazing, quần nam lửng, lưng thun ,dây rút, big size, phong cách thể thao trẻ trung",140.000,https://tiki.vn/kaki-short-amazing-quan-nam-lung-lung-thun-day-rut-big-size-phong-cach-the-thao-tre-trung-p183287406.html?spid=183287435,12,,Đã bán 2,quannam
,,https://tiki.vn/quan-short-jean-nam-thoi-trang-24h-vai-jean-tron-phom-dung-du-size-p184815591.html?spid=184816050,13,,,quannam
Quần đũi nam dài cạp chun thời trang cao cấp,175.000₫,https://tiki.vn/quan-dui-nam-dai-cap-chun-thoi-trang-cao-cap-p152209741.html?spid=152209760,14,,Đã bán 17,quannam
Quần SHORT KAKI TÚI HỘP ngang Nam Nữ Unisex ẢNH CHỤP THẬT Quân đùi sọt ngắn lưng thun mặc thoải mái có khóa kéo túi,107.000₫,https://tiki.vn/quan-short-kaki-tui-hop-ngang-nam-nu-unisex-anh-chup-that-quan-dui-sot-ngan-lung-thun-mac-thoai-mai-co-khoa-keo-tui-p262582143.html?spid=262582147,15,,Đã bán 2,quannam
Quần caro ống suông nam nữ unisex vải đẹp,109.000₫,https://tiki.vn/quan-caro-ong-suong-nam-nu-unisex-vai-dep-p79192926.html?spid=79192928,16,,Đã bán 2,quannam
Quần kaki nam quần đùi nam chất mát thấm mồ hôi cạp chun,100.000,https://tiki.vn/quan-kaki-nam-quan-dui-nam-chat-mat-tham-mo-hoi-cap-chun-p120378327.html?spid=153634054,17,,,quannam
,,https://tiki.vn/quan-baggy-nam-nu-tui-hop-lam-mua-lam-gio-khong-bao-gio-het-hot-p270713810.html?spid=270713816,18,,,quannam
Quần Đũi Xám Chất Mát Phong Cách Hàn Quốc DUIXAM02,140.000₫,https://tiki.vn/quan-dui-xam-chat-mat-phong-cach-han-quoc-duixam02-p31141663.html?spid=31141669,19,,Đã bán 11,quannam
Quần Short Kaki Nam Cá Tính- FMQL001,89.000₫,https://tiki.vn/quan-short-kaki-nam-ca-tinh-fmql001-p11668481.html?spid=57961078,20,,Đã bán 2,quannam
Quần Short Nam Kaki Thun,114.000₫,https://tiki.vn/quan-short-nam-kaki-thun-p37871968.html?spid=59176579,21,,Đã bán 3,quannam
Quần short nam May 10 mã 160123087 1KD,280.000₫,https://tiki.vn/quan-short-nam-may-10-ma-160123087-1kd-p271524719.html?spid=271524721,22,,,quannam
"Quần đùi thể thao nam, Combo 5 Quần Short Nam Caro Chất Cotton Đẹp - Hàng xuất khẩu",98.000₫,https://tiki.vn/quan-dui-the-thao-nam-combo-5-quan-short-nam-caro-chat-cotton-dep-hang-xuat-khau-p54426685.html?spid=77950982,23,,Đã bán 42,quannam
Quần Jean Nam Đen Trơn Rách Gấu SZone Chất - Vải Cực Bền Không Phai Màu Phong Cách Nổi Bật,149.000₫,https://tiki.vn/quan-jean-nam-den-tron-rach-gau-szone-chat-vai-cuc-ben-khong-phai-mau-phong-cach-noi-bat-p79770394.html?spid=79770406,24,,Đã bán 7,quannam
QUẦN KAKI NAM CAO CẤP VẢI CO GIÃN,189.000,https://tiki.vn/quan-kaki-nam-cao-cap-vai-co-gian-p147443890.html?spid=147444927,25,,,quannam
,,https://tiki.vn/quan-kaki-nam-cao-cap-vai-co-gian-p105950294.html?spid=105951908,26,,,quannam
