title,price,link_item,index,discount,sales,category
"Áo khoác gió cách nhiệt GOKING, form unisex cho nữ nam. Ngoài vải dù, trong lót vải cào cách nhiệt, chống nắng gió lạnh, giữ ấm cơ thể",235.000₫,https://tka.tiki.vn/pixel/pixel?data=dshbECapOjOEwvLAml4H9m6z7QY_pVD0tZYxL0D51YoPynVu5ohDF4bkG6zTqipGWzjqjnwSduVOi87dpTleP23ztpFT-IF-bV6kmCUoNieq_T7lib-ZHYonjMJerh0bRQ9OI0m9JZTP9p9SPaevB-UEF-LX2U4naAD5ZqBQf-uQfKcruTqyIhhWybJqXrn63Qy89zhJd3CQo3OIvZcCjuq9riSbmbuE3kIoMAj-RZxgnPk6pf1T3ujVMZPUT8KQoIQ2WDWvvtZep1a7GGbNFoLMHWsId50WqaUxD_O8oCZef7SstS6yV-X8vkI6BgrLE_6F0zfQAZsGVbKYA7nyyZewpWMCK7-Z11v_KLfQEkaBhXfAKwQsLPVPW3CMwpBhuzc76iw_D4YyFTrNNA2wDrDKqA2EKqWchfJ5dOFlxk8qRihflSTy0Tvvl7x1iXw0MdDreotakmfK6paBrEgtuKjaltKFhmjJ3JWw0PabaYMjWfzU8b3x86GX4Z6Nxzkv9YuV8YHaN4k26v-to3uUeKGwqug32uFvcgUZ-v3ZziTWve5o20UbFj6KlJ24MrRz3BlWBKJzjvVGCnLekH1z4Ai9m8gbllbGHKTOJcT6jRZD-n53cpQp7XCi-mK6ZyaTnq2jAS032JhUPB3NqRm3tr1kyfxzdYJAVYSkc6BS0lgWV2kwonf4Ap7kkjb7pd0BSV4TXoF8TUxVND0LSp75W02gGc3054OBJYKJxoV0rAqBSO6fLVrJoxm6aOadNymuMZ1AwuDSQJGsWmDkr5bQgqv0fWk8vrKhAMpPERS_gzmQGgdcVwp0jErggl7uYD5yPJaD84jvRSQeXDWoK3YYChbIp1lA2aGl7DHiB-6yLKF3rt1bngTNLWrBymdiOi1XwBh6LVxVlW_j3w3qqqbIEHs9A4KEee2_typjScGSX8-urjqUgn8G8qsOlY93CEyFGP0HgewKbxOlZjuGxs2Ge6CcIf9Nhdtn-7BHz3b1IDUmsJR5rpC1mKd7H06gn28YegDmEh2SIdhSh-2ycUxwSWnCmzcrH3vTYohZWRL2LRNDKU6Lmwm22gyFwRxLat436iKEeuLVLztIDlTF3adf6l0L8B6gt5w&reqid=YRL9A0wtB1N6vFOo&type=CLICK&pos=41,1,-44%,Đã bán 89,aokhoacnu
Áo vest nữ blazer hàn quốc [HÀNG CAO CẤP] form chuẩn công sở dễ phối đồ,299.000₫,https://tka.tiki.vn/pixel/pixel?data=lRlQgQh3Y--OTp35cdiy257M3H3pVLK82YOHDyIPM29c9MEsSMpqL0eTEy-syIyx2oUuFm0Yq0wTH3YsAlUq7OCL-Lr0jNk8f696W7oraBpY2ZkATyTc7-36vRd7Q3YkdwdnMlosuljz4dFYrVgWygRIYqOBpAX8BC5NhAVfLXZ64KrVPau9DSPF9YFsqAddrY-uD7odP00bpjF7Lqr1UiR8Yc0_RNDt-BoNTS-I2K3F6ZJtR19kWp6iZKeCXXl1-1EPRpgd6ga0Y-fCiPFBntKhs4rZOUgekXb6MqsLE6J_V6Ro7ja4A7MAcRjBs2GZ9Da604l7dmincR96ebVwlacWSGe5yCPjwjTb1vlnq7PjWGWrPnyb5NIA_pvL7tT186lhRhjv8NSxaf8KpDxRX4fFY58CDNlni3Rz86uC1lL6PjPtpLyE-dnB1CWo-N7EqGVnfx2bsq_hkRcLEa0gYosuMrjP8IIffDy77p0i1o6kOtepKu8KenHKW_0OosXFfxENKUOe3MxJ2ANvsOUT1_SymIIkUtHkCILDuqSj2ymiM9DHkjyBkLVG1Bvh4dtBL8Ig969JSleWaz5F8mEEvZ7m3B30llqe-1SN8FlstF46jW4FOMtm-tWVDJjDRKLUnIrc8WlN5YzYxgW3ZFziDSdXDOBC4OG2AXN1d6xCSGYDSAQpdbMuwmIw6b5oy8cMcJ653mKclw9djzBrA4dJOkFyro376zfO_ExA4vYtUDUi2jpJxsbnV9mKVnnHvLbJEbpDMKc9dnv7bUTQgW4rJxFEmKHyPgZocVedaWh29TOYssv8tXC-ChyFeG7KXxOze1WwVm5wLMP1Sp8M4R1acwnyjUd7XGHGxFSoEmoAdrFF2VKITyft-jN3M1OMZo__xcr3o8VZeSxN0kx1ESfSM1xOhcvgrkyknDmpfIz867LU_Z8AAXFh46_VpQajBEKXe37hdKq7A59zhOivqhB0ut1Qk-ZqTVFYN3V2kFC0B_aiRs_3i-ZEPrTSTXzDbXKe93AFwdxSIjGqvhJFCp9GBkdeP8KWPvqrnGtMUy0Rdbh02d-p49GxSZJgGWZXfQyF6MTEYPY&reqid=YRL9A0wtB1N6vFOo&type=CLICK&pos=42,2,-44%,Đã bán 97,aokhoacnu
"Áo khoác gió GOKING 2 lớp, form unisex cho nam nữ. Ngoài vải dù, trong lót vải cào cách nhiệt. Hàng Việt Nam chất lượng cao",235.000₫,https://tka.tiki.vn/pixel/pixel?data=k_QUGTGUvFv37bP-3C3Mn-VOuj2I95itHad7LAq4v-jguYoj0Qg5wjbpe_62iURrpCJdrlhqywx1mKiyqrvsDI-_FaZMJfzdrEqHcoy9xio4xz1H80q_WVnZcRjetjies-cSliXtfZdhzvE4P93r9jNFMxSnSIW4tc79DVnDYgbwGo4cayn1cWIOg8KdNVdsvXlucxZwLX21R0SG3MFL4Xd7mJDaq6UdBOKLo-SHgcuHzzlYLu73tUvDSusRKdvwGTtY7nbZchgsApYYtnpdx9rbQzTdmhBtSuwYJCEinABWZVeBCXW3abgo85aKEKZSUYeX4Q08W4exCJ7ysvwzy7ybnUqcde92OnKtclGloEyqtIDoWnuFQmmHgL8i2LdmpLEpMy59xze3Um8qOKCXblO47QhqNhwUAFmTJW-GpI7Ag-J8sp7OFnurGlV8nKNHppTVZpen7g4QKg3zai4Wt8HTSaM34cDboHr9fZLpFZSfdclzrleV8U7kt4bCWfGlj0Hk1VVuJb9SJmQ2JoAMmfZXc5_2lkiKkogqvGHm6KvEeIBY6OcvXmhihiqxq8R9BPOdqsGZWnFHqfX7wAtdRqT8q4VJ4xl0V6FcABQ94JaaAGMFrXZTK4zf4u4Lzzhs_TmIoB3JICDiScLTOOasxIN3wU2hdLq6dusxnwhCforP1431RqwLfHlrzXbXHfXKY6SoqzmFJ2mwcSWjHxqUyiMo65VHkmAli3JB6-S9x9nXS7SjPKVOgtlinriJAUKTFPdqoZ5xoLq8YqgjWFjaycZObRwjS4-V-u3Cg_R8WAr6EmFkCyMqL0Y5--yauLKKOv-q7J-517dtDkf_yE-hWr0PQSXQrHYzY3GhlwufGI0jTaxb0Ybp8oItg52jB3hSEFI9r4SqVUPkGSZCoEV7155WBSc3CHvDPUUR0Lt24iTopRaT5WqSw0dQddRAD3DYMaGlGil9zbNX5mV-70G1BR0xYa7oNBTOF6m9owFFDclH1oBXtyKycs6o7D8ug7wunmxbWwfhi6JdxG-8j_cz_4oa99eN50hzsUVf4-CnWz7nQ-y2TD_7TEu2clVqZMcIomrHeLi6uDHGVXM&reqid=YRL9A0wtB1N6vFOo&type=CLICK&pos=43,3,,Đã bán 80,aokhoacnu
"Áo khoác gió cách nhiệt GOKING phối viền, mũ dấu gọn gàng, 3 túi to rộng. Form unisex cho nữ nam",255.000,https://tka.tiki.vn/pixel/pixel?data=FljCkO8g4_OsalRTbNqvvNWW_XWXP38ExNTPHLDAXYZN1o7xEPt4n0cWS-n7Xjsp0zbKwLdUD6unV1etDE7xKWTbI6fo86yvIDtaHQspH-Iuh1SDDRkIpQs7U-FcF4Q-xTUy72ZzPGBjTqpSk984jOZXt0ocqbP4S2G5Sk5PDKq_JFProbf4b9J3Xj08lZvdICFIsRQePE_0mH_ZJc9NlUvc2vlT0S6Tq01iRMp4McFXwFdaZL6JzfttdVq9y9AaMnvX9APplsPumonkNIHCDCQpKzn_-IlNfj_85MGZE8V85S3RglSm1xZV-GhGnxCBrhNplvbUyWmFVF5pR0GbRYmcq2mDuB91QzhVj_PNGX4qhb-DUMalEirOMqrO6gx-dIneJODnbP-n5KResGtNMnxJQ3-_Y9L4Ala5bQxHnKfXpHYecxgDAYgNrGbYOfxritVlIupSoGTP5ojAUQJHykATZ3D_fOizkcVQ0U7aCTGyCGgbjO1juTVskkGQB9nNgZJCjzQ1h9ouU-90YyyN55_XQdfjoOd14iGNzRcuk_JPjwiZVSXHXKyChd1vf-yZdsn4176_QWciU7r_JreGQVm5DNm6iDFMFalkfyEzQbH4M-V45lKGMJ39cFfpH6ACc2EWcBZWve_F9e65E1Tw6mZaC6reRbJgS1LDXLyIVjJ1VThyMdu9Hvei9oabLuz9Tt5uN_PcQGYpKzF-bvYSA0MqaooG9JeVWVOw22JYhTy14SnEBu7U3V5AdKVwzJZJ47BgQgOu3bcTpl3MPqxauSRQn3T-6JqWyhw61xhDkGbgW6LnZFI3NVfSlTI5dE2ZBorMWgnk7RyCjKla2xB0ck8ODrBhdhNWLS_BCFSI_Mu5_ytD7g4JK2Jdkx1ZeULAzg36GC9claQwaJE7j9GOkVQml4NgyucxSQ1sS_PqDbwGvHpWryPmYI_mxP40Q2HsOrC3en0tcUQniWPHSY9awdJ8VlHLVr5zlEzoY7uS7-9hAqxDRoARE_tkF5-UDaqQVrN2QMxhc9BGRDxHJ_y-Klipa3oU6cfKRIaisAy2G2t1a9AzAgOwkgnAxq7sxPlXXK4wyQh7d1GTi-3Uif9ZZws1zpQ&reqid=YRL9A0wtB1N6vFOo&type=CLICK&pos=44,4,-44%,,aokhoacnu
,,https://tka.tiki.vn/pixel/pixel?data=mlneX_VH14a-wOxXfxL7z9VaNfdsnOoybkEUBMYu9oWHNz0qJT9gQPv1penRC1tic1rme8UtQWo-F5b9LByqcSMrLMtUnoNnmYjh-8K0seQsGUg-UQLCyCroiZoEUBqKP-Z9Jx-XJcIYCenQ2ol8aOCnl5gc8blf6XWCwqOHsJlbIb4H29a4A-fuNePqvCcb8BxdLKtJ-Pzw6hh2axsxTjCCTZCaKZQQujsX35fBoxyN6Cw1q8Npcadl56FXPH1Q1pqSDWCVf8brYy7QHOUTdOBI9zfPJ7vwk73nDTxPDslNrik20qgehAH-vA514qCN6rWm9U_Bfdd76p4A6fAqedLZromq3ABxmODL3ScMHnpd30zRbkWyR7lqVY7NpLzWQPgSqX5TRN5a2gpaHQQR5F8W9VXJ0rV6C7UCgIs-D8JYC4ORNOqWVBfW3p9-F6IO718De6Dy-dqNs33ipZU4FnJcNxK5hpTZ7Q4gKdI4HhDdfl08KQc7GNRPCdjQNdkI7vLLvS4AuuLCbQHDpF231JrdaLEpfVWhUY2YkLchGXPxO4yI7WY5Qleq32cqakNaI_6vbmj9I7VX8sQtlE1p8IjfK1P1yTbEYmd2wHXsjufb_1DYxjnumEh7XI9X2q8gzYCDWccnemSic2L_kPjgSaV-jDC2WiZl5qLJvLcGAzaZDWfyKbHyqse2swSsLJh51A60bIfxlHdn054l9TKRvORkKMGQMphM0YstjhNXgXPz_wtLGvey7zihJ9Md3A-MySYCN3kxouDd-QDcHTVZDfgduignscnHhWlseZ_D2iZScz6T59sOWvOiL0b5Rq3Zi3TbsWyct3pp2RxGVLQfsc5Qi4s_1YbqMUDzkhDHwkmtyX8Nda4Rka3SW03sxqKCN3lgUCyn-1c4zPa_EN6Qs0yeCJS1dHEjn_9WLSM-_YmGwGpoY5zgyXnoXJnrxeIHZ5r2alN0GWlGnXjdNKjGpMz1c1UIl-RK8mBYBIjAWID10M1PavXmocViInxu&reqid=YRL9A0wtB1N6vFOo&type=CLICK&pos=45,5,-44%,,aokhoacnu
ÁO KHOÁC VEST 2 LỚP STYLE KOREA,190.000₫,https://tiki.vn/ao-khoac-vest-2-lop-style-korea-p195148746.html?spid=195148755,6,-12%,Đã bán 15,aokhoacnu
Áo khoác chống nắng nữ toàn thân 2 lớp cao cấp mũ trùm đầu tay xỏ ngón,139.000₫,https://tiki.vn/ao-khoac-chong-nang-nu-toan-than-2-lop-cao-cap-mu-trum-dau-tay-xo-ngon-p195990426.html?spid=195990436,7,,Đã bán 5,aokhoacnu
( HÀNG SẴN) Áo Khoác Phao Mũ Trùm Đầu Phong Cách Hàn Quốc AK141 - Hàng Quảng Châu Cao Cấp,885.000₫,https://tiki.vn/hang-san-ao-khoac-phao-mu-trum-dau-phong-cach-han-quoc-ak141-hang-quang-chau-cao-cap-p271800094.html?spid=271800096,8,,Đã bán 1,aokhoacnu
Áo Khoác Phao Nữ Dáng Dài,1.080.000,https://tiki.vn/ao-khoac-phao-nu-dang-dai-p10317325.html?spid=10317333,9,,Đã bán 1,aokhoacnu
,,https://tiki.vn/hang-san-kho-ao-khoac-len-cardigan-dang-dai-chat-lieu-len-det-kim-mem-min-p157530150.html?spid=157530157,10,,,aokhoacnu
