title,price,link_item,index,discount,sales,category
Áo thun nữ MXM form rộng cổ tim in chữ Love Vacation thun 4 chiều từ 45-60kg ( ANU010 ),95.000₫,https://tka.tiki.vn/pixel/pixel?data=D5wWMm2qu5pZz1G8kQw641vlQjFpzjQzEdR3vqsyUgRP86E5ll9zMj_tSYSO8pZVdva2uZx7szjf_cBrzK5pv7Q0LCdMfMKYsSP13-hoJjy_odBDCWDW0JHsMLjFalzpd2LrT9MVS-zAHxT-4qcSBwz2Cq6aULgtOiBzxX6ZizQBVab39a1yjD6-QYqFjYifzeVkwAENUxa8ZOnpp2xYBVaa66PJbwso6BCWyy1TeOTYjUssaTpHIGfb2a_agrPUO5EjdFd86rtzYTwBGUpm8yzfvi4Xv_YtMz5i34uVdAPTlCd8hl6HYo8LtAO117NNzlY52fnOgKPJt4S84gOIxoJC-fUWr58ElK7N-Ce-YEyeYZhLAci6-UjqNAe-BaBg_yRn-93CtMwIFB5y6we0KRFCJE1ng83cKIpNZalWap9XtrDEm1vT2Dmq0-f-jT9zSUWCVO3tUba8hfAXtPuIg7aA8DVB2xEexo4h5P8gZQDxMn1lE8_iFoHK-xBDfzMne22Cfih3_FdVx9eVeO2H7U1clyYJI1DbpBTKO2rx1GIHQMgUTsYAqFR30cCWl8sf2WlGjo0i5iXivoedmx6uHHze6V7ilyFX5D_o0sZFSKYRFMDTPJvxYBjRNmDZF5gutZ7U5euSTzEJIR0M4nao1t_SnnXlX0M0oW-JELHCYcxG5BO_ONt9giAd3XY70Ixx1a6GrNGplWxCa5rLKTwYrPGBdaF3tw0bMW3GzZl7kTfg0GMCMyEBIActRNRVsh6yskHsLGneS3aQB9k5F8d4Y62e6cjYyTG4gAyY1eWXaQr-6tyVhg9-M2Wpt6qJQg-T8bgD052zdXURKntLx_BXVRtXpDs-ZEp3WDE8uRVU87O8TCFVJcigwkGc5Bi61NMIOarRu0LHCuthOjhIQ0cx9GwcyAlhDnE66ZiUGJesZ_22skos5Tl8ef0m2H6XyFq-IH5s0GWYEok2xxReGQHngjW_R0NP6KbCbFI4yMTww3DLkl__q_z0PJiYDzvSmn411Bu_MxbP2D88Mk53UKxc8CUZ9VjHAz47P9NAQWSn0H0Flqx_weMlv3m2sFWIBzHOB5IANRs9flRvXVxumVtZtzRCMPbAZw&reqid=FjHONXj34cjqLRHe&type=CLICK&pos=1,1,-37%,Đã bán 19,aonu
Áo thun tay lỡ form rộng - phông nam nữ cotton oversize - T shirt gấu đan len a - 2N Unisex,79.000₫,https://tka.tiki.vn/pixel/pixel?data=7F1EItw52DBCJM_nnAiG4WGIw4gS8CVv9GR3pLfPGcjPrX1pqX5GQsdqUZOz-teHHTt1YdK2_2DHGivXKrS0iV0sJAMCTsnd4gJEw5SON3KGEMmSf6g348WzZf43-2VFgHYwXjI_SvgOhy1Y3rjpfRQ5Ew-_FRD4JiCNpPoIDCuZL3tfG_9oZGgOH3E685bXJsFtZE7PxLEduGWQnHsS7IzYh1IfpTSQrN0w4ETKbUk_uYzwxMI0A9JpxWo0Dq96j_qXUUdcV6nZaj8brjsVoQzC_-aWluEclZGUyDxkZR5pEPRDohyTU8uJOq7oHNhMzGm5KsVWpMtgstiUl5V4afX7roPMQhKLFQuRgjbMaRqH85ROQdBMFHAE3Mo15IDa4Ktw8sr2jbfdHUWBCoQbv1TsoWIy5l0l2Ca0YiMl9VEyrMlFk--BquBF8-xqEPg3bgyB0tBUMStv-97nl0pVpPh2k8vaCI-pIDwhd85tK6EY8ljYCgiy3vDY8JqHf7gGoEI-fWQGLbpqE85C8gBLIzo9v6ijCQfkN--dVBLkuFYNKwMlMJESktjoiZfpmc3nZdyORgQfoDFvhkrWSDq2qhI4Z_z9BjfkSHHO_xu8K_7X0apXJQL_nZ3ddGxS2VzZnyr3Ov7rZ_wT0B0is6VTfSC0qaRypr-sGKR_NcXYzZ3lRunWc2fQwl24FEtPKSAJXp29gWfwtmmrY3Uu5deV_zHpuXhtEdmpraRu6_zX43Bm95MyS14UXKYYC6FLEaMKm__a8FDuP9LztXcixvw_7xpzthlGmLl7Ivdy_GRWWCUN0PUnltLzU_zImFxxzPQo6AyDGGZ1xSljl8qQxxnTTjayNT3qU2m6HCg7FDdo46v_uPLTW3tc3SH7yYetXr6sf1WP2DZPf-PUKn3r9XG5WZKw9bPmYwXFz0obX04bY_Xgy70AoxGkMvE61J0Afxj5oNrRTXVr0KGF4-VCK-EA5xRgFia9Zdeer63iFQw6T6-F4VOOfvkRE2ov-0OIXUIqqnREe-fMsIfjLxJABZzLZnOVK_ndzFFQPj890RmvIU4IcXXoMkrsn2RhZLGVMNcrVWg7ZoSyOmU&reqid=FjHONXj34cjqLRHe&type=CLICK&pos=2,2,-73%,Đã bán 75,aonu
Áo thun nữ MXM cổ tròn form vừa in chữ Paris trẻ trung phong cách Hàn Quốc ( ANU002 ),89.000₫,https://tka.tiki.vn/pixel/pixel?data=sbXa8GayJ7DDLw5JoFIpP89052QYeitppYLbEmy633SsHWE_q4MWP6CWB-nZXVObZHZkva07I1FG9O7EI-EofBi5mCtDRuWlo_pXXT2d6bMUfBJ6AoWlsrvnw429YetAlzX-3WRKvOPjg_pgHXZNvyJWv58DItCWGE_CUtVcJHYkhHUSQlAwo-N4PXex-OEMq41Y4MlUX6C0KOEAGSvJE3HCzz2GwNcmwiZfxV3GTEzELtvbGQDgQndHbbpe6ymsXfyKQ0KCIOQM4uGX1KMqtmZT7gfpx8cNxb_uP8Kf9dMjoOBjEzkr1X5KqfX0jfxSEchcgsqZkE7-ll86F0RPNYIBZP2jiehJ1OMMRkrItNSaINCNOtDPzfmjLwtv2PheHGzkgZ3-5Sc_MjKvTOOOE3XxuMHQGoiH6QK6DSQNy4pUPDYNKhLcoS40m-wuab_UuZNgs4oWNymxF64-dQicJgDg0yk1fIqToP_JOX42-kGgpITOVyPJG4aLGo8GedozCe7rbtlCsoNfS-pLhyoTU03EwPQEuwztgtzuH7qa6faJVM1m-4AJKQuo2MJc12-NNzJWIO0vFwWf41CUdEiaI62o55np5Zg3XZIazNyk0POBWadXHJRmXF611CeEb3F_W6X4dLNwbpqbsaTtzOALx8ODeoneZSmuyxSBSMQA4d5FcpofScfqBHmLN2ykzL3SriIo7CytTHcu5WbZSqeEGeC5Cvfcot5yg9TPGXHxmMnMgt9T2iuEpZm_hlDHphV8hrKAC7dy20xp3MynlFDqutUwDND2zLot3edlVlOs2a-fyvQ29Xn6HgnxV1TwkuSu3BpL2WIs2fxtnDCB5UkRN1gmBG3adYmeHpg0hvahN6bnvxLqFLYT1hyyDMvZnFLMQj8R51LZkLphByG7VzVmMMpcpTgqQxjWs4tfSzDb8wIwDd8mo888Kza_-OPitzW2QrRagfGmVcYPQHkpsGH3srVTbZuUczZjzR8ILnxTBziqNPaDSj5dXqw02vqlUxH_xsfLT7TYEnHBQKKu82U3jGKTB7m-7j3ucP5GvcU6bnrkrwC6OZZeiQv8CS6dI3ZeBw&reqid=FjHONXj34cjqLRHe&type=CLICK&pos=3,3,-49%,Đã bán 123,aonu
Áo Sơ Mi Nữ Thời Trang JUNO Oversize Thân Sau Cutout JNASM005,149.000₫,https://tka.tiki.vn/pixel/pixel?data=O5S24rz7EJUSBpGNp7EWAlGTfFwxU8az_Lk9t0gBvMgVglx1iht1nzcOK098hbjQhrcjHdvR4-YQRcpAwVwGXEiMHrhI-CinBvjbKHKzQuuPxpZkDfn9-hPIm3ohPBtKzXbqLJXIMrHFp1aHUITe4Lrqke8eKBNYfE7bDEQbEOkdk9W-HLPfnKyuzAS0ddpWbB0JN-d4EW-04_zGIxiuETxEz3_66TVe-GcrFGtpMqrFBWoUg0gC86x-UQ9p7bpGIS1CBrHiVD_OFZHJtassHRZ9jmbiWprFj24-aq6qhoUkRlbbsXTnF4fftFpUmpmRhWzKffiEB1ksPECE86vYqKj9N54FOHomifgV4lIQ4h6uTYoVhHE5CLhxhA90Sg-QGUZmWKWyrrTrxO4FxcCUR5RTR6XDa1mCKHplkcUiEHIIp0PAD36HtRCjw3cs4FlTzBPI1ACfmSivDiNvqXAqpWc6v3JL2-O-FO0JQ7yt4UysNRBF4-5v68GActV58RSInv0ByyJ8zze6xayViYTpiWAzFbYKjaE5FqWXIZc3K25evnbpuqO13byOpSdwBG6GDtlvBmtdozWZCx2luy0ZgxwhBGiG0jIVxVD9pppCYNcK8mTANPLbd3SutPWiU-pt9NGwFywB-bQTONJ5vvWym7U6lTcnB6iagkrqxs-7tbVQeLgf56W6DuGS9binVhtL9ZzA3k1-Dqh6eBuQhq_SBqrKUw3Kvf_MuMHgPgNAYfApYBMUpW7Yu5ztp6KS--amx9HInsOnpode9p1W9vybu0ad_YvznWCnlGp2OyibVJq9S6c52WAOWEaIq5ck7NbkFxpnUoV_-lycw4-61rGRSpAYNgSKh4uevW3_b4g6mokjelBK5iOtl_QPAjtWZKRX3nuNXlk6Tf3yPDF_jXu6LskS4CwK4fwHQUJA8T2DdPAQiboxpqDwO_6U5b4OfnolXXkVrk3j6KujPdNH0ohmeqMPYJRW9o0dk1i93YzfTTzSI9ZrK0Ns1pE-dXnwWDi_8gBxIiz27VdBP0VfIDT4BeGVFMFm3X6dsX-wiyvVZ6apizmgyCPBSb8s&reqid=FjHONXj34cjqLRHe&type=CLICK&pos=4,4,-6%,Đã bán 4,aonu
Áo thun tay lỡ form rộng - phông nam nữ cotton oversize - T shirt gatin - 2N Unisex,125.000₫,https://tka.tiki.vn/pixel/pixel?data=fSxqFvxg-W04uVA92boYvTO5fbZgqQkeFtnbToMxwPcGV7DONS71hKUcUjMlIVCPbM8QasoDVJzdhmpAXvZ5_Teus-PDAvASFkVY6IDuQyel5qeDkpUPuivIgI8Gmgp_5Rc9PIm-4A35RKOxlJkP948fGpG7CIj0e-bDZmUNI6svoV1gn9nlTD7WnAzbpqJhpxe4MkYPn4s-tyzvy_Y_SZkXRvDILuhPJVKUvMY9ctjbpQIGDMrD35kixildXr4j5VvHWPV0LPKe6BXuz_nTUUgegLukhnlgJjYlkrEenivPL5H67wDH5sd0lCA13ahCOBBcOMSwX03InQn-NJTzeR28iaPBrhjtA7we1JwRo7hmm1-jg1usaXp1hGyQgXMaU_D0fP8qBpJtgGvXE12poWmXQ1mlYnlEhi3pBFnlAR-M3Z5o5XpjNcYAWU9zcPR9iPGaGi1IbbfgKkKeDNDeJ40cw2CtNnZolrYO5cA1D1xEIdlI_oHio_rkeAhtPDvIlURfSRZ3IvTNk2dWxNW11CabZ5fnlaDkScXovv2iMT-dDl9Pjfv6cHOdK3cS-h0HyTGmSMXgt8NJ3qJlaPCnCzvg5DpN_u2_k-eTyx9BO0yZKIpsUMIiCkiizI08lAPykS3eTK4use91eXxfu-bCsOJuVJJNBQYgU_bVRsavR4j0mCLrVCBj6E8uRu-kJAX2OYn64cEor7howikhdDHSkSLFFS9gJeJ8X1ChUX_vPR9gI-dIIcI5ID4GoegzlS0DkWukJXHsILOpKP2nPSIb5Ku73VHnlWYs2Y6Qfdzt6QBgiVnB41ETB2TNF0FwSqpx_d15u_yzurCarvyecFoZ3e_KLu5cz2d2-V8kgYkGj5UDfvFrQhatLdLE_5WBx0hwi8ebKv5igM5pNJVHsAcRD2vw9u8uMK7ZE16QBTse4uskhNRU8MuhnFp0wHR4eBaxyeSEE64V6bWnpU4yNAiMODhHApSgyTHJlD4oWynRpOg3jBkhrWQJhDjPXQLP7NC8J_ZJC0WnZOuNS5aPHsc6L0dTSGYir9rYLoinXzvYdbBlHtet39qhuwhUEnz2_u4&reqid=FjHONXj34cjqLRHe&type=CLICK&pos=5,5,-38%,Đã bán 80,aonu
Áo len nữ cổ tròn ngắn tay hiện đại trẻ trung len dệt kim mềm mịn co giãn dán mã VAA0316,139.000₫,https://tiki.vn/ao-len-nu-co-tron-ngan-tay-hien-dai-tre-trung-len-det-kim-mem-min-co-gian-dan-ma-vaa0316-p196378693.html?spid=196378726,6,-46%,Đã bán 60,aonu
Áo len nữ cao cổ dài tay len dệt kim Quảng Châu mềm mịn co giãn mã VAA0348,159.000₫,https://tiki.vn/ao-len-nu-cao-co-dai-tay-len-det-kim-quang-chau-mem-min-co-gian-ma-vaa0348-p204985388.html?spid=204985408,7,-71%,Đã bán 24,aonu
Áo thun nữ MXM cổ tròn form ôm body thun 4 chiều cực tôn dáng thêu chữ ( ANU012 ),87.000₫,https://tiki.vn/ao-thun-nu-co-tron-form-om-body-thun-4-chieu-cuc-ton-dang-theu-chu-anu0012-p273249491.html?spid=55099670,8,-49%,Đã bán 176,aonu
Áo thun tay lỡ form rộng - phông nam nữ cotton oversize - T shirt ONE - 2N Unisex,125.000₫,https://tiki.vn/ao-thun-tay-lo-form-rong-phong-nam-nu-cotton-oversize-t-shirt-one-2n-unisex-p217176777.html?spid=217176792,9,-37%,Đã bán 154,aonu
Áo Thun Ba Lỗ Nữ Trơn Sát Nách Thun Cotton 4 Chiều SN102 SALLY BOUTIQUE,19.000₫,https://tiki.vn/ao-thun-ba-lo-nu-tron-sat-nach-thun-cotton-4-chieu-sally-sn102-p197743064.html?spid=271433901,10,-18%,Đã bán 99,aonu
