title,price,link_item,index,discount,sales,category
"(HCM) ĐẦM XÒE VOAN HOA CÔNG CHÚA SANG CHẢNH , THỜI TRANG QUÝ PHÁI TIỂU THƯ CHO CÁC NÀNG",222.000₫,https://tiki.vn/hcm-dam-xoe-voan-hoa-cong-chua-sang-chanh-thoi-trang-quy-phai-tieu-thu-cho-cac-nang-p201888409.html?spid=201888491,1,-19%,Đã bán 1,damnu
"Đầm suông sơ mi form rộng kẻ caro đen ngắn tay rút eo, chất vải thô đũi mềm mát, thời trang thương hiệu chính hãng Đũi Việt DV73",199.000₫,https://tiki.vn/dam-suong-so-mi-form-rong-ke-caro-den-ngan-tay-chiet-eo-chat-vai-linen-mem-mat-thoi-trang-xuan-he-2022-dui-viet-dv73-p180606473.html?spid=180606481,2,-4%,Đã bán 8,damnu
[HCM]Đầm Linen thêu phối nút cách điệu D082- Lady fashion - Khánh Linh Style,490.000₫,https://tiki.vn/hcm-dam-linen-theu-phoi-nut-cach-dieu-d082-lady-fashion-khanh-linh-style-p270120400.html?spid=270120465,3,,Đã bán 2,damnu
Đầm quý bà lụa Cao Cấp Sang Trọng - HATI DN9046,298.000,https://tiki.vn/dam-quy-ba-lua-cao-cap-sang-trong-hati-dn9046-p43768969.html?spid=43768971,4,,,damnu
,,https://tiki.vn/dam-suong-dui-co-tron-2-tui-truoc-chat-dui-mem-mat-thoi-trang-cong-so-arctichunter-p73277365.html?spid=73277369,5,-20%,,damnu
GIGI - Đầm mini cổ V tay dài xếp li thời trang G2101D221170,2.490.000₫,https://tiki.vn/gigi-dam-mini-co-v-tay-dai-xep-li-thoi-trang-g2101d221170-25-p192357135.html?spid=192357158,6,-12%,,damnu
Váy kẻ ngang kiểu Hàn Quốc Sọc Ngắn Tay Áo Thun Nữ Áo Sơ Mi Nữ đầm 206376 + 206342,44.400₫,https://tiki.vn/vay-ke-ngang-kieu-han-quoc-soc-ngan-tay-ao-thun-nu-ao-so-mi-nu-dam-206376-206342-p137347968.html?spid=137348032,7,-53%,,damnu
[SALE LỖ] Đầm body thiết kế Amity dress - đầm dự tiệc hàng thiết kế (kèm ảnh thật),315.000₫,https://tiki.vn/dam-body-thiet-ke-amity-dress-dam-du-tiec-hang-thiet-ke-kem-anh-that-p67416244.html?spid=67416248,8,-12%,Đã bán 2,damnu
"Đầm váy tuyết nhung hai dây ôm body đuôi cá màu sắc sang chảnh (Đen, Đỏ) thích hợp cho nàng dạ hội, dự tiệc",165.000,https://tiki.vn/dam-vay-tuyet-nhung-hai-day-om-body-duoi-ca-mau-sac-sang-chanh-den-do-thich-hop-cho-nang-da-hoi-du-tiec-p173461529.html?spid=173461540,9,,,damnu
,,https://tiki.vn/dam-vay-nu-voan-midi-hoa-tay-ngan-co-v-du-tiec-dam-cuoi-den-cao-cap-p263905579.html?spid=263905581,10,,,damnu
Đầm váy nữ trung niên phối lưới hoa dự tiệc dạo phố trẻ trung nhẹ nhàng,198.000₫,https://tiki.vn/dam-vay-nu-trung-nien-phoi-luoi-hoa-du-tiec-dao-pho-tre-trung-nhe-nhang-p249222945.html?spid=217149130,11,,,damnu
ĐẦM VOAN LỤA NỮ DỰ TIỆC,249.000,https://tiki.vn/dam-voan-lua-nu-du-tiec-p159055830.html?spid=215966095,12,,,damnu
