title,price,link_item,index,discount,sales,category
"Đồ bơi nữ dài tay, chân váy may liền quần sooc đùi kín đáo, size từ 43 đến 68kg, chất thun bơi cao cấp dày đẹp | KT025",392.000₫,https://tka.tiki.vn/pixel/pixel?data=Mc8QIMRZnsHapJTqTtJ82xn1PfLNsk2IQCD5zj4UCmg0L-5hhTwyrtjvC94r7bSD-e2hALJOcBa80puHuv8xiHnatw45OznRVv9URNvueCAxZA4-AVCmGDjJ1VFDbxSUAe09ajS7yTAOQvn5T1gzgNulkm2T_93ZXizZQzbMb6IrTpudp1J7C1gD6yX2r9UN6AaUmyisW_MuWpHKadgo2FBeXwHQ13Ipo0BbwHGsu3cjX1KLTZJgWBaud2o5lzmVYp-Co63WBAjN_fcKJzMF-e4sRTyBi30gYUbfsX9auXiJeZ80o8eEeJB3ENz4SvC41WEfaZpyR89rktKGiCTfVckzrJUkMKNDPk9Kv6TP3eh5wdkj0ohPHwV9_MPYyHUvFoVqpgbStN9EEJVQHaSscdpmCKGpu8vmyWeis2MneGVBIsgaRQ8M2ApR7uu8kxlGssBelDiDAt4SR2xMAkQ_LR1GyosJWDBzm0_2Z54ARYMXtJM4C1VLVvYCVZrtGVjAH5D0ZQBEvKyW9UeHShEe0lYpo1H-piNhHqFerUtozn6en_Z5P7SoghRVupCl9FCLOfscDsx9PzsjgY2c-I65NBlizt_K7P0QxHlLQX4mlAsrAN_4B0aOlqZVgP-iWYkgVA3fI4tejUHjIWD9pEBrSBYWyLm6QptLjDNSkWX2P8OxF9Ya-PQqz7dCm4CQHzdQEDe8xfEEtx1NyoNoPx_CsOG6lIgl4ahq7vnYbb5LNyYw4On5mDD3H_EJJeZ0TwVrIAlfunOpARHjCZeaw-XfJCHC92rEyAcfsZSenxr1jz6MYA8YkKePK3n1nbR-3bIN8nvN2gJ-Qyu9tkzD0FP96lLB1RQ9yrBNfpvPg_FKVFsd79pCcZvt4HgUIwna9bNwgNtbe69diqYvfsuG6HYw5k1cc74Hf705trTAvhRe0rO_hpy5EUQRitorxBnJSo3W0s1UktFYe6GiV-upxiQqNpEOWNUKvuZ37BpIt4q49f7R_kAHeovOpcH1l_x11EiVq3kGY4ouHArhY74bw0oqBjnp3N2lV6bthFpH3zQENvNXpzZBD4AeapkFmAaGDBLhyoopIPrkWP9eHsOiSzodlKiT8O84f9jPGUHfCdIKVEe3zGBJPWoJcOS3tGLr8rLEIyp7QNLWqFDlIodHVoop3oju2LHkXm0&reqid=ei7EQM7lySY8bSIj&type=CLICK&pos=1,1,-12%,Đã bán 1,doboinu
Bộ đồ bơi cho nữ chân váy rời size từ 40kg đến 64kg,319.000₫,https://tka.tiki.vn/pixel/pixel?data=doLB0wpqMjiUSCakklDUzIeEBu1DPjGEogY7wli40tf4WAx8mV_HXrF0cB-UKEeLRBVk-kCq_mF1jtApUbCLrMlDx2OhgqM_B9N_zp2oKedC_GMxcDpLi0T2bXPgsvEDK6-yJ8cGI3JMk3MsM_zloYVGefb-qWEjZNrqpvtjyo5uP7I4eO_86EuxTX8ggx6YxzbAEGg6VbP5FQ6FytrXKOQQkhXAy4vBCO1Tl6WoZqL8aq1_S_gHIBqiHLSLEqh2cKGjSTD9l1IPbKzqmAoOIba9wSRMfWo4BFdKGy-6hYOsccxO6eCoV1QzbWxPMZ5SvlsYfTJlC8rpZ6YrTQiNLkH4Qnpinw6KBQthFWc7l7hloXNezkSBiFVldLenDH9RhF7eEjG2HXMf_u8D_9deg_tN72HTUidhkbdF65iBPb-GOXkBqYlk8fh7ED3FCaaTTewldGGz3GvkOWQiBbddtiXZ4bfNmcWdBJzYZ632FeltJ3s2WkMhBYsKI9GT-lEcYN5TLpMi9XtueJG2pmFHu47mmBtt9r5EFJxSstSaqlUUPxntiilWG582vN0kL1ZKSgTgU1LYZtmsAxgISreEF78rL8eSumczxQfTEXQZLbUfzucMfKMoWs5A8R9YX44GkM72iI71ZIcuJnTu1DS1uNdM4txB6_Y7eSbHwTOgVpyOmM5SlHie7FXBr7WYI59Nmun1t_RZSAzudV1-sc1Y5XFE1LnGlao4BKQj5z8Gv-2k8Q5Ut5nIBVvvLIYmiODA9n5cuqyFNT7GYTemPwh-SaogdPE2sOMPlK-ONNu-7DY8nDartrvWMILQweL8hlu8ldMRmigWISDnOl1bWAnxHrTkD3g6IHWhUGcw5nDzAUV3hk8AJYwbguPE5eOee-CUsRJPGP_u4hoL4pf05LJY4ldTt-QQSK2BF_6dKza_9Y5YRIlTP1Zkab9CTfrVYHej29kphk79h34ZQTF0DBJtFdSoBnPgsgvM0-ZEDBY9Zh_eaVTxbNPmfaPlCba7WPVBP--1Fl3-mWBhj9cPrpYRfLQaA4ph9frBkuJAQmtYXDHo0zUvMcCfqzv27TeyYip0KY1gU5Ruy61PI26-jv5ZdUgAa2CQdPmblNRrOX9h5Uk&reqid=ei7EQM7lySY8bSIj&type=CLICK&pos=2,2,-12%,,doboinu
Bikini đi biển QUEEN BIKINI Đồ bơi nữ kín đáo Quảng châu BIK32,349.000₫,https://tka.tiki.vn/pixel/pixel?data=lvkcRD8iKZpgFv0YKfyvzMaipIfLcv-mAYvYYTo4KMCjoe8qVbrvVQWBiEXQHZhtMF-B6wY-zMMaByt1Cqzyds7oSgwGwsBWUtyZEVfKSPt9CKMAN6NfXkl8OIFctf1oCSLnA6dLh-DSl2PBRQgcFHArBpBqSVqx7iEUUhNiCb-H5Lk_FgzZREs5HfeRaOCdz6Q5uVvUtPwmuYmBuKKHXL5ZmGpb0gXZpl5t0xpKDQfm5XZ3QYsW1RdVnhGzMijfMWvJH4_hlPaG3Mos2hrg7E5BhARZAwtYjUrx0nGcJBtVyF_Y6FUks2fhUHc_2npxlTn1qndE4LStufUVB_rWAA4lp_g14SqqfPKTK17Iln4MkbzZUvNSb6ZL412IVDgShaLtmvT7HtKNKDOERpa5hXJg40OSWoKe3T5GicMvYFasaUx1DCNLjg2P-Gaebm0N4FRlpu-BEgrbn99mC7DP0KGg1d9GfvON1TuiG7ciiYZ55SqFKVGAjKhYCJe3BPais3PGYUAg3kHuWeI5P2ppLptjagQWBNHe_IQ_h0ulij6KFL3vDj2z5-Bmr6EApuRvStGKHqCA6mJw4Q3gkT-geuhxm06OMmdRhCX_Eem3XRtLfUJnU3kU9GBzh8O5YWlSRzZgnDKKp6-O4ZBlZiACBLBQW58iS-L_09CEsP4PVSaRc66PBI8Fque_voEgKGe73DqYlo3tQguimjQz2x-GQ4HcMeFvMR3J7lfeX0v4VipjCAo_0GMpO9zVZyrEBMGYMy7YT9rwKMdPFRrY1QFLqOR-3OURjQo8o90TpccuWsJYc6HVJzYU8fJhtxosCOMp-6y7DKtmCmmNQ1JTq6aHqrtrD-5YYRqwX8xnAoxJhyUsLwhujY4g4-ikgcRg4_AprrmZNFN1nlk4L-BVMTDjracrGRMzoMG__cijHA_He8X3sZWqsoKZWxYJM1bn-uFGY-ZKnZXdZDpIYg5tX3rIqdTDhweI0Ii59xXkETGEd00tUzsRPb_cgWYkig9wGor3oiNz1yYnQnfvjV2xZgx5WAHfHHG6IVfx042Hpst3H80y60yfReg8j4OzcRANStJzhuyzQQ9Lo2KueR5B35rywg6Reqz8dxAkHys61opEql3H-BF40nRDUIMN2mccJcN1e93usGILPIw3ebPWfKpKCG_50h4kpjsaWjS6Tw&reqid=ei7EQM7lySY8bSIj&type=CLICK&pos=3,3,-12%,Đã bán 94,doboinu
Đồ bơi cho nữ quần Short size từ 40kg đến 64kg,317.000₫,https://tka.tiki.vn/pixel/pixel?data=3pxukXO6EBgP_7b9EMR_dHEr4i_2BFImjsd_kXKuLwSSY-pUQPxuxP5N-lDAnqjj3oLodOJfS_uxFjXM5Suxsgm-kcZiYpgAfKOXbXFdswOeXsZSgd5sX-O6CZncr8fOEO46LDM0g4qOocxTZbcGqzNSo1bXCioXEWfh-0kfW7Am6GoVG52aD-8TTsFSVrLQ3NUJXAzSPzpQr0zPTp2lvn5sMaiObXkFC4zvngI5LzjmjzSVCbIz3HIYAEfhw-otj5NWK9MBPo7TdeK1pDqRBszBWpXw2DsUy7pEC320j7UN2lBazMQx2QOHpzeAlr2odn7PbbYajxCyG2Vi3iKLB_ejalP0779eojnmL1CNCkpidsklbfqNuztrH_4j2fEdlMt-1KIRrhglRTV_Tw6v4zE8_BRyP-0CEwmSJ_kU4hLxM_1rHO7P6pKxOue6NnYa4_af9rAq9sv5OnYF12uMbhy2uUNmGxdZ1uXmuZdnlKOMoHNDtTnw3J98zmP2YeXeO9uIn9q0gL9vDYwxWx3EX2aR4DKcJTRU8ga340oekGak_jL4T-XXaUnPlDplsLep-BEH6S_WPKg0-OqMvFij_U40WFVOBCdbuZNOUiPZYs-xdm6M67QyY5zkqppcjGYy-Z9is-QADiRwsIVhWyeEvTuS8nD0G1lmCkPUyHu6JnN-PDOV6lvJ9vguvWhlq6-wdZaUC8kE7FoZ6pEs6174x8vsc30PPLv9z3SGV70SPb1Qf4IPi36jJW_9yh7koG8M2t0hcnNNi1MwqTQ59n7PTKVM0RzeaC2IwtJ1qRnK3srAg-BFsZxiY6kKoAQLz_XfYe6E7J1o48rbFih7qAbs1rRnbDtMqa-a9jTwwiZ1oTiN1gQ5SvsU56zMpERdpZfY84M6mCImINIfRE9SmpXrFkw4pstc8FruW5DDZbTeCxgSrscyf44APVv_DKXBx9Z0AlCgM1jK9asK13rakEklMp5YgCyx_x89nAgBx31W2QTG6tx_TD5v8FW7R4pq4IWgvAua-2XT1ZvRPds7se16INLdUE6vr6d6wqxSGR2AUp7M98ZZWKKMpUnIZtg&reqid=ei7EQM7lySY8bSIj&type=CLICK&pos=4,4,-12%,Đã bán 1,doboinu
Đồ bơi nữ tay dài - Im the girl,307.000₫,https://tka.tiki.vn/pixel/pixel?data=PJCb2SCPtBsdm_8UhwPOQQqMaWxEbhDBkHQc35Uou7R65SisnYU-Pwc5RUxuUrDXFFGEhB8TQ_rVrcwN-AdIGC03eT2BX3KBQoalyQTuGmD1LKC3sBGtlgoWAv4YXPPXJKU4PBby7-ajEvXwRq-igz4g8OMVPOuwdRDPX6za6DHJvqGEiDEdSaxOViQ6KSCMlzLWO0_t3eZ_HOQzfWDjtbD1EOs200bqwx4dk2e02WesgJ_3OswKenQNPshNIeSA_71Ix_TizwqaG3AGcPyoO3CMgP9-jRvk4wMTtOpTWl1qe1hpxnaPXOiVGbuzuhqT73kaztazrqmfaz1PrWHnBW-nPs62u8RpNXW8pz2XwIscuDtExalqX9q1s-Uoi9sJMwWJs6NmiVjr7_pkwVM96eDp28QsYMdVLFqddbLGNK_BNaVQ6VkqjAwHiNYtdz39Bg5WbtLGdMCUuPZ6CSg3J4Uta1ZHxFdMJuqH95GTpj7_IENTw3bFuYlLZKDRen7kBvs06iaTxQOOP7allsPaOxjF61ra3CiwdNSTqyhe5NuUI-ooq-4I3bcDYc-I7POTcVV7S1NpguO3bsECvoMTwLjuMSVLF3tMjnS4UEi6DHzLMNeRLpXlmaDrI0Vl9xEr_1Dq3rb6e_FbkE6afmfkDX94eSBfQDsl-dL_S8KVKayCf-DKM3CsVTyasUbKTA4CsMjul5NeVpKnFh3vzg0F7Hy9JOa12FKiBFXKZKIFBKsXAwsmB4d9JjgeWxgNGhGZJU1V0s_cAMIa0qtac49UOQkljkNu5aRLsbGz0SGVnDw2p450o2Axow5WEgvs8TDWZOmEs-Rhy9O-mkr2b3tCA8nLYH8060BLn3Rm_t4XzBMPzEGZbdKrPxs5CTm1c85jgQ5ZfuG4SEMdPWpR_YoWd9gcL55CTo5opOh4xJ_Ex-6v6xxF5O6Z-T3caG4SJPw3IjL5BS2p91umQV_Qmg_Lt7N-LOnIlqkbCdxvgu1xFIOMBxu_oMXKKoy0-KFhUWUp7q2wNQtzQEFJjkA1TYkwBAul3sbIH4oPE1J_&reqid=ei7EQM7lySY8bSIj&type=CLICK&pos=5,5,-2%,Đã bán 1,doboinu
Đồ Bơi Nữ Hai Mảnh Đa Năng AT168 MayHomes Áo Bơi Nữ Và Quần Bơi Short Nữ,161.700₫,https://tiki.vn/do-boi-nu-hai-manh-da-nang-at168-mayhomes-ao-boi-nu-va-quan-boi-short-nu-p55042458.html?spid=55042472,6,-2%,Đã bán 1.1k,doboinu
Bikini Hai Mảnh Đồ Bơi Tay Dài Che Nắng MHAT045 MayHomes Form Chuẩn Thun Bốn Chiều Co Giãn Tốt,253.820₫,https://tiki.vn/bikini-hai-manh-do-boi-tay-dai-che-nang-mhat045-mayhomes-form-chuan-thun-bon-chieu-co-gian-tot-p36904256.html?spid=36904258,7,-2%,Đã bán 572,doboinu
"Set Đồ Bơi 3 Mảnh Rực Rỡ Nắng Hè AT167 MayHomes Bộ Đồ Áo Bơi Nữ, Quần Bơi Nữ Và Váy Bơi Nữ",155.820₫,https://tiki.vn/set-do-boi-3-manh-ruc-ro-nang-he-at167-mayhomes-bo-do-ao-boi-nu-quan-boi-nu-va-vay-boi-nu-p55023823.html?spid=55023835,8,-2%,Đã bán 510,doboinu
Đồ Bơi Cặp Đồ Bơi Tay Dài Che Nắng Đi Biển AT172 MayHomes Long Sleeve Couple Swimsuits,279.300₫,https://tiki.vn/do-boi-cap-do-boi-tay-dai-che-nang-di-bien-at172-mayhomes-long-sleeve-couple-swimsuits-p55279177.html?spid=55279183,9,-3%,Đã bán 514,doboinu
Đồ Bơi Nữ Hai Mảnh Kiểu Váy Tay Dài Dành Cho Cân Nặng 37Kg-50Kg AT216 MayHomes Chất Liệu Thun Poly,182.360₫,https://tiki.vn/do-boi-nu-hai-manh-kieu-vay-tay-dai-danh-cho-can-nang-37kg-50kg-at216-mayhomes-chat-lieu-thun-poly-p92145164.html?spid=92145168,10,-22%,Đã bán 156,doboinu
