title,price,link_item,index,discount,sales,category
Quần lót nữ không đường may iBasic V188,75.000₫,https://tka.tiki.vn/pixel/pixel?data=x7Bb6DeYiEOm9PcJ5Rgc-03eZsv98aMak45lNL1dChF0FOx5jJZE0t39DM42H69WSb1t6L6Mg6aJ5vciBzbcQ6pthfUivhobg6hJvf1K6lzwFywFu7IWgp-XcjufaMLR1JJ30cIxc4ku1YUn5-to7mwfEdGOGDCcj_ucvFSse9pDC8pqnUH83eHTG9tO1ITzn8bSqJ1iQ-QMoQaV_MX3KfwgxONZHrC815uCh5xi6twUKU0j0zrNjnZzR90AuMlWa3ootjDtywV--hO2KWVhrFeOWku1NDwL0BBI1IGNmKlsLQ38f7N_kj5HO5gYN8eB88nKMD0yHWBv60p_bbzJgKAaUAPjWpIHOjWCZCnicAz8VCLxd3DoQJ0SCaXbN0k7nUDfOxMHeowyy6wr4EF75753qZMkbe6PbQlZaP8lOxtECqQmxihIfffRiVPPsTdu5lnRR25_BYXYVWvzqGLLXMnh_Kg63qH396kKmrlJuf60LO1kNBsBQffP46LFdc30Yd3dbQTxs6W6L4T-xy_wMpbB_HkhxOsCWvklfLryny8N8w9kcFXbZZa8-2HihxN54LnPFVlwt-5s1qr_NklcfrwfbXgbI4z0x2Vcxb_CZvjg3iFbpaDlnh76Jh_i3WV3fT2WW3Kv-Ax6KIQiYgwGpYaSmgyBkgQJD8-0uZcIfi6rqYVraCEjWzzHgZEao7deRAZed3iIya_M99QVhZlHkmK0hEeyJrCgg70DEMbrH-a8NsUirVO1Y8Nj39MraHogw5tmmO0fPcVygnU8aP5kyox_tC1cXn3cDudWob7WikEsPq3xjw47cntbVS2S2VGwvdybnBtYMnteA9AZFtBab41L6fpdLqjzww3ID8cO-L1wvle4jjCaPjkyc9G0Qlykwmx13mYx4RGBYhLios9S0VFy4_Pd5vY-2eQ26aOpXg0C5d96ZEAeXzx_OuWFIxQNBDB4TaWA2p0-L-QVJEEzpZse4S-IHXZa8Nu2-L0XPRHQ09UCzWrfLF_bgCgZzRCL9k7CNDZK_4z-TEwEzWEaa2gbn3X-pRsJsm9wcUK_vPDTQaruKr-O1ANGBBmZ8RoSYeDL4cBj-yYxp5a7It85U7PpCyHL5RIB9fd6ZptYYj2LF3IEHesddPAfVoKNzFcVvXGP9WmqzCb8SRM&reqid=p3ym5wjxwTyOA608&type=CLICK&pos=1,1,-16%,Đã bán 385,dolotnu
[MUA 2 TẶNG 1] Pack 3 quần lót nữ không đường may iBasic V188,178.000₫,https://tka.tiki.vn/pixel/pixel?data=zQSQ6fNcvS7LjVoaRQu3jWZp0Zxuq4Qz-rGmtF1hcbXTdQmLWbyz1jp5-fMDz7VqP6Fqo_rhvVp2OZ5_ul-cHjwIU-plWiZ1Bai9S8gyxp-cJdUNR9hQ9UNHzdJWWdrtwB-VwQBM_bt2mefoy78E9Q_w2kKwR3KIaTt_2Fs6GSe9QGv7ZzhnmJuvBXFOJfJjBg5YCXXXKg3fqdaecDRKLeo6m_1BMrAF_-0_Tzi2DsaxwgKMhuAg_mLnkQ4ECAa2-IQpasnpSSeTRFHL1NDcVTau7PMZKA56nlPEgtDUX4UCxXSHJ9fwGSEJO4gmEyKiOjCHJ4jySLVVP5UJAsd6OYuE6S3qzZZpGMNR9INf_oo8r7f0pDq6Ew__45eeYFbCabLwxG545yEyrJjDarsu8RhodbT8FmShAxLzsKzvwt5kRqRRByoDio4WbKEYjoprvi25dJyWrYxRbBuLyTU0dpufFa36mcbBvwwV2dbJFJZaZNSEoQQj8cfgpa8NJvC2LoUf6CsJ5iGsa5LJSoMi34r2PvtVgsflM0yTyfKjBl74PVk8z4-gR871jGR7DJZJDe8tOxCillYQ6XgiRj6cSJE_hpTarrtNOQKSqJdPytvO4z2MDqIatVZDmq5zKBNOU3i-lK5oDQdbZFteEOjs01FtfqEUd4EDPFj2EILh0WQX_uHLWIF-kWr-7uBI-yRetHPYetIxhxO5y6-AVNU0DZ8UBFpXVBD4D3oxi0Fx7c7npKrqeh4V8tF1IrKFsDxuOyjbKTp2qBJkJzaP3gUYOCYSl4oI81r_TDzjF4jQOP_8E0vAIHHJJVfZtVUKz02c4S19OlDqU2X9qxbU6zTDFNHa3rWcYXL4TXFOugsYsCNvW7pBZlthNST_onQAHUsctydeTiipHTWXZ_d63BK7EP2sZ38L-EMEWLdyAjsEEMeOPc-7meRweWDuCgN7-rJVrL1VqqWCUUGLaFbc4jjsm23Bfuys6LzeDbgtqykCuWYeXRGAZhRuOQ8BN7J3rXYEAKucBQWjmclvxgCP-seiq6A0w9FlzaWcUOj48jqWd_dp22-IqdfCqdNHpWX58MWxh0aYfUVsdUtwKW9Ojg_N2_uemnC2hD1kC8yUT1wVm-P0lueNkncQ1HUZQCaz8zXbH46pyCNtnNEwpSOKqp8oI_SOqsTuMcxBvXHMT6twBj0uN6Q&reqid=p3ym5wjxwTyOA608&type=CLICK&pos=2,2,-33%,Đã bán 18,dolotnu
Quần lót nữ không đường may iBasic V189,75.000₫,https://tka.tiki.vn/pixel/pixel?data=T7_yLZbaIpFTniOFEdp_aAZaqQQ5hxvuMfmHVl3b0hygIXEvl_CEfN3aK7YVSoMPlfCqvCo987I4ZHec4eUExSS_6FYKb3AxTtCYywd_nw2b5qOxHdR5m34S1Xbidk1ZXk3XF6KQClVwC1R0hts8DCPshZmIbJ3oNqCRt6QpRAuEJpiE44XVZJPDnH68HcvaenKRfYDwwpUuS3BvbSwkoj__u9i1X_SxjLOP9c0ZUM2yLlIuGyygZFSx1WTrGF6SvkxFp_I6zmOCJMngrwdgltOG0yLHntixJRTMc4D4s6VI0W5y5sFeXrj-6-oRx1awPnwIUv76evef74uEDBOCajVGBFQmEPMVKgu7AkSsBOrHDQMhAZaCtQYXyScT_bMMA8eNSZiKHY_hAjsBumCYJPav8VuOJsJ28pMpAnpG23qk2gTCextTPbCDxExjqNBc_8670aEhXhGpkxtay8xsXb7TA4SMv_31-_eGxIbPdzlvgYWjkf17ZjQmr7YO0Fw6dC5VC15ven4zHurF6GJFLbBg-V2FrPpPCB9qERLzlETXaWj9DUzNAsmhVshJPZ0i8SwpPMwC-IrT4y2lsXKzXy2PqiFkh4ZyAjp5H8W6clj5zO3NVPuKg2lqDUuKOa6fJZuOK-Xo7I8DB5feNsUs2PJQRPm-kzVfnAiDZTRAXb89L6IPIPGfJqJx7kYXO9e9kt5Og7ysMbMEAiR0DKQ4Lfr7nwr8PVePJU_fzJzCtlJFabu_f6tzMkLE99_2OHajQuXEnzln8F9Ko0i8BYNHeGgbBWHpQg1-iefFvVLxw_AC5p7-rBK0kJntq3SU3XercPj3Wjd5vTHj9GlCiS3kWlldb5XRIOaWb3VKL8dn8CiMfpQ2uQrzEVsXnM6m5hcQPWPrVHnFNZFDVQhJAk2p5OVG4ulVhkcZKtflbmWrFbf9LCahUJ2TjKgdpliANg8XRugTLAnovtTKYJYgFE3d-0Zzzy5wgXkMIwagKotVhyvcpl-lPaeaR7pJzVrJsmSZSdchOHpyhC_DuH_QFNlJt2i4YqgMjn4CoDWB9pgKcP_9gXVC3c3AqJksD_IKu1_O-1FSgTEEJZ_7Zb-ABFOI96Yv6e3yHczXJDkxObWut-aXAmxtu1kmoj7mp-T_1SkZpDBgHMFNJOtFhD0&reqid=p3ym5wjxwTyOA608&type=CLICK&pos=3,3,-16%,Đã bán 650,dolotnu
Combo 5 quần lót nữ không đường may iBasic V188,345.000₫,https://tka.tiki.vn/pixel/pixel?data=9jQy1029axf418sTtj8aMW2zJkg2Tpa1yGu-XwjsMPW8Zb4Kx0U-_KZuAZLvEVOo9yvmQmNoWL70J44tKEBIQ_1HCaIyJVn7gzOfR02KqKWSUxI5npxSpVKgGBf5MdHLYfdBrH53n5xzaw3pEWPW7JLqQa7VqXlvzLc4beBW6Ex_2mep4qt3u2li0iY--yF7pM76b89Riky4Cq154YAqNAohlQzV_UVKTsrZDUoq2NZubXMdWg2knQ7OnrwZ6NsR9lK4l3euInHktr3VizLT2HSuBTkzTiuL8oqujR-aZg9q7W2pgOjnytxxgNzdW6Nnb42rctPhYMXtK_PDJg-93jbJLsTbsqVvZ2KGx5zya-SSODjSa8LazcpPamuTMYpX0POeUULtVkYO1seZdQflvuSIW2eY-QF83UFLmCueR6YwmpS7ZdOJ8WB8NR1lhgnHeXRdWQOkmg_OKbubJsr7CLNconjMPvDGKsZsocFxUVqKTaQJScwT63fWRCkwcahpuxUIbJ55k2C20FIPz-ZzoAEprw8d6BhYvv7EmK60TGobscNV9RSzL5-t2he2WxLtECbXzdJczOCkHWjZBKg9iEYnpxZLfCB5np3zc_kG4zJS267IcroMcy34zUAczNcz40S5kv20PuxJD9xs5p6jW7Ygqm5xZJKOjXyoYaQKjz63c_kBbYd1Vpl1OC8_3dPQ5pGYpZO0qc0GNjaHAkc5TZH8EKzJ0_AMTIKlkVUYkxEEyi3qWM6DVJ3oK9v0ArD8MY5DfuEVtY2ojG8VfcIDIM6LnC4Ol-jHLjiooNyKbL4ksdZFuJlbpvRIHQhV_fmB2_OLyqqMwQu-OeFdVn03JYKERttS4iU3f6QVEIrj9nmsB3hRTrUw5mv4uhUAP8Hkn30qG0hN5Tc8LEBjIs6w1SDvjkxDwbu1fMSxz1SYLewhSxfykNJBRbk3kIXM3igh1F3oDO5sYcCn8UD4sDqNNDxIoszK2r3xq8KRdf03YJYf4_HhzGpzZDkXY6eUtCIlra-s_DRQkgyO79Xhp1fvv1fvqDQWUb6wVq2jZFmIK451FiAYHeIPnMxdxq29IgS81N6k7mW0fHmJdtcETD84lONvdCa_j8XBuK2PKnnCKvCc1jASrbA5fqJiGTL0vtKju3AFil49YGa_kCZLVkoYMUoHWw&reqid=p3ym5wjxwTyOA608&type=CLICK&pos=4,4,-22%,Đã bán 241,dolotnu
Quần lót nữ không đường may iBasic V109,119.000₫,https://tka.tiki.vn/pixel/pixel?data=hPGjHFisoaPSf3eJs2IKPWHXAma4Y1RjEcnkwO_X7PUM584daaPWl6yEJegtr0l4F9GwatXcZVvjNtb-p82n0fN9CT93E175PhJ1nqDFJZxqysSUM2wkNuQP8_xNbkJLL6QEFg3jqTlSUdSUGnVwQmI4d5s_BcCTiYqUx07xfSj8jLAipHaferlE5Tmp68DXYIg5AmYIsNsHJBCdL90mgdc3lBUs7te0F-z1qH3ys9xxEwI04Gp91Ygd7RysZaKQCGM4wbhESL0lTXE3Y99tH7HyTlyW1EdrR87WMdNayyR6J-Dt_WzsJSEypyHGTfFIGsF6BuPjttxyH3fuEdaaVNPn-9m_Sb8P_I9vNW2ngsO0A8n4SbNODeRQCGpArah-T_Ya_3L1YEXcbVzxZnIpurh0ci7uHPFepP9AjAsQgKgS9yzz-feNY1p16kU8kHJXTTNMd4fZSLRZ1Kj-q89WCwrH63qhHdWVHodg_TvHisqb3KFbgFFJPIaMVUAiEHCAspyZ4ijHB4jAGcDQrO2omGD0K7kZfAWCqUAZGVuIFunYDjLV2ztDNLG-4ZKxWPu3-efERW7ipv6bTzjv0tTp_yY7tW9W0ymB_zKdkq9fx8S4F9h2ri9D4PLFzuFvUfxNHgAS50ghwvX-IQXpWGsw8j_A20tO3k4t0kc7V8_cG56TTtUcJ7Js5EdB6e4CAHVH8CB_7gU58OnweKfxlXkV4XBJOIBZ7YaGl86m98y8rmpQNuaKry36jQZt2EedWXsrkXToOszHk-R-HeonlDhvvgN6F23yo7FD5lHF84XKdBb0KJLrw3iQVyxok1DZYOn9Y4QPC6D9INea6TpXn9Qke26F3FHrzeOuI1TDnuAEOa27u7Mm_Jxwmxx3lAvQsupk-fFhJBGRQFufmzuxe4-2eYyFoevVuKL3kdwBlIvGzS3rKF5pLY1aWid7IyVvjVlWLkDL7ItqM6iDpOVO45Ap3kwvB70oUgxczGhzpa81EqrDJaaiPmGCLgqgMWM-4vHAiJlOYR9wRKVTDQ8yVSmglwNNDzpxHTSjEX-e8l0K23Lg3dezoh2FbWCGwjmh2TBxRHS8jcV8KsjUPT6B1eYD4Z-Xz8atI20AoAYZ2-9H7m2U8Z3ytwZygNxs_nHt24xxGuruKOW0gYNzaLk5YQ&reqid=p3ym5wjxwTyOA608&type=CLICK&pos=5,5,-25%,Đã bán 62,dolotnu
"Dây áo ngực, áo lót trong suốt- Hàng Chính Hãng",20.240₫,https://tiki.vn/day-ao-nguc-ao-lot-trong-suot-hang-chinh-hang-p252131124.html?spid=252131126,6,-8%,Đã bán 761,dolotnu
BỘ 5 QUẦN LÓT LỤA LẠNH FABIC CẠP CAO KHÁNG KHUẨN KHÔNG LỘ VIỀN CAO CẤP thương hiệu BAW QLN16,189.000₫,https://tiki.vn/bo-5-quan-lot-lua-lanh-fabic-cap-cao-khang-khuan-khong-lo-vien-cao-cap-thuong-hieu-baw-qln16-p82700818.html?spid=82700824,7,-5%,Đã bán 1.6k,dolotnu
"Quần Lót Nữ, Bộ 5 Quần Lót Nữ Cotton Mềm Mịn, Quần Lót Nữ Kháng Khuẩn, Quần Lót Nữ Co Giãn Tốt Thương Hiệu Baw Mã QLN03000",129.000₫,https://tiki.vn/quan-lot-nu-bo-5-quan-lot-nu-cotton-mem-min-quan-lot-nu-khang-khuan-quan-lot-nu-co-gian-tot-thuong-hieu-baw-ma-qln03000-p111058227.html?spid=111058229,8,-31%,Đã bán 87,dolotnu
"Miếng Dán Ngực Silicon siêu chắc chắn ,tiện lợi cho phái đẹp - giao màu ngẫu nhiên - Hàng chính hãng",11.000₫,https://tiki.vn/mieng-dan-nguc-silicon-sieu-chac-chan-tien-loi-cho-phai-dep-giao-mau-ngau-nhien-hang-chinh-hang-p183058686.html?spid=183058689,9,-50%,Đã bán 1.3k,dolotnu
"Áo Lót Đúc Su Siêu Nâng Ngực Tạo Khe Quyến Rũ, Áo Lót Su Không Gọng Không Đường May Thương Hiệu BAW Mã AN36",79.000₫,https://tiki.vn/ao-lot-duc-su-sieu-nang-nguc-tao-khe-quyen-ru-ao-lot-su-khong-gong-khong-duong-may-thuong-hieu-baw-ma-an36-p97685241.html?spid=97685266,10,-14%,Đã bán 332,dolotnu
