title,price,link_item,index,discount,sales,category
Quần JOGGER nỉ bom tổ ong siêu hot siêu xịn vải không bai xù thời trang Banamo Fashion 294,114.000₫,https://tiki.vn/quan-jogger-ni-bom-to-ong-sieu-hot-sieu-xin-vai-khong-bai-xu-thoi-trang-banamo-fashion-294-p152874477.html?spid=152874522,1,,Đã bán 2,quannu
Quần legging Qc siêu dày dặn bên trong có 1 lớp lông ạ,75.000₫,https://tiki.vn/quan-legging-qc-sieu-day-dan-ben-trong-co-1-lop-long-a-p135459665.html?spid=135459668,2,-70%,,quannu
( HÀNG SẴN) Quần Lông Cừu Thời Trang Mùa Đông Cho Mẹ AQ13 - Hàng Quảng Châu Cao Cấp,255.000₫,https://tiki.vn/hang-san-quan-lung-cao-long-cuu-thoi-trang-mua-dong-cho-me-aq13-hang-quang-chau-cao-cap-p270821187.html?spid=270821195,3,,,quannu
Quần Thổ Cẩm Boho Vintage,409.000,https://tiki.vn/quan-tho-cam-boho-vintage-p98640306.html?spid=98640331,4,,Đã bán 1,quannu
,,https://tiki.vn/quan-vai-nu-cong-so-dang-baggy-ong-dung-quan-tay-nu-lung-cao-p168075959.html?spid=168075965,5,,,quannu
"Quần Baggy Nữ Công Sở Cạp Cao Cúc Chéo LUPERI Không Xù Vải, Cắn Chỉ, Chất Đũi Xước Cao Cấp LFQD2103",465.000₫,https://tiki.vn/quan-baggy-nu-cong-so-cap-cao-cuc-cheo-luperi-khong-xu-vai-can-chi-chat-dui-xuoc-cao-cap-lfqd2103-p168310985.html?spid=168311006,6,,,quannu
Quần Ống loe Đen Trắng cạp Cao dáng dài Quá Gót Gấu Thường CT JEANS,588.000₫,https://tiki.vn/quan-ong-loe-den-trang-cap-cao-dang-dai-qua-got-gau-thuong-ct-jeans-p180866580.html?spid=180866630,7,,,quannu
Quần jean nữ boyfriend baggy xước 9 tấc co giãn CT JEANS,357.000₫,https://tiki.vn/quan-jean-nu-boyfriend-baggy-xuoc-9-tac-co-gian-ct-jeans-p180866638.html?spid=180866665,8,,,quannu
Quần jean nữ boyfriend baggy đen trắng trơn co giãn CT JEANS,382.500,https://tiki.vn/quan-jean-nu-boyfriend-baggy-den-trang-tron-co-gian-ct-jeans-p180867382.html?spid=180867441,9,,,quannu
,,https://tiki.vn/quan-tay-quan-au-suong-nu-cong-so-haint-boutique-qt26-p50691053.html?spid=56422564,10,,,quannu
