title,price,link_item,index,discount,sales,category
"Ngũ cốc bầu siêu dinh dưỡng Lạc Lạc giảm ốm nghén, giúp xương của bé phát triển toàn diện, vào con nhiều hơn vào mẹ",257.140₫,https://tka.tiki.vn/pixel/pixel?data=8sPtWN8jZRhjrd6L90XhgWljyD7naZJwI6JXLYerVhR0Z61YAtyQYhKxKRS9LrvwejqfbKpi7ZiAuvqXWtWMRxSl_rjI4LJildAyKle-sd26GISVI-L51fJUNhC5N1I37yK8TkkPv1-lAkSzlxppWDCz0PZMueOEq3x8HSsTz0V1ZlsqBC6qMmwTYnIEZ_ii9yHJl3CE8mk2DR-DFhIhRZ8USurHeMFUp_dIMuE90q1hx4L-BCe97SFP4LsIZBGU3ocdz4QG0vvQWpkso_2HjSySDNhkDrIxHrunSuve-JjqmC8KPsHy8uWREX57z_zAboB346LphLIsip2jsRKmaokljNYUGN5htGEl3GL0IVwpPYj-xWyjefWcdTfS7uusKu2r0H6DmJiGhRRGXqIhmRJEL1o9O9NSrOoBiNNKro-Iza5QfHPri9RSyQY3xCDYzIcALcVzyAmyvQTAG0yyHcALFQgtespu_qoDILW5D1a-Q-cjj_ayVGssKEs3LqJzRBZkQiSbC7XhocCjjlM3RBmR64Z_U0hzgSCIP4icMAKPuJBGwwYfj1bWf2NDL25M3m0XLo2OhM-9nSCp5C9KSWkEjoM4CGBQH1zWR7mbNIjsZSn0efkL1MTqBBi94qeHwl6F-ojHU1ObaOy-DNQr0OcQAxwYnuZR3SlE1u95qNZHpCpJ5Ff5kJTC1kIDupKt3ihd3UYNHN_bjbxtQVx_NWEkIlvl_CaleoYCI3ERQh5uIHLBgbWRQIgQpwzNWwud-0RNEk5jSvE4SCXlXBWbt7teWJICiHCI-ImT4RE7em-kevaYWLkivXcYQtgsYif3oLm53KaO3uRikv9fnxUz8RsmkJ8otQb_acj0yOF4SS7sgfUyoGDL_6dQ6xdORIBkHcJEIpk11ZH23pkzmfEBQj0hsz7Kc9Sq74l-xQ_F9wStTh4wgWU8kHGKzkvNdtKiRsn2VlrPouCS7vvr8yqCaObKIeayw2x_b_IXQZxj6GdDgu5iubo8yyllr4gvBXYZ7iac7eTct6GrjevIPHGU9-NBsqWRHfJZTqB0w_fhW6UrMRX4UASEKKma2Q3RKTxbuoMWcurI3ysdEV5VFpHnUwhsj8SbhH4frCcBaa0y8BvydZ7mBiWdAyR5Pd4pvVHRRuAJCTeWaEfylQLaSNj43VAxD1c&reqid=NoNwrobYJKhhqu40&type=CLICK&pos=1,1,-14%,Đã bán 30,thoitrangbau
COMBO 2 HỘP Ngũ Cốc Bầu Lạc Lạc Plus 30 gói 600g Tặng quà cho bé,507.400₫,https://tka.tiki.vn/pixel/pixel?data=ma9vel95SL3FN_44jjf9kaGA_Ux7FmZufs6CWjCoX7VnvIbYgbKaKgc_oaF0XNaduP0CRmbqvTQkGz1geIjVdlIxUgybPVtN_IaKBAFxGhVJ3eazZAexAGZoe9Tle_snXbEfS719LyMqN6gvA_IfOYI6zG_VVVaLOcpAfjC-n6T4g_gciPn3z7XoLoz0EjT1_4HCbRUii0UAmqQ9PieEjDPZzCwBCeuh7NpFfylsYnmevl48U68g3s6tefgHFk8sJV_ZXK8sgfUB7q-wH7FZ_pBCx7CiAt_zBkEWhtT9Jp1XQM526Jh4QRXydFg5OvWmC6D096NutDvNJmS6Bkb_pEcZLwtoCXQmRNZmZGT4akAkugOfsJ6xob8lT4vjPcx3izJrifJw5PeWMC9HpV2qC9AmfI3B859OHfOvRaxuAam0nwiWbxOuilH2G1ZoPSwwkXxXgkMHEt9aRbadbZu2HA1KkELWtdlHytQYJ4NMmc-RvOwNgJNtlW8RdHbhd6evTUtfY77wPMaj8ZFCQPbOrNpKxU82CPQHGWLOdusCvlFUbJkhHK0m_6NS404ajTBYfq6xKUmJ5mZGm6amMDZs6xRTP8vtMxZZTOmSR7jxo7f5LmL7bIk37oUBl2HpR-EON_W7CTVkbe_jldtleDMO4fSEWJp-9x7qPxiYdifRs5MDsitbjUmaKJ_EtoKD-3l9_X49_88fEactjMO-6LM9Cnq8Zp7x6ptbgJn-pVvXezAu01TX9GXTh_1dqVrEO40HrJ1xXvhqF7jqyPR4_c3o6B2q3MjX16Far64QD4yEvIl2W5Y8CrZHCOxYIEVeZAgAzKq9bNE-5nKgVs89Sf56NKQSyypg8D4z9-hgXjISWxcu1OTrI9tgPysm_qvIN5kAwyaFpNSlyotPhqVaGun2NtTtmLnM9TAwHBfGIQDyilwF0mg1XSzOD6kuQPPvy1EJ3IiaQoDierErurPVBBXGt_jF2wkqxlJFzEQcX-3-wLb5sO3PBGfMxGfyGv5Pvh8zUcLA1ZPm1uAIbhi6Fce_7TsdPVF4cykRzDVCCuygAmu7y9tSLPV08xMz3F0IO-88xkASgP2ZU5LYxgyZXVj40Bh-BA&reqid=NoNwrobYJKhhqu40&type=CLICK&pos=2,2,-14%,Đã bán 5,thoitrangbau
"Ngũ cốc lợi sữa Lạc Lạc Plus mới cao cấp 39 loại hạt giúp mẹ bổ sung vitamin và khoáng chất, canxi giúp xương chắc khỏe 600g (hộp 30 gói)",515.000₫,https://tka.tiki.vn/pixel/pixel?data=NGofehw7lDI5NmrATOkWVzRLnXGQvd1eIR91S1ZI6mTRwdTJcHiP_LobMbqqehesSTlWwVoSK9K9hXiPkhU4PPtak_wgW30Xk6QsP6VJ8LnqkxtR3s4E2Za_esOPNjWdi7Tn1JYi9Xp1ba7zAZMpxkcnsjrOVP9iSr_3tcDzXAbMlFNL7Z3KIK8QFuGbXG7KjnyQwIaXTBri198aiMHux3--hMO_ew-A40ILV6mW580XOlbOkuSq0DV1Gxg8o8eNosbOMMqgosOfLAnSLxqbINj3kOmxzc3RHsswzMolhBDj96VgvhqkwuOPNjtIyUkMp5EP95jgg_ucWSf59UBDsrGR6tpNOG88SjMY6NtX21Su47UMe7bzTT4YvUBZVw6A-RLwjNlvKvlEygXy-T121Iv8Ru4xnijyG3Rlhry9feKwP8iJyR-NVX01lEaLDMChDUEP1v6w6qaNtr_xbNHfq_Lh9Fe5YaOYARy45E8dpug_VAGCQaxeyXgINmnf-ahl3iyy4cxQ5A8IXphcLXxWOLzY0oF81Hh-tpXktvWOgDYF0PAUZF6gqz1avHPTQbOhQiQgb_dcP-TjBTU5i9ExCvZ1uExpk7aZ9bgWJZTAlQsEDkapRsQtmIxMpNDkUFZfydhpIipjcjDOi0eEs16Y5QrHrAGEnWQDheMbrMryu5sUWeroKt7PHG2jfISCkAJMJ4JWUUCjltDSCEORFRSGWYMVjVVGKzd7MjiQ_EBqkmsBqSM3IGYioc_WkIDhZ2wlho5Wo88yeQBFyYvH4GJ1XF8rW6psAJcqpS-xmfM0sx3WvoayqVKOVhpFsGjAk9lHDV1Al_0ihEFq_tYJ82pD0RJupk9ltd3op6bX9zEDlm86ldKWPENBsK6YnZXOmn08uojBf-AxZd2fJ0ArBC0htIO6WUx2K8q3Jrr2NxOb2J2EglD-zmQUXuH0gEwvT9QThvW_zkduOsQf9WVou50-I2PfNvEkGB_d64wD-DQQ672kgGl9nrPnQTWSueBE0zIrsy6vmvpXK9Bv8339ooR9YQhDLNyt1qOBLSjC0FkOC5jp9q1ayLAwnVnlDWtXr3qb8aK1p4g_fX0sNIRo9a0RnsyKdhByVJHqbfpox094CvazGNwv8Et9WGJr91NWvCXnEr-21sWU76ShPw&reqid=NoNwrobYJKhhqu40&type=CLICK&pos=3,3,-14%,Đã bán 1,thoitrangbau
Áo lót bầu- áo lót cho con bú chống chảy xệ mặc bầu và sau sinh AL06,66.000₫,https://tiki.vn/ao-lot-bau-ao-lot-cho-con-bu-chong-chay-xe-mac-bau-va-sau-sinh-al06-p148640368.html?spid=148640418,4,-13%,Đã bán 48,thoitrangbau
QUẦN BẦU CÓ ĐÁP BỤNG - QUẦN LEGGING BẦU CÓ ĐÁP BỤNG,74.340₫,https://tiki.vn/quan-bau-co-dap-bung-quan-legging-bau-co-dap-bung-p146573650.html?spid=146573667,5,-14%,Đã bán 9,thoitrangbau
Quần bầu dài legging cạp chéo co giãn thoải mái hàng đẹp QB1111,75.000₫,https://tiki.vn/quan-bau-dai-legging-cap-cheo-co-gian-thoai-mai-hang-dep-qb1111-p148639723.html?spid=148639812,6,-2%,Đã bán 13,thoitrangbau
Quần mặc váy bầu quần đùi mặc trong váy bầu cạp chéo màu đen màu da chất cotton mát,45.000₫,https://tiki.vn/quan-mac-vay-bau-quan-dui-mac-trong-vay-bau-cap-cheo-mau-den-mau-da-chat-cotton-mat-p86050510.html?spid=147326963,7,,Đã bán 3,thoitrangbau
Quần Bầu Ống Rộng Dáng Suông AZ29 Chất Liệu Lụa Băng Siêu Mát Cho Phụ Nữ Mang Thai Mùa Hè Có Đáp Và Chun Chỉnh Bụng Tiện Lợi,199.000₫,https://tiki.vn/quan-bau-ong-rong-dang-suong-az29-chat-lieu-lua-bang-sieu-mat-cho-phu-nu-mang-thai-mua-he-co-dap-va-chun-chinh-bung-tien-loi-p243057726.html?spid=243057732,8,,Đã bán 5,thoitrangbau
Quần bầu mặc trong váy dành cho bà bầu chất cotton trơn xuất xưởng loại đep,31.500₫,https://tiki.vn/quan-bau-mac-trong-vay-danh-cho-ba-bau-chat-cotton-tron-xuat-xuong-loai-dep-p146574871.html?spid=146574907,9,,Đã bán 35,thoitrangbau
"Áo Lót Cho Con Bú Chống Chảy Xệ, Áo Ngực Cho Mẹ Bầu sieu hot",66.780₫,https://tiki.vn/ao-lot-cho-con-bu-chong-chay-xe-ao-nguc-cho-me-bau-sieu-hot-p146572239.html?spid=146572531,10,,Đã bán 11,thoitrangbau
