title,price,link_item,index,discount,sales,category
"Nước rửa chén Mr.Fresh 4,2L Hàn Quốc Hương Trà Xanh",95.000₫,https://tiki.vn/nuoc-rua-chen-mr-fresh-4-2l-han-quoc-huong-tra-xanh-p16935103.html?spid=75677125,1,-7%,Đã bán 193,chamsocnhacua
Chai xịt làm sạch vách kính nhà tắm Hando 570ml,59.000₫,https://tiki.vn/chai-xit-lam-sach-vach-kinh-nha-tam-hando-570ml-p75664747.html?spid=75664748,2,-31%,Đã bán 12,chamsocnhacua
"chất tẩy canxi ,xi măng ,chất tẩy đa năng vương triều",89.000₫,https://tiki.vn/chat-tay-canxi-xi-mang-chat-tay-da-nang-vuong-trieu-p213723919.html?spid=213723920,3,-34%,Đã bán 1,chamsocnhacua
Nước Rửa Chén Sinh Học Cô Cà Chua Mới Toanh 500ml An Toàn Cho Bé Bảo Vệ Da Tay,88.000₫,https://tiki.vn/nuoc-rua-chen-sinh-hoc-500ml-co-ca-chua-moi-toanh-an-toan-cho-be-bao-ve-da-tay-p179946094.html?spid=179946095,4,-8%,Đã bán 24,chamsocnhacua
"Nước tẩy đa dụng 909, chất tẩy rửa đa năng",51.000₫,https://tiki.vn/nuoc-tay-da-dung-909-chat-tay-rua-da-nang-p252644662.html?spid=252644665,5,-22%,Đã bán 9,chamsocnhacua
Gel Khử Mùi Diệt Khuẩn Bồn Cầu Hình Hoa Hương Thơm Dễ Chịu,9.000₫,https://tiki.vn/gel-khu-mui-diet-khuan-bon-cau-hinh-hoa-huong-thom-de-chiu-p139198591.html?spid=212426892,6,-7%,Đã bán 3,chamsocnhacua
Khăn Giấy Hộp Watsons Velvety Soft Box Tissues (Mr. Giraffe) 3ply x 100sheets,23.000₫,https://tiki.vn/khan-giay-hop-watsons-velvety-soft-box-tissues-mr-giraffe-3ply-x-100sheets-p269901968.html?spid=269901969,7,-5%,Đã bán 12,chamsocnhacua
BỘT BAKING SODA - HỘP 454 gram,34.900₫,https://tiki.vn/bot-baking-soda-hop-454-gram-p73947758.html?spid=163790867,8,,Đã bán 67,chamsocnhacua
KHĂN GIẤY ƯỚT VỊT VÀNG ONG VÀNG SIÊU ĐÁNG YÊU + TẶNG KÈM THÙNG NHỰA (1 thùng 10 gói),80.000₫,https://tiki.vn/khan-giay-uot-vit-vang-ong-vang-sieu-dang-yeu-tang-kem-thung-nhua-1-thung-10-goi-p181806859.html?spid=199709567,9,,,chamsocnhacua
Dầu bóng Finish chai 1150ml,235.000₫,https://tiki.vn/dau-bong-finish-chai-1150ml-p169737316.html?spid=174847753,10,,Đã bán 2,chamsocnhacua
Nước rửa bát Layer Clean Hương Quýt,40.000₫,https://tiki.vn/nuoc-rua-bat-layer-clean-huong-quyt-p26011987.html?spid=205961818,11,,Đã bán 34,chamsocnhacua
