title,price,link_item,index,discount,sales,category
Sữa Bột Dành Cho Mẹ Bầu Anmum Materna Hương Vanilla 800g,439.000₫,https://tka.tiki.vn/pixel/pixel?data=EjAMkzhV78t6pl0iChv2Us75EhEe99MGb48BkRLH55zEJdAgMmKMl4tG4PPBA3ohJ663yWKxDFdV1f9zLPBdXTWhIGyVMC1gX3zPOCSTGH6BCTZdo3FztQvTAUeg8DA2Jg806msznwLxZ8erd-z5AR-GQ94N_ODDWQC9AYneNtYrKZyL-vJgoUAFkV2vSlaRxDnuYQcwsJspOA5GnaB8Lmc2Dc9VPA8sMSJ2cKMrwMofJplGIQVfk8s-UsRYFuOHJzgeSfTllIwo7zjAaAvEUg4ECT1p2xIg8Sy0IDGV5MYmQ-gCkcwprM7yJ9zgj4c_YuaWMait8Sp9heZUZCqoWrqScL3B4QwHocDLEaYFMUytyZ1n_Y0LzLSTJPeTnUFtij6pp4widlktWKf_6UaQm8iMLN4ZlcI-gE4Go5uavhHCJdnrL12kIblnruYYaZ-t0maU3h5XUmQc3Q5GbKivci82KHkVM8B3vBlchkG-fLbvAROAUxmWfMHl52FW3bpFvNdQdR_7g1V635axnT-uXnzsmMPemRVMGrT1lXaLP0Vxs03R8GmbEMUOu9q0mjdHQO2J-3iVrqjQ3TJPmRZxs-FT9nfREoLYrCMi5sLsUeA62GUTcBwyH7bAr_w1MrtnSZ0bcW_iUgCxYaHw0V72zeJoOz5KZJH9SPoejc5NZ7Pq6RWNFNw4uN7Xgu5KrXKrhODoi5EtuvvqDj1qoeN5XHbghVxv6NIgrSIXhodFQXkMqv8koHNJ5TjMyA-lXG9gmlyY751YyZ6kdYemMGWXiSwLFWre851bjkvt9iBDTbTntFP2BVusO5JwExbWzK0QsbNE-GjM5C3NRZXubGsC07NYwoDuvOSqmgYc-4c1oBwd0w-s8vFZoj__006Fam-LvC3uoJHHyhKTCpLt9XhEnwLysSYNEkYfq0bnvInSiK-JgRuwJg6PAEk0vvJs8O2GVdzssdplNfHJgzhg0dGyCgB_7KhjWvWGO7IIhPkJ3n1ZLyNYZujBpD0UvgTYSfN8ZKboKj14jVA5cJvf&reqid=fYaHC513EWcvqtAB&type=CLICK&pos=41,1,-7%,Đã bán 992,dinhduongchome
Vitamin bầu Elevit chính hãng Úc mẫu mới,1.073.500₫,https://tka.tiki.vn/pixel/pixel?data=DZowC_HeAD_HLrBkG6WzK17563tSUTxOlIVHDmgiIt3ZMqt-GsEYVGSXSS84aIPD1AK7f3yzGT6NVp9gW0jJP6dj3ykJn10jAIdzbljT5Ef9HAZyl1RUpQVJwcuG3f8dDQPvzp_6SlB3qYFjlWj_4or4dqzaXCEaN6et-HQ3uFoU9XFrNVtdq3-oVybEY5aZX5RjD-ssHnowhIc6T_j6-AudK3WSTCJEjLpZiZLDbiOjkwJTWONE0kB5wuvKCJqPIG3MGxdt9QjP727kwPHumdYamvKqFOLo6DU8t9aFy3bVZpjwTgjpQ4pRyiPH-Wvsm0M3SpNdqss1Svfi0oYNjOAxTUaQR7K80uK0KDtq9WBOdM3wQ3sgP93zwsD1BxkJSkmoyzKZCUhvPm_GlFs4GAk6tIgQ76XfVFecgV9zzHZu_LRgBhWBBr_KvyJV5uE3MQindn0VCnb1_lngVSxFn7dQALarmhMWCObfMyW9rp2gt6DIgCMzg8wxCS-poSZF-7hwY23zHzuGOpK5z1dLkfyoUPvDMXM3cvpC6zllHMcGQyZvdAoZKilM8dlbLZNo0u6djsIPiB7z-bQQqjaNbsL7xAhOrJ6UrN12zwDhuq_kLAafiauIrfnZKU97S3A8DIAwZgiPWxBP2qsZyhCoL5z_iCyY_SujhTgPmNFfUNyt36xV2Xw-CJVvd8xcY-u_mYy_wXLmG-awdGthMWGGdTdRYi90tLgkrNj2CO61bRsgpXScT4H55u5JYAx8yDyhg4Lwe_XHo_axmqXLgqxBhswaBO18wCRLt2PycTv3Yvb20FdUG81f7Y4b9O2sPUrEc1MMXVv9P2hws5CI_8X-L16zJLh7MFEmTntNy8FYu2V9ihE_p0H1CSt9pprrRPXkBNiUxnGrEcQx-BlBRut_6Qusx44FSetoyz8aorOP_Y9vpzsS90-XV26uGbtdlT3q_Io6cQ8VtnVW-UXkOb7JRJEJ9p8cle5npVgmqUEyRfxgoqWPK1Zabrm13U8aIwEtkp5Z0jmgFiz9k2_TDrg&reqid=fYaHC513EWcvqtAB&type=CLICK&pos=42,2,-5%,Đã bán 70,dinhduongchome
Sữa Bột Dành Cho Mẹ Bầu Anmum Materna Hương Chocolate 800g,435.000₫,https://tka.tiki.vn/pixel/pixel?data=FKQvSm1Eec3L3HBvUnNPf1WprKs6L3-nT1lyQghBi4tYHc2Qa-ebvXggk84jCnbRoqZLJ4jixqI64Q8E7mJCuN4mctKTgKvzgTNpTO0xy7ZZy5SG3uUb6hUbWZgpr8Q3RPTXMBWVEt9QsW2NQ0wDUMF8mFEOVsOkou-C6tegEbC3utlUDNAPw7GOzg_reizdkLPze33m7N2QC0uZV35p4Sb8HkZpYfgnE2Qd8Fu0auOOe0ooGPGtgGHPe6xXNzOZN7VWNIaIpmNrHw7NN2vzCbVWvquRvct3hiDBltxnMJTjPbio2lCHoO57k8-EESJS_z4kUReXmp1RQyIEiqQjwsmqzl_2ADHt-Rv-5YTN5VlBenPjvNk-nt8XXPR1O_i0ZK_ti-cc3pEKqxjMxR1kvv9I5T5r9WI36rQEtNl8bbtU-8LcC2KOHi-l_ehKlv3MjtKsrMXTmL1RJxoOjyvkWZ0zSSqf_KPrVrvE2pCaXCEO1xzMhTgzrXHacL2mAyFHrG9_t0nVhDf_PmNptBuSeh3u0n8XsM-K6GGEklp7Xb3Fl0b0-ZgPGoMXJld-XMcPS8cbs6wvcpFVK_x4Ud-9IR0hZiBWfYAloAaIZXi5lScqwz532aYAzFpEu_wm30u7XQiffQlm0duRQToJEgTHeZhYmlLhXu-OEWNCBJ-WS2E-LKHBrMaL2G05cPchZ5_Gqh31zpoDcEqBt7KzKBaFZAgKjI149qLNvQymYCs8K00TSTd9DrudVnj9mN9Bo5_Re839J6QF6A1aLbFNMHBLuZ9UfQ5orQahXS1VRwCSB_oi5Q4D9aAkX-_Pluk1d4lHdrvCxiGiN6-JbKNRw8LmG05mSeFc3urln4U6SbZDMZ2V0ilWSdxHlji0awQE6NaBqLOMUKE9x7U-si2a3XeloSG8kv7o66DcZgRh7cJEmYEkqO0Q9GVzs5BTnw8gljfewNFSWd05nwHDd37rKxpdWya0PY6rjnuzlXpDyaw-D1rUAGAOB4vEOdRma9YOb7Di6yKbyd7wzfh357QF9oQ&reqid=fYaHC513EWcvqtAB&type=CLICK&pos=43,3,-8%,Đã bán 1.4k,dinhduongchome
"Trà vằng túi lọc lợi sữa, nhanh lấy lại vóc dáng sau sinh Wonmom 40gr ( 20 Túi/Hộp )",89.100₫,https://tka.tiki.vn/pixel/pixel?data=NK3Xq_309p8IcDsf40jlHkK91MsNj9iem3FJBcXyxvdEftIjl290VfmplufUSQB8OmfyWIa18wlk6C8Ye_odB6sN4kKOoDjxmm4GyQ6FqM7V03rRH3aB4XNdYpAXO1iqtdgwfIcpVvEXH5YStr9R3lxmGzi__wU6U2qbMiEWo1mXfvxLj0xlbNYrWA28HZl9NpPr_OgyIKzO6kmUhVkqjvW025xl-lh_fQOR3vSkllIT_cGOU0iLxA2KyFckzjEhU0wKxm5_emyxlU7c3eNeHNnz-K3XzqsKp2rzDBoxq8v7qfVYYG0fJbX20l2gEr4hYrYxo7bGOUnp-JVk-msxxfxfoSvLKj4U4HQHj2xqIbUoJfcM6sZMhxdohpQDliSoEK-cqV5SEJNNbQ5R-81UjGuxxmFkCkkEAJczbiNPUHmxX-x0E3kEMdvC_kwgaHGz7uh2di1cDIb0MsORci0-pFVZncdzNZ4E7QdKGzLzEG_J4UD2F8zGYqKt3birIT9cq8Ib3z4jXa1S6eRXCTEQEseP7fIf1bXm6_tkAbqzJwBOIoDKEaoZAaQvoeeJekWn-Kld295l-564re_ZtQtA3esQ8F2u20kbhCbtlsXc7ykJEVtxzy1YkfGs4CYrvq1_sBHYgRKbbWt-PQXcPVBPSfxtTujv6itwpLhp3nQUuzQoEx9bByVuxWK-TpTwNx5x0wo7lTP_igrpklnkoVpF8gU-LbuHWZAA94T-QZe-qjdlXDcdiP0oJtwrhXs2vlrezyHbWaPCEAf2x2Fi3eUN0qDC7npQ1xy_mjqxHYJPIke3Dg0_5xLtrL4z9Q67pgqibicSSHBrtfloyubexiaBY2wZEvZ1IBFCW2vty6Cu0HERchTnviX__HPPGw6npjMaBk7Bn1iblkuCtp2VJr9rUQehTSRVvW2_g_dslg0PYcFMviNJZ_lW4siaKZ0HJLwYnA5h4oWGAupb0Pqd-LQly1RW6sccas6KgHgAm1JcYJe-aVne8koWcw4Ejfhek7g95qK_K0L3EhJ6eVfKVbA6bfoa-SIQIr2yRTQ&reqid=fYaHC513EWcvqtAB&type=CLICK&pos=44,4,-10%,Đã bán 965,dinhduongchome
Combo canxi Avisure Hical hộp 60 viên + vitamin tổng hợp Avisure mama hộp 60 viên,600.000₫,https://tka.tiki.vn/pixel/pixel?data=MOfN6IINU-dCWJoA-PuT_cWNTVp47J2wZNswiTAQkvNSvhYbQX08hiUqLL86YH7DtJK9mXC04Uv9fkKlVYs6FZQVNEMHNR14FM7aVkQP_wAwdMbliTBy7_1eYFUsBn9uJRRwAvDPEhOpL7nG4HHXiwRSDH10IjssBxmB3jnC3Ce3dRb7OLjIPL2j_i07L1qfdmt4Sf04XSLuv3ajYztd1xIYpdDn2PyQvilRnBY4jqpwRD18a4nsUwufjlw4mW7RG22jV7KXdZnfGgaBtJDWAK29ulIpQcCAOneHPI4QG3P4-nxqCsSmDxfsxmPj9qe91e3MLmLonMMrkH6vLOwKtHxlwv4SOLYTQiX0WYxr9glw-uM2UCA9cqvU-_08osfAtCoEfoC8su1qPsN7_At6LQ7OJC5l1BNVTsjqOTuJMKX1wi3Xpp5tfOK19D3HG1fAvi_n_tWkECpdf_CByQ0jZceP-833Cp6Gk4g5Y9WgGkjMX_AmnQYpCPRLbWcuAXY66NPla1Z9oWsshIymTdn_mQzeGoI3M5i-wQdZBXX7ycQRFrsAHGJX4E3ZQ7g_kVSw7h_x6DCTA4hvjBUdoE7BgAqrQtu2BejSORbxQDnzCxN-vFAVCs0dvX1eLum8moR5ccVQsMkcBc5l7c89rxbXLQka81F7mgl3h9tmCod3qJQR0B6W0VEmzPG8bih6TtDiWF15dSiOhFVJ8nPfhHbb893-ElQ8LpUuue3vbKmd1RqY9zTOELYcIUgY9Gt_wdQavdvWoNpUuZEP3btWsbQDKxE-ENqt-j-aTlyuWqrwlXzWoxQIX9PWwUj6SaPM8SLpDytwuOqoRAgvRZ7bL_lWjeVLvbsb6zDBHMhojY7mVRJSyLMRgpDXBnI5ERjyz5fJEy0mcAgLkRc_1ibyhbUFp-xGclHnLTKO2TqZicx-U_LNX-TZGllKt8Fd5iAwFvp-5zUdn_jhMvHs3GzGAZVWdyPadUZ_8kJ9EtUaIf4EqI62aoC77rz9GoGiHF_MU7XV2eWIyHHkmh12X4C9RA6L6cHFy-QKbFrGrepVluI&reqid=fYaHC513EWcvqtAB&type=CLICK&pos=45,5,-22%,Đã bán 3,dinhduongchome
Combo 2 Túi ngũ cốc Navan,409.000₫,https://tiki.vn/combo-2-tui-ngu-coc-navan-p157833253.html?spid=157833254,6,-10%,Đã bán 29,dinhduongchome
"Lợi sữa Himom dạng cao lỏng cao cấp hỗ trợ tăng tiết sữa, giảm nguy cơ tắc tuyến sữa (hộp 30 gói)",325.000₫,https://tiki.vn/loi-sua-himom-dang-cao-long-cao-cap-ho-tro-tang-tiet-sua-giam-nguy-co-tac-tuyen-sua-hop-30-goi-p153407418.html?spid=153407419,7,-22%,Đã bán 58,dinhduongchome
Sữa Non Cho Mẹ Bầu GreenMilk Bổ Sung Canxi Dinh Dưỡng Thai Kỳ (400g),396.000₫,https://tiki.vn/sua-non-cho-me-bau-greenmilk-bo-sung-canxi-dinh-duong-thai-ky-400g-p122736098.html?spid=122736099,8,-5%,Đã bán 6,dinhduongchome
Sữa Bầu Morinaga Nội Địa Vị Trà Xanh (12 Gói x 18g),299.000₫,https://tiki.vn/sua-bau-morinaga-noi-dia-vi-tra-xanh-12-goi-x-18g-p2282851.html?spid=50951715,9,-8%,Đã bán 230,dinhduongchome
"2 Hộp Cốm Lợi Sữa PQA Hỗ Trợ Bổ Khí Huyết, Tăng Chất Lượng Và Giảm Tắc Tia Sữa, Dùng Cho Phụ Nữ Đang Cho Con Bú Hộp 25 G",520.000₫,https://tiki.vn/2-hop-com-loi-sua-pqa-ho-tro-bo-khi-huyet-tang-chat-luong-va-giam-tac-tia-sua-dung-cho-phu-nu-dang-cho-con-bu-hop-25-g-p185249636.html?spid=185249638,10,-26%,Đã bán 4,dinhduongchome
