title,price,link_item,index,discount,sales,category
"Áo Khoác Dù Nam Nữ, Thời Trang Hot Trend Mùa Hè Năng Động, Trẻ Trung. Áo khoác Nam Nữ thương hiệu Julido Store MS42",129.000₫,https://tiki.vn/ao-khoac-du-nam-nu-thoi-trang-hot-trend-mua-he-nang-dong-tre-trung-ao-khoac-nam-nu-thuong-hieu-julido-store-ms42-p253166279.html?spid=253166281,1,-41%,Đã bán 1,aovest
"Áo Điều Hòa DOKY Nhật Bản, Bộ Phụ Kiện Áo Điều Hòa Quạt Gió, Bộ Pin Quạt Sạc Dây Cáp ( Chỉ Phụ Kiện)",600.000₫,https://tiki.vn/ao-dieu-hoa-doky-nhat-ban-bo-phu-kien-ao-dieu-hoa-quat-gio-bo-pin-quat-sac-day-cap-chi-phu-kien-p251929434.html?spid=251929435,2,-47%,Đã bán 6,aovest
Áo khoác nam US ARMY - Áo khoác lính mỹ,449.000₫,https://tiki.vn/ao-khoac-nam-us-army-ao-khoac-linh-my-p178255784.html?spid=178255791,3,-37%,Đã bán 6,aovest
"Áo gile nam, áo gile lính ARM-920",320.000₫,https://tiki.vn/ao-gile-nam-ao-gile-linh-arm-920-p251275614.html?spid=251275628,4,-47%,Đã bán 5,aovest
Áo vest nam cổ tàu màu đen cực chất VCT0002 - DUKI STORE,813.000₫,https://tiki.vn/ao-vest-nam-co-tau-mau-den-cuc-chat-vct0002-duki-store-p272895406.html?spid=272895414,5,-50%,Đã bán 1,aovest
"Áo Khoác Thun Lạnh Nam Nữ Unisex , thời trang thu đông thương hiệu Chandi chất liệu thấm hút mồ hôi dày dặn mặc thoáng mát 2 màu Đen-Trắng CDK2",159.000₫,https://tiki.vn/ao-khoac-thun-lanh-nam-nu-unisex-thoi-trang-thu-dong-thuong-hieu-chandi-chat-lieu-tham-hut-mo-hoi-day-dan-mac-thoang-mat-2-mau-den-trang-cdk2-p272935896.html?spid=272935906,6,-35%,Đã bán 3,aovest
ÁO KHOÁC DA NAM LÓT DÙ CÁ TÍNH,319.000₫,https://tiki.vn/ao-khoac-da-nam-lot-du-ca-tinh-p129356972.html?spid=136084661,7,-50%,Đã bán 1,aovest
"Áo khoác nam Julido Store, chất jean cotton xịn mẫu mới MS37",189.000₫,https://tiki.vn/ao-khoac-nam-julido-store-chat-jean-cotton-xin-mau-moi-ld0000-p74281156.html?spid=74281158,8,-50%,Đã bán 228,aovest
"Áo khoác pilot, áo khoác phi công lính mỹ, Áo khoác Pilot Nasa cao cấp ARM-1230",1.050.000₫,https://tiki.vn/ao-khoac-pilot-ao-khoac-phi-cong-linh-my-ao-khoac-pilot-nasa-cao-cap-arm-1230-p198671826.html?spid=198671838,9,-11%,Đã bán 3,aovest
Áo Khoác Da Nam Lót Lông AKD296,720.000₫,https://tiki.vn/ao-khoac-nam-da-lot-long-akd296-p9828495.html?spid=9828497,10,-50%,Đã bán 4,aovest
