title,price,link_item,index,discount,sales,category
"Quần Legging Dây Kéo, 2 Nút, Vải Umi Hàn Cao Cấp",99.000₫,https://tiki.vn/quan-legging-day-keo-2-nut-vai-umi-han-cao-cap-p242695172.html?spid=242695174,1,,Đã bán 8,quannu
"Quần jogger nữ vải nhung lót lông nhung cừu mịn cao cấp, quần bo ống mùa đông ấm áp",377.000₫,https://tiki.vn/quan-jogger-nu-vai-nhung-lot-long-nhung-cuu-min-cao-cap-quan-bo-ong-mua-dong-am-ap-p160217404.html?spid=160217409,2,-60%,Đã bán 2,quannu
"Quần Bò Nữ, Quần Jeans Nũ ỐNg Rộng Cạp CAo Túi Hộp Cho Nữ",350.000₫,https://tiki.vn/quan-bo-nu-quan-jeans-nu-ong-rong-cap-cao-tui-hop-cho-nu-p145219113.html?spid=145219119,3,-12%,Đã bán 11,quannu
Quần tây công sở nữ kiểu dáng đẹp trẻ trung,88.000₫,https://tiki.vn/quan-tay-cong-so-nu-kieu-dang-dep-tre-trung-p70155590.html?spid=100253422,4,,,quannu
,,https://tiki.vn/quan-au-nu-cong-so-p118693560.html?spid=118693583,5,,,quannu
Quần Jogger Kaki Túi Hộp Nữ,170.000₫,https://tiki.vn/quan-jogger-kaki-tui-hop-nu-p24418563.html?spid=44615747,6,,Đã bán 27,quannu
Quần ống rộng quần ống suông culottes cúc khoá chun lưng dáng lửng kiểu Nhật,52.000₫,https://tiki.vn/quan-ong-rong-quan-ong-suong-culottes-cuc-khoa-chun-lung-dang-lung-kieu-nhat-p110868416.html?spid=110868429,7,-12%,Đã bán 43,quannu
"QUẦN BAGGY JEAN NỮ ỐNG LOE RÁCH ÍT VẢI MỀM KHÔNG CO DÃN BIG SIZE, CÓ 2 MÀU XANH ĐẬM XANH NHẠT",164.000₫,https://tiki.vn/quan-baggy-jean-nu-ong-loe-rach-3-lung-cao-vai-mem-khong-co-dan-co-2-mau-xanh-dam-xanh-nhat-p36499117.html?spid=82224330,8,-15%,,quannu
"Quần Jean nữ ống suông,lưng cao & dáng dài",280.000,https://tiki.vn/quan-jean-nu-ong-suong-lung-cao-dang-dai-p167493065.html?spid=167493088,9,,,quannu
,,https://tiki.vn/quan-jeans-nu-ong-loe-dai-co-gian-thoi-trang-jnld020-p55279593.html?spid=55279599,10,,,quannu
Quần Jean Nữ mẫu mới Quần bò nữ ôm dáng lưng cao chất liệu denim co giãn xịn chuẩn hàng shop Lady Fashion,199.000₫,https://tiki.vn/quan-jean-nu-mau-moi-freeship-quan-bo-nu-om-dang-lung-cao-chat-lieu-denim-co-gian-xin-chuan-hang-shop-lady-fashion-p109919628.html?spid=133793009,11,,Đã bán 17,quannu
"Quần jogger kaki NỮ khóa zip lên form, đẹp dáng",85.000₫,https://tiki.vn/quan-jogger-kaki-nu-khoa-zip-len-form-dep-dang-p177648332.html?spid=196140947,12,,,quannu
,,https://tiki.vn/quan-bo-big-size-dang-dai-theu-gau-qbd22-p70192454.html?spid=70192458,13,,,quannu
"Quần đùi nữ mặc nhà SMILE, quần sooc nữ mùa hè vải tổ ong siêu mát mẻ",62.000₫,https://tiki.vn/quan-dui-nu-mac-nha-smile-quan-sooc-nu-mua-he-vai-to-ong-sieu-mat-me-p173711946.html?spid=189897428,14,,,quannu
Quần Skinny Trơn Cúp Cong CCHAT Chất Liệu Jeans Dáng Ôm 12GDJ2008OH,209.000₫,https://tiki.vn/quan-skinny-tron-cup-cong-cchat-chat-lieu-jeans-dang-om-12gdj2008oh-p219162160.html?spid=219162164,15,,,quannu
"Quần đũi ống rộng dáng dài Đũi Việt ống suông dáng dài chất đũi, màu trắng trẻ trung QT38",140.000₫,https://tiki.vn/quan-dui-ong-rong-dang-dai-dui-viet-ong-suong-dang-dai-chat-dui-mau-trang-tre-trung-qt38-p270230494.html?spid=270230502,16,,,quannu
Quần Jeans Nữ Cao Cấp Quần Bò Dáng Baggy Bắt Trend Siêu Hot 2Q12,399.000,https://tiki.vn/quan-jeans-nu-cao-cap-quan-bo-dang-baggy-bat-trend-sieu-hot-2q12-p268453942.html?spid=268454008,17,,Đã bán 1,quannu
,,https://tiki.vn/quan-jeans-nu-ong-loe-dai-p83605635.html?spid=83605694,18,,,quannu
"Quần short thun nữ, Quần Đùi Unisex họa tiết 3 sọc màu cực đẹp",78.000₫,https://tiki.vn/quan-short-thun-nu-quan-dui-unisex-hoa-tiet-3-soc-mau-cuc-dep-p193180844.html?spid=193180872,19,,Đã bán 1,quannu
Quần thun dài nữ jogger Phúc An 3011,99.000₫,https://tiki.vn/quan-thun-dai-nu-jogger-phuc-an-3011-p18012620.html?spid=18012621,20,,Đã bán 26,quannu
Quần Short Nữ Thời Trang JUNO Linen JNQSH018,387.000₫,https://tiki.vn/quan-short-nu-thoi-trang-juno-linen-jnqsh018-p270748766.html?spid=270748772,21,,Đã bán 1,quannu
QUẦN ỐNG RỘNG SUÔNG ĐŨI CULLOTES KHÓA THẬT CHUN SAU SIÊU ĐẸP 921,69.000₫,https://tiki.vn/quan-ong-rong-suong-dui-cullotes-khoa-that-chun-sau-sieu-dep-921-p192426136.html?spid=192426211,22,,,quannu
"Quần Nhung Trơn Ống Suông Thời Trang Hàn Quốc Cá Tính, Quần Dài Nữ Ống Rộng Vải Nhung Gân, Quần ống rộng chất nhung tăm có túi sau dễ thương- Quần Cullotes Ulzzang vải Nhung lưng cao,Quần nhung dài ống rộng lưng cao",125.000₫,https://tiki.vn/quan-nhung-tron-ong-suong-thoi-trang-han-quoc-ca-tinh-quan-dai-nu-ong-rong-vai-nhung-gan-quan-ong-rong-chat-nhung-tam-co-tui-sau-de-thuong-quan-cullotes-ulzzang-vai-nhung-lung-cao-quan-nhung-dai-ong-rong-lung-cao-p95059135.html?spid=95059145,23,,Đã bán 3,quannu
Quần jogger nữ chất nhung tăm bo gấu 3 màu năng động mặc thoải mái,130.000₫,https://tiki.vn/quan-jogger-nu-chat-nhung-tam-bo-gau-3-mau-nang-dong-mac-thoai-mai-p138101938.html?spid=201689925,24,,Đã bán 2,quannu
Quần short thun UNISEX Quần short nam nữ QS08,65.000₫,https://tiki.vn/quan-short-thun-unisex-quan-short-nam-nu-qs08-p68960215.html?spid=90743236,25,,,quannu
,,https://tiki.vn/quan-dai-nu-thoi-trang-hnoss-kieu-ong-loe-xe-suon-hnqda027-p215185842.html?spid=215185862,26,,,quannu
Quần jean baggy nữ ống xuông phong cách và cá tính nhất 2021,200.000₫,https://tiki.vn/quan-jean-baggy-nu-ong-xuong-phong-cach-va-ca-tinh-nhat-2021-p199732817.html?spid=199732830,27,,,quannu
Váy Yếm Jeans Nữ Logo Ngực Xẻ Tà Túi Trước - XANH ĐẬM,268.000₫,https://tiki.vn/vay-yem-jeans-nu-logo-nguc-xe-ta-tui-truoc-p269355877.html?spid=269355887,28,,Đã bán 1,quannu
Quần jean 9 tất lưng cao có size 26-44 [Freeship khi mua hàng] .Vải dày và co giãn,146.900₫,https://tiki.vn/quan-jean-9-tat-lung-cao-co-size-26-44-freeship-khi-mua-hang-vai-day-va-co-gian-p271320102.html?spid=271320114,29,,Đã bán 1,quannu
Quần Jean Nữ Lưng Cao 2 Nút - Có 3 Màu,149.000,https://tiki.vn/quan-jean-nu-lung-cao-2-nut-co-3-mau-p248875334.html?spid=248875340,30,,,quannu
,,https://tiki.vn/quan-baggy-nu-linen-bot-premium-dang-lung-cap-khoa-truoc-arctichunter-p196596468.html?spid=196596482,31,,,quannu
Quần giả váy,75.000₫,https://tiki.vn/quan-gia-vay-p111748881.html?spid=111748905,32,,Đã bán 2,quannu
Quần Tây Baggy Lưng Cao Lệch Gấu 0155 Cho Nữ Siêu Vòng 3,39.000₫,https://tiki.vn/quan-tay-baggy-lung-cao-lech-gau-0155-cho-nu-sieu-vong-3-p41517176.html?spid=205348541,33,,,quannu
quần nữ khóa thật chun sau.chất đui ống rộng suông,69.000₫,https://tiki.vn/quan-nu-khoa-that-chun-sau-chat-dui-ong-rong-suong-p192800335.html?spid=192800548,34,,,quannu
"Quần short nữ , quần đùi nữ [Video + ảnh thật] chất liệu vải cao cấp form rộng đẹp",65.000₫,https://tiki.vn/quan-short-nu-quan-dui-nu-video-anh-that-chat-lieu-vai-cao-cap-form-rong-dep-p88913061.html?spid=88913091,35,,,quannu
,,https://tiki.vn/quan-dai-nu-ong-rong-cap-chun-co-gian-quan-dai-nu-nhieu-mau-chat-lieu-gio-nhan-thoang-mat-co-bigsize-phu-hop-di-choi-p270701552.html?spid=270701558,36,,,quannu
Quần Dài Nỉ Ngoại R Unisex nam nữ (QD1100 - Ảnh thật),89.000₫,https://tiki.vn/quan-dai-ni-ngoai-r-unisex-nam-nu-qd1100-anh-that-p263312193.html?spid=263312235,37,,,quannu
Quần ống rộng trẻ trung Haint Boutique qt05,175.000₫,https://tiki.vn/quan-ong-rong-tre-trung-haint-boutique-qt05-p10281809.html?spid=56402748,38,,Đã bán 3,quannu
Quần ống rộng kéo dài chân,83.900₫,https://tiki.vn/quan-ong-rong-keo-dai-chan-p67281966.html?spid=76070571,39,,Đã bán 51,quannu
Quần legging nữ lưng cao cạp chéo gen bụng nâng mông co giãn 4 chiều Q626,65.000₫,https://tiki.vn/quan-legging-nu-lung-cao-cap-cheo-gen-bung-nang-mong-co-gian-4-chieu-q626-p177201008.html?spid=177201042,40,,,quannu
