title,price,link_item,index,discount,sales,brand
Máy Xay Thịt BEAR QSJ-B02U2 - Hàng Chính Hãng,436.050₫,https://tiki.vn/may-xay-thit-bear-qsj-b02u2-hang-chinh-hang-p124497995.html?spid=248590714,1,-5%,,Bear
"Máy Làm Bánh, Máy Trộn Bột Ủ Bột Lên Men Tự Động BEAR Chống Dính Bột Dung Tích 5 Lít Công Suất 200 W - Hàng Chính Hãng",1.719.000₫,https://tiki.vn/may-nhao-bot-va-u-bot-tu-dong-bear-dm-b50v1-5l-p106032505.html?spid=106032507,2,-50%,Đã bán 8,Bear
"Máy xay thịt đa năng Bear QSJ-B02U2 - Công suất cao, tiếng ồn thấp, quá nhiệt từ ngắt - Hàng chính hãng",699.000₫,https://tiki.vn/may-xay-thit-da-nang-bear-qsj-b02u2-cong-suat-cao-tieng-on-thap-qua-nhiet-tu-ngat-hang-chinh-hang-p270125034.html?spid=270125035,3,,,Bear
Nồi nấu chậm - chưng yến - nấu cách thuỷ Bear DDZ-A08D1 [A08G2] - 0.8 lít - Kèm xửng hấp - Hàng chính hãng,495.000,https://tiki.vn/noi-nau-cham-chung-yen-nau-cach-thuy-bear-ddz-a08d1-a08g2-0-8-lit-kem-xung-hap-hang-chinh-hang-p269982856.html?spid=269982860,4,-5%,,Bear
,,https://tiki.vn/noi-da-nang-2-tang-bear-1-6l-phu-gom-cao-cap-nau-mi-mini-hap-xao-nau-luoc-da-nang-drg-p16m2-p173947706.html?spid=177642385,5,-5%,,Bear
Máy xay thực phẩm đa năng 2L Bear QSJ-C03B1 - Hàng chính hãng,490.000₫,https://tiki.vn/may-xay-thuc-pham-da-nang-2l-bear-qsj-c03b1-hang-chinh-hang-p207758420.html?spid=209645435,6,,Đã bán 3,Bear
"Bình Đun Nước, Pha Sữa, Pha Trà Thông Minh BEAR YSH-C15Q5, Dung Tích 1.5L, Công Suất 1000W - Hàng Chính Hãng",1.034.550₫,https://tiki.vn/may-pha-tra-da-nang-bear-ysh-c15q5-1-5l-hang-chinh-hang-p123866020.html?spid=221222677,7,,,Bear
"Nồi cơm điện mini đa năng Bear 1.2L (lòng nồi 0.3L) 8 chế độ nấu, Anh Lam Store - Hàng chính hãng",570.000₫,https://tiki.vn/noi-com-dien-mini-da-nang-bear-1-2l-long-noi-0-3l-8-che-do-nau-anh-lam-store-p248703847.html?spid=248703849,8,,Đã bán 1,Bear
Nồi lẩu điện đa năng Bear SUBE004 - Hàng chính hãng,1.290.000,https://tiki.vn/noi-lau-dien-da-nang-bear-sube004-hang-chinh-hang-p196243498.html?spid=196243499,9,-45%,,Bear
,,https://tiki.vn/may-hut-bui-lau-nha-kho-va-uot-cam-tay-khong-day-dreame-h12-pro-p251871330.html?spid=251871337,10,,,Bear
