title,price,link_item,index,discount,sales,brand
Lò Nướng Âm Tủ Hafele HO-K60B 534.05.581 - 65 lít - 8 Chương Trình Nướng - Hàng Chính Hãng,16.160.000₫,https://tiki.vn/lo-nuong-am-tu-hafele-ho-k60b-534-05-581-65-lit-8-chuong-trinh-nuong-p161409033.html?spid=161409040,1,-33%,Đã bán 1,HAFELE
Máy xay sinh tố cối thủy tinh Hafele GS-603 - 1.5 lít - Có thể xay đá - Hàng chính hãng,1.335.000₫,https://tiki.vn/may-xay-sinh-to-coi-thuy-tinh-hafele-gs-603-1-5-lit-co-the-xay-da-hang-chinh-hang-p203769749.html?spid=203769750,2,,,HAFELE
Lò Vi Sóng Kết Hợp Nướng Âm Tủ Hafele HM-B38A 535.34.000 - 25L - 5 Mức Công Suất - Hàng Chính Hãng,9.990.000₫,https://tiki.vn/lo-vi-song-ket-hop-nuong-am-tu-hafele-hm-b38a-535-34-000-25l-5-muc-cong-suat-p161408881.html?spid=186676727,3,-14%,,HAFELE
Bếp ga 3 vùng nấu Hafele HC-G783B 538.66.477 (Hàng chính hãng),5.990.000,https://tiki.vn/bep-ga-3-vung-nau-hafele-hc-g783b-538-66-477-hang-chinh-hang-p195656306.html?spid=195656307,4,-27%,,HAFELE
,,https://tiki.vn/may-hut-bui-cam-tay-hafele-hsv-21g-535-43-079-4-dau-hut-hop-chua-bui-0-6l-p161409121.html?spid=161409123,5,-14%,,HAFELE
[New] Máy Hút Mùi Áp Tường HC-H902WC Hafele 538.81.742 - Hàng Chính Hãng,10.481.000₫,https://tiki.vn/ma-y-hu-t-mu-i-a-p-tuo-ng-hc-h902wc-hafele-538-81-742-hang-chinh-hang-p271662745.html?spid=271662746,6,-25%,,HAFELE
"Máy lọc không khí Hafele HSP-8116U/ 537.82.730 - Màng lọc HEPA - Diện tích sử dụng 20-30m2, diệt khuẩn bằng UV - Hàng chính hãng",3.406.000₫,https://tiki.vn/may-loc-khong-khi-hafele-hsp-8116u-537-82-730-mang-loc-hepa-dien-tich-su-dung-20-30m2-diet-khuan-bang-uv-hang-chinh-hang-p206321499.html?spid=206321501,7,-14%,,HAFELE
[New] Máy Hút Mùi Áp Tường HC-H902WC Hafele 533.83.655 - Hàng Chính Hãng,8.611.000₫,https://tiki.vn/ma-y-hu-t-mu-i-a-p-tuo-ng-hc-h902wc-hafele-533-83-655-hang-chinh-hang-p271662938.html?spid=271662939,8,,,HAFELE
Bếp từ 2 vùng nấu Hafele HC-IS772EA/ 535.02.222 - Công suất 4850W - Mặt kính gốm SCHOTT Ceran - Khóa an toàn - Hàng chính hãng,19.890.000,https://tiki.vn/be-p-tu-2-vung-nau-hafele-hc-is772ea-535-02-222-cong-suat-4850w-mat-kinh-gom-schott-ceran-khoa-an-toan-hang-chinh-hang-p267339053.html?spid=267339068,9,-47%,,HAFELE
,,https://tiki.vn/may-ep-trai-cay-hafele-gs-353-535-43-086-400w-hang-chinh-hang-p130871919.html?spid=202416163,10,-25%,,HAFELE
MÁY HÚT MÙI ÂM TỦ HAFELE HH-TI60D - Hàng Chính Hãng (539.81.083),4.790.000₫,https://tiki.vn/ma-y-hu-t-mu-i-am-tu-hafele-hh-ti60d-hang-chinh-hang-539-81-083-p270834380.html?spid=270834381,11,,,HAFELE
