title,price,link_item,index,discount,sales,brand
"Máy Tạo Ẩm Xiaomi Smartmi Evaporative Humidifier 2 Thông Minh Tạo Ẩm Tự Nhiên, Không Tạo Sương Tự Động Làm Sạch Dung Tích 4 Lít, Kết Nối App Theo Dõi - Hàng Chính Hãng",2.399.000₫,https://tiki.vn/may-tao-am-xiaomi-smartmi-evaporative-humidifier-2-thong-minh-tao-am-tu-nhien-khong-tao-suong-tu-dong-lam-sach-dung-tich-4-lit-ket-noi-app-theo-doi-hang-chinh-hang-p248755591.html?spid=248755592,1,-50%,Đã bán 1,Xiaomi
Robot Hút Bụi Lau Nhà Xiaomi Viomi V3 Max Kết Nối App Thông Minh Diện Tích 150 m2 Công Suất Cao 35 W - Hàng Chính Hãng,5.999.000₫,https://tiki.vn/robot-hut-bui-lau-nha-xiaomi-smartmi-vortex-wave-lau-sach-nhat-the-gioi-cong-nghe-moi-con-lan-xoay-1600-vong-phut-ket-noi-app-luc-hut-4000-pa-dien-tich-150-m2-cong-suat-cao-75-w-hang-chinh-hang-p251392030.html?spid=183116482,2,-50%,,Xiaomi
Máy nước nóng để bàn Xioami SCISHARE 3.0L S2303 ( mầu ngẫu nhiên ) - Hàng nhập khẩu,1.163.000₫,https://tiki.vn/may-nuoc-nong-de-ban-xioami-scishare-3-0l-s2303-mau-ngau-nhien-hang-nhap-khau-p203052436.html?spid=203052437,3,-5%,Đã bán 4,Xiaomi
Máy lọc nước tại vòi Xiaomi Mijia MUL11 tặng kèm 3 lõi lọc,599.000,https://tiki.vn/may-loc-nuoc-tai-voi-xiaomi-mijia-mul11-tang-kem-3-loi-loc-p77117575.html?spid=77117576,4,,,Xiaomi
,,https://tiki.vn/may-hut-bui-dem-giuong-xiaomi-diet-khuan-bang-tia-uv-dung-cho-sofa-gau-bong-goi-om-hang-chinh-hang-p271218576.html?spid=271218577,5,,,Xiaomi
Robot Hút Bụi Lau Nhà XIAOMI Vacuum Mop Pro - Màu Ngẫu Nhiên Diện Tích Hoạt Động 150 m2 Lực Hút 3000 Pa Với Công Suất 40W - Hàng Chính Hãng,6.989.000₫,https://tiki.vn/robot-hut-bui-lau-nha-xiaomi-vacuum-mop-pro-dien-tich-hoat-dong-150m2-luc-hut-3000-pa-cong-suat-50w-hang-chinh-hang-p197062946.html?spid=197062947,6,-50%,Đã bán 1,Xiaomi
"Quạt Không Cánh Tạo Ion Cao Cấp Xiaomi KEHEAL A4 / A3-Kiêm lọc không khí, 12 cấp độ gió, độ ồn thấp- Hàng chính hãng",3.990.000₫,https://tiki.vn/quat-khong-canh-tao-ion-cao-cap-xiaomi-keheal-a2-hang-chinh-hang-p240871563.html?spid=253358514,7,,Đã bán 38,Xiaomi
Máy sấy diệt khuẩn quần áo cho bé Xiaomi Lydsto HD-YWHL11 (14L) - Hàng nhập khẩu,3.490.000₫,https://tiki.vn/may-say-diet-khuan-quan-ao-cho-be-xiaomi-lydsto-hd-ywhl11-14l-hang-nhap-khau-p252727152.html?spid=252727153,8,-16%,,Xiaomi
Máy sấy tóc bổ sung ion âm Xiaomi Mijia CMJ02LXW - Hàng Chính Hãng,359.000,https://tiki.vn/may-say-toc-bo-sung-ion-am-xiaomi-mijia-cmj02lxw-hang-chinh-hang-p193641009.html?spid=250088418,9,-30%,Đã bán 7,Xiaomi
,,https://tiki.vn/may-loc-khong-khi-xiaomi-mi-air-purifier-4-pro-bhr5056eu-ac-m15-sc-hang-chinh-hang-p176897122.html?spid=178756914,10,,,Xiaomi
