title,price,link_item,index,discount,sales,category
Nồi cơm điện tử Toshiba RC-18NTFV(W) (1.8 Lít) - HÀNG CHÍNH HÃNG,1.999.000₫,https://tka.tiki.vn/pixel/pixel?data=6NODkgekD7hcRkhK1ibXt1RqvYfcqz0RCFWNo5U74rKSMisfv7T4RBo4Y3nVZClc4ZyCafavWWLFOFAW5E7CjXw1vLaySx6OQkRjXnAq8JsNahoBMLEYhJj14p_oirukAh8Aenro8TKraZb4iMu-Zf62FRGGFYhSi0C5p_nhAtZSBN04r9VLjvmfUU6MKmBav2C_ZxWUwfz8T0y8JDezAN7FzoeZqIirMvEVuwtwhhmr_U3b4ZG2Q2Mviv8g_QxsFA9apzV-QSeaiXxPG0HXw4hGj-eT48QtYLS2uwAG_Dwpi8vF0zB3th4VGsu6ixcRr2IrNV4Ouo0x4IN2o7kfTHIa8v3Xn7NTWHsq_o4A7WwDDIp9-0dG5eJ2nfobvbk_KGLI8ssJwpR-z44RJor16BC5b-HpAx4nMzJqTYL8R7_-Sy_O8nUJArA-fM_wmvWE5GgGD8ypAOulLiv_eAy8UuGsZbw_aM5Zo12fqr_QUrUmidY4ihwuqZTr9qy0O-OI1UUosfGmllivmfyb6EUzrYm9-g9v8qYyfEqh9b36RqJI2tKCZnuANFONzKIOibIZXsDrBKu83Wmtocm37nvFy-eA9lqhg5AJ3qF_HbqueSAhyH7VM53JS6J2iRR6P8ePws_l0P6JM6i58CnfJrcbGewQwx8dtkfXakleMQZx_K37iUDFL7pDo__acuR_CJ9SFIw7rWUF61jcVoqT32AGspgxgJ02el-fGWaZBSmxzEkqfj7dLKFlEvO4HQsB1GaK8DQR712ihUerrp097K8RWvC8MFrfmWFZEIzV7XyaLKUd1iRsYVdG95bJuqNzIcpN1WOC-nH00QUqzTj2fcfKYXd2vMxezR-MJRp-x63XJ8ZVHDvppaSq8iqFdJT4AJxUp9C7gqF8lXv7aY2N-fkY4TR9fmuUClgdODat5kV7pNIZdXZySMU5U4tnuAe39KoCUGxm7DkTPbOUqK32kYpVdA9InPydAsiqkXumOf0lWv60a-p97f7YNxk2eBueNHw6gPIFOxOlLXdajQLtpAEGgO3oJN1GCsneznneJNDy8Cw4MeHSBRL82LuLhO6ylDyAZjuaBv_lWGg2O0e2Pg5qB3o3o37qpdVKWaLB6c_kghS9kEeZogV99FRruH6azTUnvBIXLE5-keTY4B81sBuiHAz-xcC-dakSQ6Q8o13vKvtHZRremSOASJ911S9Clsl1lRVgajjZxY9rjZ09rPyB5-Wki4jOos4CPoJ132UETvpuyrB9E151DbN8AFMnB_bzeoGSydjbuO2bXJQlp8S7Mnx2wOkDR0wCpDyQBlS9PIB-lbWGbXykba7Qv4c8HRsLEh0ciWv66SBTEmX_x501nxwi7oPtiwne9-JPNZOi9iN8Df0vAau7-Ai9NQlptNz_VHvP3dWHi0lDo-8Dvf4CZJmHxIqCnf0QIsOyBILYZX7w_Fxg0hSLEuXpqw0hGOxLBIRwV2gL&reqid=hdK1gId9rjHlhBUw&type=CLICK&pos=41,1,-31%,Đã bán 2.3k,dodungnhabep
Ấm Siêu Tốc Inox Happy Time Sunhouse HTD1081 (1.8 lít)- Hàng chính hãng,140.000₫,https://tka.tiki.vn/pixel/pixel?data=6FEgWDK3BQtyGbBY8t6C14YUbUIeB67pat8gYWDeWIh1c5VMSi9znlORiJEgtk_7Dh875yxGuP2ucG9WXu6TmQ__LPMnHsU7ajUD_JJyrjN4llyoQvsJazH6ei8xfsU4x28V-KMPgq1x3xql-pqaQX_g_bnCR6BJumiyH6by26w9IjOMgRVLZmrj1ohIwnb9p2YoGAyIa1upDGSS0AfESwFhYA8dqOJEV9qNbWeJgu3IYjVVMBgGJYGtWle2GYuYYWlrAmeYx0A0OhDVV-Y--bDA4-x9U19z1hDEorUWlpuAmtpOMVPeMAOp3DToZnN9i5fAg5JHxlhqIrHN2HWPoeB8Ycc2u6kA5ylYx0QwA4T5SymJUFfzZ8TaGfhyDPJdLRLCPWQVKQd4wRzfGRXOgFvES7h_EjMGK0Jk9OrgMNdMYGnaavfypA4aNzw0jIjZLi6SqDkdAzadzgrJeodp_x7tT9V4tCLz6f6oRMYfxuaCqoMh-i6XLjQFqIdjTNpA0CM748ubnoGf5cl0PZ0ADBtKP43fvkTJp0Qf6ur7Fa5YDTjH-WwdLTydqp8voThH5A-UjWdiMsGpcmj7gfR0E0YcKeNfnZIpwa3A-pHYn_9PpDOL6CgTCC3GEMbHyMLKZOLkTtEogUMtM2WKN7ORso_AV6zK2gzndT7tgEfY7eYozaeOfkD5HH6mm82EmkR_di4_uVDNZ84CXbDVftZSX-2HzpBnKbnmzEdlGiXTB5zqE4klrRiwzv6bu6alSO6rBYBVYpihGCEplIAyn_scoCtpb2oMR-2FRuavcrFLr4r9iIPjBwobGjOXrc7czlLKb5sWPFT_8vVpohVjOPKRSVfUHjlXZWd1ZZrUzncQybOb9Ip6nK6K-SBgURo0MohStzRTyky7hBnoI4ULraxiUld0caAZv9RTrxsFIV6mdOfrCL6czT2H-3vtd-WLHHsioNc1f8FbocXdibtKC3EA5BsPQBOC94vaEv3wEntEt3R9kfyOURGoBAtPxn3OaBaoDPFL7B5HibynCp6V0EOrXFx-iU9wxbG0mqppTRpIRFNVFVqQ50l8v7xIKdN6BbVIl1J7itB1c271e82KEHvnzb1rw4ILMsTBe_cU6erULGkNAWBBS5NnxB9LBObDgiKlTvtFwkqSf9uAym9eB2GNWjboYC28O30GBYGVCSFBUKfxnHEY7nzaPJhqXOAyaAcf3X2KyjMNU1Kxd8zK9uVQ6DXW6fNoI0bpAp3EDKLnDPPGrhdimg1V-7BnoVlHiDMsSpoOV3anyqGai7pOjkwo6lpZPT2kVXR1eveOkavmRL2Yv7nvKNA3FOWspKVxt1MPQr7l_LMCgH66qw&reqid=hdK1gId9rjHlhBUw&type=CLICK&pos=42,2,-44%,Đã bán 5k+,dodungnhabep
Máy ép trái cây Tefal ZE420D38 - Hàng chính hãng,999.000₫,https://tka.tiki.vn/pixel/pixel?data=j3P8Vj3lY1Drd06rMVbN8P4ZGNcO79-K-NWO3-nSh3WFvr1kW0_tRZh73TMaAX5W_1SO-CJoWEnuxtDK5jAn-4GVNPHFlB7E8lPvXKe_JeFyUwRpkkQdAz9U_C4_1hZzSjPhug26kDwjXeeWiGoC7KZ3qM0FJDMglHljnQOPi3aSzKz1YwlFF7LZluNg5ZRhLj3pNxg7bAiM4k-B76l-wZd8rPqKuYrDzown4kp0sUCJ1LkP6r2M5-_Xky86ztZpuoDAIahdyeILEoC9eeJgwTiWJ859nz5_Yc_7aVnJInsmkLGts33dTvV2D5PTUGT56QN5OR4tj6rVJ8yuN1VuDQGfhzZ2GIs9I4Pb_TLhCyUUGl2pnZrQbVhqpu6zcXdiPxwFKhooDCdAfrGQsvrZTHVnZzXvTB8-BSSn57A_W_eiZUu4M0SB9j16vacTkQZOObgNYXGFs5XKF_a4c0LU8QHRrJ8ziW53iX16Dx4H1Fg9i1ZbKCFhMluYjzdJp1LNuOEs-NTlArP-z5b-JPhmrBrHBCfkESUHYkEZSbVkfR2kKEZympluGIUYS9f7TnlSPHEQ5SB9rLsO7_bjfwpwqNCr0XEMzP3BvbdbnL7PRRKWeObr7xCmfwR4ONvn94EhFaSmLO-563t0CRlApOLmbMfUlWetzOO-0rWZhZVPw54Neg-ZC_6bSO2dcPIa-q6KYdkXm8suXB7-Ue8jLkL2Ep-Q9fR85JKbFZziIamEVkdmSxYD_DJZb7hTMNzN0pyVtqdoniuu2nxb6Od9SMGgpDXxQOTWWgQ_-I_XX9Dw86n5NgViTOPWeGr28EggfydmbGYo4gY4huxtSxXTGBMgcU5_jenYc7zWFWtrk4PCxE4lNFgEXrODIrK4wfYt49Dqtx7w-VR5BhrJNMuac1OrWlFheD5EhfWGQB1jkYAXoBmQSWl9s-X-BhBjUT3ScW8MBDea4lXeJghMG_H1sFj67ROXn3FbYhfm-kp5uUWHPGIu15qoLxHurOepLvcPa69bCcbGvhcld9WXuSq_UMJ_uGhwMTk9StKuHGGkIfzXRNNx5-8pWI-kqfPkmgrDTVUOqUhW8EF84e-jeG5aHDUhmQqoPx5NEwEy4WmzGC_VZxWDJNatchsJmEDfIAEcBvHEw-ga8PrHzey_nuHbvZwFiwcn0yG4auBHL9B46gQYzpj-nDX6oV1jlAVlV1qDXzQ_Ty1PsKQUGt5cgzlGOzT2lw_77KDFCTuTVtW9PmEM0RRrwv-PRWkYu8Xnk_6VYyNY-yW4TmUItRzMbWxDgYQIRpMBBl5qhnEnUaeHaFy5zm3vxlQp&reqid=hdK1gId9rjHlhBUw&type=CLICK&pos=43,3,,Đã bán 1.7k,dodungnhabep
"Lẩu điện Sunhouse SHD4528, Công suất 1200W, Dung tích 3.5 lít, Lòng nồi inox phủ chống dính cao cấp, Bảo hành 12 tháng",519.000,https://tka.tiki.vn/pixel/pixel?data=jIoejBLrW6IBaephsPhJUdeStI_AH8Ez45Z7lANhemZ5_X4pNWsd3pL64zJilL5zdLINkjhhgjh5WLfVwPGPR-eIIzBPRUh0-JJQzQ__6YRRuKye5zt5TZm5EfoAWzYw5PzJgfIHyxrzSsNi296zvvjRzGZGmhCPw9xFnJ3rmBccMXxQ3WZA8G0DspTTU5EMOESO4xngxhi8zOLU2-YnDetarMZ6ocipYaR90WnDCw-4TCvJxQrF5FIV3mTbQosLHh645kyiXwWU73wLKgxe7snRXTf7Sx_f0Q8bFKJsuTNfCRh_2SMPV30S9rl0foRW0yq2bl6U-gwCIaxHuegECCunxTjsEOxK80OxUADHvVJu-PvxlhhH7693WUNYex46WBLUo_5czpBca21ma5YyWG477zB9briKB2un0dCffUQ72FV91qhNhPdWPD6miJjCDzDIxufPS8NCBCnM3kFY0PIj_h-EshL2S893y_sBrqmFQK4c05NiC64OqHWY9Ysn5g5-Abte_Si4zezMMEYs0MNVU7p8TNElYTPFsrAfCE-r3-CkUR9pOQHRoYrXDjm_ZBX_pBPTIHG-eubdiK6pCmXKFKU2MBKVN-M8Rdd98zwrWCbdtENzaoLbHdr03CCtKOMNXgKbz6Te75gihZuZ9jpU38OAdPQ5cE0_LXhnkUVqN6d2l8mUtYz1sCradMRGHIG2xFFL5B4vJmfL0UwGqG8AI-mG9Rne9RWLGUa5uH6KztsbHfzbxqyR5rDc4x0OFCuvgUY2UroDGSo15mbRHAf99HxSiOam9RNxtBo2Je1OeyYzHFpqUVkNEZA2kfzpLcl2OTnQlCcgMaBVbm33qefd7pbSK7ivl8o9mXS-9DoMM1GYjOEcJqPqxz26zWz6nnoCqQmonsm3T213DYPFUjTvQKxEVNWrMvgOXVjm4eib3qHFwu9QcBLB_qCxCOkmzFA_gdolBtM-vpjs3GDmQu1jpaI-ledXzS-q1Pp4KM0CI-IIKjX2gC9Mz6mAHBJvWVnAX-34i2LX1RfuAKUt0LZ6Pw_hjtzV2UtegM2E3lWuEuzx9uo-bMhqDvODPVfYD8aV8PdDnTb02rC28yKyUxyJdMtxU7qkQkYyATD0LvLMH1hERP2591QUwLD634li_42Try43QnSeyxypQ-XXt-EeYBaWz4fvr5fHqTQ6by65ADMtyKirQ9t45fUqdRDWGLQ4Q1GzxZzedGpt5vYtt6z6OvFRHWkvj60wCFp7p1fkmp1lduhxAZJZ1QOt98uI46fKC49jtB-7gRrvO5d-dblZQIaZaj3IFaqv9VzIAjGKZsbs8paZWpHwVjhgfUiHtpKyFKS7zcyS9FrDivh4kASfQwFHAjCmJwebuvcQEhUYEnTZm-Us9Chwsha_OVwuSXX51CrPD6Cvxv5Md9bHCi6g9VDpaQqbPaj3YI6GWmk&reqid=hdK1gId9rjHlhBUw&type=CLICK&pos=44,4,,Đã bán 7,dodungnhabep
,,https://tka.tiki.vn/pixel/pixel?data=D8hgaWK_lAOFZJTcKaJKS0XDVOiiJ-2t5URFC0fYQOpjeG7tbHheUBdRg9z93-unPd-j6rp9uALRMfMDBUBUN8kjWEMgiLBxvbRn-VhUa7gRFw0UcE5akm7EtPc8EMo9EdbriQvJvm7eH-VvR3iNhjDjE34kqohShgDWATdZcGaouGIhMEu_eO8xp-9v9v9e_N7Ig14DoWZxDTt4wU1p-KcEpSGAhDAEmZ9EVPxARo3xUhsGvRq3hYeVoFajSj1I0wbdiDnn6rlgsdT7jGQaNNxLRhg3oIAFtdn7jGXmp8aBhk8SVe_Wp8f5O4T1CJowRhO1KW1pHXb0n9LQa4bcSMa1ZDUndfNObZln_OgrqmP25B6zmXL0Cz6WTGXDdiwuzlbCQ86-uCHN8qjAhWQniNsLKH7XFahOrPCv_ZMtDJsde4QsReP_aM6WZdmsTBTTRofsZoSwrBBds8un_KRC9dbHlFUBpYHARn0rCKsfDux1UhIsn_2V5nk2yg0mUCQ1JfvYDUPW2jeV4tAVpBANs9M1mmHsB2f4SlHEb90i2kREa1ORmu9mzNN3pxU1DjAn-5oTy6jwvJOiWKpDmXt-stAZhBTxYmsYETcTyBitzri_RAIAMnaKCXRfgbmcETYyn2ZR0fMOh0IRHTb8PoXqL0fM0q8GXPHSiTMUrqNiaW8b14AOFQ7MvTEjPLyV8lxXh8JZfquDnLum4bffr-N2tqZ6M5E7AKzyvuqzDI6Km_jMVGxrA8W50XTusPBwWYvAndGva-mEuSzvUv0e2l5p1fEWKNscqLYzbEgOktEHBtYMfwMi_1D6xUUvYzkk_MtVBp4P9qVwln_95Q8YQdFIVnjmPtfBCVtoZ3W5G0zuLnBlvhNODPhYIt2FeFxyvqWrrPaGYsyjFJzoua6dcT5grnOFMlGL7iN2Cmgb8XnV6OK8n8loVlDmc8wCzwQ9OdrAq0kRFDmJrGRAPlCnc0zp5BsM1iUdt5baQ1ecSfrlR5FKymTk98gPdZVuN6y3LMI0lSap7MuR9OGQR6ioCTIs9Y5I0u6U6MEP_MXp21WzpRdFDoOP7ayLnXjjdh6VGONYWyKGgmErd7poKhqq72iRkmkGrBASdt5h8PGbCaEH3whqOGbckbGR5zgkPn1Pnb6SWgyercJ8X3hRqMMbCIf-6NoCKeC4fHZ5iNrt7T4QXrwRZcLTGLHNzQtteFJ8rz-2SJ1wi_jzy9_YZzGvwP38aT1_Sj7sTeJPBQIE0_pjUpsbY8sHdPwuXXGXWrVbOPqSI_64nctpreRSj9P-drXyH0jA4ZJfRKZVSKfMMDfjvTdAFZqnraODZXNuZKVhmzxnfB2FIdRfPmSJ&reqid=hdK1gId9rjHlhBUw&type=CLICK&pos=45,5,-40%,,dodungnhabep
Nồi chiên không dầu B.COOK Dung tích lớn 6L - Hàng chính hãng,590.000₫,https://tiki.vn/noi-chien-khong-dau-b-cook-dung-tich-lon-6l-hang-chinh-hang-p197693898.html?spid=198584440,6,-55%,Đã bán 1.4k,dodungnhabep
Máy làm sữa hạt Elmich CBE 3904 OL (800W) - Hàng chính hãng,1.499.000₫,https://tiki.vn/may-lam-sua-hat-elmich-cbe-3904-ol-800w-hang-chinh-hang-p271199608.html?spid=271199609,7,-20%,Đã bán 99,dodungnhabep
Lò Vi Sóng Sharp R-208VN-WS (20L) - Hàng Chính Hãng,1.249.000₫,https://tiki.vn/lo-vi-song-sharp-r-208vn-ws-20l-hang-chinh-hang-p48962414.html?spid=48962415,8,,Đã bán 1.3k,dodungnhabep
Nồi chiên không dầu 7 Lít,443.893,https://tiki.vn/noi-chien-khong-dau-7-lit-p179175096.html?spid=193044647,9,-52%,,dodungnhabep
,,https://tiki.vn/noi-chien-khong-dau-dien-tu-lock-lock-ejf296blk-7-2-lit-kem-chao-nuong-hang-chinh-hang-p71159586.html?spid=71159587,10,,,dodungnhabep
