title,price,link_item,index,discount,sales,brand
Bộ quần áo Ngắn bé gái họa tiết Táo Xanh Viền Đỏ cotton - AICDBGSC6MOX - AIN Closet,145.000₫,https://tiki.vn/bo-quan-ao-ngan-be-gai-hoa-tiet-tao-xanh-vien-do-cotton-aicdbgsc6mox-ain-closet-p273434817.html?spid=273434819,1,-26%,,AIN_Closet
Bộ ngắn bé gái họa tiết Fruits cổ đỏ cotton - AICDBGWLRM2K - AIN Closet,155.000₫,https://tiki.vn/bo-ngan-be-gai-hoa-tiet-fruits-co-do-cotton-aicdbgwlrm2k-ain-closet-p250032944.html?spid=250032952,2,-24%,,AIN_Closet
Bộ quần áo Ngắn bé gái họa tiết hoa Kim Hương cotton - AICDBGTOAPOI - AIN Closet,145.000₫,https://tiki.vn/bo-quan-ao-ngan-be-gai-hoa-tiet-hoa-kim-huong-cotton-aicdbgtoapoi-ain-closet-p263333753.html?spid=263333755,3,-26%,,AIN_Closet
Đầm bé gái họa tiết Caro nhí vàng cổ sơ mi cotton - AICDBGMMOMJL - AIN Closet,175.000,https://tiki.vn/dam-be-gai-hoa-tiet-caro-nhi-vang-co-so-mi-cotton-aicdbgmmomjl-ain-closet-p107421620.html?spid=107421635,4,,,AIN_Closet
,,https://tiki.vn/bo-quan-ao-ba-ba-lung-be-gai-hoa-tiet-hoa-mai-dao-lua-tam-aicdbgvxpdgl-ain-closet-p215753767.html?spid=215753779,5,,,AIN_Closet
Áo Sơ mi Ngắn tay bé gái họa tiết Hoa Cánh bướm trắng cotton dệt - AICDBGAI7DVE - AIN Closet,105.000₫,https://tiki.vn/ao-so-mi-ngan-tay-be-gai-hoa-tiet-hoa-canh-buom-trang-cotton-det-aicdbgai7dve-ain-closet-p253130632.html?spid=253130646,6,-19%,Đã bán 1,AIN_Closet
Bộ quần áo ngắn bé gái họa tiết Nhí tím tay bo chun - AICDBGTKNV3I - AIN Closet,110.000₫,https://tiki.vn/bo-quan-ao-ngan-be-gai-hoa-tiet-nhi-tim-tay-bo-chun-aicdbgtknv3i-ain-closet-p107421921.html?spid=107421926,7,-42%,Đã bán 8,AIN_Closet
Bộ quần áo ngắn bé gái họa tiết Disney kẻ nhí hồng - AICDBGCALV9T - AIN Closet,110.000₫,https://tiki.vn/bo-quan-ao-ngan-be-gai-hoa-tiet-disney-ke-nhi-hong-aicdbgcalv9t-ain-closet-p107420168.html?spid=107420179,8,-44%,,AIN_Closet
Bộ quần áo ngắn bé gái họa tiết Hoa Lan tím tơ - AICDBGRIGEUS - AIN Closet,120.000,https://tiki.vn/bo-quan-ao-ngan-be-gai-hoa-tiet-hoa-lan-tim-to-aicdbgrigeus-ain-closet-p172321848.html?spid=172321857,9,,,AIN_Closet
,,https://tiki.vn/dam-suon-xam-be-gai-hoa-tiet-hoa-tim-cotton-aicdbgncihgq-ain-closet-p215753838.html?spid=215753848,10,,,AIN_Closet
