title,price,link_item,index,discount,sales,brand
Đồ bộ ba lỗ 3D Hình Doremon Xanh Nhạt cho bé trai 10-40kg,170.000₫,https://tiki.vn/do-bo-ba-lo-3d-hinh-doremon-xanh-nhat-cho-be-trai-10-40kg-p51307422.html?spid=51307432,1,-23%,Đã bán 15,kunkun_kid
Đầm Thun In 3D cho bé gái hình Công Chúa Disney,150.000₫,https://tiki.vn/dam-thun-in-3d-cho-be-gai-hinh-cong-chua-disney-p83607316.html?spid=83607318,2,-25%,Đã bán 9,kunkun_kid
Đồ Bộ Thun Lạnh Có Tay In 3D cho bé trai hình Roblox,140.000₫,https://tiki.vn/do-bo-thun-lanh-co-tay-in-3d-cho-be-trai-hinh-roblox-p92918301.html?spid=92918303,3,-42%,Đã bán 11,kunkun_kid
Đồ Bộ Thun Có Tay In 3D cho bé trai hình khủng long đầu to,170.000,https://tiki.vn/do-bo-thun-co-tay-in-3d-cho-be-trai-hinh-khung-long-dau-to-p56742967.html?spid=56742971,4,,,kunkun_kid
,,https://tiki.vn/do-bo-3d-cho-be-trai-hinh-ben-10-p32438649.html?spid=32438651,5,,,kunkun_kid
Bộ Quần Áo Trẻ Em In 3D Công Chúa Elsa,120.000₫,https://tiki.vn/bo-quan-ao-tre-em-in-3d-cong-chua-elsa-p10085821.html?spid=10085823,6,-50%,Đã bán 20,kunkun_kid
Bộ Quần Áo Trẻ Em - Bé Gái In 3D 07,120.000₫,https://tiki.vn/bo-quan-ao-tre-em-be-gai-in-3d-07-p7944899.html?spid=7944903,7,-50%,Đã bán 36,kunkun_kid
Đồ Bộ Thun Có Tay In 3D cho bé gái hình My Little Pony,150.000₫,https://tiki.vn/do-bo-thun-co-tay-in-3d-cho-be-gai-hinh-my-little-pony-p83357617.html?spid=83357621,8,-38%,Đã bán 15,kunkun_kid
Bộ Quần Áo Trẻ Em - Bé Trai In 3D 06,120.000,https://tiki.vn/bo-quan-ao-tre-em-be-trai-in-3d-06-p7944882.html?spid=7944884,9,,,kunkun_kid
,,https://tiki.vn/do-bo-thun-co-tay-in-3d-cho-be-gai-hinh-ngua-pony-p83677436.html?spid=83677440,10,,,kunkun_kid
