title,price,link_item,index,discount,sales,brand
Bóng rổ Anta Kids 392311702,935.100₫,https://tiki.vn/bong-ro-anta-kids-392311702-p270158854.html?spid=270158855,1,-10%,,anta
Áo phông thể thao bé trai Anta Kids 352328152,339.500₫,https://tiki.vn/ao-phong-the-thao-be-trai-anta-kids-352328152-p252138895.html?spid=252138919,2,-50%,,anta
Áo phông thể thao bé trai Anta Kids W352321142,399.500₫,https://tiki.vn/ao-phong-the-thao-be-trai-anta-kids-w352321142-p252861368.html?spid=252861457,3,-50%,Đã bán 1,anta
Giày chạy thể thao bé trai Anta Kids W312335511,1.439.100,https://tiki.vn/giay-chay-the-thao-be-trai-anta-kids-w312335511-p273646511.html?spid=273646529,4,,,anta
,,https://tiki.vn/tat-the-thao-be-trai-anta-kids-w392322301-p272457849.html?spid=272457853,5,,,anta
"Áo thun dài tay bé trai Anta Kids, chất liệu thoáng khí W352335433",989.100₫,https://tiki.vn/ao-thun-dai-tay-be-trai-anta-kids-chat-lieu-thoang-khi-w352335433-p273442903.html?spid=273442907,6,-10%,,anta
Giày thời trang thể thao bé trai Anta Kids W312349982,1.169.100₫,https://tiki.vn/giay-thoi-trang-the-thao-be-trai-anta-kids-w312349982-p273655800.html?spid=273655804,7,-10%,,anta
"Sandals thời trang thể thao bé gái Anta Kids siêu nhẹ, quai dán tiện lợi, thoáng khí W322326921",799.500₫,https://tiki.vn/sandals-thoi-trang-the-thao-be-gai-anta-kids-sieu-nhe-quai-dan-tien-loi-thoang-khi-w322326921-p271246774.html?spid=271246792,8,-50%,Đã bán 1,anta
"Áo phông thể thao bé trai Anta Kids vải cotton, thoáng khí W352328148",279.500,https://tiki.vn/ao-phong-the-thao-be-trai-anta-kids-vai-cotton-thoang-khi-w352328148-p263561573.html?spid=263561605,9,,,anta
,,https://tiki.vn/sandals-the-thao-be-trai-anta-kids-w312329983-p252854619.html?spid=252855066,10,,,anta
"Áo phông bé gái Anta Kids co giãn 4 chiều, thấm hút mồ hôi nhanh, thoáng khí 362325140",339.500₫,https://tiki.vn/ao-phong-be-gai-anta-kids-co-gian-4-chieu-tham-hut-mo-hoi-nhanh-thoang-khi-362325140-p247841076.html?spid=247841090,11,-50%,,anta
Giày Thời Trang Bé Trai Anta Kids W312349931,899.100,https://tiki.vn/giay-thoi-trang-be-trai-anta-kids-w312349931-p273823751.html?spid=273823761,12,,,anta
,,https://tiki.vn/giay-de-bang-thoi-trang-be-gai-anta-kids-w322328003-p252858151.html?spid=252858157,13,,,anta
Giày Bóng Rổ Bé Trai Anta Kids ZHANJI W312341112 Size 33-39,1.999.000₫,https://tiki.vn/giay-bong-ro-be-trai-anta-kids-zhanji-w312341112-size-33-39-p273933151.html?spid=273933167,14,-30%,,anta
Giày đế bằng bé gái thời trang Anta Kids 322248001-1,1.105.300₫,https://tiki.vn/giay-de-bang-be-gai-thoi-trang-anta-kids-322248001-1-p217459400.html?spid=217459439,15,-50%,Đã bán 1,anta
Quần dài bé trai Anta Kids chất liệu nỉ bo gấu 352236346-2,539.500₫,https://tiki.vn/quan-dai-be-trai-anta-kids-chat-lieu-ni-bo-gau-352236346-2-p263355777.html?spid=263355779,16,,,anta
Quần Dài Nỉ Bé Trai Thompson KT Anta Kids W352341706,809.100,https://tiki.vn/quan-dai-ni-be-trai-thompson-kt-anta-kids-w352341706-p273498298.html?spid=273498308,17,,,anta
,,https://tiki.vn/quan-dai-the-thao-be-gai-anta-kids-362239503-p261988496.html?spid=261988500,18,-10%,,anta
Tất Thể Thao Bé Gái Anta Kids W392329304,80.100₫,https://tiki.vn/tat-the-thao-be-gai-anta-kids-w392329304-p272458653.html?spid=272458657,19,-10%,,anta
Mũ Bé Trai Anta Kids W392329206,359.100₫,https://tiki.vn/mu-be-trai-anta-kids-w392329206-p272459601.html?spid=272459603,20,-21%,,anta
Quần dài bé trai Anta Kids chất liệu nỉ bo gấu 352247771S-1,1.059.000₫,https://tiki.vn/quan-dai-be-trai-anta-kids-chat-lieu-ni-bo-gau-352247771s-1-p263355993.html?spid=263356007,21,-50%,,anta
Áo khoác bomber bé trai Basketball-KT Anta Kids W352349717,1.349.100₫,https://tiki.vn/ao-khoac-bomber-be-trai-basketball-kt-anta-kids-w352349717-p273498721.html?spid=273498725,22,-50%,,anta
Quần Dài Thể Thao Bé Trai Anta Kids W352325562,479.500₫,https://tiki.vn/quan-dai-the-thao-be-trai-anta-kids-w352325562-p272464849.html?spid=272464863,23,-50%,,anta
