title,price,link_item,index,discount,sales,brand
LEGO TECHNIC 42164 Đồ chơi lắp ráp Xe đua vượt địa hình (219 chi tiết),328.000₫,https://tiki.vn/lego-technic-42164-do-choi-lap-rap-xe-dua-vuot-dia-hinh-219-chi-tiet-p273796168.html?spid=273796169,1,-30%,,lego
Đồ Chơi Lắp Ráp Bệ Phóng Rồng Thần Của Arin LEGO NINJAGO 71803 (27 chi tiết),299.000₫,https://tiki.vn/do-choi-lap-rap-be-phong-rong-than-cua-arin-lego-ninjago-71803-lego-ninjago-71803-p273728038.html?spid=273728039,2,-19%,,lego
Đồ Chơi Lắp Ráp Ngôi Nhà Cá Axolotl LEGO MINECRAFT 21247 (242 chi tiết),631.000₫,https://tiki.vn/do-choi-lap-rap-ngoi-nha-ca-axolotl-lego-minecraft-21247-lego-minecraft-21247-p270745534.html?spid=270745535,3,-30%,,lego
Đồ Chơi Lắp Ráp Trạm Cứu Hỏa Và Xe Cứu Hỏa LEGO CITY 60414 (843 chi tiết),2.479.000,https://tiki.vn/do-choi-lap-rap-tram-cuu-hoa-va-xe-cuu-hoa-lego-city-60414-843-chi-tiet-p273728009.html?spid=273728011,4,,,lego
,,https://tiki.vn/do-choi-lap-rap-chien-giap-lua-cua-kai-lego-ninjago-71808-322-chi-tiet-p273803667.html?spid=273803668,5,,,lego
LEGO SUPERHEROES 76276 Đồ chơi lắp ráp Chiến giáp Venom (134 chi tiết),314.000₫,https://tiki.vn/lego-superheroes-76276-do-choi-lap-rap-chien-giap-venom-134-chi-tiet-p273796182.html?spid=273796183,6,,,lego
Đồ Chơi LEGO Siêu Mô Tô BMW 42130 (1920 chi tiết),8.499.000₫,https://tiki.vn/do-choi-lego-sieu-mo-to-bmw-42130-p171618089.html?spid=190513041,7,,,lego
LEGO CITY - 60329 - Trường Học Thành Phố,2.299.000₫,https://tiki.vn/lego-city-60329-truong-hoc-thanh-pho-p208376451.html?spid=208376452,8,-7%,,lego
Đồ Chơi LEGO FRIENDS Xe Trồng Cây Xanh Di Động 41707,550.800,https://tiki.vn/do-choi-lego-friends-xe-trong-cay-xanh-di-dong-41707-p152738091.html?spid=155343590,9,-10%,Đã bán 3,lego
,,https://tiki.vn/do-choi-lap-rap-chien-xe-monster-xanh-duong-lego-city-60402-148-chi-tiet-p273728050.html?spid=273728051,10,,,lego
Đồ Chơi Lắp Ráp Xe Đua Thể Thao Xanh Lá Cây LEGO CITY 60399 (56 chi tiết),299.000₫,https://tiki.vn/do-choi-lap-rap-xe-dua-the-thao-xanh-la-cay-lego-city-60399-56-chi-tiet-p273728033.html?spid=273728034,11,-5%,,lego
Đồ Chơi Lắp Ráp Lego City 60384 - Penguin Slushy Van (194 Mảnh Ghép),557.100,https://tiki.vn/do-choi-lap-rap-lego-city-60384-penguin-slushy-van-194-manh-ghep-p254138008.html?spid=254138009,12,-10%,,lego
,,https://tiki.vn/do-choi-lap-rap-lego-ninjago-71782-cole-s-earth-dragon-evo-285-manh-ghep-p254137959.html?spid=254137961,13,-5%,,lego
Đồ Chơi Lắp Ráp Lego City 60319 - Fire Rescue & Police Chase (295 Mảnh Ghép),929.100₫,https://tiki.vn/do-choi-lap-rap-lego-city-60319-fire-rescue-police-chase-295-manh-ghep-p196049613.html?spid=196049614,14,-5%,,lego
Đồ Chơi LEGO AVATAR Chuyến Bay Rồng Banshee Đầu Tiên Của Jake & Neytiri 75572 (572 chi tiết),1.959.000₫,https://tiki.vn/do-choi-lego-avatar-chuyen-bay-rong-banshee-dau-tien-cua-jake-neytiri-75572-p205613748.html?spid=206658971,15,,,lego
BỘ LẮP RÁP LEGO 10270 TIỆM SÁCH,5.822.000₫,https://tiki.vn/bo-lap-rap-lego-10270-tiem-sach-p120999433.html?spid=120999434,16,-23%,,lego
Đồ Chơi Lắp Ráp Thỏ Trắng Dễ Thương 3 In 1 - Lego Creator 31133 (258 Mảnh Ghép),588.100,https://tiki.vn/do-choi-lap-rap-tho-trang-de-thuong-3-in-1-lego-creator-31133-258-manh-ghep-p263179751.html?spid=263179752,17,,,lego
