title,price,link_item,index,discount,sales,category
Tã dán Bobby Fresh siêu thấm - khô thoáng,181.000₫,https://tiki.vn/ta-dan-bobby-fresh-sieu-tham-kho-thoang-p20074930.html?spid=20074932,1,-20%,Đã bán 148,tabim
[Combo 3 Bịch] Tã/Bỉm Moony Natural Bông Organic Cao Cấp [Full Size,1.399.999₫,https://tiki.vn/combo-3-bich-ta-bim-moony-natural-bong-organic-cao-cap-full-size-p48324890.html?spid=48324904,2,-19%,Đã bán 20,tabim
Combo 3 Tã quần Bobby Siêu thoáng đủ size M76/L68/XL62/XXL56,1.101.000₫,https://tiki.vn/combo-3-ta-quan-bobby-sieu-thoang-du-size-m76-l68-xl62-xxl56-p68196126.html?spid=68196134,3,-6%,Đã bán 11,tabim
ta quan yubest night size xxl 46+2 mieng,190.000₫,https://tiki.vn/ta-quan-yubest-night-size-xxl-64-mieng-p80131184.html?spid=80131185,4,-19%,Đã bán 116,tabim
Tã Quần UniDry Gói Cực Đại L54 (54 Miếng),294.900₫,https://tiki.vn/ta-quan-unidry-goi-cuc-dai-l54-54-mieng-p488456.html?spid=52092715,5,-18%,Đã bán 6,tabim
Bỉm quần ban đêm Momo Rabbit Baby Panty Diapers size L,285.000₫,https://tiki.vn/bim-quan-ban-dem-momo-rabbit-baby-panty-diapers-size-l-p252089994.html?spid=252089995,6,-20%,,tabim
Sỉ- Tã quần Unidry XL62 Siêu Mỏng Ultra Thin - Mẫu mới nhất - Date luôn mới,303.500₫,https://tiki.vn/si-ta-quan-unidry-xl62-sieu-mong-ultra-thin-mau-moi-nhat-date-luon-moi-p205246165.html?spid=205246168,7,-31%,Đã bán 2,tabim
Miếng Lót Sơ Sinh Huggies Dry Newborn 2 - 40 (40 Miếng) - Bao Bì Mới,75.000₫,https://tiki.vn/mieng-lot-so-sinh-huggies-dry-newborn-2-40-40-mieng-bao-bi-moi-p845242.html?spid=94857754,8,-11%,Đã bán 65,tabim
Giấy ướt dành cho tay và miệng 100% thành phần cấp thực phẩm Life-do.Plus LD-038 80 tờ,32.400₫,https://tiki.vn/giay-uot-danh-cho-tay-va-mieng-100-thanh-phan-cap-thuc-pham-life-do-plus-ld-038-80-to-p188520956.html?spid=188520957,9,-13%,Đã bán 23,tabim
Bỉm - Tã Quần Moony Natural Size L- 36 miếng ( bé 9-14Kg),286.900₫,https://tiki.vn/bim-ta-quan-moony-natural-size-l-36-mieng-be-9-14kg-p59456617.html?spid=201426560,10,-27%,Đã bán 99,tabim
