title,price,link_item,index,discount,sales,category
"Áo sơ mi đũi nam cổ trụ tay ngắn 3 khuy ngực ArcticHunter, thời trang trẻ, thương hiệu chính hãng",179.000₫,https://tiki.vn/ao-so-mi-dui-nam-co-tru-tay-ngan-3-khuy-nguc-arctichunter-thoi-trang-tre-thuong-hieu-chinh-hang-p66611034.html?spid=66611038,1,-5%,Đã bán 3,aosomi
Áo Sơ Mi Ngắn Tay Nam Linen Shirt Giordano 01043206,889.000₫,https://tiki.vn/ao-so-mi-ngan-tay-nam-linen-shirt-giordano-01043206-p262550370.html?spid=262550378,2,,,aosomi
"Áo Sơ Mi Nam Dài Tay Vải Lụa Trơn Cao Cấp Co dãn nhẹ, thoáng khí",115.000₫,https://tiki.vn/ao-so-mi-nam-dai-tay-vai-lua-tron-cao-cap-co-dan-nhe-thoang-khi-p178514221.html?spid=193525012,3,-11%,Đã bán 31,aosomi
ÁO SƠ MI NAM TAY NGẮN DR BASIC CHUẨN MEN THỜI TRANG NAM 1986,137.000,https://tiki.vn/ao-so-mi-nam-tay-ngan-dr-basic-chuan-men-thoi-trang-nam-1986-p201861381.html?spid=201861402,4,,,aosomi
,,https://tiki.vn/ao-so-mi-nam-cong-so-trung-nien-anton-somianton-xanh-tron-ngan-tay-va-i-cotton-xsn14-p200002811.html?spid=200002821,5,-32%,,aosomi
ÁO SƠ MI LỤA NAM BODY CỰC ĐẸP THỜI TRANG PHONG CÁCH HÓA NAM THẦN NĂM MỚI,98.000₫,https://tiki.vn/ao-so-mi-lua-nam-body-cuc-dep-thoi-trang-phong-cach-hoa-nam-than-nam-moi-p75390033.html?spid=76171459,6,,Đã bán 37,aosomi
Áo Sơ Mi Nam Trắng Trơn - XXL,80.000₫,https://tiki.vn/ao-so-mi-nam-trang-tron-xxl-p8985726.html?spid=19762645,7,,Đã bán 57,aosomi
Áo sơ mi nam ngắn tay Novelty Regular fit sọc caro NSMMCTMTCR220932N,325.000₫,https://tiki.vn/ao-so-mi-nam-ngan-tay-novelty-regular-fit-soc-caro-nsmmctmtcr220932n-p215161289.html?spid=215161297,8,-50%,,aosomi
ÁO SƠ MI CARO ÁO KHOÁC SƠ MI NAM NỮ MẶC,87.000₫,https://tiki.vn/product-p90071009.html?spid=92901020,9,-28%,,aosomi
,,https://tiki.vn/ao-so-mi-nam-tay-dai-form-suong-khatoco-a1md468t1-cncr110-2409-d-p248689866.html?spid=248689868,10,,,aosomi
"Áo somi nam hoa văn form rộng Amazing, họa tiết nhỏ thanh lịch, cộc tay, trôn ngang, bigsize tới 110kg, chất vải mềm mát",229.000₫,https://tiki.vn/ao-somi-nam-hoa-van-form-rong-amazing-hoa-tiet-nho-thanh-lich-coc-tay-tron-ngang-bigsize-toi-110kg-chat-vai-mem-mat-p249579188.html?spid=249579220,11,,,aosomi
"Áo sơ mi nam tay dài màu trắng, thương hiệu Amaing, vải sơi tre mềm, mượt, mát, phong cách công sở, thân suông, vạt bầu",239.000,https://tiki.vn/ao-so-mi-nam-tay-dai-mau-trang-thuong-hieu-amaing-vai-soi-tre-mem-muot-mat-phong-cach-cong-so-than-suong-vat-bau-p153957178.html?spid=153957208,12,,,aosomi
,,https://tiki.vn/ao-so-mi-nam-tay-ngan-form-slim-khatoco-a1mn438s1-cnma001-2102-n-p30684522.html?spid=30684532,13,,,aosomi
Áo Sơ Mi Tay Ngắn Nam Nữ Form Rộng Sơ Mi Cổ Vest UNISEX Hàn Quốc Vải Lụa Giãn Mềm Mịn Mát - SMV02,90.000₫,https://tiki.vn/ao-so-mi-tay-ngan-nam-nu-form-rong-so-mi-co-vest-unisex-han-quoc-vai-lua-gian-mem-min-mat-smv02-p135075286.html?spid=135075288,14,,Đã bán 23,aosomi
"Áo sơ mi nam họa tiết dài tay Amazing, hoa văn hình học lạ mắt, form suông, vạt bầu, chất liệu nhập khẩu India",245.000₫,https://tiki.vn/ao-so-mi-nam-hoa-tiet-dai-tay-amazing-hoa-van-hinh-hoc-la-mat-form-suong-vat-bau-chat-lieu-nhap-khau-india-01-p66619341.html?spid=66619682,15,,Đã bán 9,aosomi
Áo sơ mi nam kẻ sọc BBR vàng,128.000₫,https://tiki.vn/ao-so-mi-nam-ke-soc-bbr-vang-p105622376.html?spid=115251383,16,,Đã bán 4,aosomi
ÁO SƠ MI NAM NGẮN TAY CÓ TÚI VÃI ĐŨI,169.000,https://tiki.vn/ao-so-mi-nam-ngan-tay-co-tui-vai-dui-p253196664.html?spid=253196683,17,,,aosomi
,,https://tiki.vn/ao-somi-nam-ao-somi-dang-om-body-phoi-mau-doc-la-thiet-ke-tre-trung-lich-lam-h39-p263272937.html?spid=263272943,18,,,aosomi
"Áo sơ mi, áo sơ mi nam dài tay cổ vest phối 2 màu đen trắng cực độc cực chất N22",209.000₫,https://tiki.vn/ao-so-mi-ao-so-mi-nam-dai-tay-co-vest-phoi-2-mau-den-trang-cuc-doc-cuc-chat-n22-p263329179.html?spid=263329181,19,,,aosomi
"Áo sơmi nam flamingo bird đẹp, mềm mịn ngắn tay - Monument 1527/XL - Mỹ",850.000₫,https://tiki.vn/ao-somi-nam-flamingo-bird-dep-mem-min-ngan-tay-monument-1527-xl-my-p269851927.html?spid=269889999,20,,,aosomi
Áo sơ mi nam cổ bẻ cao cấp,250.000₫,https://tiki.vn/ao-so-mi-nam-co-be-cao-cap-p105375352.html?spid=105375358,21,,,aosomi
Áo sơ mi Họa tiết TITISHOP SM1130,49.000₫,https://tiki.vn/ao-so-mi-hoa-tiet-titishop-sm1130-p14706558.html?spid=14706560,22,,,aosomi
"ÁO SƠ MI HOA VĂN TAY NGẮN IN HÌNH CÂY DỪA, ĐƯỜNG PHỐ BIG SIZE NAM",250.000₫,https://tiki.vn/ao-so-mi-hoa-van-tay-ngan-in-hinh-cay-dua-duong-pho-big-size-nam-p205306211.html?spid=205306217,23,,,aosomi
Áo Sơ Mi Nam Nữ Hoa Hướng Dương Nhỏ,325.000₫,https://tiki.vn/ao-so-mi-nam-nu-hoa-huong-duong-nho-p84381202.html?spid=84381208,24,,,aosomi
Sơ mi tay ngắn bbr kate cotton big size nam tới 135kg,270.000,https://tiki.vn/so-mi-tay-ngan-bbr-kate-cotton-big-size-nam-toi-135kg-p213485376.html?spid=213485419,25,,Đã bán 3,aosomi
,,https://tiki.vn/so-mi-nam-cao-cap-ke-caro-p143007336.html?spid=143007342,26,,,aosomi
"Khatoco- Áo sơ mi dài tay Khatoco dáng Tailor Fit chống nhăn, mát mịn vải sợi tre, cotton",398.000₫,https://tiki.vn/khatoco-ao-so-mi-dai-tay-khatoco-dang-tailor-fit-chong-nhan-mat-min-vai-soi-tre-cotton-p203448454.html?spid=203448458,27,,,aosomi
Áo Sơ Mi Nam Nữ Mix Hình Vuông Nâu,325.000₫,https://tiki.vn/ao-so-mi-nam-nu-mix-hinh-vuong-nau-p84381378.html?spid=84381390,28,,,aosomi
Áo sơ mi nam denim MUSLAND cổ bẻ phối túi ngực 5 màu thời trang 2020A500,390.000₫,https://tiki.vn/ao-so-mi-nam-denim-musland-co-be-phoi-tui-nguc-5-mau-thoi-trang-2020a500-p155915783.html?spid=155916470,29,,,aosomi
"Áo Blu, Blouse Bác sĩ Cộc Tay dáng dài ngang gối vải thô cotton cao cấp (Giá lẻ = Giá sỉ)",149.000,https://tiki.vn/ao-blu-blouse-bac-si-coc-tay-dang-dai-ngang-goi-vai-tho-cotton-cao-cap-gia-le-gia-si-p196184581.html?spid=196184622,30,,,aosomi
,,https://tiki.vn/ao-so-mi-nam-mat-troi-vu-tru-mau-cuc-hot-p182130962.html?spid=182130964,31,,,aosomi
Áo Sơ Mi Nam Ngắn Tay Phối Caro Mẫu XR01 Thời Trang Cao Cấp PONIVA Chất Kate Mềm Mịn Tạo Cảm Giác Thoải Mái Khi Mặc,125.000₫,https://tiki.vn/ao-so-mi-nam-ngan-tay-phoi-caro-mau-xr01-thoi-trang-cao-cap-poniva-chat-kate-mem-min-tao-cam-giac-thoai-mai-khi-mac-p111709742.html?spid=111709804,32,,,aosomi
Áo Sơ Mi Lụa Hộp 1 Áo Dài Tay Nam Kiểu Dáng Body Lịch Lãm Và Sang Trọng - Mặc Là Đẹp - Mã SMLH,103.000₫,https://tiki.vn/ao-so-mi-lua-hop-1-ao-dai-tay-nam-kieu-dang-body-lich-lam-va-sang-trong-mac-la-dep-ma-smlh-p126728780.html?spid=126728944,33,,Đã bán 3,aosomi
Áo thun áo phông nam trung niên cao cấp ẢNH THẬT,179.000₫,https://tiki.vn/ao-thun-ao-phong-nam-trung-nien-cao-cap-anh-that-p129299206.html?spid=129299509,34,,,aosomi
ÁO SƠ MI NAM CHẤM BI NGẮN TAY CÓ TÚI,199.000,https://tiki.vn/ao-so-mi-nam-cham-bi-ngan-tay-co-tui-p81074727.html?spid=81074749,35,,,aosomi
,,https://tiki.vn/ao-so-mi-nam-so-mi-nam-cuc-cheo-co-gap-nep-luon-song-truoc-nguc-tao-diem-tre-trung-lich-lam-mau-h28-p272035387.html?spid=272035391,36,,,aosomi
Áo sơ mi dài tay Nam phù hợp với xu hướng Hàn Quốc Kinh doanh thông thường Áo sơ mi cotton của nam N52,235.000₫,https://tiki.vn/ao-so-mi-dai-tay-nam-phu-hop-voi-xu-huong-han-quoc-kinh-doanh-thong-thuong-ao-so-mi-cotton-cua-nam-n52-p272149794.html?spid=272149796,37,,,aosomi
"Áo sơ mi nam giả bò chất liệu cotton cao cấp sang trọng lịch lãm, đẳng cấp mã N48",235.000₫,https://tiki.vn/ao-so-mi-nam-gia-bo-chat-lieu-cotton-cao-cap-sang-trong-lich-lam-dang-cap-ma-n48-p272122537.html?spid=272122553,38,,,aosomi
"Áo đũi nam cổ trụ tay lỡ 5 khuy ngực phối túi giả, chất đũi mềm mát thích hợp mùa hè phong cách trẻ",179.000₫,https://tiki.vn/ao-dui-nam-co-tru-tay-lo-5-khuy-nguc-phoi-tui-gia-chat-dui-mem-mat-thich-hop-mua-he-phong-cach-tre-p111586609.html?spid=111587314,39,,Đã bán 6,aosomi
"(HCM) ÁO SƠ MI NAM DÀI TAY CARO THỜI TRANG - HOT HIT , PHONG CÁCH RỰC RỠ CHO CÁC ANH EM BOY PHỐ",155.000,https://tiki.vn/hcm-ao-so-mi-nam-dai-tay-caro-thoi-trang-hot-hit-phong-cach-ruc-ro-cho-cac-anh-em-boy-pho-p201880927.html?spid=201880948,40,,,aosomi
