title,price,link_item,index,discount,sales,category
"Mua 2 cái ÁO PHÔNG NAM NGẮN TAY CATRIO sẽ tiết kiệm được 28K_34.000đ là áo phông trắng, áo thun ngắn tay, áo lót trong cho bố, ông, người trung tuổi, vải 100̀% cotton, cổ tròn, áo lót màu trắng, mặc lót bên trong áo sơ mi, mặc ở nhà, đi ngủ rất thoáng mát",130.000₫,https://tiki.vn/mua-2-cai-ao-phong-nam-ngan-tay-catrio-se-tiet-kiem-duoc-28k_34-000d-la-ao-phong-trang-ao-thun-ngan-tay-ao-lot-trong-cho-bo-ong-nguoi-trung-tuoi-vai-100-cotton-co-tron-ao-lot-mau-trang-mac-lot-ben-trong-ao-so-mi-mac-o-nha-di-ngu-rat-thoang-mat-p261829475.html?spid=261829481,1,-30%,Đã bán 2,aothun
Áo Thun Nam Basic Oversize Couple TX MTS 1006,259.000₫,https://tiki.vn/ao-thun-nam-basic-oversize-couple-tx-mts-1006-p101298375.html?spid=101298448,2,-29%,,aothun
"Áo thun nam tay dài cổ tròn, chất cotton 4 chiều , áo dài tay nhiều màu dáng ôm thời trang",69.560₫,https://tiki.vn/ao-thun-nam-tay-dai-co-tron-chat-cotton-4-chieu-ao-dai-tay-nhieu-mau-dang-om-thoi-trang-p138748869.html?spid=138752902,3,-15%,Đã bán 14,aothun
Combo 3 Áo Ba Lỗ Cổ Vuông Nam Cá Tính,149.000,https://tiki.vn/combo-3-ao-ba-lo-co-vuong-nam-ca-tinh-p246730278.html?spid=246730380,4,,,aothun
,,https://tiki.vn/ao-phong-nam-tay-ngan-co-tron-chat-cotton-in-hoa-tiet-cuc-dep-p69090037.html?spid=69090067,5,,,aothun
"BORN FREE, mã G290-logo. Áo thun polo nam nữ, form unisex. Áo phông cổ trụ Goking, vải cá sấu 3D, công nghệ chống nhăn Nhật Bản",148.000₫,https://tiki.vn/born-free-ma-g290-logo-ao-thun-polo-nam-nu-form-unisex-ao-phong-co-tru-goking-vai-ca-sau-3d-cong-nghe-chong-nhan-nhat-ban-p203951820.html?spid=203951868,6,-50%,Đã bán 3,aothun
"Áo thun nam cổ tròn tay ngắn, chất thun cao cấp, trẻ trung, năng động – FORMEN SHOP – FMPS168",149.000₫,https://tiki.vn/ao-thun-cotton-nam-co-tron-form-rong-in-hinh-ca-tinh-tre-trung-formen-shop-fmps168-p133868386.html?spid=133868394,7,-40%,Đã bán 4,aothun
Áo ba lỗ cổ vuông nam phong cách Hàn Quốc,35.000₫,https://tiki.vn/ao-ba-lo-co-vuong-nam-phong-cach-han-quoc-sa455-p24038276.html?spid=124209326,8,,Đã bán 3,aothun
Áo thun nam tay lỡ form rộng Unisex Methata Freesize mặc vừa từ 45 - 70kg,40.000₫,https://tiki.vn/ao-thun-nam-tay-lo-form-rong-unisex-methata-freesize-mac-vua-tu-45-70kg-p46601617.html?spid=75418561,9,-5%,,aothun
,,https://tiki.vn/ao-thun-co-do-sao-vang-viet-nam-unisex-nam-nu-du-size-m-l-xl-xxl-p155740570.html?spid=155740608,10,,,aothun
Áo Thun Trơn Andromeda Cổ Tròn Ngắn Tay Nhiều Màu Cho Cả Nam và Nữ Vải Dày Mịn,49.000₫,https://tiki.vn/ao-thun-tron-andromeda-co-tron-ngan-tay-nhieu-mau-cho-ca-nam-va-nu-vai-day-min-p184822619.html?spid=184824554,11,,Đã bán 9,aothun
