title,price,link_item,index,discount,sales,brand
"WARRIOR, mã logo.g252. Áo thun polo nam nữ, form unisex. Áo phông cổ trụ Goking, vải cá sấu 3D, công nghệ chống nhăn Nhật Bản",148.000₫,https://tiki.vn/warrior-ma-g252-logo-ao-thun-polo-nam-nu-form-unisex-ao-phong-co-tru-goking-vai-ca-sau-3d-cong-nghe-chong-nhan-nhat-ban-p203952373.html?spid=203952419,1,,,GOKING
"THINK BIG DO BIGGER, mã logo.g92. Áo thun polo cổ trụ cho nam nữ, form unisex. Áo phông cá sấu hàng hiệu Goking, quà tặng cao cấp cho gia đình, cặp đôi, doanh nghiệp",148.000₫,https://tiki.vn/think-big-do-bigger-ma-g92-logo-ao-thun-polo-nam-nu-form-unisex-ao-phong-co-tru-goking-vai-ca-sau-3d-cong-nghe-chong-nhan-nhat-ban-p203952721.html?spid=203952759,2,,Đã bán 1,GOKING
"Áo thun Luffy All Gear, One Piece Đảo Hải Tặc, mã OP2. Áo phông anime manga siêu đẹp cho nam nữ teen trẻ em",69.000₫,https://tiki.vn/ao-thun-luffy-all-gear-one-piece-dao-hai-tac-ma-op2-ao-phong-anime-manga-sieu-dep-cho-nam-nu-teen-tre-em-p273437307.html?spid=273437451,3,,,GOKING
"Break all the rules, mã G41. Áo thun nam nữ in chữ siêu đẹp, form unisex. Áo phông GOKING hàng hiệu. Quà tặng cao cấp cho gia đình, cặp đôi, hội nhóm, doanh nghiệp",69.000₫,https://tiki.vn/break-all-the-rules-ma-g41-ao-thun-nam-nu-sieu-dep-ao-phong-thoat-nhiet-goking-hang-hieu-p164250949.html?spid=252851054,4,,,GOKING
,,https://tiki.vn/slam-dunk-ma-g75-ao-thun-nam-nu-in-sieu-dep-ao-phong-thoat-nhiet-goking-hang-hieu-cao-cap-p251582419.html?spid=251582597,5,,,GOKING
"GERMAN SHEPHERD, mã G148. Áo thun siêu đẹp cho cả gia đình. Form unisex cho nam nữ, trẻ em, bé trai gái. Quà tặng ý nghĩa cho bố mẹ, con cái, bạn bè, doanh nghiệp, hội nhóm",69.000₫,https://tiki.vn/german-shepherd-ma-g148-ao-thun-nam-nu-in-hinh-cho-sieu-dep-ao-phong-thoat-nhiet-goking-hang-hieu-cao-cap-p251579847.html?spid=251579869,6,,,GOKING
"Đi thật xa để trở về, mã TV2. Áo thun siêu đẹp cho cả gia đình. Form unisex cho nam nữ, trẻ em, bé trai gái. Quà tặng ý nghĩa cho bố mẹ, con cái, bạn bè, doanh nghiệp, hội nhóm",69.000₫,https://tiki.vn/di-that-xa-de-tro-ve-ma-tv2-ao-thun-du-lich-sieu-dep-ao-phong-thoat-nhiet-goking-hang-hieu-cao-cap-p251578765.html?spid=251579658,7,,,GOKING
"Chọi gà, mã G178. Áo thun tranh Đông Hồ siêu đẹp, form unisex cho nam nữ. Áo phông hàng hiệu Goking, quà tặng cao cấp cho gia đình, cặp đôi, lớp nhóm, doanh nghiệp, người nước ngoài",99.000₫,https://tiki.vn/choi-ga-ma-g178-ao-thun-nam-nu-in-tranh-dong-ho-sieu-dep-ao-phong-thoat-nhiet-goking-hang-hieu-cao-cap-p172321942.html?spid=214789723,8,,Đã bán 2,GOKING
"Dad you're my hero, mã G94. Áo thun nam nữ in siêu đẹp. Áo phông thoát nhiệt GOKING hàng hiệu cao cấp",168.000,https://tiki.vn/dad-you-re-my-hero-ma-g94-ao-thun-nam-nu-in-sieu-dep-ao-phong-thoat-nhiet-goking-hang-hieu-cao-cap-p164309839.html?spid=164310054,9,,,GOKING
,,https://tiki.vn/ao-thun-in-hinh-pokemon-sieu-dep-ma-pk6-ao-phong-in-hinh-cao-cap-cho-tre-em-be-trai-be-gai-va-teen-nam-nu-p273437797.html?spid=273437819,10,,,GOKING
"SUPER COOL, mã logo-g68. Áo thun polo cổ bẻ cho nam nữ, form unisex. Áo phông cổ trụ hàng hiệu Goking, quà tặng cao cấp cho gia đình, cặp đôi, doanh nghiệp",148.000₫,https://tiki.vn/super-cool-ma-logo-g68-ao-thun-polo-nam-nu-form-unisex-ao-phong-co-tru-goking-vai-ca-sau-3d-cong-nghe-chong-nhan-nhat-ban-p203952976.html?spid=203952979,11,,,GOKING
"Less People More Cats, mã G266. Áo thun hàng hiệu Goking, form unisex cho nam nữ, trẻ em, bé trai gái. Áo phông in hình mèo đẹp, quà tặng cao cấp",69.000₫,https://tiki.vn/less-people-more-cats-ma-g266-ao-thun-in-hinh-meo-ao-phong-thoat-nhiet-goking-cho-nam-nu-p203913665.html?spid=249091780,12,,Đã bán 7,GOKING
,,https://tiki.vn/japan-ma-g273-ao-thun-nam-va-nu-in-3d-ao-phong-thoat-nhiet-goking-100-cotton-tham-hut-mo-hoi-p203915629.html?spid=210413920,13,,,GOKING
