title,price,link_item,index,discount,sales,brand
Quần tây nam Khatoco mã Q1M428R0-INMA009-2110-0,299.600₫,https://tiki.vn/quan-tay-nam-khatoco-ma-q1m428r0-p50327852.html?spid=50327871,1,-30%,Đã bán 72,KHATOCO
Quần tây nam không ly Khatoco Q1M428R0-INMA036-2111-0-XÁM LÔNG CHUỘT,299.600₫,https://tiki.vn/quan-tay-nam-khatoco-khong-ly-ma-q1m428r0-inma036-2111-0-xam-long-chuot-p198381555.html?spid=198381567,2,-30%,Đã bán 34,KHATOCO
Quần kaki nam 1 ply ống đứng Khatoco Q2M468R1-VNMA011-1907-1,169.000₫,https://tiki.vn/quan-kaki-nam-khatoco-1-ply-ong-dung-q2m468r1-vnma011-1907-1-p30763890.html?spid=30763900,3,-64%,Đã bán 151,KHATOCO
Quần tây nam không ly Khatoco Q1M428R0-INMA038-2211-0-ĐEN VẢI GÂN,299.600,https://tiki.vn/quan-tay-nam-khatoco-khong-ly-ma-q1m428r0-inma038-2211-0-den-vai-gan-p198381953.html?spid=198381961,4,,,KHATOCO
,,https://tiki.vn/quan-short-kaki-nam-khatoco-q3m378r0-vnin001-2011-019-p30763911.html?spid=30763921,5,-62%,,KHATOCO
Quần Kaki Nam Khatoco Q2M528S0-CNMA002-2006-0- Nâu Nhạt,199.000₫,https://tiki.vn/quan-kaki-nam-khatoco-q2m528s0-cnma002-2006-nau-nhat-p20518837.html?spid=20518870,6,-69%,Đã bán 60,KHATOCO
Áo Sơ Mi Nam Tay Ngắn Khatoco A1MN538T1-CNCR117-2010-N,169.000₫,https://tiki.vn/ao-so-mi-nam-tay-ngan-khatoco-a1mn538t1-cncr117-2010-n-hong-p20521578.html?spid=20521583,7,-17%,Đã bán 146,KHATOCO
Áo Thun Nam Khatoco A2MN398R2-VNSC210-2411-N,330.340₫,https://tiki.vn/ao-thun-nam-khatoco-a2mn398r2-vnsc210-2411-n-p243047494.html?spid=243047504,8,,Đã bán 11,KHATOCO
Quần tây nam không ly Khatoco Q1M428R0-INMA037-2111-0-XÁM NHẠT VẢI GÂN,299.600,https://tiki.vn/quan-tay-nam-khatoco-khong-ly-ma-q1m428r0-inma037-2111-0-xam-nhat-vai-gan-p198381579.html?spid=198381595,9,,,KHATOCO
,,https://tiki.vn/quan-short-kaki-nam-khatoco-q3m378r0-vnin002-2011-019-p30763873.html?spid=30763879,10,-51%,,KHATOCO
Áo sơ mi nam tay dài form slim ôm sọc xanh Khatoco A1MD388S1-THSC039-2009-D,189.000₫,https://tiki.vn/ao-so-mi-nam-tay-dai-form-slim-om-soc-xanh-khatoco-a1md388s1-thsc039-2009-d-p91861046.html?spid=91861054,11,,Đã bán 100,KHATOCO
Quần Khaki Nam Không Ply Ống Ôm Khatoco Q2M528S0-VNMA002-1811-0004,199.000,https://tiki.vn/quan-khaki-nam-khatoco-khong-ply-ong-om-khatoco-q2m528s0-vnma002-1811-0004-p30030737.html?spid=30030743,12,,,KHATOCO
