title,price,link_item,index,discount,sales,category
Áo khoác phao nữ cổ bẻ lót lông siêu ấm có dây rút eo,350.000₫,https://tiki.vn/ao-khoac-phao-nu-co-be-lot-long-sieu-am-co-day-rut-eo-p120962892.html?spid=272056678,1,,,aokhoacnu
Áo khoác len cardigan nữ chất len dệt kim mềm mịn co giãn trẻ trung mùa thu đông mã VAA0463,189.000₫,https://tiki.vn/ao-khoac-len-cardigan-nu-chat-len-det-kim-mem-min-co-gian-tre-trung-mua-thu-dong-ma-vaa0463-p271318540.html?spid=272396924,2,,Đã bán 1,aokhoacnu
áo khoác len nữ dệt kim-áo khoác len cardigan hoạ tiết thổ cẩm-áo len nữ,129.000₫,https://tiki.vn/ao-khoac-len-nu-det-kim-ao-khoac-len-cardigan-hoa-tiet-tho-cam-ao-len-nu-p115770131.html?spid=115770177,3,,Đã bán 29,aokhoacnu
ÁO CHỐNG NẮNG NỮ THUN LẠNH NHẬT BẢN,66.000₫,https://tiki.vn/ao-chong-nang-nu-thun-lanh-nhat-ban-p19448628.html?spid=115226408,4,,,aokhoacnu
,,https://tiki.vn/ao-khoac-kakai-nu-lot-long-sieu-am-cho-mua-dong-40-75kg-mau-long-lot-ngau-nhien-p149206692.html?spid=273678015,5,,,aokhoacnu
Áo chống nắng nữ toàn thân - Áo CHOÀNG UMI cao cấp - áo nắng dáng dài,199.000₫,https://tiki.vn/ao-chong-nang-nu-toan-than-ao-choang-umi-cao-cap-ao-nang-dang-dai-p103952298.html?spid=161310274,6,,Đã bán 11,aokhoacnu
Áo khoác chống nắng chất thun nỉ ngoại CÓ MŨ SIÊU XINH TÔN DÁNG CHO CÁC BẠN NỮ NYNA,102.000₫,https://tiki.vn/ao-khoac-chong-nang-chat-thun-ni-ngoai-co-mu-sieu-xinh-ton-dang-cho-cac-ban-nu-nyna-p152077477.html?spid=186649752,7,,Đã bán 4,aokhoacnu
Áo khoác nữ bomber Unisex chất nhung tăm THIẾT KẾ DÂY KÉO PHAO kèm dây luồng lai form rộng đẹp,159.000₫,https://tiki.vn/ao-khoac-nu-bomber-unisex-chat-nhung-tam-thiet-ke-day-keo-phao-kem-day-luong-lai-form-rong-dep-p271653979.html?spid=271653981,8,,Đã bán 1,aokhoacnu
Áo khoác sweater nỉ ngoại viền cổ unisex ulzzang nam nữ,99.000₫,https://tiki.vn/ao-khoac-sweater-ni-ngoai-vien-co-unisex-ulzzang-nam-nu-p128287188.html?spid=141238952,9,,,aokhoacnu
,,https://tiki.vn/ao-gile-len-tron-vintage-ao-len-khong-tay-co-v-ca-tinh-phong-cach-han-quoc-thoi-trang-thu-dong-ma-ta004-p159486280.html?spid=159486288,10,,,aokhoacnu
Áo khoác nam nữ KYT chất vải dù 2 lớp dày dặn mẫu mới phong cách trẻ trung lịch lãm thời trang cao cấp,109.000₫,https://tiki.vn/ao-khoac-nam-nu-kyt-chat-vai-du-2-lop-day-dan-mau-moi-phong-cach-tre-trung-lich-lam-thoi-trang-cao-cap-p253327634.html?spid=253327652,11,,Đã bán 2,aokhoacnu
Áo Khoác Nhung Hai Mặt Giản Dị Cho Mẹ AK21 - Hàng Quảng Châu Cao Cấp,398.000,https://tiki.vn/ao-khoac-nhung-hai-mat-gian-di-cho-me-ak21-hang-quang-chau-cao-cap-p195716003.html?spid=195716007,12,,Đã bán 1,aokhoacnu
