title,price,link_item,index,discount,sales,brand
"Áo len nữ nhiều màu lựa chọn, mẫu mới phối ren nữ tính AL50",179.000₫,https://tiki.vn/ao-len-nu-nhieu-mau-lua-chon-mau-moi-phoi-ren-nu-tinh-al50-p202761612.html?spid=202761614,1,,,ARCTIC_HUNTER
"Bộ đồ linen áo tay cánh rơi kèm quần short trẻ trung ArcticHunter, thời trang thương hiệu chính hãng",400.000₫,https://tiki.vn/bo-do-linen-ao-tay-canh-roi-kem-quan-short-tre-trung-arctichunter-thoi-trang-thuong-hieu-chinh-hang-p113351033.html?spid=113351037,2,-5%,Đã bán 31,ARCTIC_HUNTER
Áo gile len mẫu mới thu đông AH05,159.000₫,https://tiki.vn/ao-gile-len-mau-moi-thu-dong-gl05-p130792138.html?spid=140946854,3,-5%,Đã bán 1,ARCTIC_HUNTER
Đầm đũi nữ basic dáng suông dài. form rộng ngắn tay nhiều màu ARCTIC HUNTER AH71,299.000,https://tiki.vn/dam-dui-nu-basic-dang-suong-dai-form-rong-ngan-tay-nhieu-mau-arctic-hunter-ah71-p183558328.html?spid=183558336,4,,,ARCTIC_HUNTER
,,https://tiki.vn/ao-len-nu-trung-nien-cho-me-cho-ba-thiet-ke-nhe-nhang-nha-nhan-al18-p202528072.html?spid=202528073,5,,,ARCTIC_HUNTER
Váy ngủ 2 dây phối ren ngực sexy chất liệu lụa mềm mịn cao cấp AH05,128.700₫,https://tiki.vn/vay-ngu-2-day-phoi-ren-nguc-sexy-chat-lieu-lua-mem-min-cao-cap-ah05-p179724383.html?spid=179724385,6,-5%,,ARCTIC_HUNTER
Đầm nữ tay ngắn họa tiết màu trẻ trung da67,169.000₫,https://tiki.vn/dam-nu-tay-ngan-hoa-tiet-mau-tre-trung-da67-p106304159.html?spid=106304402,7,-5%,Đã bán 2,ARCTIC_HUNTER
"Đầm ôm tay cộc xẻ ta trước ArcticHunter, thời trang trẻ, phong cách Hàn Quốc (Xanh dương)",89.000₫,https://tiki.vn/dam-om-tay-coc-xe-ta-truoc-arctichunter-thoi-trang-tre-phong-cach-han-quoc-xanh-duong-p46652590.html?spid=67406421,8,-5%,Đã bán 2,ARCTIC_HUNTER
"Đầm xòe voan hoa cổ V chấm bi điệu đà ArcticHunter, thời trang thương hiệu chính hãng",89.000₫,https://tiki.vn/dam-xoe-voan-hoa-co-v-cham-bi-dieu-da-arctichunter-thoi-trang-thuong-hieu-chinh-hang-p75376475.html?spid=75376479,9,-5%,Đã bán 1,ARCTIC_HUNTER
,,https://tiki.vn/dam-xoe-voan-hoa-vang-tre-trung-arctichunter-thoi-trang-thuong-hieu-chinh-hang-a1323-p75376762.html?spid=75376766,10,,,ARCTIC_HUNTER
