title,price,link_item,index,discount,sales,brand
DOTTIE - Áo kiểu in hoa rút nơ ngực - Hồng - T0715,329.000₫,https://tiki.vn/dottie-ao-kieu-in-hoa-rut-no-nguc-hong-t0715-p261944999.html?spid=261945001,1,,,Dottie
DOTTIE - Đầm maxi tay cánh tiên - D0489,769.000₫,https://tiki.vn/dottie-dam-maxi-tay-canh-tien-d0489-p258670173.html?spid=258670175,2,,,Dottie
DOTTIE - Áo vest tay ngắn - Beige - T0780,879.000₫,https://tiki.vn/dottie-ao-vest-tay-ngan-beige-t0780-p271415252.html?spid=271415256,3,,,Dottie
DOTTIE - Áo thun đính đá ballet - Đen - T0768 - Freesize,439.000,https://tiki.vn/dottie-ao-thun-dinh-da-ballet-den-t0768-freesize-p270854334.html?spid=270854336,4,,,Dottie
,,https://tiki.vn/dottie-dam-caro-cup-nguc-nu-da-d0416-p208172489.html?spid=208172506,5,,,Dottie
DOTTIE - Quần jeans dài ống rộng nữ xanh mạ Q0282,769.000₫,https://tiki.vn/dottie-quan-jeans-dai-ong-rong-nu-xanh-ma-q0282-p208172639.html?spid=208172668,6,,,Dottie
DOTTIE - Chân váy denim dài dáng A - S0171,659.000₫,https://tiki.vn/dottie-chan-vay-denim-dai-dang-a-s0171-p262936560.html?spid=262936572,7,,,Dottie
DOTTIE - Áo dệt kim kiểu layer - T0743,659.000₫,https://tiki.vn/dottie-ao-det-kim-kieu-layer-t0743-p262884191.html?spid=262884197,8,,,Dottie
DOTTIE - Đầm ngắn hở lưng gắn nơ - Xanh mạ - D0501,549.000,https://tiki.vn/dottie-dam-ngan-ho-lung-gan-no-xanh-ma-d0501-p261946445.html?spid=261946447,9,,,Dottie
,,https://tiki.vn/dottie-quan-jeans-dai-ong-rong-xanh-dam-q0313-p262873636.html?spid=262873642,10,,,Dottie
DOTTIE - Chân váy ngắn dập ly - Nâu - S0176,439.000₫,https://tiki.vn/dottie-chan-vay-ngan-dap-ly-nau-s0176-p269947721.html?spid=269947727,11,,,Dottie
DOTTIE - Áo kiểu tay ngắn nhún thun - Tím - T0731,439.000,https://tiki.vn/dottie-ao-kieu-tay-ngan-nhun-thun-tim-t0731-p262878709.html?spid=262878711,12,,,Dottie
,,https://tiki.vn/dottie-ao-jeans-kieu-ho-lung-xanh-dam-t0694-p258839127.html?spid=258839129,13,,,Dottie
DOTTIE - Váy ngắn phối vải - Trắng - S0160,329.000₫,https://tiki.vn/dottie-vay-ngan-phoi-vai-trang-s0160-p257915859.html?spid=257915861,14,,,Dottie
DOTTIE - Áo kiểu dây chéo vải thun - Đen - T0673,219.000₫,https://tiki.vn/dottie-ao-kieu-day-cheo-vai-thun-den-t0673-p249204573.html?spid=249204575,15,,,Dottie
DOTTIE - Áo kiểu in hoa tay cánh tiên - Xanh lá - T0714,439.000₫,https://tiki.vn/dottie-ao-kieu-in-hoa-tay-canh-tien-xanh-la-t0714-p261833732.html?spid=261833734,16,,,Dottie
DOTTIE - Áo thun in LOVE - Nâu - T0675,329.000,https://tiki.vn/dottie-ao-thun-in-love-nau-t0675-p249206376.html?spid=249206378,17,,,Dottie
,,https://tiki.vn/dottie-quan-jeans-ong-rong-nu-xanh-nhat-q0260-p253411994.html?spid=208171739,18,,,Dottie
DOTTIE - Áo gingham tay phồng phối ren - Đỏ - T0711,439.000₫,https://tiki.vn/dottie-ao-gingham-tay-phong-phoi-ren-do-t0711-p261942187.html?spid=261942189,19,,,Dottie
DOTTIE - Quần jeans dài ống rộng nữ vàng Q0282,769.000₫,https://tiki.vn/dottie-quan-jeans-dai-ong-rong-nu-vang-q0282-p208172017.html?spid=208172019,20,,,Dottie
DOTTIE - Đầm hoa vải ogranza nhún bèo ngực nữ xanh biển D0371,769.000₫,https://tiki.vn/dottie-dam-hoa-vai-ogranza-nhun-beo-nguc-nu-xanh-bien-d0371-p208593290.html?spid=208593300,21,,,Dottie
DOTTIE - Quần short vải taffta nữ xanh dương Q0238,439.000₫,https://tiki.vn/dottie-quan-short-vai-taffta-nu-xanh-duong-q0238-p208593324.html?spid=208593364,22,,,Dottie
DOTTIE - Áo dáng xòe ráp bèo cổ - Trắng - T0751,549.000₫,https://tiki.vn/dottie-ao-dang-xoe-rap-beo-co-trang-t0751-p269890378.html?spid=269890380,23,,,Dottie
DOTTIE - Áo kiểu hở lưng gắn hoa - Trắng - T0732,329.000₫,https://tiki.vn/dottie-ao-kieu-ho-lung-gan-hoa-trang-t0732-p261839878.html?spid=261839880,24,,,Dottie
DOTTIE - Áo sát nách rút nhún - Đen - T0740,329.000,https://tiki.vn/dottie-ao-sat-nach-rut-nhun-den-t0740-p263451436.html?spid=263451438,25,,Đã bán 1,Dottie
,,https://tiki.vn/dottie-dam-maxi-hai-day-smocked-do-d0491-p258820614.html?spid=258820616,26,,,Dottie
DOTTIE - Áo kiểu vải tweed phối nơ - Vàng - T0691,549.000₫,https://tiki.vn/dottie-ao-kieu-vai-tweed-phoi-no-vang-t0691-p260811905.html?spid=260811907,27,,,Dottie
DOTTIE - Đầm ngắn in hoa cổ V - Đỏ - D0499,549.000₫,https://tiki.vn/dottie-dam-ngan-in-hoa-co-v-do-d0499-p261839760.html?spid=261839764,28,,,Dottie
DOTTIE - Áo sơmi satin kẻ sọc - Xanh lá - T0716,439.000₫,https://tiki.vn/dottie-ao-somi-satin-ke-soc-xanh-la-t0716-p261832106.html?spid=261832110,29,,,Dottie
DOTTIE - Chân váy mini đắp túi - Xanh đậm - S0169,439.000,https://tiki.vn/dottie-chan-vay-mini-dap-tui-xanh-dam-s0169-p262892140.html?spid=262892144,30,,,Dottie
,,https://tiki.vn/dottie-quan-dai-ong-loe-den-q0323-p271421706.html?spid=271421712,31,,,Dottie
DOTTIE - Áo kiểu smocked kẻ sọc - T0693,329.000₫,https://tiki.vn/dottie-ao-kieu-smocked-ke-soc-t0693-p258848670.html?spid=258848676,32,,,Dottie
DOTTIE - Áo thun hai dây vải sần - T0754,219.000₫,https://tiki.vn/dottie-ao-thun-hai-day-vai-san-t0754-p269362093.html?spid=269362097,33,,,Dottie
DOTTIE - Quần tây ống đứng ủi ly - Trắng - Q0316,549.000₫,https://tiki.vn/dottie-quan-tay-ong-dung-ui-ly-trang-q0316-p263446449.html?spid=263446455,34,,,Dottie
DOTTIE - Áo thun dáng ngắn - T0689,219.000,https://tiki.vn/dottie-ao-thun-dang-ngan-t0689-p258668424.html?spid=258668432,35,,,Dottie
,,https://tiki.vn/dottie-ao-thun-ba-lo-vien-trang-den-t0817-p273667660.html?spid=273667662,36,,,Dottie
DOTTIE - Áo 2 dây phối vải dáng peplum - Trắng - T0798,439.000₫,https://tiki.vn/dottie-ao-2-day-phoi-vai-dang-peplum-trang-t0798-p273668237.html?spid=273668241,37,,,Dottie
DOTTIE - Áo thun in trái tim T0662,329.000₫,https://tiki.vn/dottie-ao-thun-in-trai-tim-t0662-p225938078.html?spid=225938079,38,,,Dottie
DOTTIE - Đầm thun ngắn kẻ ô - Hồng - D0493,329.000₫,https://tiki.vn/dottie-dam-thun-ngan-ke-o-hong-d0493-p253419856.html?spid=253419860,39,,,Dottie
DOTTIE - Chân Váy Mini Vải Mềm S0149,329.000,https://tiki.vn/dottie-chan-vay-mini-vai-mem-s0149-p249150668.html?spid=249150673,40,,,Dottie
