title,price,link_item,index,discount,sales,brand
Đầm sơ mi sọc kẻ 9.1,166.000₫,https://tiki.vn/dam-so-mi-ke-caro-tim-9-1-p42505970.html?spid=42505980,1,-41%,Đã bán 6,HaintBoutique
Áo Mặc Hè Áo len Dệt Kim Cổ Chữ O Hàn Quốc Áo Thun Nữ Tối Giản Mặc Áo Thun Trơn Áo Phông Nữ Thời Trang Haint Boutique A15,122.000₫,https://tiki.vn/ao-mac-he-ao-len-det-kim-co-chu-o-han-quoc-ao-thun-nu-toi-gian-mac-ao-thun-tron-ao-phong-nu-thoi-trang-haint-boutique-a15-p178331603.html?spid=178331607,2,-12%,,HaintBoutique
"Áo sơ mi công sở Haint Boutique, Áo sơ mi trắng nữ ngắn tay mẫu cơ bản",140.000₫,https://tiki.vn/ao-so-mi-nu-haint-boutique-ao-so-mi-trang-tron-nu-ngan-tay-phong-cach-cong-so-de-phoi-do-hb25-p160377413.html?spid=160377421,3,-12%,Đã bán 4,HaintBoutique
Áo len nữ cổ V rút dây trước 35,131.000,https://tiki.vn/ao-len-nu-co-v-rut-day-truoc-35-p29892642.html?spid=29892643,4,,,HaintBoutique
,,https://tiki.vn/dam-linen-suong-co-tron-ngan-tay-chat-dui-mem-mat-tham-hut-mo-hoi-thoi-trang-phong-cach-han-quoc-haint-boutique-d81-p183791636.html?spid=183791660,5,,,HaintBoutique
Áo sơ mi nữ Haint Boutique dáng dài thiết kế kẻ caro tay lỡ A05,131.000₫,https://tiki.vn/ao-so-mi-nu-haint-boutique-dang-dai-thiet-ke-ke-caro-tay-lo-a05-p78960199.html?spid=78960200,6,-47%,Đã bán 1,HaintBoutique
"Đầm linen dáng suông cổ V , Đầm sơ mi ngắn tay nhún eo, mặc đi chơi, đi làm Haint Boutique Da173",263.000₫,https://tiki.vn/dam-linen-dang-suong-co-v-dam-so-mi-ngan-tay-nhun-eo-mac-di-choi-di-lam-haint-boutique-da173-p191124030.html?spid=191124040,7,-12%,Đã bán 1,HaintBoutique
Đầm hoa bệt vai bánh bèo Haint Boutique da102,175.000₫,https://tiki.vn/dam-hoa-bet-vai-banh-beo-haint-boutique-da102-p11962312.html?spid=56403629,8,-12%,Đã bán 8,HaintBoutique
Sơ mi công sở 169,131.000,https://tiki.vn/so-mi-cong-so-169-p10590158.html?spid=10590160,9,,Đã bán 9,HaintBoutique
,,https://tiki.vn/quan-suong-bo-gau-haint-boutique-qt04-p46555893.html?spid=56402737,10,,,HaintBoutique
Áo dạ khoác ngoài cho nữ 34,175.000₫,https://tiki.vn/ao-da-khoac-ngoai-cho-nu-34-p38433904.html?spid=38433906,11,-41%,Đã bán 2,HaintBoutique
