title,price,link_item,index,discount,sales,brand
"Áo khoác hoodie zip F426 phối tay V2 có nón vải nỉ bông 2 màu form rộng unisex nam nữ, Áo khoác nỉ bông BORDER F426 Hoodie Zip unisex nam nữ (Ảnh thật/Có sẵn)",100.000₫,https://tiki.vn/ao-khoac-hoodie-zip-f426-phoi-tay-v2-co-non-vai-ni-bong-2-mau-form-rong-unisex-nam-nu-ao-khoac-ni-bong-border-f426-hoodie-zip-unisex-nam-nu-anh-that-co-san-p203402422.html?spid=203402428,1,,,Jinrinteen
"Áo Sơ Mi Nhung Gân Xanh Rêu , Xanh Lá Nam Nữ form rộng tay lỡ Thêu chữ SIMPLE THINGS, Áo Sơ Mi Nhung Gân Nam Nữ màu xanh rêu form rộng Thêu chữ Simple Things form rộng tay lỡ unisex nam nữ (hàng thiết kế))",156.000₫,https://tiki.vn/ao-so-mi-nhung-gan-xanh-reu-xanh-la-nam-nu-form-rong-tay-lo-theu-chu-simple-things-ao-so-mi-nhung-gan-nam-nu-mau-xanh-reu-form-rong-theu-chu-simple-things-form-rong-tay-lo-unisex-nam-nu-hang-thiet-ke-p204916799.html?spid=204916809,2,,Đã bán 1,Jinrinteen
"Áo sơmi tay lỡ unisex SERSHY màu XANH LÁ/KEM Nam nữ unisex, Áo Sơ Mi form rộng style Ulzzang, Áo Sơ Mi Tay Lỡ SERSHY STUDIO Form Rộng Nam Nữ Style Cá Tính Phong Cách Ulzzang Unisex",139.000₫,https://tiki.vn/ao-somi-tay-lo-unisex-sershy-mau-xanh-la-kem-nam-nu-unisex-ao-so-mi-form-rong-style-ulzzang-ao-so-mi-tay-lo-sershy-studio-form-rong-nam-nu-style-ca-tinh-phong-cach-ulzzang-unisex-p205967379.html?spid=205967389,3,,Đã bán 2,Jinrinteen
"Áo Khoác Hoodie Zip XOXO Form Rộng Vải Nỉ Bông Tay Dài Phong Cách Trẻ Trung Nam Nữ Unisex, Áo Khoác Hoodie Zip ICON STICKER Jacket Dây Kéo Nam Nữ Vải Nỉ Bông Ulzzang, Áo Khoác Hoodie XOXO thu đông Phối Zip Nam Nữ Unisex 37 Vải Nỉ Bông Chữ Dập Nổi",109.000,https://tiki.vn/ao-khoac-hoodie-zip-xoxo-form-rong-vai-ni-bong-tay-dai-phong-cach-tre-trung-nam-nu-unisex-ao-khoac-hoodie-zip-icon-sticker-jacket-day-keo-nam-nu-vai-ni-bong-ulzzang-ao-khoac-hoodie-xoxo-thu-dong-phoi-zip-nam-nu-unisex-37-vai-ni-bong-chu-dap-noi-p207012574.html?spid=207012578,4,,,Jinrinteen
,,https://tiki.vn/ao-stars-hoodie-ao-hoodie-zip-logo-ao-hoodie-ni-lot-bong-form-rong-did-you-unisex-nam-nu-mac-duoc-ao-hoodie-ni-did-you-mau-nau-unisex-anh-that-ao-khoac-hoodie-did-you-miss-out-something-p192643589.html?spid=192643590,5,,,Jinrinteen
"áo hoodie nữ form rộng áo hoodie mũ áo hoodie không mũ hoodie zip Áo Khoác Nam nữ Dáng Rộng Có Nón Trùm Phong Cách Đường Phố, áo khoác hoodie hình gấu",99.000₫,https://tiki.vn/a-o-hoodie-nu-form-ro-ng-a-o-hoodie-mu-a-o-hoodie-kho-ng-mu-hoodie-zip-ao-khoac-nam-nu-dang-rong-co-non-trum-phong-cach-duong-pho-ao-khoac-hoodie-hinh-gau-p212972846.html?spid=212972850,6,,,Jinrinteen
Áo khoác cadigan nỉ ngoại MIF CLUB,99.000₫,https://tiki.vn/ao-khoac-cadigan-ni-ngoai-mif-club-p71919713.html?spid=71919717,7,,Đã bán 3,Jinrinteen
Áo khoác hoodie có dây kéo in chữ sau lưng vải đẹp,128.000₫,https://tiki.vn/ao-khoac-hoodie-co-day-keo-in-chu-sau-lung-vai-dep-p79192994.html?spid=79192996,8,,,Jinrinteen
Áo Khoác HOODIE Phối Họa Tiết Unisex,99.000₫,https://tiki.vn/ao-khoac-hoodie-phoi-hoa-tiet-unisex-p76295247.html?spid=76295251,9,,,Jinrinteen
,,https://tiki.vn/ao-khoac-nhung-tam-kieu-bomber-in-logo-2000-hang-in-bao-dep-ao-khoac-bomber-nhung-ao-bomber-jacket-nhung-gan-cao-cap-unisex-chuan-form-nam-nu-p112251649.html?spid=112251650,10,,,Jinrinteen
