title,price,link_item,index,discount,sales,brand
OLV - Chân váy Satin Pleated Skirt in Red,520.000₫,https://tiki.vn/olv-chan-vay-satin-pleated-skirt-in-red-p216111613.html?spid=216111617,1,,,OLV
OLV - Chân váy Tilly Floral Skirt,450.000₫,https://tiki.vn/olv-chan-vay-tilly-floral-skirt-p214515381.html?spid=214515385,2,,Đã bán 1,OLV
OLV - Áo Bonnie Top in Black,350.000₫,https://tiki.vn/olv-ao-bonnie-top-in-black-p225915901.html?spid=225915904,3,,,OLV
OLV - Áo Nalani Fleur Top,390.000,https://tiki.vn/olv-ao-nalani-fleur-top-p273102612.html?spid=273102614,4,,,OLV
,,https://tiki.vn/olv-ao-alva-top-in-plum-p249590271.html?spid=249590273,5,,,OLV
OLV - Đầm Celiza Pine Green Dress,520.000₫,https://tiki.vn/olv-da-m-celiza-pine-green-dress-p208686698.html?spid=208686702,6,,,OLV
OLV - Đầm Diagonal Ruffle Dress,690.000₫,https://tiki.vn/olv-dam-diagonal-ruffle-dress-p248785247.html?spid=248785259,7,,,OLV
OLV - Áo Taylor White Top,350.000₫,https://tiki.vn/olv-ao-taylor-white-top-p217326251.html?spid=217326255,8,,,OLV
OLV - Chân váy Satin Pleated Skirt in Blue,520.000,https://tiki.vn/olv-chan-vay-satin-pleated-skirt-in-blue-p222688371.html?spid=222688377,9,,,OLV
,,https://tiki.vn/olv-ao-kaily-beige-top-p215996986.html?spid=244289639,10,,,OLV
OLV - Đầm Reese Maxi Dress,720.000₫,https://tiki.vn/olv-dam-reese-maxi-dress-p272468499.html?spid=272468501,11,,,OLV
OLV - Đầm Patricia Ruched Dress,890.000,https://tiki.vn/olv-dam-patricia-ruched-dress-p209427381.html?spid=209427383,12,,,OLV
,,https://tiki.vn/olv-ao-mina-pleated-shirt-p270925052.html?spid=270925054,13,,,OLV
OLV - Đầm hoa Aster Dress,620.000₫,https://tiki.vn/olv-dam-hoa-aster-dress-p271287134.html?spid=271287136,14,,,OLV
OLV - Áo Taro Tie Blouse,390.000₫,https://tiki.vn/olv-ao-taro-tie-blouse-p196305432.html?spid=196305436,15,,Đã bán 1,OLV
OLV - Áo Long Sleeve Shirt in Green,390.000₫,https://tiki.vn/olv-ao-long-sleeve-shirt-in-green-p253660585.html?spid=253660587,16,,,OLV
OLV - Quần Melany Wide Leg Pants,450.000,https://tiki.vn/olv-quan-melany-wide-leg-pants-p249579990.html?spid=249579994,17,,,OLV
,,https://tiki.vn/olv-dam-lilian-floral-dress-p263265995.html?spid=263265999,18,,,OLV
OLV - Áo Zynne Top In Blue,350.000₫,https://tiki.vn/olv-ao-zynne-top-in-blue-p253665099.html?spid=253665101,19,,,OLV
OLV - Áo Margaret Striped Shirt,320.000₫,https://tiki.vn/olv-ao-margaret-striped-shirt-p270216067.html?spid=270216069,20,,,OLV
OLV - Đầm Aggie Button Dress,690.000₫,https://tiki.vn/olv-dam-aggie-button-dress-p262672431.html?spid=262672433,21,,,OLV
OLV - Áo kiểu Sitara Top,490.000₫,https://tiki.vn/olv-ao-kieu-sitara-top-p262897865.html?spid=262897869,22,,,OLV
OLV - Đầm Katalina Puff Dress,690.000₫,https://tiki.vn/olv-dam-katalina-puff-dress-p272033253.html?spid=272033257,23,,,OLV
OLV - Áo Rosa Beige Top,490.000₫,https://tiki.vn/olv-ao-rosa-beige-top-p204377199.html?spid=204377203,24,,Đã bán 1,OLV
OLV - Đầm Giada Button Embro,790.000,https://tiki.vn/olv-dam-giada-button-embro-p247893843.html?spid=247893845,25,,,OLV
,,https://tiki.vn/olv-chan-vay-kaylin-white-skirt-p263959456.html?spid=263959460,26,,,OLV
OLV - Quần Skylar Shorts,390.000₫,https://tiki.vn/olv-quan-skylar-shorts-p213958754.html?spid=213958758,27,,,OLV
OLV - Đầm Letia Cobalt Dress,520.000₫,https://tiki.vn/olv-dam-letia-cobalt-dress-p215126367.html?spid=215126369,28,,,OLV
OLV - Đầm Hazelnut Dress,490.000₫,https://tiki.vn/olv-dam-hazelnut-dress-p208106120.html?spid=208106124,29,,,OLV
OLV - Quần Clover Baggy Jeans,590.000,https://tiki.vn/olv-quan-clover-baggy-jeans-p273221744.html?spid=273221746,30,,,OLV
,,https://tiki.vn/olv-dam-lainey-dress-p272468732.html?spid=272468736,31,,,OLV
OLV - Đầm Letitia Embro Dress,790.000₫,https://tiki.vn/olv-dam-letitia-embro-dress-p213517151.html?spid=213517155,32,,,OLV
OLV - Đầm Sol Dress,590.000₫,https://tiki.vn/olv-dam-sol-dress-p272367112.html?spid=272367114,33,,,OLV
OLV - Quần Payton Pants,490.000₫,https://tiki.vn/olv-quan-payton-pants-p273506428.html?spid=273506434,34,,,OLV
OLV - Quần Raw Hem Wide Leg Jeans,550.000,https://tiki.vn/olv-quan-raw-hem-wide-leg-jeans-p201251899.html?spid=201251901,35,,,OLV
,,https://tiki.vn/olv-dam-astrid-dress-p273298957.html?spid=273298961,36,,,OLV
OLV - Đầm Julep Halter Dress,690.000₫,https://tiki.vn/olv-dam-julep-halter-dress-p247341057.html?spid=247341059,37,,,OLV
OLV - Áo Lukas Long Sleeve Top,490.000₫,https://tiki.vn/olv-ao-lukas-long-sleeve-top-p260113192.html?spid=260113194,38,,,OLV
OLV - Áo Kisley White Top,350.000₫,https://tiki.vn/olv-a-o-kisley-white-top-p269998509.html?spid=269998511,39,,,OLV
OLV - Đầm Estrella Dress,690.000,https://tiki.vn/olv-dam-estrella-dress-p272365866.html?spid=272365872,40,,,OLV
