title,price,link_item,index,discount,sales,brand
Bộ Đồ Short Satin Nữ Vincy Thoáng Mát BSS042W01,569.000₫,https://tiki.vn/bo-do-short-satin-nu-vincy-thoang-mat-bss042w01-p271499108.html?spid=271499110,1,-20%,,Vincy
Bộ Đồ Short Tole Nữ Vincy Thoáng Mát BSK012S21,519.000₫,https://tiki.vn/bo-do-short-tole-nu-vincy-thoang-mat-bsk012s21-p262516844.html?spid=262516846,2,,,Vincy
Bộ Đồ Satin Dài Nữ Vincy Thoáng Mát BSD040S31,669.000₫,https://tiki.vn/bo-do-satin-dai-nu-vincy-thoang-mat-bsd040s31-p253402475.html?spid=253402479,3,,,Vincy
Bộ Đồ Kate Dài Nữ Vincy Thoáng Mát BKD102W01,689.000,https://tiki.vn/bo-do-kate-dai-nu-vincy-thoang-mat-bkd102w01-p263494248.html?spid=263494256,4,,,Vincy
,,https://tiki.vn/bo-do-satin-dai-nu-vincy-thoang-mat-bsd035w02-p271728660.html?spid=271728666,5,,,Vincy
Bộ Đồ Thun Dài Nữ Vincy Thoáng Mát BTD072W81,649.000₫,https://tiki.vn/bo-do-thun-dai-nu-vincy-thoang-mat-btd072w81-p270693303.html?spid=270693311,6,,,Vincy
Bộ Đồ Kate Lửng Nữ Vincy Thoáng Mát BKL070S31,598.000₫,https://tiki.vn/bo-do-kate-lung-nu-vincy-thoang-mat-bkl070s31-p251257459.html?spid=251257469,7,,,Vincy
Bộ Đồ Thun Dài Nữ Vincy Thoáng Mát BTD152W11,669.000₫,https://tiki.vn/bo-do-thun-dai-nu-vincy-thoang-mat-btd152w11-p271456195.html?spid=271456203,8,,,Vincy
Đầm Satin Nữ Vincy Thoáng Mát DDS020W21,458.000,https://tiki.vn/dam-satin-nu-vincy-thoang-mat-dds020w21-p208904791.html?spid=208904799,9,,,Vincy
,,https://tiki.vn/bo-do-short-thun-nu-vincy-thoang-mat-bst046w01-p271516611.html?spid=271516615,10,,,Vincy
Bộ Đồ Kate Lửng Nữ Vincy Thoáng Mát BKL097S81,659.000₫,https://tiki.vn/bo-do-kate-lung-nu-vincy-thoang-mat-bkl097s81-p262517704.html?spid=262517706,11,,Đã bán 1,Vincy
Bộ thun dài Vincy BTD060W11,649.000,https://tiki.vn/bo-thun-dai-vincy-btd060w11-p160534533.html?spid=160534543,12,,,Vincy
,,https://tiki.vn/bo-do-satin-lung-nu-vincy-thoang-mat-bls023w01-p197199117.html?spid=197199158,13,,,Vincy
Bộ Đồ Short Kate Nữ Vincy Thoáng Mát BSK084W81,569.000₫,https://tiki.vn/bo-do-short-kate-nu-vincy-thoang-mat-bsk084w81-p270306577.html?spid=270306579,14,,,Vincy
Bộ Đồ Satin Dài Nữ Vincy BSD030W31,786.000₫,https://tiki.vn/bo-do-satin-dai-nu-vincy-bsd030w31-p271971130.html?spid=271971140,15,,,Vincy
Bộ Đồ Short Satin Nữ Vincy Thoáng Mát BSS027W91,629.000₫,https://tiki.vn/bo-do-short-satin-nu-vincy-thoang-mat-bss027w91-p198303800.html?spid=198303802,16,,,Vincy
Đầm satin Vincy DDS030S21,458.000,https://tiki.vn/dam-satin-vincy-dds030s21-p171217388.html?spid=171217390,17,,,Vincy
,,https://tiki.vn/bo-do-kate-dai-nu-vincy-thoang-mat-bkd010s31-p251257245.html?spid=251257249,18,,,Vincy
Đầm Kate Nữ Vincy Thoáng Mát DDK080S31,519.000₫,https://tiki.vn/dam-kate-nu-vincy-thoang-mat-ddk080s31-p262522613.html?spid=262522621,19,,,Vincy
Bộ Đồ Short Kate Nữ Vincy Thoáng Mát BSK013S01,519.000₫,https://tiki.vn/bo-do-short-kate-nu-vincy-thoang-mat-bsk013s01-p242174605.html?spid=242174607,20,,,Vincy
Bộ Đồ Thun Dài Nữ Vincy Thoáng Mát BTD040W21,599.000₫,https://tiki.vn/bo-do-thun-dai-nu-vincy-thoang-mat-btd040w21-p214074553.html?spid=214074555,21,,,Vincy
Bộ Đồ Kate Dài Nữ Vincy Thoáng Mát BKD030S31,727.000₫,https://tiki.vn/bo-do-kate-dai-nu-vincy-thoang-mat-bkd030s31-p248740169.html?spid=248740173,22,,,Vincy
